face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_fearful/fearful_person_0000_face0.png,White,White,Male,20-29,"[9.8986536e-01 1.4369327e-06 1.3567382e-03 5.8608560e-04 3.8085505e-04
 7.6992234e-05 7.7323588e-03]",[9.4205809e-01 5.9789489e-04 2.8511317e-02 2.8832765e-02],[0.6665431  0.33345678],"[2.4465869e-06 4.6897880e-05 5.8741798e-03 6.0070550e-01 3.4915566e-01
 4.3495715e-02 6.7933649e-04 3.3145599e-05 7.1694312e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_fearful/fearful_person_0001_face0.png,White,White,Female,20-29,"[9.7267282e-01 1.0364399e-04 7.0260167e-03 5.3325226e-03 2.5166855e-03
 3.5318523e-04 1.1995131e-02]",[9.9035817e-01 3.0104509e-03 5.6738039e-03 9.5758209e-04],[0.05740755 0.9425925 ],"[2.70782039e-07 9.35786011e-06 3.46334139e-03 5.23421943e-01
 4.11149114e-01 5.95121570e-02 2.31564115e-03 1.15307856e-04
 1.28149695e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_fearful/fearful_person_0002_face0.png,White,Asian,Female,20-29,"[9.0001774e-01 3.0432767e-04 1.1457760e-02 6.1032560e-02 2.1213166e-02
 1.1039341e-03 4.8704953e-03]",[0.3158246  0.0041583  0.6231714  0.05684574],[0.06099922 0.9390008 ],"[3.8540922e-05 1.0965228e-02 8.2004428e-02 7.4623734e-01 1.3090210e-01
 2.5628818e-02 3.2590171e-03 6.4529415e-04 3.1928174e-04]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_fearful/fearful_person_0003_face0.png,White,Indian,Female,30-39,"[9.5846522e-01 8.3477551e-04 2.5169721e-02 1.4439895e-03 3.4361430e-03
 5.2804449e-03 5.3698439e-03]",[0.20385292 0.15728837 0.15355492 0.48530373],[0.15866339 0.84133667],"[1.4069042e-06 1.9075303e-05 1.2541084e-03 1.3918008e-01 4.4866148e-01
 3.3124197e-01 6.8741515e-02 9.6448371e-03 1.2555680e-03]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_fearful/fearful_person_0004_face0.png,White,White,Female,30-39,"[0.74438006 0.00441443 0.11497536 0.00095721 0.00188089 0.00806633
 0.12532583]",[0.9733913  0.01295037 0.00204036 0.01161794],[0.16580912 0.8341909 ],"[1.6599846e-06 4.8234673e-05 5.7935575e-03 4.1688552e-01 4.7168285e-01
 9.7273409e-02 7.6497388e-03 6.0233806e-04 6.2753417e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_fearful/fearful_person_0005_face0.png,White,White,Female,20-29,"[9.70247388e-01 5.49509195e-06 4.51480737e-03 1.21138786e-04
 1.22612677e-04 5.46990370e-04 2.44415719e-02]",[0.98624897 0.00164098 0.00305321 0.00905693],[0.04066775 0.9593323 ],"[3.3764401e-08 6.0865918e-06 2.0201577e-02 7.4864763e-01 2.2468440e-01
 6.3808570e-03 7.7462879e-05 1.9309180e-06 9.6880697e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_fearful/fearful_person_0006_face0.png,White,White,Male,30-39,"[9.9662781e-01 2.0399784e-05 8.9505065e-04 6.0264464e-04 6.1986106e-04
 2.1279189e-04 1.0215109e-03]",[9.9831688e-01 6.9066606e-05 6.1470497e-04 9.9936186e-04],[0.9373974  0.06260259],"[6.7088622e-06 2.9488481e-04 8.0825910e-03 3.4542385e-01 4.8869714e-01
 1.4667286e-01 1.0356909e-02 4.2969309e-04 3.5290162e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_fearful/fearful_person_0007_face0.png,White,White,Male,20-29,"[9.8176551e-01 5.7349465e-05 5.6870645e-03 1.2640751e-03 1.2584151e-03
 2.0679021e-04 9.7608557e-03]",[9.8661214e-01 6.2041322e-04 1.1399527e-02 1.3679165e-03],[0.93230164 0.0676984 ],"[1.9288801e-07 2.1383523e-05 1.3913067e-02 7.5348288e-01 2.2287239e-01
 9.5584961e-03 1.4626230e-04 4.9348064e-06 4.5231715e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_fearful/fearful_person_0008_face0.png,White,White,Female,30-39,"[8.6936313e-01 4.2377291e-05 3.4038704e-02 3.3357515e-04 4.9906661e-04
 9.3693379e-04 9.4786175e-02]",[9.7921377e-01 2.5494469e-04 1.6690129e-02 3.8411692e-03],[9.9327415e-04 9.9900675e-01],"[1.0296124e-07 2.9283676e-06 1.0576167e-03 1.7507146e-01 6.2656957e-01
 1.8743865e-01 9.3884114e-03 4.5684661e-04 1.4485479e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_fearful/fearful_person_0009_face0.png,White,White,Female,20-29,"[0.8577876  0.00162358 0.04602232 0.01110566 0.0104782  0.00682245
 0.06616017]",[0.6803179  0.03683712 0.13968326 0.14316171],[0.10115889 0.89884114],"[3.21916127e-06 3.09799885e-04 2.93400120e-02 6.38681829e-01
 2.90270209e-01 3.78064401e-02 2.98485672e-03 4.82375064e-04
 1.21278485e-04]",0,White,20-39
