face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0059_face0.png,White,White,Male,50-59,"[9.7595286e-01 1.7522621e-03 8.4837861e-03 7.5114309e-05 3.1710052e-04
 2.3722926e-03 1.1046552e-02]",[0.9820325  0.00184311 0.00271332 0.01341115],[9.9962801e-01 3.7200132e-04],"[6.4607925e-06 1.0877626e-05 7.0688191e-05 5.0088135e-04 1.0974438e-02
 2.2272658e-01 7.2157472e-01 4.1898347e-02 2.2369404e-03]"
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0147_face0.png,White,White,Male,50-59,"[9.9703127e-01 7.7984478e-05 3.3767472e-04 4.9089422e-06 9.9998406e-06
 2.0488159e-04 2.3333216e-03]",[9.9888098e-01 2.7300793e-04 1.4239860e-04 7.0361013e-04],[0.9987409  0.00125906],"[1.2188199e-06 1.9278032e-06 3.5768076e-05 1.4673055e-03 1.7772870e-02
 2.4931182e-01 6.6126877e-01 6.3728586e-02 6.4117354e-03]"
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0637_face0.png,White,White,Male,50-59,"[0.7856912  0.00817347 0.16459498 0.00103411 0.00489235 0.01923196
 0.01638191]",[9.9243212e-01 5.0157664e-04 1.5655343e-03 5.5007567e-03],[9.9986899e-01 1.3098052e-04],"[2.0784597e-05 2.7526676e-05 2.5344256e-04 5.1320880e-04 1.6404431e-02
 2.5320578e-01 6.9840264e-01 3.0666919e-02 5.0522585e-04]"
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0683_face0.png,White,White,Male,50-59,"[9.8578280e-01 2.1838122e-04 3.3494998e-03 6.2452250e-06 2.2840662e-05
 6.9221458e-04 9.9279191e-03]",[0.95930815 0.00367688 0.00157902 0.03543593],[9.9962151e-01 3.7843373e-04],"[6.5255254e-06 1.9550651e-05 1.9612718e-04 7.4572506e-04 1.2910420e-02
 2.4070804e-01 7.1864694e-01 2.5993753e-02 7.7291630e-04]"
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0876_face0.png,White,White,Male,50-59,"[7.0740116e-01 1.9696636e-02 1.7027248e-01 5.0388690e-04 1.5728330e-03
 2.9223828e-02 7.1329191e-02]",[0.8541185  0.03651103 0.02422359 0.08514681],[9.9995589e-01 4.4077726e-05],"[1.0877729e-05 1.4198360e-05 1.1290609e-04 2.5904720e-04 1.0129391e-02
 2.4904139e-01 7.2385126e-01 1.6381251e-02 1.9963333e-04]"
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0073_face0.png,Indian,Indian,Male,50-59,"[1.5396787e-01 2.1284182e-01 1.6369475e-01 3.4398719e-04 4.2245048e-03
 4.4977057e-01 1.5156417e-02]",[0.09677052 0.0980809  0.01791413 0.7872344 ],[9.9998981e-01 1.0187173e-05],"[9.2995242e-06 9.3886583e-06 6.0757880e-05 9.1161994e-05 1.3672902e-03
 5.3885236e-02 7.3343027e-01 2.0582364e-01 5.3228685e-03]"
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0396_face0.png,White,White,Male,40-49,"[9.3219990e-01 1.9218671e-04 1.5674515e-02 2.5923373e-04 4.7505298e-04
 9.7518746e-04 5.0223891e-02]",[0.95763755 0.00284692 0.0119078  0.02760769],[9.9988198e-01 1.1801036e-04],"[2.2595580e-06 7.6406050e-06 1.4752813e-04 7.8641037e-03 2.6470560e-01
 6.6907394e-01 5.7857748e-02 3.3632011e-04 4.8661632e-06]"
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0202_face0.png,White,Indian,Male,50-59,"[6.1587340e-01 2.5716093e-01 6.4072974e-02 4.1020481e-04 2.4326297e-03
 4.7923554e-02 1.2126297e-02]",[0.38030976 0.08582037 0.01998027 0.5138897 ],[9.999661e-01 3.396049e-05],"[6.7296942e-06 8.0051732e-06 5.2509025e-05 2.6025946e-04 3.7037134e-03
 9.1361813e-02 7.4666077e-01 1.5361500e-01 4.3312553e-03]"
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0411_face0.png,White,White,Male,40-49,"[7.5042456e-01 7.1015251e-03 1.5325907e-01 2.1503646e-04 1.0150506e-03
 4.0974472e-02 4.7010176e-02]",[9.6740299e-01 6.9947110e-04 8.8969962e-04 3.1007826e-02],[9.9941701e-01 5.8298185e-04],"[1.6889136e-06 7.5023322e-06 2.1688655e-04 1.1920739e-02 3.2395455e-01
 5.7719445e-01 8.5924901e-02 7.6222175e-04 1.7028842e-05]"
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0814_face0.png,White,White,Male,50-59,"[9.3594670e-01 2.7638080e-02 1.7786948e-02 5.1361065e-05 2.3637705e-04
 5.6486861e-03 1.2691846e-02]",[9.8177814e-01 9.2135668e-03 5.5810576e-04 8.4501794e-03],[9.9981529e-01 1.8466971e-04],"[9.87787098e-06 1.46592556e-05 1.08645814e-04 5.74389065e-04
 9.47676972e-03 1.50927901e-01 7.55878150e-01 8.01881179e-02
 2.82149552e-03]"
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0151_face0.png,Latino_Hispanic,Indian,Male,50-59,"[0.1707248  0.03396009 0.39749688 0.00213017 0.01517145 0.33562315
 0.04489341]",[0.20108953 0.01960148 0.0278391  0.7514699 ],[9.9943072e-01 5.6927965e-04],"[7.7637793e-05 1.6943502e-04 5.9506804e-04 4.2997752e-04 6.3481540e-03
 1.6261391e-01 7.6351660e-01 6.4087994e-02 2.1611922e-03]"
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0775_face0.png,White,Indian,Male,50-59,"[9.5639861e-01 2.6011487e-04 1.0410609e-03 2.1617770e-05 9.1367925e-05
 1.5638833e-03 4.0623356e-02]",[0.46142015 0.02528877 0.01451677 0.49877432],[9.9986595e-01 1.3409810e-04],"[4.7872963e-06 7.3546371e-06 1.0722473e-04 1.0379347e-03 1.3024205e-02
 1.5107337e-01 7.3136020e-01 9.8976158e-02 4.4088182e-03]"
/scratch/project_462000771/mengting/projects/bias/kolors/chinese_prompt/selected_faces/detected_person/person_0826_face0.png,White,White,Male,50-59,"[8.0715066e-01 2.4363229e-02 5.9983160e-02 5.6639983e-04 2.0382667e-03
 5.4597784e-02 5.1300533e-02]",[0.5718493  0.01548929 0.02173313 0.39092824],[9.9981308e-01 1.8688361e-04],"[3.5173751e-05 3.0101797e-05 1.5023559e-04 1.9572380e-04 2.0848422e-03
 5.7745188e-02 7.8301668e-01 1.5170285e-01 5.0390875e-03]"
