face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_surprised/surprised_person_0000_face0.png,White,White,Male,20-29,"[9.9940979e-01 7.8827708e-07 3.6880182e-04 1.3848683e-05 2.8942470e-05
 1.9218416e-05 1.5857615e-04]",[9.9746180e-01 3.1908087e-06 2.2394855e-03 2.9554567e-04],[9.9998021e-01 1.9765552e-05],"[3.1516965e-09 4.5539039e-07 1.9273069e-03 5.8174127e-01 3.8342309e-01
 3.2582212e-02 3.2378917e-04 1.7323863e-06 6.0977868e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_surprised/surprised_person_0001_face0.png,White,White,Male,20-29,"[9.9961263e-01 2.1208461e-05 1.8721253e-04 8.8500841e-05 4.9146212e-05
 1.9089575e-05 2.2293949e-05]",[9.99753773e-01 4.81859424e-05 8.80178923e-05 1.09976994e-04],[0.85622674 0.1437733 ],"[1.9841195e-07 6.7036081e-04 6.0016379e-02 9.1689855e-01 2.2307875e-02
 1.0586555e-04 6.9425278e-07 2.4078528e-08 6.3746768e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_surprised/surprised_person_0002_face0.png,White,White,Male,20-29,"[9.9971700e-01 1.8329976e-06 1.5745037e-04 1.7833285e-05 3.5153324e-05
 1.0042192e-05 6.0757520e-05]",[9.8791552e-01 2.2002234e-04 6.4731487e-03 5.3912923e-03],[9.9998677e-01 1.3274030e-05],"[9.1882590e-09 3.9138131e-06 6.8339244e-03 8.1912988e-01 1.7043976e-01
 3.5643082e-03 2.7921897e-05 2.8597796e-07 1.5296930e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_surprised/surprised_person_0003_face0.png,White,White,Female,20-29,"[9.9989825e-01 9.8133614e-07 3.0307703e-05 4.4636938e-05 1.9686015e-05
 5.0243813e-07 5.5310493e-06]",[9.9967271e-01 2.8385786e-05 2.7707379e-04 2.1813692e-05],[0.02073481 0.9792652 ],"[1.74201841e-06 3.98807635e-04 1.12302415e-02 6.64235592e-01
 3.01218122e-01 2.25265231e-02 3.79907695e-04 7.47950617e-06
 1.55605721e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_surprised/surprised_person_0004_face0.png,White,White,Female,20-29,"[9.9997091e-01 1.4431913e-07 2.2278939e-05 1.7837027e-07 5.8639768e-07
 1.4844225e-06 4.3561113e-06]",[9.9999326e-01 2.7582519e-07 1.6625186e-06 4.8391880e-06],[0.22122076 0.77877927],"[2.2762290e-08 4.8036698e-05 2.5903463e-02 8.0685639e-01 1.6276824e-01
 4.3934877e-03 3.0033018e-05 2.6705513e-07 2.9618139e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_surprised/surprised_person_0005_face0.png,White,White,Female,20-29,"[9.9962640e-01 6.6081843e-06 2.4577044e-04 1.2175627e-05 7.9602050e-06
 2.2301265e-06 9.8848745e-05]",[9.9951792e-01 3.6838912e-05 2.7001416e-04 1.7522428e-04],[0.02960812 0.97039187],"[1.0340604e-08 1.1806508e-05 1.3626488e-02 7.3127651e-01 2.4647006e-01
 8.5141305e-03 9.8962868e-05 1.8202032e-06 1.5549303e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_surprised/surprised_person_0006_face0.png,White,White,Male,20-29,"[9.9996114e-01 1.8791638e-07 2.0759095e-05 1.0780074e-06 3.3695585e-06
 1.3679557e-06 1.2169335e-05]",[9.9830449e-01 1.8177925e-05 1.6178553e-03 5.9500209e-05],[9.9955094e-01 4.4909774e-04],"[2.9300654e-08 6.1420851e-06 3.8688534e-03 7.1412200e-01 2.7101406e-01
 1.0797239e-02 1.8935256e-04 2.2151239e-06 1.2241600e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_surprised/surprised_person_0007_face0.png,White,White,Male,30-39,"[9.9965870e-01 2.7201393e-06 1.2450294e-04 3.2195483e-05 8.3986764e-05
 3.9925385e-06 9.3897070e-05]",[9.8929185e-01 3.0475105e-05 1.0283477e-02 3.9420815e-04],[9.9999464e-01 5.3654439e-06],"[1.8297702e-07 1.3080402e-05 1.7029222e-03 3.4197757e-01 5.8569962e-01
 6.8701200e-02 1.8841962e-03 2.0049980e-05 1.2010329e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_surprised/surprised_person_0008_face0.png,White,White,Male,20-29,"[9.4448543e-01 2.1391177e-04 2.5162555e-02 7.4430709e-03 1.3656006e-02
 2.0364062e-03 7.0027346e-03]",[8.4676635e-01 1.7230859e-04 1.3346228e-01 1.9599078e-02],[0.99791265 0.00208736],"[9.4301895e-06 1.0141852e-02 1.7306225e-01 6.5435982e-01 1.5490226e-01
 7.2916849e-03 2.2110675e-04 1.0979077e-05 6.7045784e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_surprised/surprised_person_0009_face0.png,White,White,Male,20-29,"[7.8807729e-01 1.6322454e-03 4.2851944e-03 1.7286091e-01 2.8451929e-02
 4.0890872e-03 6.0335227e-04]",[0.5411047  0.01003152 0.44125092 0.00761278],[0.771292  0.2287081],"[1.4041050e-06 4.7775274e-03 2.2029151e-01 7.6400518e-01 1.0856675e-02
 6.6900233e-05 7.0246807e-07 7.5690799e-08 1.2625242e-08]",1,White,20-39
