face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_fearful/fearful_person_0000_face0.png,Middle Eastern,White,Male,40-49,"[3.4694576e-01 2.5026213e-02 1.3955230e-01 1.1402665e-04 7.5697090e-04
 1.9291732e-02 4.6831292e-01]",[9.6609074e-01 3.0180763e-03 4.3567552e-04 3.0455537e-02],[9.9988294e-01 1.1708229e-04],"[3.9767119e-06 8.2869774e-06 1.4112725e-04 6.8118591e-03 2.0173678e-01
 6.0999668e-01 1.7397039e-01 7.0490055e-03 2.8186245e-04]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_fearful/fearful_person_0001_face0.png,White,White,Male,30-39,"[7.9016304e-01 3.0916554e-03 7.2569586e-02 2.4761583e-05 2.2246676e-04
 3.6058798e-02 9.7869672e-02]",[0.8563727  0.00418707 0.00128316 0.13815704],[9.9997604e-01 2.3935023e-05],"[2.2673058e-08 1.6424622e-07 9.0175155e-05 4.5395926e-02 6.5469331e-01
 2.8968838e-01 1.0071087e-02 5.9885024e-05 1.1571324e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_fearful/fearful_person_0002_face0.png,Indian,Indian,Male,50-59,"[7.2255723e-02 4.3506060e-02 5.1536832e-02 3.4898447e-04 2.2971940e-03
 6.5973049e-01 1.7032471e-01]",[0.06796291 0.12179626 0.01036764 0.7998732 ],[0.99663854 0.00336148],"[2.1278051e-05 3.2623175e-05 2.5114461e-04 4.5512514e-03 3.2002393e-02
 1.5224428e-01 4.7296983e-01 2.7540946e-01 6.2517740e-02]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_fearful/fearful_person_0003_face0.png,Middle Eastern,Indian,Male,40-49,"[1.9647361e-01 8.1339376e-03 8.3327584e-02 3.1135711e-05 2.8490476e-04
 2.5926468e-01 4.5248422e-01]",[0.15120754 0.01730064 0.00108901 0.8304028 ],[9.9997610e-01 2.3917853e-05],"[2.7761666e-06 6.6792372e-06 1.8561569e-04 1.1745929e-02 2.1331942e-01
 5.0305939e-01 2.5702208e-01 1.3900370e-02 7.5770693e-04]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_fearful/fearful_person_0004_face0.png,White,White,Male,40-49,"[9.7132796e-01 8.4280543e-04 7.0664925e-03 5.1340897e-04 1.1593943e-03
 2.0167497e-03 1.7073099e-02]",[9.9404514e-01 5.3272769e-04 4.7849850e-03 6.3709053e-04],[0.99864244 0.00135758],"[6.50446509e-07 1.01415535e-05 1.13608898e-03 9.02712643e-02
 3.69035721e-01 4.22142357e-01 1.13006778e-01 3.83452326e-03
 5.62436122e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_fearful/fearful_person_0005_face0.png,White,White,Male,50-59,"[0.6695409  0.02094049 0.11037329 0.02350652 0.06227809 0.0527813
 0.0605794 ]",[0.8606823  0.00112068 0.13410428 0.00409275],[9.9957258e-01 4.2738905e-04],"[3.7862876e-06 3.4642173e-05 1.2929569e-03 5.9799638e-02 1.5013646e-01
 3.0958781e-01 3.8264659e-01 8.2221404e-02 1.4276758e-02]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_fearful/fearful_person_0006_face0.png,Middle Eastern,White,Male,40-49,"[1.15853123e-01 1.54394312e-02 1.12031415e-01 5.89175434e-05
 5.03636198e-04 1.99979171e-02 7.36115575e-01]",[0.9663888  0.01958087 0.0021255  0.01190475],[9.9999630e-01 3.6743972e-06],"[4.2386003e-07 1.8949949e-06 3.1390754e-04 3.6310576e-02 4.0575102e-01
 4.7857085e-01 7.6228857e-02 2.7483969e-03 7.4002412e-05]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_fearful/fearful_person_0007_face0.png,White,White,Male,30-39,"[0.8421883  0.00153214 0.10307527 0.00151715 0.00326934 0.00353176
 0.04488611]",[0.7725058  0.17159188 0.01720387 0.03869845],[9.999796e-01 2.039214e-05],"[5.0661672e-08 3.4827875e-07 1.3154582e-04 5.9546657e-02 5.9667414e-01
 3.3267725e-01 1.0839326e-02 1.2819764e-04 2.4400965e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_fearful/fearful_person_0008_face0.png,Latino_Hispanic,Indian,Female,20-29,"[1.9921908e-01 2.9407057e-01 3.3336797e-01 3.1826552e-04 1.0263554e-03
 1.4476839e-01 2.7229330e-02]",[0.3022635  0.29817525 0.03296463 0.36659664],[0.05935487 0.94064516],"[3.4655884e-06 8.4690627e-04 3.4470186e-02 4.6893951e-01 4.6420214e-01
 3.0561965e-02 9.3739101e-04 3.5678080e-05 2.7259939e-06]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_fearful/fearful_person_0009_face0.png,White,White,Male,20-29,"[8.1687164e-01 2.3856928e-05 7.9978392e-02 6.9769251e-04 1.4666268e-03
 2.7132558e-03 9.8248512e-02]",[9.9136436e-01 3.2997301e-05 7.1242717e-03 1.4782751e-03],[9.9996626e-01 3.3748216e-05],"[2.99640668e-08 4.22000721e-06 1.20023275e-02 6.17790163e-01
 3.38387549e-01 3.13558467e-02 4.56517970e-04 3.26692498e-06
 5.78148445e-08]",0,White,20-39
