face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_fearful/fearful_person_0000_face0.png,White,White,Male,40-49,"[8.7159342e-01 8.9325993e-05 6.8251580e-02 5.9817303e-05 2.1723768e-04
 1.2756739e-02 4.7031969e-02]",[9.5471352e-01 5.0255243e-05 1.8136489e-04 4.5054931e-02],[0.99486953 0.0051305 ],"[3.9702061e-07 4.6635250e-06 2.8699776e-04 1.7998645e-02 3.8084644e-01
 5.6215763e-01 3.8473591e-02 2.2595449e-04 5.6173512e-06]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_fearful/fearful_person_0002_face0.png,White,White,Male,30-39,"[9.6757370e-01 3.1681813e-04 1.4911237e-02 5.9703532e-05 1.4857129e-04
 7.5725606e-04 1.6232714e-02]",[9.9897546e-01 3.8956158e-04 1.1250544e-04 5.2251795e-04],[0.99478    0.00522004],"[8.5424631e-07 1.7193419e-05 1.1631728e-03 2.5769061e-01 6.6723287e-01
 7.2699815e-02 1.1756177e-03 1.8801138e-05 1.0576287e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_fearful/fearful_person_0003_face0.png,White,White,Male,30-39,"[9.8441947e-01 1.3803762e-05 8.3090989e-03 1.7849185e-05 3.8518694e-05
 5.9869007e-04 6.6025732e-03]",[9.957141e-01 8.358331e-05 9.211505e-04 3.281068e-03],[9.9981296e-01 1.8705426e-04],"[1.8257653e-07 4.0379091e-06 2.8003371e-04 5.4722782e-02 6.2689656e-01
 3.1278747e-01 5.2875448e-03 2.0840000e-05 4.5416451e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_fearful/fearful_person_0005_face0.png,White,White,Male,20-29,"[0.6058146  0.00257005 0.12150208 0.00205712 0.00461099 0.00878742
 0.2546577 ]",[0.49586746 0.08086226 0.05014656 0.3731238 ],[0.9286345  0.07136551],"[2.5807174e-06 5.0469909e-05 1.0693356e-02 4.1117308e-01 3.9704254e-01
 1.5672512e-01 2.2417996e-02 1.6857118e-03 2.0911667e-04]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_fearful/fearful_person_0006_face0.png,White,White,Male,30-39,"[0.8178778  0.00095227 0.12003693 0.00164514 0.00244491 0.00116267
 0.05588034]",[0.9604956  0.00753919 0.02866647 0.0032988 ],[0.9981194  0.00188061],"[5.6547542e-06 4.4897395e-05 2.8533479e-03 1.2531993e-01 4.1904935e-01
 3.3865103e-01 1.1005730e-01 3.7801270e-03 2.3840998e-04]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_fearful/fearful_person_0007_face0.png,White,White,Male,30-39,"[0.69954795 0.00106844 0.13089557 0.0033663  0.00655305 0.03271427
 0.1258544 ]",[0.6197154  0.01641662 0.14575374 0.21811418],[0.9966671  0.00333289],"[1.5090826e-06 1.5931173e-05 4.8280667e-04 1.1894020e-01 5.8046669e-01
 2.9016304e-01 9.4943345e-03 3.9187504e-04 4.3570933e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_fearful/fearful_person_0008_face0.png,White,White,Male,30-39,"[9.3334752e-01 4.8052354e-04 8.5865585e-03 3.8462738e-04 8.0521201e-04
 7.4366602e-04 5.5651911e-02]",[0.9683265  0.00791033 0.00437924 0.01938392],[0.96528655 0.03471344],"[2.0755513e-06 2.2695351e-05 1.1538506e-03 1.2334958e-01 5.9240723e-01
 2.7404749e-01 8.7817591e-03 2.1197401e-04 2.3438637e-05]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_fearful/fearful_person_0009_face0.png,Latino_Hispanic,Indian,Male,20-29,"[0.27947667 0.00810372 0.390295   0.00380105 0.02302567 0.05464159
 0.24065633]",[0.21560486 0.00865036 0.04891492 0.7268299 ],[0.82710916 0.17289084],"[9.7076563e-06 1.8711549e-03 2.6862288e-01 5.6550401e-01 1.3833484e-01
 2.2940475e-02 2.2728217e-03 3.7246037e-04 7.1677554e-05]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_fearful/fearful_person_0011_face0.png,White,White,Male,20-29,"[9.5564073e-01 7.9340849e-04 1.8459816e-02 1.5765584e-04 7.6517597e-04
 5.5536901e-04 2.3627760e-02]",[9.992502e-01 2.474255e-05 7.248764e-05 6.525985e-04],[9.992972e-01 7.028128e-04],"[1.3679607e-06 6.7509434e-05 2.4881877e-02 6.9613022e-01 2.5045431e-01
 2.7329903e-02 1.0828658e-03 4.7687641e-05 4.3490290e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_fearful/fearful_person_0014_face0.png,White,White,Male,30-39,"[9.9896914e-01 2.2417171e-06 6.1623362e-04 3.9666073e-05 5.9824470e-05
 1.9579587e-05 2.9318425e-04]",[9.9907184e-01 1.0198423e-04 3.6636138e-04 4.5986241e-04],[0.9469078  0.05309217],"[3.6410233e-07 6.5053711e-05 5.1956596e-03 2.7997157e-01 6.0923272e-01
 1.0261424e-01 2.8976728e-03 2.0776130e-05 1.8455900e-06]",1,White,20-39
