face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_person/person_0000_face0.png,East Asian,Asian,Female,30-39,"[6.6459348e-04 1.3066225e-06 1.1636279e-02 8.0938816e-01 1.7742817e-01
 5.9697503e-04 2.8440281e-04]",[3.0337858e-03 5.2352539e-06 9.9537206e-01 1.5889346e-03],[9.5175975e-04 9.9904823e-01],"[1.9823318e-07 3.3050306e-05 9.9328915e-03 2.6929092e-01 6.3335299e-01
 8.5149780e-02 2.1629303e-03 7.6882017e-05 4.3656220e-07]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_person/person_0001_face0.png,East Asian,Asian,Female,20-29,"[1.9928838e-04 1.2340209e-06 1.4591338e-03 8.8741547e-01 1.1056547e-01
 3.3827926e-04 2.1148457e-05]",[5.5997544e-03 3.5892612e-05 9.8922324e-01 5.1410901e-03],[6.0988095e-06 9.9999392e-01],"[3.3238039e-09 7.0511851e-05 1.5083541e-01 8.3972651e-01 9.3418080e-03
 2.5713258e-05 1.7142886e-08 5.1086546e-10 4.0784589e-12]",2,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_person/person_0002_face0.png,East Asian,Asian,Female,20-29,"[9.7136671e-04 5.9391964e-06 1.2506556e-02 6.7793554e-01 3.0368587e-01
 4.8057605e-03 8.9015171e-05]",[4.9401163e-03 1.1815267e-04 9.4520384e-01 4.9737845e-02],[8.6718552e-05 9.9991333e-01],"[6.5585766e-08 2.3643594e-05 9.1536846e-03 4.8593730e-01 4.7638461e-01
 2.7845794e-02 6.3675211e-04 1.8017305e-05 1.2165114e-07]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_person/person_0003_face0.png,East Asian,Asian,Female,20-29,"[4.2919785e-04 5.9663370e-07 7.6054153e-04 8.8584834e-01 1.1278345e-01
 1.6368482e-04 1.4186445e-05]",[2.1444459e-03 2.6824817e-05 9.9618000e-01 1.6487612e-03],[1.5974714e-05 9.9998403e-01],"[2.0090651e-08 3.1246958e-04 3.7153563e-01 6.2229562e-01 5.8400952e-03
 1.6183558e-05 1.9627011e-08 1.1405479e-09 1.5635581e-11]",2,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_person/person_0004_face0.png,East Asian,Asian,Female,20-29,"[1.4421723e-03 1.4326996e-07 3.3646950e-04 9.4829035e-01 4.9893599e-02
 2.0794687e-05 1.6407726e-05]",[4.0025571e-03 1.1396535e-07 9.9599236e-01 4.9690516e-06],[2.8232917e-05 9.9997175e-01],"[2.0355795e-08 3.0216528e-04 4.2778203e-01 5.6936765e-01 2.5417942e-03
 6.3200405e-06 3.0974667e-09 2.0670200e-10 2.9863915e-12]",2,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_person/person_0005_face0.png,East Asian,Asian,Male,30-39,"[3.4202934e-05 7.6209808e-08 3.5055327e-05 9.4635898e-01 5.3563576e-02
 7.6969272e-06 4.6361970e-07]",[3.9355884e-05 7.0972624e-07 9.9989742e-01 6.2531959e-05],[9.9999601e-01 3.9936235e-06],"[1.6003698e-07 6.8839981e-06 1.4645064e-03 1.0248118e-01 5.9734017e-01
 2.7092957e-01 2.7003547e-02 7.6921930e-04 4.7910426e-06]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_person/person_0006_face0.png,East Asian,Asian,Female,40-49,"[6.6788064e-04 4.3836199e-06 1.0360844e-02 8.2640988e-01 1.6179840e-01
 5.5720913e-04 2.0146363e-04]",[4.8584053e-03 6.6600609e-05 9.9284607e-01 2.2288612e-03],[2.090880e-04 9.997909e-01],"[1.0786362e-06 1.6170348e-05 3.1747081e-04 1.3875424e-02 2.3336966e-01
 4.9256200e-01 2.2960380e-01 2.9976647e-02 2.7771911e-04]",1,Asian,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_person/person_0007_face0.png,East Asian,Asian,Female,20-29,"[9.0044411e-04 4.0966852e-06 4.3934141e-03 8.7026185e-01 1.2330235e-01
 9.9093071e-04 1.4686662e-04]",[1.3069167e-03 2.0803393e-05 9.9286264e-01 5.8096210e-03],[0.00854393 0.99145603],"[7.0661514e-07 2.4954940e-03 4.8766431e-01 5.0622422e-01 3.6025490e-03
 1.2721043e-05 3.3053240e-08 4.7610218e-09 1.3059070e-10]",2,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_person/person_0008_face0.png,East Asian,Asian,Female,30-39,"[2.8549347e-04 1.2316224e-06 2.0855216e-03 8.9846563e-01 9.8257490e-02
 8.0873008e-04 9.5841366e-05]",[6.6841574e-04 1.4901979e-06 9.9725676e-01 2.0732938e-03],[6.623333e-05 9.999338e-01],"[1.4730962e-07 2.6701395e-05 5.2344394e-03 3.0269405e-01 5.6936443e-01
 1.1879436e-01 3.5947168e-03 2.8893308e-04 2.0901457e-06]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_person/person_0009_face0.png,East Asian,Asian,Female,10-19,"[6.2505488e-04 3.8641610e-06 3.8473269e-03 7.6588482e-01 2.2890523e-01
 6.8265304e-04 5.1011280e-05]",[4.8414841e-03 1.4392583e-04 9.7162956e-01 2.3385048e-02],[6.4726468e-05 9.9993527e-01],"[6.0187411e-08 1.1091328e-03 5.0160080e-01 4.9600154e-01 1.2865424e-03
 1.8932038e-06 1.7299285e-09 1.2614426e-10 2.0511427e-12]",2,Asian,10-19
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_person/person_0010_face0.png,East Asian,Asian,Female,20-29,"[2.5683964e-04 4.8406073e-06 1.5205476e-03 8.9154583e-01 1.0626723e-01
 3.7814360e-04 2.6492533e-05]",[1.7112290e-03 1.6017749e-04 9.9127448e-01 6.8540974e-03],[5.407765e-04 9.994592e-01],"[3.1459336e-07 8.2157284e-04 1.4518322e-01 8.2881749e-01 2.4994690e-02
 1.8205041e-04 5.8600386e-07 3.6017415e-08 5.1499011e-10]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_person/person_0011_face0.png,East Asian,Asian,Female,20-29,"[4.4550613e-04 2.6311304e-06 2.9680447e-03 7.8414983e-01 2.1123616e-01
 1.0865068e-03 1.1124097e-04]",[2.3753538e-04 4.9156724e-06 9.9905705e-01 7.0054602e-04],[6.6974544e-06 9.9999332e-01],"[2.2731564e-08 7.5977849e-04 4.7797993e-01 5.2019215e-01 1.0666574e-03
 1.3863767e-06 8.4020335e-10 4.7223839e-11 8.3601306e-13]",2,Asian,20-39
