face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_happy/happy_person_0000_face0.png,Indian,Indian,Female,10-19,"[3.1990435e-02 8.7195466e-04 3.0727160e-01 3.4016136e-06 1.0324439e-04
 6.5470076e-01 5.0586052e-03]",[7.7061228e-02 5.1364959e-03 1.4328427e-04 9.1765898e-01],[0.0484899 0.9515101],"[1.0477688e-06 2.5761070e-02 8.9493126e-01 7.4941039e-02 4.1986108e-03
 1.6403520e-04 2.6879575e-06 1.6735146e-07 9.7251140e-09]",2,Others,10-19
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_happy/happy_person_0001_face0.png,Latino_Hispanic,Indian,Male,30-39,"[2.8746840e-02 1.3171233e-02 4.9213076e-01 4.6459847e-04 5.2376650e-03
 4.5570207e-01 4.5468211e-03]",[0.01016625 0.01844001 0.00646498 0.96492875],[9.9972039e-01 2.7966948e-04],"[4.4398339e-06 2.1933859e-04 5.7809721e-03 2.3456681e-01 5.9412938e-01
 1.5727058e-01 7.7531599e-03 2.6511916e-04 1.0166787e-05]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_happy/happy_person_0002_face0.png,White,White,Male,30-39,"[8.47137809e-01 1.15599809e-02 1.11676686e-01 6.09643666e-06
 2.64649243e-05 8.55634268e-03 2.10365038e-02]",[0.9120203  0.01584856 0.001769   0.07036209],[0.99898374 0.00101625],"[9.8717862e-07 4.2582033e-05 4.5903721e-03 3.1090701e-01 5.8410001e-01
 9.6461259e-02 3.8612024e-03 3.5793419e-05 7.3781587e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_happy/happy_person_0003_face0.png,White,White,Male,20-29,"[9.9004161e-01 3.9802158e-05 8.5472874e-03 1.5098078e-05 3.7159563e-05
 4.1068185e-04 9.0847950e-04]",[9.9910194e-01 8.6438675e-05 1.2617125e-04 6.8537449e-04],[9.9911493e-01 8.8506483e-04],"[1.8398826e-07 1.3123443e-05 4.1448236e-03 4.7632828e-01 4.6208683e-01
 5.5894349e-02 1.5142455e-03 1.7595919e-05 6.0748425e-07]",2,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_happy/happy_person_0004_face0.png,White,White,Female,50-59,"[9.8183745e-01 1.9736357e-05 1.0019685e-02 5.9804799e-05 7.1026545e-05
 6.8546906e-05 7.9237670e-03]",[9.9973106e-01 7.0643141e-06 2.5244657e-04 9.3628578e-06],[1.9305012e-04 9.9980700e-01],"[2.5861527e-07 2.1301646e-06 3.2929576e-05 6.7631953e-04 2.3825882e-02
 2.7639702e-01 4.5238847e-01 2.0633921e-01 4.0337734e-02]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_happy/happy_person_0005_face0.png,Indian,Indian,Male,20-29,"[2.86183989e-04 1.60848442e-03 9.90541652e-03 1.26158159e-06
 1.08508495e-04 9.83576536e-01 4.51364368e-03]",[4.2779485e-04 5.3255530e-03 3.3923483e-04 9.9390739e-01],[9.9999934e-01 6.4166721e-07],"[1.6387901e-06 8.0755731e-04 1.5927272e-01 6.1603642e-01 1.9668728e-01
 2.6489809e-02 6.7785411e-04 2.6241954e-05 4.6934122e-07]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_happy/happy_person_0006_face0.png,White,White,Female,20-29,"[9.9024779e-01 5.3183372e-05 5.6352508e-03 3.3720166e-06 9.5650694e-06
 9.1826521e-05 3.9589903e-03]",[9.9896210e-01 2.5659398e-04 1.8152008e-05 7.6312717e-04],[0.08768383 0.9123162 ],"[1.7651890e-07 1.1071742e-04 6.1487813e-02 7.3326743e-01 1.9574045e-01
 9.1905398e-03 1.9724559e-04 5.4206671e-06 2.4425580e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_happy/happy_person_0007_face0.png,Latino_Hispanic,Indian,Male,30-39,"[7.0620611e-02 5.4005939e-03 4.3053302e-01 1.5338241e-04 1.0458084e-03
 3.1913692e-01 1.7310973e-01]",[0.0733518  0.02002775 0.01490432 0.8917161 ],[9.9955076e-01 4.4921646e-04],"[2.4969953e-05 2.8784701e-04 2.7043740e-03 1.0612281e-01 5.9974402e-01
 2.7377409e-01 1.7124113e-02 2.1171654e-04 6.0459597e-06]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_happy/happy_person_0008_face0.png,White,White,Female,20-29,"[5.8749688e-01 1.3052142e-04 2.8347206e-01 1.8174946e-04 9.1011415e-04
 3.8780935e-02 8.9027688e-02]",[9.7158575e-01 3.0566633e-04 9.9131407e-04 2.7117280e-02],[1.1837471e-04 9.9988163e-01],"[2.1958968e-08 1.4949281e-04 1.1037107e-01 7.8019625e-01 1.0715082e-01
 2.1254318e-03 6.8263344e-06 1.3932244e-07 3.8379078e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_happy/happy_person_0009_face0.png,Indian,Indian,Male,20-29,"[2.7022078e-03 1.2739282e-03 9.2067823e-02 5.0217455e-04 5.8741062e-03
 8.9620823e-01 1.3715673e-03]",[4.6358656e-04 4.7352817e-03 3.5832669e-03 9.9121785e-01],[9.9990731e-01 9.2642455e-05],"[3.6254011e-07 1.7168527e-04 1.1711903e-01 7.8711426e-01 9.0241477e-02
 5.1911129e-03 1.5290106e-04 8.8618690e-06 2.7570576e-07]",0,Others,20-39
