face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_sad/sad_person_0000_face0.png,White,White,Male,30-39,"[9.5720631e-01 1.7521246e-05 3.2307453e-02 2.0069396e-04 1.8549305e-04
 4.7439663e-04 9.6081058e-03]",[9.9735922e-01 2.1362626e-05 1.2596537e-03 1.3597222e-03],[0.8396664 0.1603336],"[5.3423247e-07 6.0694751e-06 1.2245442e-03 1.0354717e-01 6.5159273e-01
 2.3858207e-01 4.9992455e-03 4.6601705e-05 1.0356397e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_sad/sad_person_0001_face0.png,White,White,Male,20-29,"[8.3930153e-01 4.5191409e-04 6.4773925e-02 8.9199835e-04 1.4447111e-03
 1.1048244e-03 9.2031084e-02]",[9.8481417e-01 3.0119947e-04 5.3914567e-03 9.4931377e-03],[9.9995208e-01 4.7900336e-05],"[4.2050470e-07 4.7729859e-06 1.4203978e-02 5.4761517e-01 3.6402658e-01
 6.9564514e-02 4.4450285e-03 1.3630008e-04 3.2004029e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_sad/sad_person_0002_face0.png,White,White,Female,20-29,"[9.7747695e-01 3.4921992e-04 1.2978581e-02 2.5538498e-04 1.5216165e-04
 3.8729183e-04 8.4004616e-03]",[0.978974   0.00436285 0.00429651 0.01236667],[0.35851282 0.6414872 ],"[1.2990863e-06 3.4792506e-04 7.3414244e-02 6.1905408e-01 2.8508633e-01
 2.1678235e-02 4.0708264e-04 9.9431245e-06 7.6028681e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_sad/sad_person_0003_face0.png,White,White,Male,50-59,"[0.79078305 0.00370144 0.02918175 0.00529401 0.01204561 0.00139133
 0.15760282]",[9.8782122e-01 6.4116326e-04 7.4181543e-03 4.1195033e-03],[9.9982786e-01 1.7214243e-04],"[7.0580107e-05 6.2329513e-05 4.9254566e-04 2.5681453e-03 2.2280399e-02
 1.3931978e-01 4.0938532e-01 3.7594298e-01 4.9877830e-02]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_sad/sad_person_0004_face0.png,White,White,Male,30-39,"[9.9616045e-01 2.9759693e-05 1.9721158e-03 2.5526035e-06 8.6802002e-06
 5.6307104e-05 1.7701511e-03]",[9.9962366e-01 4.2918997e-05 2.1347989e-04 1.1990350e-04],[9.9901646e-01 9.8350982e-04],"[4.0946597e-07 4.8673232e-06 1.3182987e-03 1.5793575e-01 5.8968067e-01
 2.3806556e-01 1.2706516e-02 2.7503748e-04 1.2960555e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_sad/sad_person_0005_face0.png,White,White,Male,30-39,"[5.7428944e-01 7.0509559e-04 2.1953799e-01 7.3225448e-05 2.5928931e-04
 5.3852177e-03 1.9974974e-01]",[9.7391480e-01 8.5804414e-04 7.9216476e-04 2.4435055e-02],[9.9999917e-01 8.3560172e-07],"[1.3400523e-07 1.1676096e-06 1.0999111e-03 2.3506752e-01 6.4830083e-01
 1.1259516e-01 2.9116224e-03 2.3392460e-05 2.9459332e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_sad/sad_person_0006_face0.png,Middle Eastern,White,Male,20-29,"[4.1203156e-01 3.8101748e-02 1.2213659e-01 1.6919045e-04 1.1667933e-03
 9.3298862e-03 4.1706419e-01]",[0.6033161  0.03388192 0.02334526 0.33945665],[9.9942225e-01 5.7768845e-04],"[6.8651707e-07 4.3268246e-05 7.7810794e-02 7.0960534e-01 1.7981490e-01
 2.9421801e-02 3.0817802e-03 2.1325710e-04 8.1083908e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_sad/sad_person_0007_face0.png,White,White,Male,40-49,"[5.6291676e-01 2.5839750e-03 1.7750914e-01 2.4580306e-04 1.0729331e-03
 8.9781307e-02 1.6588999e-01]",[0.6933939  0.00176036 0.01670828 0.28813744],[0.92228967 0.07771035],"[9.4655634e-06 4.0390642e-05 2.7839306e-03 5.1810049e-02 2.2343953e-01
 4.3838653e-01 2.5121281e-01 2.9451445e-02 2.8658577e-03]",1,White,40-59
/scratch/project_462001220/mengting/projects_771/bias/SD3/prompt2/complete_selected_faces/detected_sad/0008_face0.png,White,White,Male,40-49,"[9.5378113e-01 3.0675285e-05 3.0349098e-02 4.2035721e-05 7.1814771e-05
 7.2811305e-04 1.4997152e-02]",[9.9953938e-01 1.2776291e-05 1.5566290e-04 2.9221229e-04],[0.84490925 0.15509067],"[1.00801060e-06 3.72912928e-06 1.91644795e-04 8.56088381e-03
 2.39749715e-01 6.27588272e-01 1.21491686e-01 2.36687437e-03
 4.61970776e-05]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_sad/sad_person_0009_face0.png,White,White,Male,20-29,"[7.2118694e-01 1.6887563e-04 1.9072208e-01 1.5289970e-03 4.3476517e-03
 6.4619929e-03 7.5583443e-02]",[9.9656653e-01 1.0349651e-05 1.1387360e-03 2.2844363e-03],[9.9999714e-01 2.9178534e-06],"[8.8066912e-07 6.4108877e-05 5.3387329e-02 6.4681381e-01 2.8148615e-01
 1.7995875e-02 2.4870128e-04 3.0716362e-06 4.8637137e-08]",1,White,20-39
