face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces_appa/006158_face0.jpg,White,White,Male,50-59,"[9.9809951e-01 3.5148261e-07 1.4863561e-04 7.2810872e-07 1.5150730e-06
 1.5544530e-05 1.7336822e-03]",[9.9999160e-01 1.0735788e-07 1.5892131e-06 6.6934181e-06],[9.9911416e-01 8.8587706e-04],"[2.6836858e-06 2.2680688e-06 4.3418000e-05 1.2506686e-04 1.6864398e-03
 3.5381485e-02 5.7001287e-01 3.5284299e-01 3.9902791e-02]"
detected_faces_appa/001556_face0.jpg,White,White,Female,20-29,"[8.4790891e-01 1.0842570e-05 5.3757946e-03 4.3971537e-05 2.4815721e-05
 4.6628190e-04 1.4616936e-01]",[9.9384832e-01 6.7140808e-04 6.7003549e-04 4.8102494e-03],[6.1517704e-04 9.9938482e-01],"[5.9927146e-08 1.5371357e-05 1.0433681e-02 6.4434123e-01 3.1797951e-01
 2.6680674e-02 5.3544278e-04 1.3645367e-05 3.7447467e-07]"
detected_faces_appa/001467_face0.jpg,White,White,Female,20-29,"[8.8137478e-01 9.5765063e-06 2.4538023e-02 7.4370223e-04 3.6165075e-04
 1.0160502e-03 9.1956250e-02]",[9.9856669e-01 2.1864878e-05 4.5752642e-04 9.5388893e-04],[9.4630093e-07 9.9999905e-01],"[5.14484455e-10 2.35737243e-05 1.82383403e-01 7.92801619e-01
 2.46889703e-02 1.02438855e-04 7.14581176e-08 8.36414604e-10
 1.52596408e-11]"
detected_faces_appa/007092_face0.jpg,East Asian,Asian,Female,30-39,"[1.2946109e-03 1.0779229e-04 1.5059829e-03 8.9864784e-01 9.8253690e-02
 6.1975821e-05 1.2810981e-04]",[1.8912915e-02 1.7482938e-03 9.7921437e-01 1.2443775e-04],[0.16430758 0.8356924 ],"[1.2580546e-06 8.8458830e-05 2.1743253e-02 4.0146917e-01 4.9500987e-01
 7.8628242e-02 2.8061396e-03 2.4775375e-04 5.7729999e-06]"
detected_faces_appa/004438_face0.jpg,East Asian,White,Female,10-19,"[0.35032904 0.00222312 0.05409978 0.41839284 0.06232797 0.00102423
 0.11160303]",[0.3955613  0.196793   0.35175252 0.05589317],[0.11922927 0.88077074],"[5.9994718e-06 6.2916346e-02 9.0387321e-01 3.1671878e-02 1.4924248e-03
 3.8334212e-05 1.6193013e-06 2.0412720e-07 2.4115002e-08]"
detected_faces_appa/005888_face0.jpg,White,White,Male,30-39,"[9.9437749e-01 8.3181321e-06 2.8913543e-03 9.6510317e-05 1.6671263e-04
 2.2210243e-04 2.2374738e-03]",[9.9790466e-01 4.5404871e-05 1.8348858e-03 2.1504160e-04],[9.9931961e-01 6.8034953e-04],"[2.9893904e-06 2.3332796e-05 8.7346759e-04 1.1393108e-01 6.8234110e-01
 1.9928868e-01 3.5216245e-03 1.7167607e-05 5.7732478e-07]"
detected_faces_appa/005732_face0.jpg,White,White,Female,70+,"[7.2426516e-01 2.4464447e-03 6.8172887e-02 4.2899695e-04 1.6108933e-03
 7.6024763e-02 1.2705082e-01]",[9.9441195e-01 5.4939248e-04 1.7785769e-03 3.2600875e-03],[0.02589345 0.9741065 ],"[5.8073310e-06 3.7462338e-05 6.3130035e-05 4.4814809e-05 2.4560373e-04
 2.3370998e-03 3.1472243e-02 1.8182227e-01 7.8397161e-01]"
detected_faces_appa/003643_face0.jpg,White,White,Female,30-39,"[9.8343611e-01 2.9288601e-06 1.0169366e-02 1.6237139e-04 1.8969868e-04
 1.2549241e-04 5.9139994e-03]",[9.9805814e-01 3.7133013e-05 8.8491739e-04 1.0198852e-03],[4.752157e-05 9.999525e-01],"[3.9499913e-08 2.6557826e-05 1.3346072e-02 3.9849511e-01 4.7760868e-01
 1.0933165e-01 1.1659827e-03 2.5127567e-05 7.8360296e-07]"
detected_faces_appa/004769_face0.jpg,White,White,Male,40-49,"[9.9986106e-01 2.9369346e-07 7.5833603e-05 3.4446083e-07 8.8352988e-07
 8.9671412e-06 5.2637963e-05]",[9.9690884e-01 2.9641144e-05 2.1736256e-03 8.8791945e-04],[9.9999875e-01 1.2960519e-06],"[3.0291463e-07 1.9059900e-06 4.4674736e-05 4.1912377e-04 2.8273333e-02
 5.2298671e-01 4.4705555e-01 1.2056750e-03 1.2778889e-05]"
detected_faces_appa/000696_face0.jpg,Southeast Asian,Asian,Male,20-29,"[0.00211152 0.04747105 0.11282481 0.0579383  0.7462725  0.03258474
 0.00079712]",[0.00737557 0.07654278 0.6921463  0.2239353 ],[0.93099385 0.0690061 ],"[2.80859622e-05 4.38125525e-03 2.21318200e-01 6.24880314e-01
 1.40069917e-01 8.97687860e-03 3.30178969e-04 1.41877645e-05
 8.67897427e-07]"
