face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_happy/happy_person_0000_face0.png,Southeast Asian,Asian,Female,20-29,"[0.087368   0.0006435  0.2290212  0.1514851  0.52854973 0.00216702
 0.00076544]",[2.2743817e-02 3.6470729e-04 9.7497308e-01 1.9184125e-03],[0.0203593 0.9796407],"[1.2140754e-07 1.9422694e-04 1.3397206e-01 6.5574068e-01 2.0443186e-01
 5.6026289e-03 5.7320711e-05 1.1384260e-06 3.5800728e-08]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_happy/happy_person_0001_face0.png,Southeast Asian,Asian,Male,20-29,"[0.00846263 0.00292391 0.18926838 0.19768363 0.5782019  0.02165251
 0.00180701]",[0.00492737 0.00665994 0.8879675  0.10044514],[1.000000e+00 3.860554e-08],"[1.9397957e-07 5.4784061e-05 2.1784270e-02 8.0094898e-01 1.7060249e-01
 6.5366626e-03 7.1044844e-05 1.6054234e-06 1.8568175e-08]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_happy/happy_person_0002_face0.png,Southeast Asian,Asian,Female,20-29,"[2.2111451e-03 8.8431421e-05 4.8932184e-02 2.2708102e-01 7.1632433e-01
 5.2773976e-03 8.5569052e-05]",[9.6741237e-04 1.9479083e-05 9.8970187e-01 9.3112616e-03],[3.3268033e-04 9.9966729e-01],"[6.4754737e-08 7.1423600e-04 3.6385006e-01 6.2437391e-01 1.1020507e-02
 4.1247669e-05 5.2411288e-08 2.7800153e-09 5.3804437e-11]",2,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_happy/happy_person_0003_face0.png,White,White,Male,20-29,"[9.3898493e-01 1.2065183e-03 5.3985547e-02 9.6389682e-05 5.3194602e-04
 4.2322211e-04 4.7714226e-03]",[0.9046098  0.01778788 0.02056626 0.05703613],[0.65860146 0.34139857],"[1.9827837e-07 6.7923462e-04 4.0056396e-01 5.6662792e-01 3.1422518e-02
 6.9769920e-04 8.1310809e-06 3.2762426e-07 1.5681438e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_happy/happy_person_0004_face0.png,Latino_Hispanic,Indian,Male,20-29,"[0.03149911 0.12169632 0.683288   0.00109836 0.02566838 0.075073
 0.0616769 ]",[0.01344038 0.10312948 0.07375376 0.8096764 ],[9.9999523e-01 4.7656349e-06],"[2.2719430e-06 3.5530934e-03 4.6332341e-01 4.8850816e-01 4.2288188e-02
 2.2683584e-03 5.4517015e-05 1.9432848e-06 5.2210030e-08]",2,Others,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_happy/happy_person_0005_face0.png,Latino_Hispanic,Indian,Male,10-19,"[0.04087185 0.00928578 0.5677592  0.03682385 0.2029416  0.10601833
 0.03629936]",[0.03917256 0.11181581 0.05830066 0.790711  ],[0.9979948  0.00200529],"[1.1622978e-06 2.8590538e-02 8.6749572e-01 1.0340350e-01 5.0431956e-04
 4.7751041e-06 1.9206690e-08 1.6698767e-09 6.5420037e-11]",2,Others,10-19
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_happy/happy_person_0006_face0.png,Southeast Asian,Asian,Male,20-29,"[2.7999091e-03 1.3571786e-03 6.6696882e-02 2.8163266e-01 6.4348537e-01
 3.4346911e-03 5.9335929e-04]",[0.0028791  0.00359296 0.9115221  0.08200584],[1.000000e+00 4.701481e-09],"[5.1231262e-07 5.0043363e-05 7.0267566e-03 4.9687371e-01 4.4045186e-01
 5.2376118e-02 3.1185208e-03 1.0151260e-04 1.0140481e-06]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_happy/happy_person_0007_face0.png,White,White,Male,20-29,"[6.7719603e-01 1.0711291e-03 1.6155821e-01 7.0674811e-05 6.1678264e-04
 9.3805045e-03 1.5010655e-01]",[0.91745305 0.00444055 0.03486879 0.04323759],[9.9987817e-01 1.2179016e-04],"[7.33755144e-07 8.50231081e-05 3.02835740e-02 6.38944089e-01
 3.04736316e-01 2.52642073e-02 6.72412512e-04 1.34231705e-05
 2.86957061e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_happy/happy_person_0008_face0.png,Indian,Indian,Male,20-29,"[1.1492039e-03 2.3743536e-01 1.0529967e-01 1.3737055e-04 6.7518330e-03
 6.3870966e-01 1.0516931e-02]",[7.148918e-04 8.384409e-02 7.352117e-03 9.080889e-01],[9.9999303e-01 7.0033707e-06],"[6.5761860e-06 1.7656706e-03 1.4379025e-01 6.3709313e-01 1.9483341e-01
 2.1631714e-02 7.9588429e-04 8.1163096e-05 2.1231153e-06]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_happy/happy_person_0009_face0.png,Latino_Hispanic,Indian,Male,20-29,"[0.04406508 0.03972371 0.5817484  0.0010931  0.02448798 0.27640325
 0.0324784 ]",[0.02089216 0.11962398 0.01488311 0.8446008 ],[9.99999881e-01 1.14587515e-07],"[3.0819501e-07 2.2704537e-04 6.9265604e-02 7.8808111e-01 1.3642338e-01
 5.8631077e-03 1.3686974e-04 2.6034490e-06 3.2570711e-08]",1,Others,20-39
