face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_surprised/surprised_person_0000_face0.png,East Asian,Asian,Male,20-29,"[7.2230434e-04 1.8881183e-05 1.6529718e-02 7.1938723e-01 2.6204330e-01
 9.4113848e-04 3.5731561e-04]",[7.0780056e-04 1.9106900e-04 9.8975366e-01 9.3474193e-03],[9.9998993e-01 1.0082427e-05],"[1.6636205e-08 1.2973031e-06 6.0261898e-03 7.4726093e-01 2.3797312e-01
 8.5787224e-03 1.4999334e-04 9.5029391e-06 1.6630409e-07]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_surprised/surprised_person_0001_face0.png,White,White,Male,20-29,"[9.9954760e-01 3.7596661e-07 1.6378103e-04 1.5934996e-06 2.6417226e-06
 2.2884336e-05 2.6114626e-04]",[9.9584657e-01 1.1549271e-05 3.4406447e-05 4.1075414e-03],[9.9964517e-01 3.5484158e-04],"[8.71226788e-08 2.70339387e-06 1.01497222e-03 5.64813316e-01
 4.21628624e-01 1.24984076e-02 4.15466457e-05 2.54192145e-07
 1.08079705e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_surprised/surprised_person_0002_face0.png,Middle Eastern,Indian,Male,20-29,"[3.5905886e-01 9.4007359e-05 9.6445821e-02 1.8662256e-05 1.0928011e-04
 2.6204212e-02 5.1806915e-01]",[0.43049124 0.00160976 0.00181467 0.5660843 ],[9.9999630e-01 3.6852537e-06],"[5.6201753e-08 8.1018061e-06 7.3208772e-03 7.4291712e-01 2.4580459e-01
 3.9419187e-03 7.2157322e-06 9.2001684e-08 1.2566771e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_surprised/surprised_person_0003_face0.png,White,White,Male,30-39,"[5.55713952e-01 2.33185897e-03 1.22162394e-01 8.66976188e-06
 7.10656386e-05 8.24428443e-03 3.11467767e-01]",[9.8852497e-01 3.1552374e-04 6.5446331e-04 1.0505013e-02],[9.9999774e-01 2.2496847e-06],"[4.6475165e-08 9.3474438e-07 3.6144833e-04 2.8091535e-01 6.9080889e-01
 2.7796315e-02 1.1604149e-04 9.2573208e-07 1.4969288e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_surprised/surprised_person_0004_face0.png,Middle Eastern,White,Male,20-29,"[1.4887221e-01 5.1216626e-05 4.1627780e-02 7.0542810e-06 2.9638177e-05
 9.3673933e-03 8.0004472e-01]",[9.7992545e-01 6.9471003e-05 2.5294586e-03 1.7475493e-02],[9.9978638e-01 2.1363846e-04],"[7.8473569e-08 7.0885253e-05 1.1689491e-01 8.5653931e-01 2.6236754e-02
 2.5745871e-04 6.4954088e-07 2.5543759e-08 6.2208844e-10]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_surprised/surprised_person_0005_face0.png,White,White,Male,20-29,"[9.9509978e-01 1.6735579e-05 3.2509442e-03 1.3780941e-05 2.8676066e-05
 4.0096940e-05 1.5499451e-03]",[9.98571873e-01 2.01685936e-04 1.09860644e-04 1.11653539e-03],[9.9997926e-01 2.0701484e-05],"[3.7551744e-09 1.3668468e-06 3.4106217e-02 9.1820884e-01 4.6957720e-02
 7.1796437e-04 7.7184586e-06 1.6222306e-07 5.3333373e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_surprised/surprised_person_0006_face0.png,White,White,Male,20-29,"[6.79779172e-01 3.17239464e-04 3.30765024e-02 1.62631716e-03
 1.32598716e-03 1.31015675e-02 2.70773202e-01]",[0.616884   0.0029213  0.01785398 0.36234072],[9.9970394e-01 2.9608348e-04],"[7.5835675e-07 1.4602849e-05 2.3989745e-03 6.1393791e-01 3.7627229e-01
 7.3434743e-03 3.1446434e-05 6.0511428e-07 1.9941547e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_surprised/surprised_person_0007_face0.png,White,White,Male,20-29,"[9.9005526e-01 9.3894632e-05 3.9446694e-03 6.7885252e-05 1.3365566e-04
 2.6130653e-04 5.4433839e-03]",[9.9440700e-01 9.9181035e-04 1.0229318e-03 3.5781937e-03],[9.9964488e-01 3.5509389e-04],"[5.8344337e-08 2.8510915e-06 2.5316479e-03 5.0451744e-01 4.6357474e-01
 2.9018281e-02 3.5020505e-04 4.7034846e-06 1.5656174e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_surprised/surprised_person_0008_face0.png,White,White,Male,20-29,"[9.6649492e-01 8.1331573e-06 6.1796899e-03 5.9560447e-05 8.1787279e-05
 1.3513904e-04 2.7040875e-02]",[9.8641098e-01 9.7116521e-05 3.6168364e-03 9.8750480e-03],[9.9999303e-01 6.9690477e-06],"[7.6162179e-09 3.9023899e-07 1.3846835e-03 7.4385625e-01 2.5131464e-01
 3.4334224e-03 1.0456363e-05 8.9696435e-08 1.8846067e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_surprised/surprised_person_0009_face0.png,White,White,Male,20-29,"[9.64189410e-01 2.57561333e-05 1.74797866e-02 1.51085205e-05
 3.80474194e-05 4.28579282e-04 1.78232528e-02]",[9.9107188e-01 4.5967384e-04 1.1707586e-03 7.2976099e-03],[9.9994296e-01 5.7027377e-05],"[4.4442552e-09 8.2433314e-07 8.1346277e-03 8.9426798e-01 9.6816309e-02
 7.7774428e-04 2.5225834e-06 4.1746478e-08 9.0114355e-10]",1,White,20-39
