face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_sad/sad_person_0000_face0.png,White,White,Female,20-29,"[8.48419070e-01 4.03684226e-06 1.95000544e-02 1.00314544e-04
 1.67598089e-04 2.54854560e-04 1.31554112e-01]",[9.9856222e-01 1.8083550e-05 2.4506915e-04 1.1746333e-03],[0.01607606 0.983924  ],"[2.4668438e-07 4.1062427e-05 2.0952089e-02 5.0511932e-01 4.4128320e-01
 3.2231424e-02 3.6444078e-04 7.9256624e-06 2.4767067e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_sad/sad_person_0001_face0.png,White,White,Female,20-29,"[8.7335640e-01 4.7075238e-05 8.6933844e-02 6.9096946e-04 4.8803413e-04
 7.6987088e-04 3.7713811e-02]",[9.9359196e-01 8.7761506e-04 3.1407571e-03 2.3895947e-03],[0.00495831 0.99504167],"[1.9250496e-08 2.0549163e-05 4.5148399e-02 7.6134342e-01 1.8793043e-01
 5.5223620e-03 3.3856635e-05 8.7568503e-07 3.6138012e-08]",2,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_sad/sad_person_0002_face0.png,White,White,Female,30-39,"[8.1764787e-01 3.3018502e-04 1.1166074e-01 1.8850710e-03 3.3343793e-03
 5.6184125e-03 5.9523355e-02]",[0.975736   0.00105247 0.00143584 0.02177568],[0.0108117 0.9891883],"[5.5053067e-07 4.2056872e-05 8.5062338e-03 3.7011090e-01 5.6189770e-01
 5.7307370e-02 2.0392393e-03 9.1150665e-05 4.6749915e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_sad/sad_person_0003_face0.png,White,White,Female,20-29,"[9.20870125e-01 4.15244831e-05 6.37858286e-02 1.50229185e-04
 1.02152015e-04 8.18748202e-04 1.42313745e-02]",[9.9966216e-01 7.5541924e-05 1.0365953e-04 1.5865201e-04],[0.00243553 0.99756444],"[8.8768992e-09 3.1963380e-05 7.3343053e-02 8.0796510e-01 1.1702288e-01
 1.6318631e-03 5.0093154e-06 5.9442321e-08 2.2533493e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_sad/sad_person_0004_face0.png,White,White,Female,20-29,"[9.9095672e-01 4.3619522e-05 7.2204703e-03 2.3899733e-05 5.3969976e-05
 1.2973291e-04 1.5716557e-03]",[9.98414814e-01 3.26112146e-04 1.21407895e-04 1.13758433e-03],[0.40654165 0.59345835],"[5.6629791e-08 4.3666960e-06 5.2003413e-03 5.3433996e-01 4.3183425e-01
 2.8190365e-02 4.2300383e-04 7.3440069e-06 3.1595260e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_sad/sad_person_0005_face0.png,White,White,Male,20-29,"[9.9500883e-01 3.9639745e-05 3.6867796e-03 1.0457931e-05 2.1633936e-05
 3.8306367e-05 1.1942793e-03]",[9.9978817e-01 4.0325860e-05 1.0061094e-04 7.0918206e-05],[0.9015561 0.0984439],"[5.0893110e-08 1.0419663e-05 8.7309247e-03 6.2720042e-01 3.5397071e-01
 1.0016999e-02 6.9356458e-05 9.7889642e-07 6.2251083e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_sad/sad_person_0006_face0.png,White,White,Female,20-29,"[7.6331240e-01 4.6246150e-06 1.9996597e-02 6.7076391e-05 1.2674190e-04
 1.3086720e-03 2.1518384e-01]",[9.9135941e-01 1.0324375e-05 3.4702945e-04 8.2832845e-03],[0.00307663 0.9969234 ],"[7.2417514e-08 6.3489160e-06 7.8258822e-03 5.7699323e-01 3.8378358e-01
 3.0718103e-02 6.5274286e-04 1.9421617e-05 6.6846889e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_sad/sad_person_0007_face0.png,White,White,Female,20-29,"[9.8399657e-01 2.3904251e-05 2.8311475e-03 2.4260042e-05 3.6261648e-05
 1.6752325e-04 1.2920379e-02]",[9.9892533e-01 8.1683604e-05 7.5471973e-05 9.1759261e-04],[0.4892552  0.51074487],"[2.3173951e-07 1.1734947e-05 6.2891087e-03 5.7750744e-01 3.6442706e-01
 4.9901117e-02 1.7543660e-03 9.9656623e-05 9.2663022e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_sad/sad_person_0008_face0.png,White,White,Female,30-39,"[0.38267854 0.00341389 0.2178543  0.20107019 0.13416328 0.00867605
 0.05214374]",[0.9020421  0.01323103 0.02564029 0.05908664],[9.812430e-04 9.990187e-01],"[6.4889190e-07 9.3661647e-06 1.3690536e-03 9.6635625e-02 4.8399851e-01
 3.7221962e-01 4.3246888e-02 2.4513754e-03 6.8988404e-05]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_sad/sad_person_0009_face0.png,White,White,Male,30-39,"[9.8084050e-01 6.1754312e-05 1.6241068e-02 4.0588595e-05 8.2349688e-05
 4.8031789e-04 2.2533839e-03]",[9.9972469e-01 2.4050481e-05 2.0478194e-05 2.3074183e-04],[0.9971185  0.00288155],"[1.8122849e-07 6.0139282e-06 2.5580702e-03 3.9740032e-01 5.6663531e-01
 3.3124488e-02 2.7320784e-04 2.3178118e-06 6.6525494e-08]",1,White,20-39
