face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0000_face0.png,White,White,Male,30-39,"[7.4522036e-01 5.0123010e-05 9.7760230e-02 1.9056153e-05 4.9026879e-05
 2.9905487e-02 1.2699573e-01]",[0.55104834 0.0048394  0.00100283 0.44310945],[9.9998254e-01 1.7437291e-05],"[7.6378676e-08 2.5397017e-07 3.9078834e-05 2.0580828e-02 5.8354962e-01
 3.8425750e-01 1.1537804e-02 3.4370325e-05 4.3721704e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0001_face0.png,Middle Eastern,White,Male,30-39,"[0.28272364 0.00262847 0.16570278 0.00218043 0.00300097 0.0192271
 0.5245367 ]",[9.6731430e-01 2.4420512e-04 2.4474423e-02 7.9669571e-03],[9.9999660e-01 3.4153265e-06],"[2.5957970e-06 1.0215234e-05 3.8273656e-04 1.4882876e-01 7.2266138e-01
 1.2659366e-01 1.5050679e-03 1.5294931e-05 2.2512052e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0002_face0.png,White,Asian,Male,40-49,"[0.5634845  0.00473177 0.20627792 0.0223984  0.03142991 0.01592579
 0.15575173]",[0.42490423 0.00067974 0.5706092  0.00380681],[9.9994349e-01 5.6454344e-05],"[1.2173843e-04 5.3257862e-04 6.4237220e-03 7.4563414e-02 2.3980021e-01
 4.2243722e-01 2.3099072e-01 2.4032028e-02 1.0983896e-03]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0003_face0.png,White,White,Male,30-39,"[0.503864   0.00345558 0.14211461 0.19948158 0.0869496  0.00908919
 0.05504549]",[0.5153121  0.00478535 0.47333828 0.00656435],[9.9999768e-01 2.2919878e-06],"[9.5066451e-07 4.8947427e-06 2.7929380e-04 1.3307188e-01 6.9767618e-01
 1.6286589e-01 5.9965309e-03 1.0254514e-04 1.8051371e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0004_face0.png,Latino_Hispanic,White,Male,30-39,"[4.4129196e-01 1.2389708e-03 4.8826581e-01 2.4776827e-04 5.4883328e-04
 1.8855730e-02 4.9550854e-02]",[9.1907114e-01 7.7444699e-04 4.6041626e-03 7.5550295e-02],[9.9998802e-01 1.1999374e-05],"[7.2123880e-06 5.2041065e-05 1.3447272e-03 4.7564443e-02 6.0371381e-01
 3.3172813e-01 1.5508366e-02 8.0471051e-05 8.5406401e-07]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0005_face0.png,Latino_Hispanic,White,Male,30-39,"[0.2759538  0.00055986 0.3418606  0.00041715 0.00104376 0.09171921
 0.28844568]",[0.8054878  0.00870989 0.02341521 0.1623871 ],[9.9991900e-01 8.1048485e-05],"[2.4488156e-06 9.4917941e-06 1.6062401e-04 2.4591364e-02 5.9067178e-01
 3.7516847e-01 9.3661286e-03 2.9426914e-05 2.9973731e-07]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0006_face0.png,White,White,Male,40-49,"[9.7299427e-01 9.1197971e-06 1.4834647e-03 4.2634230e-05 6.3596417e-05
 1.9467062e-04 2.5212238e-02]",[9.9826515e-01 1.2781708e-04 2.1990640e-04 1.3871293e-03],[0.9981502  0.00184981],"[1.8631407e-06 6.8601939e-06 1.1869879e-04 7.5716753e-03 2.7387613e-01
 6.6880548e-01 4.8929874e-02 6.6397875e-04 2.5528889e-05]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0007_face0.png,White,White,Male,30-39,"[9.3545169e-01 7.4600657e-06 1.0354796e-02 4.5995362e-06 1.0896622e-05
 7.1320665e-04 5.3457398e-02]",[9.9774212e-01 2.5878428e-06 1.3996604e-04 2.1153702e-03],[9.9999982e-01 1.3922573e-07],"[5.5353526e-09 2.3990948e-08 1.0861437e-05 2.3941351e-02 7.7222013e-01
 2.0244054e-01 1.3851690e-03 1.9442141e-06 8.9223127e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0008_face0.png,White,White,Male,40-49,"[5.8041877e-01 2.8163736e-04 1.6462725e-01 1.2271834e-03 1.4740352e-03
 3.9451229e-03 2.4802598e-01]",[8.4163320e-01 1.5053221e-04 1.5559900e-01 2.6173268e-03],[9.9999583e-01 4.1450253e-06],"[2.0772168e-06 5.6465360e-06 1.1178400e-04 1.6173394e-03 1.2202037e-01
 7.1954948e-01 1.5571038e-01 9.7739347e-04 5.4764259e-06]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0009_face0.png,Middle Eastern,White,Male,30-39,"[0.34663203 0.00070945 0.19202486 0.00159699 0.00195622 0.0147189
 0.4423616 ]",[9.70152557e-01 9.43280247e-05 1.42804645e-02 1.54726431e-02],[9.9991065e-01 8.9327797e-05],"[1.33141275e-05 5.75514314e-05 5.82690642e-04 6.44348711e-02
 7.16690481e-01 2.14782491e-01 3.41095170e-03 2.72805555e-05
 3.42234358e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0010_face0.png,White,White,Male,40-49,"[9.0516603e-01 4.6726904e-04 1.1029215e-02 2.6258214e-03 3.5905244e-03
 6.5725733e-04 7.6463833e-02]",[9.8530793e-01 6.3722633e-05 1.3436244e-02 1.1921121e-03],[9.990757e-01 9.242630e-04],"[1.5569185e-05 5.0483384e-05 9.6432783e-04 2.5124559e-02 2.4733353e-01
 6.1096978e-01 1.1158706e-01 3.8255334e-03 1.2917620e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0011_face0.png,Latino_Hispanic,White,Male,30-39,"[0.30306873 0.00069355 0.38472575 0.00440389 0.00526278 0.05302607
 0.2488192 ]",[0.8150768  0.00237786 0.01455857 0.1679868 ],[9.9999404e-01 5.9454919e-06],"[1.6785241e-06 2.7585568e-06 1.3038139e-04 2.4535412e-02 4.9209160e-01
 4.5439884e-01 2.8474743e-02 3.6046392e-04 4.1585563e-06]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0012_face0.png,White,White,Male,30-39,"[0.8718048  0.00112491 0.02526349 0.00323691 0.00329473 0.00657157
 0.08870369]",[9.4346672e-01 6.6286093e-04 4.4350930e-02 1.1519616e-02],[9.999865e-01 1.349506e-05],"[5.9691979e-07 8.1588169e-06 3.7396990e-04 1.1916157e-01 7.2284466e-01
 1.5488549e-01 2.7027708e-03 2.2280410e-05 5.4886306e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_disgusted/disgusted_person_0013_face0.png,White,White,Male,30-39,"[9.4828486e-01 5.3544773e-04 3.5086878e-02 7.6241541e-04 5.5696745e-04
 2.2481345e-03 1.2525384e-02]",[9.7678512e-01 1.8267454e-04 2.0203540e-02 2.8286190e-03],[9.9987870e-01 1.2127984e-04],"[6.9332816e-07 7.4992040e-06 1.7998661e-04 5.3024273e-02 6.4452356e-01
 2.9541972e-01 6.8138428e-03 2.9907864e-05 5.5492183e-07]",1,White,20-39
