face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
detected_faces_FACES/015_o_m_n_a_face0.jpg,White,White,Male,60-69,"[9.7148067e-01 1.5716843e-05 9.6317045e-03 5.0727162e-04 4.1989796e-04
 6.4660667e-04 1.7298121e-02]",[9.9752116e-01 2.3512534e-06 2.2961940e-03 1.8034740e-04],[0.99392205 0.00607794],"[2.2460576e-05 3.7725717e-05 1.2501431e-04 2.3786846e-05 1.0490370e-04
 1.5535877e-03 1.2732103e-01 6.1263222e-01 2.5817916e-01]"
detected_faces_FACES/029_m_f_a_b_face0.jpg,White,White,Female,40-49,"[9.9851757e-01 6.5488678e-07 1.7666754e-04 4.7352560e-06 4.3282203e-06
 4.8385068e-06 1.2911519e-03]",[9.9961740e-01 2.2871345e-05 3.0922049e-04 5.0552480e-05],[0.03256701 0.967433  ],"[5.3394142e-06 6.2422056e-05 1.7253493e-03 1.6461166e-02 1.2337073e-01
 5.3070903e-01 3.1157237e-01 1.5206516e-02 8.8712439e-04]"
detected_faces_FACES/011_m_f_s_b_face0.jpg,White,White,Female,40-49,"[9.7975349e-01 3.4876021e-07 1.3001300e-02 7.3822789e-06 4.0857834e-05
 1.1477453e-03 6.0487613e-03]",[9.9411911e-01 3.3636654e-06 1.7009709e-03 4.1766078e-03],[1.14878916e-04 9.99885142e-01],"[2.64913140e-08 2.17859247e-06 2.16172441e-04 4.39892523e-03
 1.05629176e-01 6.92087710e-01 1.94151387e-01 3.38472705e-03
 1.29710694e-04]"
detected_faces_FACES/165_m_m_s_a_face0.jpg,White,White,Male,50-59,"[9.9378413e-01 1.3392963e-07 1.4659202e-03 7.0468275e-05 7.4362848e-05
 6.3874882e-05 4.5410944e-03]",[9.99756157e-01 1.10831714e-07 2.22240837e-04 2.14764514e-05],[0.9806907 0.0193093],"[4.2725515e-05 1.2833004e-04 1.3756403e-03 9.9861273e-04 9.2243413e-03
 1.5779237e-01 6.9424754e-01 1.2962550e-01 6.5649515e-03]"
detected_faces_FACES/062_y_m_d_a_face0.jpg,White,White,Male,30-39,"[7.2116774e-01 5.6434146e-06 5.2134614e-03 1.6976391e-04 1.9734478e-04
 4.9692846e-04 2.7274919e-01]",[9.8214245e-01 6.5409469e-05 5.3169569e-03 1.2475146e-02],[0.99868375 0.00131623],"[7.1838008e-07 3.9442803e-06 2.6611981e-04 3.1536624e-02 5.8204675e-01
 3.7972841e-01 6.3724052e-03 4.4494351e-05 5.3754638e-07]"
detected_faces_FACES/144_y_m_h_b_face0.jpg,White,White,Male,20-29,"[9.8053491e-01 2.2464628e-05 5.4383264e-03 2.2764852e-06 1.1060859e-05
 1.3758580e-04 1.3853323e-02]",[9.9191999e-01 1.7875367e-04 2.5429445e-05 7.8759296e-03],[9.9988770e-01 1.1228131e-04],"[5.3961042e-08 3.9267030e-05 1.4367394e-01 8.2294089e-01 3.2107309e-02
 1.2239553e-03 1.4321809e-05 3.2125834e-07 1.0533344e-08]"
detected_faces_FACES/041_y_m_f_a_face0.jpg,White,White,Male,40-49,"[9.9999422e-01 5.8904774e-09 2.5019415e-06 1.5087835e-08 6.8216906e-08
 6.7753135e-08 3.0969647e-06]",[9.9999857e-01 4.8414226e-08 1.0293249e-06 4.8674207e-07],[9.9901617e-01 9.8385918e-04],"[6.50093000e-07 2.72293983e-05 1.37916561e-02 1.08295664e-01
 2.52278894e-01 5.75116456e-01 4.98438030e-02 6.37645018e-04
 7.97955545e-06]"
detected_faces_FACES/042_o_m_s_b_face0.jpg,White,White,Male,60-69,"[7.4749792e-01 1.5664305e-05 9.6119838e-03 2.4347738e-03 1.6830984e-03
 1.0233345e-03 2.3773324e-01]",[9.9870950e-01 3.1473726e-07 1.2197861e-03 7.0446054e-05],[0.99147177 0.00852827],"[1.9722382e-05 1.3669452e-05 5.6404217e-05 1.5752532e-05 9.3012175e-05
 1.6561347e-03 1.1844222e-01 5.8085537e-01 2.9884776e-01]"
detected_faces_FACES/141_o_m_h_b_face0.jpg,White,White,Male,60-69,"[9.5992225e-01 1.2721606e-04 1.0150017e-02 2.0051280e-03 1.2277216e-03
 1.9904679e-04 2.6368685e-02]",[9.93178189e-01 1.49496145e-05 6.70659961e-03 1.00294914e-04],[0.9851339  0.01486615],"[4.0266068e-06 3.2650787e-06 1.9385470e-05 1.4035966e-05 7.7074910e-05
 1.4835558e-03 8.8449419e-02 5.5909228e-01 3.5085690e-01]"
detected_faces_FACES/153_y_m_n_a_face0.jpg,White,White,Male,20-29,"[9.9969804e-01 2.8892052e-07 8.2652849e-05 4.3567529e-06 5.2725359e-06
 9.8914234e-07 2.0841337e-04]",[9.9990821e-01 5.9060229e-05 2.2812563e-05 9.9053368e-06],[9.9952626e-01 4.7377101e-04],"[1.2547230e-07 4.6879428e-05 9.2870764e-02 8.5592729e-01 4.9526203e-02
 1.6142713e-03 1.4350175e-05 1.5472941e-07 5.5222444e-09]"
detected_faces_FACES/079_o_f_d_a_face0.jpg,White,White,Female,70+,"[8.5847491e-01 4.1607004e-06 7.9267900e-03 7.1747170e-05 7.7551005e-05
 1.4233116e-04 1.3330245e-01]",[9.9841285e-01 1.8319716e-06 1.5619223e-03 2.3382781e-05],[0.10638759 0.8936124 ],"[5.9485892e-06 2.2576811e-05 7.1774237e-05 1.2812811e-05 5.4173601e-05
 8.8136719e-04 3.9502963e-02 3.9719737e-01 5.6225103e-01]"
detected_faces_FACES/093_m_f_s_a_face0.jpg,White,White,Female,40-49,"[9.4987679e-01 9.0441421e-07 3.8105909e-02 5.7254343e-05 7.5960896e-05
 9.9655951e-04 1.0886695e-02]",[9.99550939e-01 1.44524495e-06 1.03536964e-04 3.44036351e-04],[0.0047657  0.99523425],"[1.9175882e-07 6.0221919e-06 3.4604347e-04 4.5296168e-03 1.3555600e-01
 6.9886678e-01 1.5885112e-01 1.8275842e-03 1.6721868e-05]"
detected_faces_FACES/180_m_f_f_a_face0.jpg,White,White,Female,50-59,"[9.0316588e-01 3.7807201e-06 2.9988606e-03 9.5564455e-06 1.6425658e-05
 4.1551431e-04 9.3389951e-02]",[9.9986905e-01 9.6259748e-07 5.4768228e-05 7.5181095e-05],[4.1974659e-04 9.9958026e-01],"[9.0572217e-07 1.3682943e-05 8.5635262e-04 1.2512594e-02 6.6961400e-02
 2.2815229e-01 4.2546707e-01 1.9658627e-01 6.9449373e-02]"
detected_faces_FACES/062_y_m_s_b_face0.jpg,Middle Eastern,White,Male,30-39,"[3.1864932e-01 1.6242644e-05 3.3448584e-02 9.4713923e-04 7.9869520e-04
 8.7641412e-03 6.3737583e-01]",[9.6074539e-01 1.8860363e-05 7.2730432e-04 3.8508441e-02],[9.9945575e-01 5.4422306e-04],"[3.9717356e-06 1.8908882e-05 8.7342120e-04 5.2839823e-02 6.8172097e-01
 2.6066023e-01 3.8375796e-03 4.4645352e-05 4.5000576e-07]"
detected_faces_FACES/008_y_m_a_b_face0.jpg,White,White,Male,30-39,"[7.8026640e-01 1.7288536e-05 2.0396776e-01 7.5297017e-04 1.1488430e-03
 9.7847609e-03 4.0620477e-03]",[9.9465871e-01 8.2238248e-06 1.5345392e-03 3.7985195e-03],[9.999959e-01 4.080510e-06],"[1.7045772e-07 3.4161733e-06 1.0931494e-03 3.3204383e-01 6.2106794e-01
 4.5529000e-02 2.6163095e-04 8.4637179e-07 7.9091578e-09]"
detected_faces_FACES/133_o_f_h_a_face0.jpg,White,White,Female,60-69,"[6.1593896e-01 3.4393228e-04 2.8549674e-01 2.6900680e-05 1.1142081e-04
 3.4254279e-03 9.4656751e-02]",[9.9855936e-01 1.7859231e-04 2.8412085e-04 9.7793399e-04],[0.0011095 0.9988905],"[7.5378139e-06 4.3883389e-05 1.9368235e-04 8.3187901e-05 1.6495882e-03
 3.6322854e-02 4.0990785e-01 4.9214825e-01 5.9643179e-02]"
detected_faces_FACES/135_y_m_h_b_face0.jpg,White,White,Male,20-29,"[9.99795139e-01 1.29608795e-08 1.46128486e-05 8.35216056e-08
 2.37614458e-07 4.12528379e-07 1.89608763e-04]",[9.9994826e-01 1.8133439e-06 4.9631758e-06 4.5083434e-05],[0.9914627  0.00853728],"[8.1802864e-07 8.0897502e-05 2.6172290e-02 4.7734377e-01 3.0907279e-01
 1.6819921e-01 1.8401975e-02 6.8957289e-04 3.8629096e-05]"
detected_faces_FACES/018_o_m_d_b_face0.jpg,White,White,Male,60-69,"[9.5619673e-01 3.9503680e-05 2.5162629e-03 3.8222212e-03 1.5980822e-03
 7.8877702e-04 3.5038464e-02]",[9.7548878e-01 5.6927594e-05 2.2929689e-02 1.5245494e-03],[0.9976605  0.00233948],"[4.7900270e-05 3.0042031e-05 1.3472870e-04 8.0136422e-05 2.9622935e-04
 5.5058510e-03 2.2482166e-01 6.6577578e-01 1.0330776e-01]"
detected_faces_FACES/107_o_m_n_a_face0.jpg,White,White,Male,60-69,"[9.7342336e-01 1.7987924e-05 7.7441907e-03 1.1376339e-03 5.3810090e-04
 1.8337347e-04 1.6955279e-02]",[9.9729651e-01 3.9098509e-06 2.6632503e-03 3.6372585e-05],[0.99870765 0.00129229],"[2.2796785e-05 1.8646046e-05 1.4063987e-04 3.7104306e-05 1.4126406e-04
 2.0411329e-03 1.5743558e-01 7.2963887e-01 1.1052395e-01]"
detected_faces_FACES/061_m_f_d_b_face0.jpg,White,White,Female,50-59,"[9.5033634e-01 1.5319909e-05 2.1541189e-02 1.0445769e-03 3.9739811e-04
 3.7851979e-04 2.6286623e-02]",[9.7694123e-01 1.8803043e-04 2.1536097e-02 1.3346333e-03],[0.00749706 0.9925029 ],"[2.5641434e-06 8.7472226e-06 1.7554218e-04 2.5425970e-03 5.6781288e-02
 4.1139549e-01 4.8268121e-01 4.5707416e-02 7.0513861e-04]"
detected_faces_FACES/086_o_f_s_b_face0.jpg,White,White,Female,60-69,"[9.8076946e-01 2.8041288e-06 1.7691384e-03 8.2232682e-03 1.5475854e-03
 6.0389859e-05 7.6273996e-03]",[9.54280555e-01 9.85763836e-06 4.55895849e-02 1.19980024e-04],[0.47758982 0.52241015],"[2.6162435e-05 1.9926131e-04 8.5176813e-04 7.6330599e-04 3.8781120e-03
 4.4644982e-02 3.3388174e-01 4.3831903e-01 1.7743561e-01]"
detected_faces_FACES/155_m_m_f_b_face0.jpg,White,White,Male,40-49,"[9.9182534e-01 1.1587409e-06 1.0998388e-03 5.4742489e-03 9.3855656e-04
 1.4013100e-04 5.2062527e-04]",[9.9203390e-01 1.6286409e-05 6.6572074e-03 1.2925705e-03],[0.9933436  0.00665641],"[2.3940056e-05 2.1173044e-04 2.3360750e-02 8.8404775e-02 1.9245148e-01
 4.3581018e-01 2.4379714e-01 1.5618007e-02 3.2199954e-04]"
detected_faces_FACES/152_y_f_n_a_face0.jpg,White,White,Female,20-29,"[9.9813503e-01 2.9325963e-06 7.7158608e-04 3.4804809e-06 5.9050467e-06
 1.6198837e-05 1.0648852e-03]",[9.9864525e-01 6.9865445e-04 4.1002562e-04 2.4613019e-04],[5.521410e-04 9.994478e-01],"[4.7536670e-08 4.3871615e-04 1.6890192e-01 8.0489206e-01 2.5677660e-02
 8.9327928e-05 2.2991937e-07 2.3420113e-09 8.0306310e-11]"
detected_faces_FACES/005_o_f_a_a_face0.jpg,White,White,Male,50-59,"[9.9385977e-01 3.9281094e-06 4.6345312e-03 1.7904873e-05 2.5158166e-05
 8.3352301e-05 1.3753829e-03]",[9.9911839e-01 1.3633591e-05 3.6987785e-04 4.9803406e-04],[0.9702574  0.02974261],"[2.0698806e-04 5.9459539e-04 1.8830544e-03 1.9241792e-04 2.8594944e-03
 6.4718932e-02 6.3559216e-01 2.7152419e-01 2.2428133e-02]"
detected_faces_FACES/097_m_f_h_b_face0.jpg,White,White,Female,50-59,"[6.1022472e-01 3.0835482e-04 3.2248631e-01 3.5485281e-03 1.3445872e-02
 3.5764251e-03 4.6409901e-02]",[0.8180994  0.00181827 0.17730525 0.00277706],[1.13699425e-04 9.99886334e-01],"[7.1699960e-06 1.2065761e-05 7.2229515e-05 3.1063269e-04 1.8777065e-02
 3.1237742e-01 5.9138739e-01 7.6285504e-02 7.7046518e-04]"
detected_faces_FACES/046_o_m_n_b_face0.jpg,White,White,Male,50-59,"[9.68169153e-01 1.11654466e-04 9.13271867e-03 1.87566795e-03
 2.16578110e-03 2.96845217e-04 1.82482842e-02]",[9.9341208e-01 1.7321963e-04 4.2391843e-03 2.1754806e-03],[9.999578e-01 4.221167e-05],"[2.1247355e-05 5.1376599e-05 5.1177276e-04 8.9682470e-04 7.0488267e-03
 8.3201364e-02 5.8771670e-01 3.0556905e-01 1.4982891e-02]"
detected_faces_FACES/109_y_m_h_a_face0.jpg,White,White,Male,20-29,"[7.8403175e-01 1.7488148e-05 5.5690091e-02 2.1474382e-03 1.6232141e-03
 8.9504867e-04 1.5559497e-01]",[9.4801188e-01 2.1827406e-04 3.6111135e-02 1.5658669e-02],[0.99674135 0.00325867],"[1.9391888e-07 4.0983428e-05 3.9319672e-02 8.3477646e-01 1.2220706e-01
 3.6324102e-03 2.2778442e-05 4.3786230e-07 9.3695043e-09]"
detected_faces_FACES/007_m_m_d_a_face0.jpg,White,White,Male,50-59,"[9.8316634e-01 6.4078886e-05 1.4813249e-02 8.5891283e-05 1.9435486e-04
 7.9254236e-04 8.8354864e-04]",[9.9879253e-01 1.0814476e-04 5.0909235e-04 5.9017778e-04],[0.99841774 0.00158225],"[3.5183344e-05 8.1765043e-05 4.4898721e-04 3.2287565e-04 1.0003205e-02
 2.6993930e-01 6.7427975e-01 4.3886337e-02 1.0026497e-03]"
detected_faces_FACES/082_m_m_a_b_face0.jpg,Latino_Hispanic,White,Male,50-59,"[3.1117907e-01 1.3753802e-04 3.5037780e-01 4.0091353e-04 1.0669571e-03
 1.1558535e-02 3.2527921e-01]",[9.8230785e-01 3.0922025e-04 6.3210162e-03 1.1061837e-02],[9.999834e-01 1.661855e-05],"[3.1553463e-05 2.2720487e-05 1.2791311e-04 5.5994056e-05 4.1645896e-03
 1.5352885e-01 7.7245682e-01 6.9044456e-02 5.6703098e-04]"
detected_faces_FACES/163_y_f_f_a_face0.jpg,White,White,Female,20-29,"[6.7776781e-01 4.2096872e-04 2.5998864e-01 7.2115898e-04 8.5186015e-04
 6.8795839e-03 5.3370018e-02]",[9.83786047e-01 2.24895062e-04 3.33430036e-03 1.26548335e-02],[0.44402015 0.55597985],"[1.4286040e-06 1.2282818e-04 2.0232221e-02 6.0702020e-01 3.5168397e-01
 2.0307949e-02 6.1125599e-04 1.9549007e-05 5.7200998e-07]"
detected_faces_FACES/124_o_f_a_b_face0.jpg,White,White,Female,70+,"[9.7700852e-01 2.4885903e-06 8.5554458e-03 5.7757949e-04 6.8826281e-04
 6.2856678e-04 1.2539068e-02]",[9.98505592e-01 1.07524436e-07 1.43675774e-03 5.76390594e-05],[0.06079767 0.93920237],"[1.7279348e-06 9.4459574e-06 5.9751092e-05 3.1110583e-05 1.2702188e-04
 3.1933086e-03 1.3660337e-01 4.0517876e-01 4.5479551e-01]"
detected_faces_FACES/020_y_f_s_b_face0.jpg,White,White,Female,20-29,"[8.4953731e-01 4.5464905e-05 5.8994211e-02 1.0796102e-03 2.4295482e-03
 2.5269384e-03 8.5386842e-02]",[9.7930115e-01 7.3338993e-04 1.4041638e-02 5.9237415e-03],[0.0081416  0.99185836],"[1.4658384e-06 8.4621162e-04 6.6801339e-02 7.3367244e-01 1.9336998e-01
 5.2506109e-03 5.6819550e-05 1.1445569e-06 3.3470695e-08]"
detected_faces_FACES/077_m_m_a_a_face0.jpg,White,White,Male,50-59,"[9.8286009e-01 7.2084331e-05 8.7711653e-03 4.5182157e-04 8.9702703e-04
 1.0082031e-03 5.9395819e-03]",[9.9369514e-01 7.9809048e-05 5.2917413e-03 9.3324587e-04],[9.999954e-01 4.592568e-06],"[7.0054026e-05 5.6343892e-05 4.4334345e-04 2.0910201e-03 3.4914132e-02
 2.7912769e-01 6.3558519e-01 4.7142774e-02 5.6945189e-04]"
detected_faces_FACES/111_m_f_f_b_face0.jpg,White,White,Female,50-59,"[9.9973166e-01 1.2468548e-08 5.8038164e-05 1.0109643e-06 1.4271284e-06
 4.7528742e-06 2.0307783e-04]",[9.9993187e-01 5.5766129e-08 5.1013765e-05 1.7014614e-05],[2.0078600e-04 9.9979925e-01],"[1.0053019e-06 1.2990413e-05 3.3977738e-04 5.9450832e-03 4.4302970e-02
 3.2507753e-01 5.1076686e-01 9.9759586e-02 1.3794043e-02]"
detected_faces_FACES/067_o_f_f_b_face0.jpg,White,White,Female,70+,"[8.7888813e-01 3.7163722e-06 1.3315026e-02 3.4962717e-04 4.5577780e-04
 9.3681592e-04 1.0605095e-01]",[9.9899220e-01 1.6883631e-07 9.7231154e-04 3.5333876e-05],[0.07499659 0.92500347],"[8.6310740e-07 4.8125667e-06 2.8342231e-05 6.0761163e-06 1.6126070e-05
 2.5617745e-04 2.5215521e-02 2.8664222e-01 6.8782985e-01]"
