face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0000_face0.png,White,White,Male,40-49,"[9.5499247e-01 8.2424399e-04 2.5714234e-02 1.1265788e-04 4.0580818e-04
 3.5930153e-03 1.4357531e-02]",[0.97355056 0.00249729 0.01232886 0.01162328],[9.9999678e-01 3.1987288e-06],"[1.23088103e-05 8.77466155e-05 1.52724795e-03 6.43449230e-03
 1.00562945e-01 4.83734220e-01 3.95093828e-01 1.23636862e-02
 1.83588767e-04]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0001_face0.png,White,White,Male,30-39,"[0.47463027 0.00081175 0.35839477 0.00363352 0.01875426 0.01375202
 0.1300234 ]",[0.85026973 0.00263035 0.05109969 0.09600013],[1.0000000e+00 1.3876327e-08],"[7.3477167e-07 1.2220459e-05 4.1818080e-04 5.8052916e-02 6.7075294e-01
 2.6446003e-01 6.2549682e-03 4.7555670e-05 3.5832184e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0002_face0.png,Black,Black,Male,40-49,"[5.1222869e-05 9.7790450e-01 5.0093508e-03 5.0961598e-06 4.5495422e-04
 1.6312916e-02 2.6203107e-04]",[5.0628147e-05 9.7679269e-01 8.8018849e-03 1.4354766e-02],[9.9999982e-01 2.1177281e-07],"[1.3186381e-05 4.2497978e-04 6.0726958e-03 6.7151539e-02 3.6289775e-01
 4.3470794e-01 1.2206893e-01 6.4683659e-03 1.9453392e-04]",Black,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0003_face0.png,White,White,Male,40-49,"[7.5210482e-01 1.3765095e-04 1.9429027e-01 1.3091221e-03 1.2322160e-03
 2.6571602e-03 4.8268732e-02]",[0.9060874  0.00187858 0.06592927 0.02610468],[9.9999422e-01 5.7561597e-06],"[9.3861740e-07 1.9625311e-06 1.6451556e-04 1.4770600e-02 3.0553237e-01
 5.5347854e-01 1.2424006e-01 1.7958991e-03 1.5170408e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0004_face0.png,White,White,Male,40-49,"[0.43917176 0.01223582 0.17001659 0.03118146 0.25018874 0.0706976
 0.02650805]",[0.56227964 0.00883905 0.3859341  0.04294722],[9.992287e-01 7.712751e-04],"[8.4912754e-06 9.0755049e-05 1.0041075e-03 1.4859932e-02 1.8301351e-01
 5.7486534e-01 2.2082189e-01 5.1111351e-03 2.2474644e-04]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0005_face0.png,White,White,Male,30-39,"[6.3931453e-01 4.5936942e-04 1.7936656e-01 5.7491846e-03 5.0193802e-03
 4.8755608e-03 1.6521537e-01]",[9.2101556e-01 6.5737334e-04 4.8172247e-02 3.0154843e-02],[9.9999976e-01 1.8511658e-07],"[4.1299393e-07 9.5570103e-06 1.1381786e-03 2.9903132e-01 6.6712904e-01
 3.2551955e-02 1.3876043e-04 7.9233803e-07 7.4673858e-09]",White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0006_face0.png,White,White,Female,30-39,"[8.9123118e-01 6.0214723e-05 8.6611524e-02 1.1809025e-03 1.7461419e-03
 2.4385753e-03 1.6731571e-02]",[9.7979838e-01 2.8238649e-04 3.4969104e-03 1.6422218e-02],[0.04066141 0.9593386 ],"[2.3688520e-07 1.3340071e-05 5.7464126e-03 3.2094741e-01 5.4468095e-01
 1.2550363e-01 3.0428153e-03 6.3429485e-05 1.6503578e-06]",White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0007_face0.png,White,White,Male,30-39,"[4.4620839e-01 3.0701264e-04 3.5334262e-01 4.1098441e-03 4.3270034e-03
 1.7782478e-02 1.7392270e-01]",[9.2608255e-01 1.7735081e-04 1.9949693e-02 5.3790402e-02],[9.9999905e-01 8.9676053e-07],"[1.8919728e-06 6.3175953e-06 1.1064936e-04 1.6804185e-02 5.1666003e-01
 4.5517996e-01 1.1178075e-02 5.8618924e-05 2.5548701e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0008_face0.png,White,White,Male,30-39,"[8.0686647e-01 9.9107693e-04 1.0333074e-01 2.4416513e-04 9.2410558e-04
 9.6396152e-03 7.8003906e-02]",[9.87240076e-01 1.01449165e-04 1.95694994e-03 1.07014133e-02],[9.999994e-01 6.240469e-07],"[1.5438544e-06 4.7526206e-05 4.6161008e-03 2.4786295e-01 6.0147542e-01
 1.4325607e-01 2.7173213e-03 2.2821414e-05 2.1832248e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0009_face0.png,White,White,Male,40-49,"[9.6132171e-01 5.6800924e-05 2.2441180e-02 3.2463502e-03 7.0085530e-03
 1.8721020e-03 4.0533505e-03]",[9.9456197e-01 1.0314678e-05 4.7734217e-03 6.5429375e-04],[9.9997455e-01 2.5404755e-05],"[1.7917431e-05 1.4495436e-04 1.1826780e-03 1.2035917e-02 2.3850720e-01
 6.4078736e-01 1.0485247e-01 2.4226883e-03 4.8829319e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0010_face0.png,Latino_Hispanic,Asian,Male,50-59,"[0.09099206 0.01399705 0.46104956 0.12272068 0.27470824 0.02087393
 0.0156585 ]",[0.00839389 0.00160154 0.98516285 0.00484171],[9.9972230e-01 2.7767755e-04],"[2.1888873e-05 1.3043056e-04 1.0926513e-03 4.1819471e-03 7.6299064e-02
 4.2577058e-01 4.6958196e-01 2.2458423e-02 4.6305309e-04]",Others,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0011_face0.png,Latino_Hispanic,White,Male,30-39,"[2.4251708e-01 2.6142347e-04 6.4066708e-01 8.1299981e-03 9.4980244e-03
 3.9328601e-02 5.9597827e-02]",[6.1157990e-01 4.3319113e-04 2.4196029e-01 1.4602655e-01],[9.9999851e-01 1.5228565e-06],"[5.7773735e-07 2.5620220e-06 1.9657632e-04 6.1454613e-02 7.3646384e-01
 1.9887938e-01 2.9881396e-03 1.4214175e-05 7.4696601e-08]",Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_unhappy/unhappy_person_0012_face0.png,White,White,Male,30-39,"[0.59278595 0.00142757 0.33142006 0.0269384  0.0314698  0.00504826
 0.01091004]",[0.6684624  0.00306219 0.31226382 0.01621165],[9.9953580e-01 4.6416957e-04],"[1.1032829e-07 3.3471699e-06 5.6182193e-03 4.4781211e-01 4.8246628e-01
 6.1769255e-02 2.3108379e-03 1.9452393e-05 4.8381889e-07]",White,20-39
