face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_angry/angry_person_0000_face0.png,White,White,Male,40-49,"[0.84605676 0.00089647 0.10398478 0.00165248 0.00546225 0.00813995
 0.03380743]",[0.7841911  0.00102675 0.19920298 0.01557918],[9.9980468e-01 1.9533264e-04],"[3.9154961e-06 5.5331577e-05 1.4258418e-03 1.0758219e-02 1.6827418e-01
 6.1396754e-01 2.0350567e-01 1.9824558e-03 2.6842121e-05]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_angry/angry_person_0001_face0.png,Middle Eastern,White,Male,50-59,"[0.15954323 0.11865896 0.12611333 0.00163053 0.00825092 0.12417802
 0.46162486]",[0.6705499  0.02534273 0.05166178 0.25244552],[9.9991405e-01 8.6000036e-05],"[2.4931916e-05 5.7411951e-05 2.8508657e-04 3.8962914e-03 4.9290612e-02
 2.6650709e-01 5.8516258e-01 8.6893484e-02 7.8825317e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_angry/angry_person_0002_face0.png,White,White,Male,30-39,"[8.3496606e-01 3.2038047e-04 6.2782362e-02 1.4728793e-03 3.9934283e-03
 1.9928796e-02 7.6536149e-02]",[9.9244642e-01 1.9897287e-05 7.2002169e-03 3.3350429e-04],[0.99542063 0.00457936],"[9.6468730e-06 1.4349769e-04 4.1293423e-03 2.6891688e-01 5.1666665e-01
 1.8974805e-01 1.9487100e-02 8.0717675e-04 9.1693946e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_angry/angry_person_0003_face0.png,White,White,Male,50-59,"[9.0738577e-01 3.4829866e-04 4.4032615e-02 5.8303348e-04 1.0863789e-03
 2.2230914e-03 4.4340841e-02]",[9.9963886e-01 3.1177618e-07 3.3780694e-04 2.2997363e-05],[0.9984426  0.00155743],"[1.1665400e-05 2.0722700e-05 3.5576799e-04 6.7825145e-03 7.6410085e-02
 4.0970924e-01 4.7096145e-01 3.4354962e-02 1.3935454e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_angry/angry_person_0004_face0.png,White,White,Male,30-39,"[9.7556138e-01 6.2946691e-03 3.0053114e-03 4.9357703e-05 1.0155293e-04
 2.1153816e-03 1.2872288e-02]",[0.97301316 0.00167618 0.02302266 0.00228802],[0.996677 0.003323],"[1.4932202e-07 1.3122362e-06 1.4526454e-04 6.8907522e-02 5.9045023e-01
 3.0069292e-01 3.9432760e-02 3.5927174e-04 1.0556606e-05]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_angry/angry_person_0005_face0.png,White,White,Male,40-49,"[9.1886020e-01 1.6178603e-03 3.1911079e-02 2.2195448e-04 3.3493200e-04
 3.9655212e-03 4.3088477e-02]",[9.9824905e-01 1.6912748e-04 1.1250313e-03 4.5680319e-04],[9.9981707e-01 1.8293428e-04],"[1.6218959e-05 5.9585407e-05 1.8028367e-03 1.1063382e-01 3.7956095e-01
 3.8617498e-01 1.1678518e-01 4.7349939e-03 2.3135655e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_angry/angry_person_0006_face0.png,White,Asian,Male,30-39,"[0.55791205 0.00941565 0.07006162 0.21264477 0.12568855 0.00751972
 0.01675759]",[0.2250573  0.00323338 0.7700176  0.00169166],[0.9835827  0.01641732],"[1.2212887e-04 1.5948428e-03 1.2961890e-02 1.9959989e-01 5.1949972e-01
 2.3814178e-01 2.6653243e-02 1.2956796e-03 1.3077984e-04]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_angry/angry_person_0007_face0.png,Latino_Hispanic,White,Male,30-39,"[0.19259886 0.00649933 0.43195286 0.00068893 0.00296554 0.12579456
 0.23949993]",[0.8518972  0.00322775 0.05607862 0.08879646],[9.999908e-01 9.151183e-06],"[1.7071305e-07 4.5280681e-06 5.8692554e-04 2.0574015e-01 7.4026066e-01
 5.3033412e-02 3.7226279e-04 1.9548497e-06 2.5772017e-08]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_angry/angry_person_0008_face0.png,White,White,Male,50-59,"[3.7209144e-01 2.7436579e-02 3.2576159e-01 1.9027143e-04 7.3483819e-04
 4.9172357e-02 2.2461300e-01]",[9.599871e-01 5.171079e-04 7.503109e-04 3.874543e-02],[9.997956e-01 2.043720e-04],"[2.6877948e-05 3.7984497e-05 3.7479374e-04 8.6700171e-04 2.2569079e-02
 2.3837735e-01 6.7793083e-01 5.8560286e-02 1.2558108e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_angry/angry_person_0009_face0.png,White,White,Male,40-49,"[9.7214472e-01 2.7636052e-05 2.6409328e-03 6.0339676e-06 1.2752924e-05
 4.4927828e-04 2.4718618e-02]",[9.9806488e-01 2.9623299e-05 1.5085388e-03 3.9690390e-04],[9.9999905e-01 9.4116234e-07],"[7.3387000e-08 1.7155125e-07 2.6191434e-05 5.1903687e-03 1.4815840e-01
 6.0888875e-01 2.3544142e-01 2.2641984e-03 3.0478639e-05]",0,White,40-59
