face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_sad/sad_person_0000_face0.png,White,White,Female,20-29,"[9.9838465e-01 2.9006269e-06 4.7706126e-04 4.1311418e-05 1.3348123e-05
 8.2792303e-06 1.0723133e-03]",[9.9987960e-01 3.7400848e-06 1.0633240e-04 1.0387578e-05],[0.28915903 0.710841  ],"[7.27839620e-07 1.08428605e-04 2.73210127e-02 5.57688296e-01
 3.21221799e-01 8.96565616e-02 3.83345620e-03 1.59796822e-04
 9.88928241e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_sad/sad_person_0001_face0.png,White,White,Male,20-29,"[9.9131864e-01 1.4900666e-05 1.7409982e-03 4.8089412e-05 2.8733793e-05
 6.7682748e-05 6.7808693e-03]",[9.9967843e-01 2.0713509e-05 4.3311175e-05 2.5750624e-04],[9.992596e-01 7.403599e-04],"[3.3427391e-08 1.7800701e-05 7.4862488e-02 8.9178663e-01 3.2705221e-02
 6.2452460e-04 3.1877846e-06 1.1289828e-07 7.0254567e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_sad/sad_person_0002_face0.png,White,White,Male,20-29,"[7.6849586e-01 3.5131583e-04 7.2966591e-02 9.2266782e-05 3.4905967e-04
 2.9720983e-03 1.5477292e-01]",[9.8552537e-01 4.0722596e-03 7.6436531e-04 9.6379463e-03],[0.9751262  0.02487383],"[2.04457464e-07 1.40336197e-04 1.02328636e-01 8.22468698e-01
 7.25737885e-02 2.45683733e-03 3.02152730e-05 1.15117564e-06
 1.69459653e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_sad/sad_person_0003_face0.png,White,White,Male,30-39,"[9.2053509e-01 1.2602282e-04 6.7538954e-02 8.7077997e-04 1.1020622e-03
 8.6364994e-04 8.9634582e-03]",[9.6673661e-01 7.1443134e-04 1.8452553e-02 1.4096426e-02],[0.98904335 0.01095663],"[5.1615655e-07 1.0551427e-05 1.8756763e-03 2.4203712e-01 6.2894076e-01
 1.2422222e-01 2.8521579e-03 5.8473564e-05 2.5311965e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_sad/sad_person_0004_face0.png,White,White,Male,30-39,"[8.6275351e-01 7.2093919e-04 2.2867300e-02 1.4069131e-04 5.0623663e-04
 1.6848471e-03 1.1132646e-01]",[0.9435535  0.00514213 0.00143325 0.04987103],[9.9913490e-01 8.6509367e-04],"[3.1853884e-07 2.3133223e-06 3.0259739e-04 1.2658781e-01 6.2466055e-01
 2.4192461e-01 6.3764621e-03 1.3531042e-04 9.9927038e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_sad/sad_person_0005_face0.png,Middle Eastern,White,Male,50-59,"[0.34742835 0.00093799 0.01613135 0.0008269  0.00207549 0.00898881
 0.6236111 ]",[0.965151   0.00250392 0.02225518 0.01008991],[0.9429562  0.05704381],"[4.7835376e-05 1.1894139e-04 6.7826489e-04 1.6053355e-03 1.1062665e-02
 9.9089004e-02 4.4031030e-01 3.0020773e-01 1.4687997e-01]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_sad/sad_person_0006_face0.png,White,White,Male,20-29,"[9.8037893e-01 4.0735948e-05 1.0634348e-02 2.4081979e-04 2.3496330e-04
 3.4119867e-04 8.1289886e-03]",[9.9939537e-01 4.7325462e-05 1.1216963e-04 4.4510353e-04],[0.7501667  0.24983329],"[1.4250786e-07 6.6412067e-05 4.5036111e-02 8.7572879e-01 7.6861493e-02
 2.2797571e-03 2.5759415e-05 1.2809707e-06 2.1051196e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_sad/sad_person_0007_face0.png,White,White,Male,20-29,"[9.9786919e-01 3.9779792e-05 1.1996729e-03 1.1521229e-04 5.3726300e-05
 2.3756738e-05 6.9854071e-04]",[9.9917769e-01 2.9899069e-04 1.0282482e-04 4.2050064e-04],[9.9937433e-01 6.2569178e-04],"[5.9474868e-08 1.7374998e-05 2.6107222e-02 9.0009445e-01 7.2884336e-02
 8.9269067e-04 3.7590551e-06 6.5531381e-08 7.9444318e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_sad/sad_person_0008_face0.png,White,White,Male,20-29,"[8.03261340e-01 4.19105723e-04 1.12298734e-01 1.21705816e-03
 1.59568060e-03 6.66229101e-03 7.45457858e-02]",[0.9909937  0.00142437 0.0015644  0.00601757],[9.991371e-01 8.628901e-04],"[8.9175671e-08 2.5197019e-06 3.2804923e-03 6.3863540e-01 3.4875572e-01
 9.2686573e-03 5.5692690e-05 1.3897356e-06 5.9266469e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_sad/sad_person_0009_face0.png,White,White,Male,20-29,"[0.64733773 0.0315832  0.18497097 0.07645222 0.02513423 0.01102432
 0.02349732]",[0.9189267  0.01607506 0.03825925 0.02673905],[0.9988637  0.00113626],"[1.4891376e-07 5.2906773e-05 7.9871975e-02 8.8155192e-01 3.7974741e-02
 5.4304098e-04 4.8278621e-06 3.2432800e-07 4.6284022e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_sad/sad_person_0010_face0.png,White,White,Male,30-39,"[9.9177897e-01 6.0807419e-05 4.1076550e-03 3.3042362e-04 3.6118319e-04
 5.2082771e-04 2.8401939e-03]",[9.874974e-01 3.567495e-04 8.380041e-03 3.765771e-03],[0.99295825 0.00704172],"[3.6877699e-07 7.4932204e-06 4.9592473e-04 9.5663115e-02 5.9765488e-01
 2.9664871e-01 9.4415387e-03 8.2440558e-05 5.5521614e-06]",1,White,20-39
