face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,gt_age,gt_gender,gt_race
/scratch/project_462000771/mengting/projects/bias/hunyuan/fair_selected_faces/selected_faces/0-9/female/asian/0000_face0.png,East Asian,Asian,Female,10-19,"[1.2032964e-04 1.6805135e-06 1.1796657e-03 7.6292741e-01 2.3526770e-01
 4.9637625e-04 6.8942909e-06]",[2.3471190e-05 1.2861733e-06 9.9953926e-01 4.3595003e-04],[1.4639387e-05 9.9998534e-01],"[7.2666003e-06 3.3659855e-01 6.3693726e-01 2.6399937e-02 5.6793291e-05
 2.3668242e-07 3.9941192e-10 9.0643326e-11 3.4560347e-12]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/hunyuan/fair_selected_faces/selected_faces/0-9/female/asian/0001_face0.png,East Asian,Asian,Female,3-9,"[3.6640983e-04 1.3684439e-05 1.8384981e-03 8.8573968e-01 1.1168900e-01
 3.4278352e-04 1.0006867e-05]",[1.7681316e-04 7.1790455e-06 9.9938029e-01 4.3566659e-04],[0.07110585 0.9288941 ],"[2.2990142e-05 6.1384839e-01 3.8188136e-01 4.2180722e-03 2.8582059e-05
 5.7458834e-07 6.1308589e-09 2.3708857e-09 2.7009989e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/hunyuan/fair_selected_faces/selected_faces/0-9/female/asian/0002_face0.png,East Asian,Asian,Female,10-19,"[3.7474753e-04 1.5535352e-07 6.5439229e-04 8.7117857e-01 1.2764077e-01
 1.4273697e-04 8.6420896e-06]",[1.0316655e-04 3.8472146e-07 9.9956423e-01 3.3223839e-04],[2.5160227e-05 9.9997485e-01],"[2.4805700e-05 4.2782393e-01 5.0579149e-01 6.6168725e-02 1.8992282e-04
 1.0771873e-06 3.3245120e-09 6.0962357e-10 2.5511270e-11]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/hunyuan/fair_selected_faces/selected_faces/0-9/female/asian/0003_face0.png,East Asian,Asian,Female,3-9,"[2.1539742e-04 2.3097350e-06 2.9606086e-03 7.5434166e-01 2.4112426e-01
 1.3317664e-03 2.3940891e-05]",[5.4689997e-05 7.7255868e-07 9.9913543e-01 8.0911029e-04],[1.3901845e-04 9.9986100e-01],"[2.0982385e-05 6.6911167e-01 3.2493499e-01 5.9091719e-03 2.2996383e-05
 1.9103898e-07 1.0286877e-09 3.1556457e-10 1.7165514e-11]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/hunyuan/fair_selected_faces/selected_faces/0-9/female/asian/0004_face0.png,East Asian,Asian,Female,10-19,"[4.3849264e-05 7.1423219e-06 1.1466068e-03 5.9991336e-01 3.9800456e-01
 8.8250230e-04 2.0037633e-06]",[2.9140856e-05 1.5519510e-06 9.9924713e-01 7.2222325e-04],[9.456277e-04 9.990544e-01],"[1.6860218e-05 3.4303799e-01 6.3414931e-01 2.2731073e-02 6.4172222e-05
 6.5587642e-07 2.4486744e-09 1.1336867e-09 6.5689669e-11]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/hunyuan/fair_selected_faces/selected_faces/0-9/female/asian/0005_face0.png,East Asian,Asian,Female,10-19,"[1.1041007e-04 8.5947318e-07 8.4544573e-04 8.4744179e-01 1.5124223e-01
 3.5467968e-04 4.5862580e-06]",[8.8882116e-06 1.9990489e-07 9.9990791e-01 8.3050065e-05],[9.304478e-04 9.990696e-01],"[1.6718250e-05 2.0881575e-01 7.5480062e-01 3.6273438e-02 9.2912662e-05
 5.2522739e-07 1.8277533e-09 7.2005801e-10 2.6369214e-11]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/hunyuan/fair_selected_faces/selected_faces/0-9/female/asian/0006_face0.png,East Asian,Asian,Female,10-19,"[4.9652584e-04 3.5333687e-06 5.6419470e-03 7.6577812e-01 2.2459219e-01
 3.4529185e-03 3.4725934e-05]",[6.377339e-05 6.360027e-07 9.994499e-01 4.856171e-04],[1.0793537e-04 9.9989206e-01],"[2.4591600e-06 4.5856410e-01 5.3095859e-01 1.0449570e-02 2.5110761e-05
 1.3007406e-07 2.2526632e-10 3.6382043e-11 1.4628821e-12]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/hunyuan/fair_selected_faces/selected_faces/0-9/female/asian/0007_face0.png,East Asian,Asian,Female,3-9,"[1.1693832e-04 9.8452520e-06 6.4056640e-04 8.7024450e-01 1.2880020e-01
 1.8499534e-04 2.9363623e-06]",[5.7827783e-05 8.0845639e-06 9.9985158e-01 8.2464991e-05],[0.00343228 0.9965677 ],"[9.6682117e-05 6.2202150e-01 3.6476982e-01 1.3031133e-02 7.9369805e-05
 1.4739774e-06 1.3621367e-08 5.0568434e-09 3.7297973e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/hunyuan/fair_selected_faces/selected_faces/0-9/female/asian/0008_face0.png,East Asian,Asian,Female,10-19,"[2.74691731e-04 3.07645969e-05 4.34385519e-03 8.74132872e-01
 1.20941676e-01 2.64917850e-04 1.12224525e-05]",[4.8961363e-05 2.7613230e-06 9.9983162e-01 1.1658959e-04],[0.00740921 0.9925908 ],"[9.3664930e-06 3.8738298e-01 5.9520018e-01 1.7362641e-02 4.4403310e-05
 4.0775538e-07 1.6904430e-09 4.5837364e-10 2.7275460e-11]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/hunyuan/fair_selected_faces/selected_faces/0-9/female/asian/0009_face0.png,East Asian,Asian,Female,10-19,"[5.79506333e-04 3.63481809e-06 6.82040118e-04 9.07557189e-01
 9.10576507e-02 1.09061555e-04 1.09384027e-05]",[3.5520992e-05 3.2182794e-07 9.9995226e-01 1.1858897e-05],[1.8607852e-05 9.9998140e-01],"[3.7010138e-06 1.1042144e-01 8.3476293e-01 5.4680280e-02 1.3087904e-04
 7.7817378e-07 1.6125782e-09 2.7454028e-10 1.6384128e-11]",0-9,female,asian
