face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,real_age,age_group_merged
detected_faces_fgnet/011A17_face0.JPG,Latino_Hispanic,White,Male,10-19,"[2.0409396e-01 2.0264897e-02 4.0518841e-01 1.9377640e-04 7.4153498e-04
 1.4842424e-02 3.5467499e-01]",[0.5240199  0.27454636 0.00079911 0.20063466],[0.9841753  0.01582469],"[5.3718918e-07 1.6034555e-03 7.5835520e-01 2.3637399e-01 3.6157928e-03
 5.0671748e-05 3.0219442e-07 2.1082784e-08 1.1501629e-09]",17.0,10-19
detected_faces_fgnet/066A06a_face0.JPG,Middle Eastern,Indian,Male,3-9,"[5.3330921e-02 1.7151923e-04 2.5530577e-01 1.4131445e-04 2.2784017e-04
 1.1943713e-01 5.7138556e-01]",[0.33747613 0.00470988 0.00088382 0.65693015],[9.992431e-01 7.568537e-04],"[4.4085020e-03 9.7054178e-01 2.4481384e-02 3.0791527e-04 1.9322798e-04
 6.3552208e-05 3.2288629e-06 4.2818522e-07 1.7319735e-08]",6.0,0-9
detected_faces_fgnet/018A34_face0.JPG,Latino_Hispanic,Black,Female,30-39,"[1.3243057e-01 1.4685198e-02 6.5612155e-01 1.1450577e-04 1.2230233e-03
 1.5477604e-01 4.0649146e-02]",[0.06674927 0.70842427 0.00157985 0.22324659],[7.735948e-04 9.992264e-01],"[2.8783206e-06 1.4123155e-04 1.3944603e-02 4.0222836e-01 4.7101557e-01
 1.0610910e-01 6.3823084e-03 1.7359263e-04 2.2845779e-06]",34.0,20-39
detected_faces_fgnet/036A06_face0.JPG,Middle Eastern,Indian,Male,3-9,"[9.5722722e-03 3.7430955e-06 5.2331537e-03 1.0848836e-04 1.2556865e-04
 3.3141952e-02 9.5181477e-01]",[8.5962348e-02 3.7560172e-04 1.6427471e-03 9.1201931e-01],[0.9920972  0.00790282],"[9.1019383e-04 7.8157157e-01 2.1557146e-01 1.5152676e-03 3.0308400e-04
 1.1857405e-04 8.5046404e-06 1.2355459e-06 6.3884315e-08]",6.0,0-9
detected_faces_fgnet/064A19_face0.JPG,White,White,Male,20-29,"[7.0079958e-01 4.9841496e-05 5.0945893e-02 2.8947386e-04 3.4764837e-04
 1.9688716e-03 2.4559867e-01]",[9.9509627e-01 2.7426926e-04 1.8287076e-03 2.8007571e-03],[9.9990845e-01 9.1598486e-05],"[1.2118317e-08 2.7639342e-06 2.3430154e-02 9.0311748e-01 7.2871312e-02
 5.7578238e-04 2.3804989e-06 4.6369319e-08 8.7956742e-10]",19.0,20-39
detected_faces_fgnet/080A06_face0.JPG,Middle Eastern,White,Male,3-9,"[1.0518898e-02 2.9899746e-07 3.2351022e-03 8.7437720e-06 6.1350447e-06
 7.8555453e-04 9.8544526e-01]",[9.8810047e-01 9.8832206e-05 6.3751667e-04 1.1163167e-02],[9.993963e-01 6.036638e-04],"[5.9730775e-04 7.9112351e-01 2.0709822e-01 1.0053264e-03 1.4849126e-04
 2.6638574e-05 4.0294762e-07 3.9536857e-08 1.1510649e-09]",6.0,0-9
detected_faces_fgnet/001A40_face0.JPG,Middle Eastern,White,Male,40-49,"[9.1117593e-03 2.6981335e-04 1.3557698e-02 4.5828766e-04 5.9996848e-04
 1.2341463e-02 9.6366096e-01]",[0.8796011  0.00210037 0.01902708 0.0992714 ],[9.998215e-01 1.784705e-04],"[6.93054426e-06 7.41519943e-06 1.69290230e-04 3.06111504e-03
 1.07467376e-01 7.00377822e-01 1.77772313e-01 1.08933784e-02
 2.44284951e-04]",40.0,40-59
detected_faces_fgnet/066A10_face0.JPG,Latino_Hispanic,Indian,Male,10-19,"[0.10641619 0.00220334 0.6341219  0.00084796 0.00203258 0.08710788
 0.16727021]",[0.12751463 0.02634442 0.01485909 0.8312819 ],[0.95583177 0.04416827],"[7.4948039e-06 3.4711629e-01 6.4557064e-01 6.9685443e-03 3.3050682e-04
 6.4139294e-06 5.1189513e-08 4.5141406e-09 2.3896587e-10]",10.0,10-19
detected_faces_fgnet/029A11_face0.JPG,Middle Eastern,Indian,Male,3-9,"[1.9810233e-01 1.1827234e-03 1.7526509e-01 8.4472689e-05 7.7670900e-04
 5.7793275e-02 5.6679535e-01]",[0.341203   0.04095557 0.01519466 0.60264677],[9.992397e-01 7.603198e-04],"[7.8294084e-05 5.7187819e-01 4.2572513e-01 1.9395883e-03 2.5446230e-04
 1.1886175e-04 4.3001969e-06 1.1489287e-06 9.5704863e-08]",11.0,0-9
detected_faces_fgnet/071A00_face0.JPG,Black,White,Male,0-2,"[0.34992114 0.37755284 0.1206106  0.0010026  0.00501698 0.06705509
 0.07884085]",[0.56939405 0.12753549 0.00344243 0.299628  ],[0.5300805  0.46991947],"[8.7744707e-01 1.1916838e-01 5.1586656e-04 2.1911233e-04 6.5678387e-04
 1.1795720e-03 6.9256814e-04 1.0345569e-04 1.7199527e-05]",0.0,0-9
detected_faces_fgnet/015A04_face0.JPG,White,White,Female,3-9,"[5.0423229e-01 5.4226995e-05 2.1898729e-01 1.8310568e-03 9.5880032e-04
 1.9684790e-02 2.5425157e-01]",[9.0008730e-01 9.5193194e-05 3.8695282e-03 9.5947899e-02],[0.11206196 0.8879381 ],"[2.2770380e-04 7.0321906e-01 2.9529479e-01 1.1669104e-03 8.1442216e-05
 9.6543672e-06 3.5206696e-07 6.7656096e-08 1.5464119e-08]",4.0,0-9
