face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_unhappy/unhappy_person_0000_face0.png,White,White,Female,40-49,"[9.8145598e-01 9.6331623e-06 8.6536519e-03 1.2923454e-04 1.8078758e-04
 4.1938029e-04 9.1513032e-03]",[0.97067785 0.00529279 0.00213481 0.02189457],[0.49178267 0.50821733],"[8.6056580e-06 4.3795790e-05 1.2549662e-03 2.5389016e-02 2.5370869e-01
 5.8162773e-01 1.3404717e-01 3.7681882e-03 1.5188936e-04]",White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_unhappy/unhappy_person_0001_face0.png,White,White,Male,50-59,"[9.8802638e-01 5.8815221e-04 5.9520430e-03 7.3293675e-05 2.0412344e-04
 1.2264618e-03 3.9296499e-03]",[0.9790281  0.00302626 0.0047767  0.01316901],[0.95257616 0.04742379],"[9.9218087e-06 2.1240330e-05 4.3141816e-04 1.3621153e-02 9.7465061e-02
 3.8645026e-01 4.2588955e-01 6.5513425e-02 1.0597944e-02]",White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_unhappy/unhappy_person_0002_face0.png,White,White,Female,30-39,"[9.8135823e-01 9.5076495e-05 8.5158991e-03 3.8214141e-05 1.6300639e-04
 4.3150675e-04 9.3980310e-03]",[0.9893024  0.00115055 0.00574478 0.00380222],[0.10935646 0.89064354],"[1.7742099e-07 1.0035962e-05 3.4363887e-03 2.1798986e-01 5.1241928e-01
 2.4984877e-01 1.5471048e-02 7.5764029e-04 6.6778630e-05]",White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_unhappy/unhappy_person_0003_face0.png,White,White,Female,30-39,"[9.9272001e-01 4.1353971e-05 5.7538850e-03 3.6591347e-05 7.4966621e-05
 6.5908309e-05 1.3072259e-03]",[0.99512875 0.00136    0.0023299  0.0011814 ],[0.00249655 0.99750346],"[8.8977586e-08 2.5666086e-05 1.2412259e-02 4.5337141e-01 5.0131762e-01
 3.2653920e-02 2.1664893e-04 2.2597928e-06 7.9668993e-08]",White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_unhappy/unhappy_person_0004_face0.png,White,White,Female,40-49,"[4.2914087e-01 3.9214501e-05 1.5503769e-01 2.2470190e-03 2.8847754e-03
 2.9333686e-03 4.0771705e-01]",[9.8920405e-01 8.1777725e-05 3.4232200e-03 7.2909947e-03],[0.00493474 0.9950653 ],"[9.1832305e-07 1.7669114e-05 1.4154994e-03 2.0778365e-02 2.6988980e-01
 5.9021115e-01 1.1359250e-01 3.9985273e-03 9.5613468e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_unhappy/unhappy_person_0005_face0.png,White,White,Female,30-39,"[8.6918801e-01 2.3285799e-04 8.4439643e-02 1.3157390e-02 1.8473877e-02
 1.1386982e-03 1.3369484e-02]",[9.9376804e-01 2.2093351e-04 4.5097582e-03 1.5012722e-03],[0.05505206 0.94494796],"[1.80874807e-07 9.24703181e-06 5.75574441e-03 3.09579462e-01
 5.70622087e-01 1.09803684e-01 4.06965846e-03 1.53932924e-04
 6.06365757e-06]",White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_unhappy/unhappy_person_0006_face0.png,White,White,Male,30-39,"[9.9395424e-01 1.7969138e-05 3.7499447e-03 1.4913724e-04 2.5580896e-04
 1.1797749e-04 1.7549235e-03]",[9.9754429e-01 2.0957095e-04 8.5756340e-04 1.3885939e-03],[9.9999535e-01 4.6192413e-06],"[1.0707332e-06 1.5316344e-05 1.6578084e-03 1.8759705e-01 6.1803675e-01
 1.8732879e-01 5.2731102e-03 8.8259541e-05 1.8622627e-06]",White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_unhappy/unhappy_person_0007_face0.png,White,Asian,Female,30-39,"[5.4615110e-01 2.2850606e-04 1.4775066e-01 1.2829202e-01 1.2543654e-01
 2.3047826e-03 4.9836375e-02]",[6.6554262e-03 2.8825862e-05 9.8923165e-01 4.0841019e-03],[0.27756372 0.72243625],"[2.3073420e-05 2.2521446e-04 1.5835432e-02 2.4439041e-01 3.7641791e-01
 2.6582778e-01 7.4609756e-02 2.0538146e-02 2.1323026e-03]",White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_unhappy/unhappy_person_0008_face0.png,White,Asian,Female,40-49,"[8.7493390e-01 4.0952803e-04 5.1724382e-02 1.8101851e-02 3.0196078e-02
 1.1115095e-03 2.3522830e-02]",[0.4012771  0.03622401 0.50922245 0.05327647],[0.043942   0.95605797],"[3.4274283e-06 1.6025138e-05 6.4945093e-04 2.1586794e-02 2.0407227e-01
 5.4501128e-01 2.0710257e-01 2.0458337e-02 1.0998542e-03]",White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_unhappy/unhappy_person_0009_face0.png,White,White,Female,30-39,"[7.4691433e-01 1.6118967e-05 2.1738374e-01 7.4727694e-04 1.6791899e-03
 8.2682021e-04 3.2432485e-02]",[7.57471442e-01 3.14340083e-04 1.35217771e-01 1.06996454e-01],[0.00229381 0.9977062 ],"[1.8558296e-07 3.3049011e-05 1.3781167e-02 2.3951450e-01 6.1376625e-01
 1.2944476e-01 3.3360517e-03 1.2062948e-04 3.4329828e-06]",White,20-39
