face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_surprised/surprised_person_0000_face0.png,White,White,Male,20-29,"[9.8573226e-01 2.1395294e-05 3.8207783e-03 2.6801581e-04 2.0515196e-04
 5.3205182e-05 9.8991925e-03]",[9.9450654e-01 1.3629191e-03 3.9532958e-03 1.7718927e-04],[9.999965e-01 3.484011e-06],"[1.0260199e-08 2.9561327e-06 2.5817896e-03 8.3221769e-01 1.6446581e-01
 7.3093071e-04 8.3611508e-07 9.7396713e-09 2.1666513e-10]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_surprised/surprised_person_0001_face0.png,White,White,Male,30-39,"[6.4705670e-01 7.6154742e-05 1.1849717e-01 1.9081281e-05 7.6079574e-05
 1.0770232e-02 2.2350462e-01]",[0.8890698  0.00413685 0.00167246 0.10512091],[9.9987024e-01 1.2973303e-04],"[2.8431618e-08 2.2296513e-06 6.1219756e-04 4.8338485e-01 5.0826824e-01
 7.7239927e-03 8.3903369e-06 5.7887767e-08 1.0179462e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_surprised/surprised_person_0002_face0.png,White,White,Male,20-29,"[9.9887133e-01 1.1014160e-05 4.4480930e-04 5.9037548e-06 7.3843953e-06
 2.0783884e-05 6.3871883e-04]",[9.9875844e-01 8.3897420e-04 2.0119656e-04 2.0132729e-04],[9.9996585e-01 3.4147917e-05],"[4.6729176e-09 4.8004981e-06 1.2281002e-02 9.1617817e-01 7.1155638e-02
 3.7972434e-04 6.5864742e-07 8.4359302e-09 2.7189140e-10]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_surprised/surprised_person_0003_face0.png,Black,Black,Male,20-29,"[9.8531856e-04 9.5493287e-01 9.4145080e-03 3.0295967e-05 3.8438945e-04
 3.3651352e-02 6.0121738e-04]",[0.01179976 0.97911614 0.00356855 0.00551559],[9.9991876e-01 8.1246922e-05],"[1.1582198e-06 1.6691000e-04 5.2417936e-03 6.2326401e-01 3.6147910e-01
 9.7849080e-03 6.0727423e-05 1.3485301e-06 9.3973533e-08]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_surprised/surprised_person_0004_face0.png,White,White,Male,20-29,"[9.9569380e-01 3.9372144e-06 5.2402902e-04 1.9684535e-06 6.5016075e-06
 6.8496438e-06 3.7628151e-03]",[9.9889779e-01 3.9395309e-04 3.9874608e-04 3.0947631e-04],[9.9999982e-01 1.2831147e-07],"[9.7564641e-09 1.2024784e-06 1.2591477e-03 5.6859702e-01 4.2176825e-01
 8.3477916e-03 2.6431275e-05 1.5069926e-07 2.4425377e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_surprised/surprised_person_0005_face0.png,White,White,Male,20-29,"[9.9909359e-01 1.2062440e-06 2.2595871e-04 6.9542330e-05 5.5226410e-05
 1.0977877e-05 5.4347917e-04]",[9.9877340e-01 3.0858262e-04 7.4990670e-04 1.6805937e-04],[9.9998766e-01 1.2340498e-05],"[3.2511743e-08 3.6823285e-06 1.3032120e-03 5.4035699e-01 4.4259793e-01
 1.5655298e-02 8.2418796e-05 5.2932188e-07 2.7301812e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_surprised/surprised_person_0006_face0.png,Black,Black,Female,20-29,"[0.20607373 0.4704366  0.17059176 0.03123184 0.04759816 0.04916043
 0.02490747]",[0.3515579  0.4000225  0.11832537 0.13009417],[0.00196898 0.998031  ],"[2.0366273e-05 1.9437961e-02 1.5728067e-01 6.7198843e-01 1.4653061e-01
 4.3925960e-03 3.1600322e-04 3.0069903e-05 3.3410204e-06]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_surprised/surprised_person_0007_face0.png,Black,Black,Male,20-29,"[3.7672773e-05 9.9898934e-01 6.8703177e-04 6.8574541e-06 9.9418299e-05
 1.7195650e-04 7.7119375e-06]",[4.2454235e-04 9.9795365e-01 4.2205033e-04 1.1997576e-03],[9.996826e-01 3.173594e-04],"[6.1514747e-06 7.3626341e-04 2.4889875e-02 7.1455747e-01 2.4433845e-01
 1.4993451e-02 4.5628755e-04 1.9386651e-05 2.6252924e-06]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_surprised/surprised_person_0008_face0.png,Black,Black,Male,30-39,"[1.1569543e-05 9.9917972e-01 1.4053359e-04 1.2116708e-06 2.5486914e-05
 6.3561334e-04 5.8334817e-06]",[3.1734173e-05 9.9936181e-01 2.0571005e-04 4.0069519e-04],[9.9996352e-01 3.6459605e-05],"[3.8682547e-08 1.9571103e-06 9.6412777e-04 4.0999466e-01 5.6200188e-01
 2.6758397e-02 2.7582649e-04 2.9171554e-06 1.9026731e-07]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_surprised/surprised_person_0009_face0.png,White,White,Male,20-29,"[9.9514347e-01 2.1439334e-06 3.2345077e-04 2.2569121e-04 2.0218684e-04
 8.8336119e-06 4.0942160e-03]",[9.9934262e-01 1.7572203e-05 5.6741119e-04 7.2381561e-05],[9.9999124e-01 8.7648777e-06],"[7.0970259e-08 6.1344972e-06 4.2930697e-03 6.7660946e-01 3.1090781e-01
 8.1322873e-03 5.0523067e-05 6.1233504e-07 2.2764027e-08]",0,White,20-39
