face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_happy/happy_person_0000_face0.png,Black,Black,Male,20-29,"[9.20824004e-06 9.99591291e-01 2.04908414e-04 3.04818542e-07
 1.42037225e-05 1.74773653e-04 5.34510673e-06]",[1.4345174e-05 9.9901295e-01 5.6162848e-05 9.1657892e-04],[1.0000000e+00 1.1557707e-08],"[8.3404315e-09 1.1794883e-06 6.3341171e-03 7.8561550e-01 1.9966739e-01
 8.2680881e-03 1.1249258e-04 1.2720610e-06 2.9327730e-08]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_happy/happy_person_0001_face0.png,Black,Black,Male,20-29,"[4.6851401e-06 9.9603575e-01 2.1708934e-04 2.2185443e-06 3.8860835e-05
 3.6997967e-03 1.5368954e-06]",[2.5520532e-05 9.9641705e-01 6.1404149e-05 3.4960660e-03],[0.99852616 0.0014738 ],"[7.5745575e-08 1.1604120e-05 2.1744290e-02 8.2676250e-01 1.4167641e-01
 9.6526854e-03 1.5036487e-04 1.9051454e-06 7.5706581e-08]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_happy/happy_person_0002_face0.png,Latino_Hispanic,Indian,Male,30-39,"[0.2228565  0.0142614  0.6483524  0.00147922 0.00217751 0.06113868
 0.04973429]",[0.40377158 0.02004624 0.0098874  0.5662948 ],[9.9999166e-01 8.3775058e-06],"[1.5198428e-06 8.1150401e-06 1.4807999e-03 9.7645864e-02 4.7925758e-01
 3.8881382e-01 3.2456789e-02 3.3110025e-04 4.3528885e-06]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_happy/happy_person_0003_face0.png,Indian,Indian,Male,20-29,"[0.01791433 0.04176632 0.2704003  0.00361496 0.01218176 0.5368987
 0.11722365]",[0.0210585  0.26125908 0.02453915 0.69314325],[9.999919e-01 8.078622e-06],"[2.0638977e-06 1.0760813e-04 1.1846720e-02 5.6394875e-01 3.8203654e-01
 4.1082080e-02 9.5393159e-04 2.1762580e-05 5.9631998e-07]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_happy/happy_person_0004_face0.png,Black,Black,Male,30-39,"[7.0550823e-06 9.9603963e-01 3.9179690e-04 4.0225395e-06 1.2252886e-04
 3.4155764e-03 1.9401234e-05]",[2.4335866e-05 9.9076837e-01 2.1100386e-04 8.9963069e-03],[9.9999946e-01 5.2119771e-07],"[3.76117526e-07 1.82830518e-05 4.90517262e-03 3.74946296e-01
 4.68331486e-01 1.43047258e-01 8.64229817e-03 1.05455096e-04
 3.36814878e-06]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_happy/happy_person_0005_face0.png,Indian,Indian,Male,20-29,"[1.5256532e-02 1.4862951e-03 4.2792892e-01 3.6639944e-04 4.0905350e-03
 5.3660154e-01 1.4269779e-02]",[0.00953079 0.00284053 0.00522164 0.98240703],[9.9999988e-01 1.1159112e-07],"[1.7245121e-06 1.1804244e-04 1.1232535e-02 5.2639097e-01 4.3467972e-01
 2.7222510e-02 3.5062712e-04 3.8990038e-06 4.5590923e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_happy/happy_person_0006_face0.png,Black,Black,Male,20-29,"[1.1082602e-06 9.9994856e-01 2.6875614e-05 3.4653755e-08 1.0628914e-06
 2.0863001e-05 1.5763985e-06]",[2.8877880e-06 9.9993718e-01 1.1320869e-05 4.8672166e-05],[9.9999911e-01 8.7182667e-07],"[1.4160171e-08 3.7128387e-07 1.3281038e-03 5.3668541e-01 4.2042455e-01
 4.0929276e-02 6.2790659e-04 4.2988149e-06 1.5451326e-07]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_happy/happy_person_0007_face0.png,White,White,Male,30-39,"[9.1727501e-01 7.4542986e-05 3.8538743e-02 2.2953156e-04 2.1034357e-04
 1.2322975e-03 4.2439509e-02]",[9.9348825e-01 7.5850432e-04 7.9578621e-04 4.9574217e-03],[9.999958e-01 4.135436e-06],"[2.7458549e-07 1.2457786e-05 1.8382635e-03 4.3997711e-01 5.4270321e-01
 1.5414257e-02 5.4112734e-05 2.6852007e-07 4.0105177e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_happy/happy_person_0008_face0.png,Black,Black,Female,20-29,"[1.6520588e-07 9.9988896e-01 1.1446578e-05 2.0867731e-07 6.3189486e-06
 9.2904906e-05 3.3476592e-08]",[3.8204416e-07 9.9984789e-01 1.5190592e-05 1.3660880e-04],[6.031960e-04 9.993968e-01],"[8.3694554e-09 1.0888483e-05 2.3319887e-02 7.8756517e-01 1.8476894e-01
 4.3172860e-03 1.7741351e-05 5.7859321e-08 1.2526943e-09]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_happy/happy_person_0009_face0.png,Black,Black,Male,20-29,"[9.2312475e-06 9.9891794e-01 2.3568262e-04 2.7730505e-07 6.2555741e-06
 8.2509965e-04 5.5253049e-06]",[6.1167802e-06 9.9944359e-01 8.6219216e-06 5.4161082e-04],[9.9999589e-01 4.1319454e-06],"[9.3554050e-08 2.1469284e-06 3.9077159e-03 5.6378478e-01 3.9608654e-01
 3.5563812e-02 6.4889656e-04 5.8299074e-06 1.7937532e-07]",1,Black,20-39
