face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0000_face0.png,White,White,Female,20-29,"[7.5438970e-01 1.4400065e-05 1.3429953e-01 2.9241981e-04 2.0058273e-04
 1.9605011e-03 1.0884299e-01]",[9.9248517e-01 1.0561510e-04 1.9630047e-03 5.4461667e-03],[2.1568275e-04 9.9978429e-01],"[2.4905622e-09 9.4758820e-05 2.9977882e-01 6.9281876e-01 7.2987722e-03
 8.8486713e-06 4.3605599e-09 6.7623580e-11 1.3406975e-12]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0001_face0.png,White,White,Female,20-29,"[8.4874094e-01 4.5323563e-05 7.7810489e-02 1.3127923e-03 1.5501641e-03
 1.1792524e-03 6.9361091e-02]",[9.6970046e-01 4.1069850e-04 1.8776797e-02 1.1112040e-02],[0.00580647 0.99419355],"[3.2220677e-09 7.7066645e-05 4.5225701e-01 5.3258818e-01 1.5036573e-02
 4.1110874e-05 4.2116824e-08 6.8704897e-10 1.7797508e-11]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0002_face0.png,White,White,Female,20-29,"[9.8101473e-01 1.6418093e-05 7.9858555e-03 2.6686061e-03 1.0374724e-03
 5.8314687e-05 7.2186915e-03]",[0.9016019  0.00691768 0.08669083 0.0047896 ],[1.1575207e-05 9.9998844e-01],"[2.3024727e-09 9.3346913e-05 3.3130121e-01 6.5287465e-01 1.5695274e-02
 3.5406032e-05 2.4727107e-08 2.6417785e-10 6.0034837e-12]",2,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0003_face0.png,White,White,Female,10-19,"[8.8837665e-01 9.8326063e-06 3.0231684e-02 1.6920992e-04 9.8729171e-05
 7.5022562e-04 8.0363639e-02]",[9.9742788e-01 2.1281601e-04 7.3141087e-04 1.6278693e-03],[4.8429726e-04 9.9951571e-01],"[2.6409859e-09 3.3566332e-04 6.7584360e-01 3.2278955e-01 1.0301835e-03
 1.0011031e-06 3.7493236e-10 6.9206229e-12 2.9695238e-13]",0,White,10-19
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0004_face0.png,White,White,Female,10-19,"[8.0228561e-01 2.7897913e-04 1.2480866e-01 9.8932057e-04 6.3034066e-04
 1.6920458e-03 6.9315024e-02]",[0.96436375 0.0167999  0.01195678 0.00687964],[5.661026e-05 9.999434e-01],"[8.83228490e-10 1.12834496e-04 6.42967343e-01 3.54752988e-01
 2.16454687e-03 2.31905801e-06 1.08543063e-09 1.48788950e-11
 4.59709148e-13]",0,White,10-19
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0005_face0.png,White,White,Female,20-29,"[8.4509975e-01 4.0619791e-05 1.0319494e-01 2.9145256e-03 1.2821754e-03
 1.3479821e-03 4.6120014e-02]",[0.95744944 0.00103081 0.01616276 0.02535702],[4.337804e-04 9.995662e-01],"[1.03750497e-09 5.55349216e-05 4.47394133e-01 5.45754075e-01
 6.78564608e-03 1.06442185e-05 5.05951459e-09 7.47173226e-11
 2.14260597e-12]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0006_face0.png,White,White,Female,20-29,"[9.12011385e-01 1.45791455e-05 1.49400271e-02 3.52944422e-04
 2.77572428e-04 2.76717386e-04 7.21268207e-02]",[0.93133265 0.00126513 0.02531884 0.0420834 ],[3.9473936e-04 9.9960524e-01],"[2.54406052e-09 8.46982948e-05 3.89649153e-01 5.99601746e-01
 1.06362505e-02 2.81571793e-05 2.44459937e-08 3.73380216e-10
 1.04359559e-11]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0007_face0.png,White,White,Female,10-19,"[7.7132827e-01 2.0543615e-05 1.1462777e-01 5.8561955e-03 5.3424803e-03
 3.3385686e-03 9.9486127e-02]",[9.3034464e-01 2.8467234e-04 5.7533018e-02 1.1837732e-02],[0.1791354 0.8208646],"[1.4741700e-07 1.8908519e-03 6.1959499e-01 3.7458324e-01 3.9141732e-03
 1.6481166e-05 2.6099681e-08 1.1116429e-09 2.9021384e-11]",1,White,10-19
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0008_face0.png,White,White,Female,10-19,"[8.7015051e-01 1.3710202e-04 4.8567683e-02 3.8210405e-03 1.0699641e-03
 8.8063668e-04 7.5373128e-02]",[0.9809459  0.00110227 0.01673475 0.00121712],[9.7689284e-05 9.9990231e-01],"[9.3485597e-10 1.8214779e-04 7.5872868e-01 2.3950329e-01 1.5843487e-03
 1.6261155e-06 8.3183571e-10 1.4587409e-11 5.8624790e-13]",1,White,10-19
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0009_face0.png,White,White,Female,10-19,"[5.72051585e-01 1.04521656e-04 3.21287364e-01 1.04669258e-02
 9.89705324e-03 6.34259358e-03 7.98499584e-02]",[9.0204746e-01 7.7580876e-04 6.9730662e-02 2.7446087e-02],[0.14416003 0.85583997],"[1.0676641e-08 3.9657575e-04 6.4537233e-01 3.5150167e-01 2.7237255e-03
 5.6946310e-06 4.5293969e-09 1.3090254e-10 3.4819333e-12]",0,White,10-19
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0010_face0.png,White,White,Female,10-19,"[8.8412303e-01 1.0068325e-04 5.8239311e-02 5.7425997e-03 3.7683437e-03
 9.0003165e-04 4.7126055e-02]",[9.8457599e-01 9.1425311e-05 1.3641171e-02 1.6914607e-03],[0.08067511 0.9193249 ],"[3.9756316e-08 1.2462295e-03 5.8238810e-01 4.0825090e-01 8.0869645e-03
 2.7724887e-05 3.6395747e-08 8.8701690e-10 2.6882989e-11]",1,White,10-19
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0011_face0.png,White,White,Female,10-19,"[5.0400835e-01 3.1835679e-04 3.8234389e-01 2.0753925e-03 2.2555345e-03
 9.7649964e-03 9.9233575e-02]",[0.74183416 0.00445922 0.12587018 0.12783654],[7.0305174e-04 9.9929696e-01],"[9.9626662e-10 1.2682867e-04 6.4606541e-01 3.5155219e-01 2.2529068e-03
 2.7060858e-06 1.2696810e-09 2.8140454e-11 7.2379743e-13]",0,White,10-19
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_person/person_0012_face0.png,White,White,Female,10-19,"[7.3567283e-01 1.3622925e-04 1.7816193e-01 3.7838400e-03 2.5411318e-03
 1.1227831e-02 6.8476282e-02]",[9.7691149e-01 4.4906148e-04 1.1835309e-02 1.0804159e-02],[4.2218552e-04 9.9957782e-01],"[2.4500775e-09 3.9545778e-04 7.3098332e-01 2.6792842e-01 6.9210987e-04
 6.4980890e-07 3.2373873e-10 9.4086865e-12 4.1899072e-13]",1,White,10-19
