face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_person/person_0000_face0.png,Southeast Asian,Asian,Female,20-29,"[5.2620515e-05 9.3840594e-05 2.6452935e-03 2.7754429e-01 7.1585083e-01
 3.8067338e-03 6.4469400e-06]",[6.0110971e-05 2.3448837e-04 9.9608719e-01 3.6181977e-03],[0.04392859 0.95607144],"[2.1699691e-07 6.9654663e-05 7.1692452e-02 6.3994789e-01 2.7448043e-01
 1.3575638e-02 2.2430286e-04 9.2780774e-06 2.0134918e-07]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_person/person_0001_face0.png,East Asian,Asian,Female,20-29,"[7.6805591e-05 1.8233216e-06 4.4622301e-04 9.3451840e-01 6.4816609e-02
 1.3281536e-04 7.2669768e-06]",[1.2100480e-04 3.8720602e-05 9.9975020e-01 9.0033354e-05],[0.40796384 0.5920362 ],"[4.9272234e-07 2.2763612e-04 1.9340342e-01 7.4663532e-01 5.8870118e-02
 8.5463864e-04 7.6159613e-06 7.1361080e-07 1.6685616e-08]",2,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_person/person_0002_face0.png,Southeast Asian,Asian,Male,20-29,"[6.5891311e-04 1.5429084e-04 4.4716157e-02 4.0609381e-01 5.4532939e-01
 2.6981919e-03 3.4924157e-04]",[3.0323290e-04 2.4031514e-04 9.8569918e-01 1.3757355e-02],[1.000000e+00 5.019321e-09],"[2.4812383e-08 1.8832541e-06 6.1134924e-03 8.1751919e-01 1.7438711e-01
 1.9698224e-03 8.2264123e-06 2.9116893e-07 2.2643236e-09]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_person/person_0003_face0.png,White,White,Female,20-29,"[6.6508478e-01 1.9336111e-04 2.9402137e-01 6.2569533e-03 3.7530467e-03
 1.8250295e-03 2.8865423e-02]",[9.9224842e-01 1.8838746e-03 5.0096703e-03 8.5796893e-04],[0.1074604 0.8925396],"[1.1077849e-08 8.0881664e-06 5.9387609e-02 7.3711795e-01 1.9765930e-01
 5.7943165e-03 3.2063228e-05 5.9216228e-07 1.3417999e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_person/person_0004_face0.png,White,White,Female,20-29,"[8.5871506e-01 5.1441320e-06 8.2196435e-03 2.3157811e-05 2.2294058e-05
 2.6222816e-04 1.3275248e-01]",[9.9931592e-01 8.1215912e-05 1.4858005e-04 4.5425087e-04],[1.8881359e-04 9.9981111e-01],"[2.4655160e-09 3.0499043e-06 2.3049342e-02 6.9812948e-01 2.7391860e-01
 4.8827645e-03 1.6592743e-05 1.8560550e-07 2.4860694e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_person/person_0005_face0.png,East Asian,Asian,Male,20-29,"[6.5490436e-05 1.1418199e-07 9.7650511e-04 9.3688369e-01 6.2046241e-02
 1.3556991e-05 1.4364667e-05]",[7.7268938e-05 1.4108887e-05 9.9963653e-01 2.7208801e-04],[1.000000e+00 3.608162e-09],"[8.9995638e-09 4.1176810e-07 2.1853137e-03 6.5084553e-01 3.4337357e-01
 3.5799539e-03 1.4819572e-05 4.8533963e-07 1.1978609e-09]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_person/person_0006_face0.png,Latino_Hispanic,Indian,Male,20-29,"[5.5469410e-03 1.8559283e-02 7.6799256e-01 2.7539700e-04 5.9087463e-03
 1.5249956e-01 4.9217500e-02]",[0.00187087 0.07190801 0.00358058 0.92264056],[9.9999887e-01 1.1087782e-06],"[3.6839575e-07 3.7809790e-05 2.6081817e-02 8.2902706e-01 1.4227052e-01
 2.5690713e-03 1.3228824e-05 1.5432779e-07 2.2750555e-09]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_person/person_0007_face0.png,Latino_Hispanic,Indian,Male,20-29,"[0.00315024 0.00207766 0.44824573 0.06271326 0.332453   0.13358407
 0.01777602]",[0.00382878 0.00269785 0.46053177 0.5329416 ],[1.0000000e+00 1.2556414e-08],"[4.0920540e-07 3.2676409e-05 1.4607318e-02 6.6784459e-01 2.9866061e-01
 1.8645700e-02 2.0289898e-04 5.7311772e-06 4.6281944e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_person/person_0008_face0.png,Indian,Indian,Male,20-29,"[0.01092381 0.00397769 0.08507653 0.01107173 0.05356173 0.42055836
 0.41483012]",[0.03575397 0.01447056 0.15623744 0.79353803],[0.5018588  0.49814126],"[7.2074596e-07 2.2698511e-04 6.7078203e-02 8.0858845e-01 1.2028762e-01
 3.7668901e-03 4.8262482e-05 2.8171114e-06 1.3224316e-07]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_person/person_0009_face0.png,Latino_Hispanic,Indian,Male,20-29,"[0.05963459 0.00363121 0.5933018  0.00076588 0.00306365 0.11954877
 0.22005415]",[0.26010206 0.01519175 0.01205991 0.71264625],[9.9999952e-01 4.3203826e-07],"[1.6148559e-06 6.9407113e-05 9.1989078e-03 6.2321705e-01 3.5420528e-01
 1.3231134e-02 7.5903532e-05 7.6140407e-07 7.4413582e-09]",1,Others,20-39
