face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_angry/angry_person_0000_face0.png,White,White,Male,50-59,"[9.7231263e-01 1.9938761e-04 1.0692046e-02 9.4560761e-05 2.0581890e-04
 5.1430392e-04 1.5981141e-02]",[9.8547107e-01 2.1062286e-04 1.0605834e-02 3.7125295e-03],[9.9921775e-01 7.8225246e-04],"[1.6760820e-05 6.5282919e-05 9.5795450e-04 4.5005525e-03 3.0811109e-02
 2.7467677e-01 6.3141495e-01 5.5611402e-02 1.9452317e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_angry/angry_person_0001_face0.png,White,White,Male,40-49,"[9.6291900e-01 3.7461714e-04 2.8779741e-02 2.9090834e-05 7.1502560e-05
 1.0023610e-03 6.8237861e-03]",[9.8498452e-01 3.2721073e-04 1.2777499e-02 1.9106739e-03],[9.998511e-01 1.489059e-04],"[1.5544230e-06 6.1176484e-06 2.8874900e-04 1.0536101e-02 1.9561779e-01
 6.3409185e-01 1.5795241e-01 1.4872944e-03 1.8130600e-05]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_angry/angry_person_0002_face0.png,White,White,Male,40-49,"[9.8168093e-01 6.5150729e-05 5.9124823e-03 3.4769830e-05 4.6657988e-05
 2.2029744e-04 1.2039726e-02]",[9.9742353e-01 3.7782556e-05 1.5144240e-03 1.0243133e-03],[9.9987817e-01 1.2186399e-04],"[1.0934781e-05 2.2006576e-05 3.5981895e-04 5.1487843e-03 1.0221114e-01
 5.6748617e-01 3.1866151e-01 6.0071596e-03 9.2559749e-05]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_angry/angry_person_0003_face0.png,White,White,Male,50-59,"[9.6181041e-01 3.1468805e-04 1.7415287e-02 2.2111354e-04 2.6823572e-04
 1.2453849e-03 1.8724971e-02]",[9.877355e-01 5.956402e-04 7.121768e-03 4.547057e-03],[0.99721897 0.00278104],"[8.1952503e-06 1.3724601e-05 1.5995743e-04 1.8690946e-03 2.8690794e-02
 3.0704150e-01 6.1458379e-01 4.5691848e-02 1.9410787e-03]",0,White,40-59
/scratch/project_462001220/mengting/projects_771/bias/Proteus/prompt2/complete_selected_faces/detected_angry/0004_face0.png,White,White,Male,50-59,"[9.7764736e-01 1.6905606e-03 1.1973076e-02 1.2742849e-04 5.2983215e-04
 2.0191593e-03 6.0125799e-03]",[0.8143863  0.0292597  0.09479765 0.06155631],[0.99769807 0.00230194],"[3.00838883e-06 1.12687540e-05 1.78621820e-04 9.97992582e-04
 1.18391346e-02 1.62147567e-01 7.00563788e-01 1.16568305e-01
 7.69039942e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_angry/angry_person_0005_face0.png,White,White,Male,50-59,"[9.0900886e-01 1.9182459e-02 5.4465953e-02 3.4009721e-05 5.0531555e-05
 4.6108863e-03 1.2647251e-02]",[0.98002404 0.01069579 0.00157156 0.00770862],[9.9956334e-01 4.3667539e-04],"[4.1427670e-06 1.1584546e-05 2.0852499e-04 2.0253293e-03 2.1367384e-02
 1.8279436e-01 7.0826852e-01 8.2393371e-02 2.9267801e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_angry/angry_person_0006_face0.png,White,White,Male,50-59,"[7.8493470e-01 3.5886530e-02 8.7970890e-02 2.3090116e-04 8.0774754e-04
 1.5262023e-02 7.4907139e-02]",[0.5140747  0.0774051  0.02108908 0.38743111],[9.99899507e-01 1.00516125e-04],"[3.7992309e-06 1.2325709e-05 1.2327508e-04 6.1693933e-04 1.2424215e-02
 2.0746484e-01 6.8514103e-01 9.0730891e-02 3.4826563e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_angry/angry_person_0007_face0.png,White,White,Male,50-59,"[8.4919423e-01 7.2504245e-03 1.3372813e-02 6.9992304e-05 1.1703933e-04
 1.7917613e-03 1.2820373e-01]",[9.9634635e-01 1.7618361e-03 1.0303429e-03 8.6146325e-04],[9.9962670e-01 3.7336856e-04],"[6.9106654e-06 1.6323829e-05 1.8799171e-04 6.0401540e-03 4.9659327e-02
 2.8557077e-01 5.2027678e-01 1.2386613e-01 1.4375577e-02]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_angry/angry_person_0008_face0.png,White,White,Male,50-59,"[9.9129003e-01 3.9106912e-05 6.0439622e-04 9.7772783e-05 9.7285745e-05
 1.7087458e-04 7.7006212e-03]",[9.9590933e-01 3.7140030e-04 3.2911948e-03 4.2802535e-04],[0.9989751  0.00102492],"[3.2791504e-06 1.3162213e-05 1.9951411e-04 8.4823798e-03 5.4884315e-02
 3.5449168e-01 5.3158945e-01 4.5805797e-02 4.5303800e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_angry/angry_person_0009_face0.png,White,White,Male,50-59,"[9.9089497e-01 1.8799343e-05 6.1444676e-04 2.5391897e-05 3.1948286e-05
 6.1110681e-05 8.3533544e-03]",[0.9556752  0.0030308  0.03261178 0.00868222],[0.992558   0.00744199],"[1.5156733e-05 6.3119820e-05 7.0283777e-04 3.4108025e-03 1.0550050e-02
 1.1749984e-01 6.0079873e-01 2.0937227e-01 5.7587266e-02]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_angry/angry_person_0010_face0.png,Latino_Hispanic,White,Male,50-59,"[3.7500128e-01 1.3286936e-02 4.5329720e-01 4.0720141e-04 1.3013257e-03
 9.0053208e-02 6.6652872e-02]",[0.65827173 0.03110599 0.06061207 0.2500102 ],[9.9975967e-01 2.4034844e-04],"[9.4366718e-05 1.7856630e-04 1.1501742e-03 4.9514137e-03 5.8474503e-02
 3.4715664e-01 5.6830972e-01 1.9322665e-02 3.6197531e-04]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_angry/angry_person_0011_face0.png,White,White,Male,40-49,"[0.8364421  0.00721421 0.10023953 0.00305071 0.01039883 0.00738247
 0.03527211]",[0.8789835  0.04817803 0.03201723 0.04082116],[0.9431175  0.05688249],"[1.8700339e-05 1.2979412e-04 1.7004628e-03 1.4764408e-02 1.2709828e-01
 5.0401801e-01 3.1852645e-01 3.1647157e-02 2.0967349e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_angry/angry_person_0012_face0.png,White,White,Male,40-49,"[9.4134802e-01 2.7978687e-02 1.1568068e-02 1.3032679e-04 5.6847004e-04
 1.1300174e-02 7.1063461e-03]",[0.5605807  0.14925349 0.11691737 0.17324843],[0.99852693 0.00147306],"[3.2533029e-05 1.7890755e-04 1.0051810e-03 2.5829904e-02 1.5956321e-01
 3.8599604e-01 3.3984223e-01 7.7784777e-02 9.7672008e-03]",0,White,40-59
