face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_happy/happy_person_0000_face0.png,Latino_Hispanic,White,Female,20-29,"[0.03147576 0.00308915 0.38561243 0.23092695 0.33700457 0.00987981
 0.00201121]",[0.5428141  0.02686536 0.24382626 0.18649437],[5.224279e-05 9.999478e-01],"[2.4875462e-08 7.5796612e-05 9.8473854e-02 8.2750124e-01 7.3153026e-02
 7.9367688e-04 2.3343389e-06 6.5198790e-08 1.1968038e-09]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_happy/happy_person_0001_face0.png,Southeast Asian,Asian,Male,20-29,"[2.0994245e-04 6.6503591e-05 2.0757601e-02 3.8833755e-01 5.8633649e-01
 4.2505777e-03 4.1331728e-05]",[7.06067658e-05 6.55305121e-05 9.89689469e-01 1.01744365e-02],[9.9999839e-01 1.5939167e-06],"[1.3820244e-07 2.3785136e-05 1.9190822e-02 8.1019956e-01 1.6324413e-01
 7.2461232e-03 8.8851019e-05 6.5748441e-06 9.2275222e-08]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_happy/happy_person_0002_face0.png,Southeast Asian,Asian,Female,20-29,"[1.0033576e-02 2.9081848e-04 5.3857416e-02 4.6031475e-01 4.7095504e-01
 4.3164245e-03 2.3205578e-04]",[1.9048341e-02 4.7071362e-04 9.7651803e-01 3.9628865e-03],[5.3844760e-06 9.9999464e-01],"[5.0520010e-09 1.2896977e-04 2.6944077e-01 7.2123659e-01 9.1724964e-03
 2.1182428e-05 2.0319860e-08 5.3812305e-10 7.0004193e-12]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_happy/happy_person_0003_face0.png,Southeast Asian,Asian,Female,20-29,"[3.6484070e-04 5.3926797e-05 1.2981100e-02 4.7936076e-01 5.0451893e-01
 2.6946897e-03 2.5787553e-05]",[1.3358443e-03 6.1605031e-05 9.6852732e-01 3.0075265e-02],[1.16895855e-04 9.99883056e-01],"[7.0507134e-08 2.0885355e-04 1.5902932e-01 8.0278248e-01 3.7662372e-02
 3.1548095e-04 1.2912227e-06 6.2467763e-08 7.2018741e-10]",2,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_happy/happy_person_0004_face0.png,White,White,Female,20-29,"[5.9959972e-01 3.9189821e-04 3.6371237e-01 4.7683334e-03 2.6220353e-02
 2.7641624e-03 2.5432010e-03]",[9.7350794e-01 7.2116975e-04 2.2751434e-02 3.0193769e-03],[2.7581448e-06 9.9999726e-01],"[3.21554006e-09 2.41735343e-05 6.97143897e-02 8.18294704e-01
 1.11225665e-01 7.39688519e-04 1.31671163e-06 1.50583972e-08
 1.78687704e-10]",2,White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_happy/happy_person_0005_face0.png,East Asian,Asian,Female,20-29,"[1.4692568e-03 2.7188982e-05 1.1135979e-02 5.4627335e-01 4.3937558e-01
 1.6911635e-03 2.7522192e-05]",[5.5220124e-04 2.8254557e-05 9.9902850e-01 3.9107524e-04],[2.4354467e-05 9.9997568e-01],"[7.9272468e-08 1.6996467e-03 4.5395985e-01 5.3767991e-01 6.6378159e-03
 2.2648050e-05 4.0716138e-08 2.2486282e-09 4.0457821e-11]",2,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_happy/happy_person_0006_face0.png,East Asian,Asian,Female,20-29,"[1.2063677e-04 8.6963928e-07 4.2356196e-04 8.5854119e-01 1.4082892e-01
 8.2478313e-05 2.3761536e-06]",[7.1702132e-05 1.7171108e-06 9.9983907e-01 8.7520406e-05],[2.9113273e-05 9.9997091e-01],"[2.0301615e-08 3.8228060e-05 7.4947119e-02 8.4493703e-01 7.8799002e-02
 1.2752571e-03 3.1973989e-06 1.6375192e-07 1.3034466e-09]",2,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_happy/happy_person_0007_face0.png,East Asian,Asian,Female,20-29,"[4.4606254e-03 1.4473012e-06 4.4374745e-03 8.1587112e-01 1.7491047e-01
 2.2826879e-04 9.0601490e-05]",[1.4783529e-02 3.2947948e-05 9.8366499e-01 1.5185059e-03],[3.6006563e-04 9.9963993e-01],"[6.0393653e-08 5.4568268e-04 3.8743448e-01 6.0658956e-01 5.4082507e-03
 2.1862261e-05 5.6429865e-08 3.4756000e-09 6.3597884e-11]",2,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_happy/happy_person_0008_face0.png,East Asian,Asian,Female,20-29,"[2.3884312e-03 1.6970882e-05 1.6821016e-02 8.1401926e-01 1.6366988e-01
 2.9938554e-03 9.0558337e-05]",[5.1648039e-03 9.5952746e-06 9.9422258e-01 6.0310034e-04],[5.8160804e-06 9.9999416e-01],"[4.6420223e-09 2.8415275e-04 3.0519614e-01 6.8868470e-01 5.8225128e-03
 1.2575678e-05 1.1491099e-08 4.3252377e-10 6.4494976e-12]",2,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_happy/happy_person_0009_face0.png,Southeast Asian,Asian,Female,20-29,"[1.45413692e-03 6.00951062e-05 1.47950435e-02 4.24978584e-01
 5.56424916e-01 2.21517263e-03 7.20760072e-05]",[1.5540487e-02 9.1917976e-04 9.3718648e-01 4.6353910e-02],[6.5549277e-05 9.9993443e-01],"[2.5660572e-08 2.8019329e-05 4.6098992e-02 8.3198804e-01 1.2003817e-01
 1.8399066e-03 6.6045450e-06 2.1827884e-07 3.0496479e-09]",2,Asian,20-39
