face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_sad/sad_person_0000_face0.png,Latino_Hispanic,White,Male,30-39,"[2.5705707e-01 6.5206173e-03 5.7586521e-01 3.5027837e-04 1.7545335e-03
 3.3001248e-02 1.2545100e-01]",[0.5531955  0.29786286 0.02800534 0.1209363 ],[9.9999636e-01 3.6906843e-06],"[9.0583477e-08 5.9195918e-07 1.3458988e-04 3.0294947e-02 5.5450267e-01
 3.9537230e-01 1.9570921e-02 1.2208159e-04 1.7619291e-06]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_sad/sad_person_0001_face0.png,White,White,Male,30-39,"[8.6498147e-01 1.0414629e-04 1.4462713e-02 2.7204410e-04 8.1945589e-04
 1.4646831e-03 1.1789546e-01]",[9.8347819e-01 6.1512773e-04 4.8594335e-03 1.1047227e-02],[9.9999958e-01 4.2064718e-07],"[2.5855304e-06 6.3319239e-05 4.0953388e-03 1.3938597e-01 6.4304453e-01
 2.0875664e-01 4.6148216e-03 3.6240304e-05 5.2848515e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_sad/sad_person_0002_face0.png,Middle Eastern,White,Male,50-59,"[0.26083198 0.24473125 0.14491642 0.00037107 0.00348465 0.076104
 0.26956066]",[0.8797711  0.01723555 0.02021724 0.0827762 ],[9.99588e-01 4.11944e-04],"[2.9052615e-05 1.6720053e-04 2.8331731e-03 2.6664471e-02 9.4857246e-02
 2.4565671e-01 4.3705866e-01 1.6394572e-01 2.8787743e-02]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_sad/sad_person_0003_face0.png,White,White,Male,20-29,"[0.54129875 0.01780459 0.30216646 0.00428208 0.04829492 0.02789011
 0.05826308]",[0.5693195  0.01267885 0.33998176 0.07801992],[9.9959457e-01 4.0540512e-04],"[6.1132937e-06 6.3584914e-05 2.0354483e-02 4.1783178e-01 2.9920536e-01
 1.8119733e-01 7.0254490e-02 1.0160677e-02 9.2617812e-04]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_sad/sad_person_0004_face0.png,White,White,Male,30-39,"[8.6208814e-01 3.3312310e-05 1.0596733e-01 2.2450788e-03 4.2442568e-03
 1.1211879e-02 1.4210013e-02]",[9.9197513e-01 1.9440569e-05 2.3236258e-03 5.6817816e-03],[9.999137e-01 8.631636e-05],"[7.8218915e-07 1.5434007e-05 2.0727150e-03 1.6081595e-01 6.2645084e-01
 2.0510288e-01 5.4984088e-03 4.2452575e-05 5.4433139e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_sad/sad_person_0005_face0.png,Latino_Hispanic,White,Male,20-29,"[0.4534162  0.00059675 0.48519856 0.00837982 0.01174273 0.0169787
 0.0236873 ]",[9.3525392e-01 4.2889544e-04 2.0041330e-02 4.4275839e-02],[0.9902298  0.00977025],"[4.5227343e-06 1.7961260e-04 5.2394103e-02 5.6676525e-01 3.2028204e-01
 5.6724299e-02 3.5455755e-03 1.0174771e-04 2.9341913e-06]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_sad/sad_person_0006_face0.png,White,White,Female,30-39,"[8.9029557e-01 1.6452734e-04 7.3650673e-02 6.3149596e-04 7.6618226e-04
 4.2655198e-03 3.0225918e-02]",[9.8778909e-01 4.7186931e-04 2.7294003e-03 9.0096658e-03],[0.02085814 0.97914183],"[1.0215725e-06 8.7545042e-05 1.0015704e-02 3.2715350e-01 5.3614819e-01
 1.2319702e-01 3.3189363e-03 7.5447075e-05 2.5903489e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_sad/sad_person_0007_face0.png,White,White,Male,30-39,"[0.51140344 0.01712694 0.14222309 0.01189132 0.02635712 0.00386545
 0.28713262]",[0.7664164  0.02879603 0.20020401 0.00458361],[9.993559e-01 6.441127e-04],"[4.4705148e-06 9.5876594e-06 6.1200891e-04 9.9761724e-02 5.6972748e-01
 2.9158032e-01 3.5991326e-02 2.1958235e-03 1.1723270e-04]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_sad/sad_person_0008_face0.png,White,White,Male,30-39,"[0.51899296 0.00059379 0.2097704  0.00668659 0.01412341 0.00524061
 0.24459228]",[0.9617327  0.00096714 0.0278334  0.00946678],[9.9963301e-01 3.6697998e-04],"[2.3326177e-07 3.5363194e-06 1.0495366e-03 2.3425092e-01 6.7741120e-01
 8.5096233e-02 2.1546280e-03 3.2650867e-05 1.0333358e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_sad/sad_person_0009_face0.png,White,White,Male,40-49,"[4.8182049e-01 1.4526672e-02 5.2142642e-02 2.4081231e-04 1.8651350e-03
 2.4953263e-02 4.2445099e-01]",[0.82345855 0.0179908  0.00766743 0.15088327],[9.9999410e-01 5.8969326e-06],"[1.7005794e-05 8.1231781e-05 7.2057237e-04 1.8658642e-02 2.0299321e-01
 5.9044832e-01 1.6801047e-01 1.8332386e-02 7.3814415e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_sad/sad_person_0010_face0.png,Middle Eastern,White,Male,40-49,"[8.6139046e-02 4.2177243e-03 3.7281323e-02 1.8365454e-04 5.0058414e-04
 1.3130677e-02 8.5854697e-01]",[0.82445574 0.00447222 0.01563699 0.15543497],[9.9976784e-01 2.3221389e-04],"[1.4684389e-05 2.0142799e-05 1.1164616e-04 1.0492365e-03 4.6391595e-02
 4.9708864e-01 4.2466170e-01 2.9591177e-02 1.0711945e-03]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_sad/sad_person_0011_face0.png,White,White,Male,40-49,"[5.9074968e-01 6.7265396e-04 2.9889026e-01 2.6710177e-04 2.2905164e-03
 3.6146879e-02 7.0983000e-02]",[9.5702863e-01 3.3697873e-04 1.8856913e-03 4.0748727e-02],[9.9999744e-01 2.5629963e-06],"[1.7249370e-06 7.1953359e-06 6.1419408e-04 5.3740540e-03 8.0670953e-02
 5.4645729e-01 3.5738873e-01 9.3848500e-03 1.0095488e-04]",0,White,40-59
