face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_disgusted/disgusted_person_0000_face0.png,White,White,Male,30-39,"[9.7150117e-01 2.4774286e-04 1.2624865e-02 3.5538126e-04 5.6601386e-04
 1.4183208e-03 1.3286489e-02]",[9.9194843e-01 8.3650369e-04 3.3419656e-03 3.8731021e-03],[0.51263547 0.4873645 ],"[9.7527948e-07 9.3128974e-06 1.0282536e-03 1.0010352e-01 4.3109822e-01
 4.0764010e-01 5.8281846e-02 1.7701596e-03 6.7596498e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_disgusted/disgusted_person_0001_face0.png,White,White,Male,30-39,"[8.0925131e-01 4.1228555e-05 1.9593412e-02 2.3975937e-05 1.1827650e-04
 8.8764839e-03 1.6209535e-01]",[0.8898917  0.00401257 0.00967355 0.0964222 ],[9.9980372e-01 1.9626692e-04],"[6.6787638e-06 2.9901328e-04 9.3002254e-03 1.7936626e-01 5.3178138e-01
 2.7031118e-01 8.7781763e-03 1.5268623e-04 4.4016138e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_disgusted/disgusted_person_0002_face0.png,White,White,Male,40-49,"[9.9285281e-01 9.7311852e-07 7.7450578e-04 3.1184114e-05 7.6901008e-05
 5.8946902e-05 6.2046712e-03]",[9.8757613e-01 2.5568759e-05 3.4085985e-03 8.9898305e-03],[9.994324e-01 5.676712e-04],"[6.8304557e-06 1.1416329e-04 1.3601725e-02 1.0157946e-01 2.3289615e-01
 5.2100402e-01 1.2453423e-01 6.0175625e-03 2.4586744e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_disgusted/disgusted_person_0003_face0.png,White,White,Male,50-59,"[9.9602443e-01 6.8668764e-06 9.6358592e-04 1.4188193e-04 3.1263308e-04
 7.9429134e-05 2.4712381e-03]",[9.9922627e-01 5.3530775e-06 4.7878246e-04 2.8956932e-04],[9.9964660e-01 3.5343264e-04],"[3.9279062e-06 2.2697935e-05 1.3478284e-03 1.3306346e-02 5.3379972e-02
 3.2860175e-01 5.2183604e-01 7.5850122e-02 5.6513133e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_disgusted/disgusted_person_0004_face0.png,White,White,Male,50-59,"[9.9421126e-01 5.2065370e-05 2.9109311e-03 2.4837689e-04 7.3310424e-04
 1.2542387e-03 5.9010542e-04]",[0.98115456 0.00156131 0.00876166 0.0085225 ],[0.99877214 0.0012278 ],"[1.6162505e-04 6.4727408e-03 6.1468389e-02 9.9312060e-02 1.5833490e-01
 2.6753142e-01 3.5973102e-01 4.3981738e-02 3.0061454e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_disgusted/disgusted_person_0005_face0.png,White,White,Male,40-49,"[9.3809754e-01 4.6786090e-04 2.9157635e-02 1.3806417e-02 1.2819452e-02
 4.4269767e-04 5.2084117e-03]",[9.9217916e-01 7.6627024e-05 7.3848073e-03 3.5942142e-04],[0.90248644 0.09751353],"[9.8691416e-06 2.8437362e-05 4.6746992e-04 1.1552070e-02 1.0037132e-01
 4.6346250e-01 3.9185765e-01 3.0725256e-02 1.5254496e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_disgusted/disgusted_person_0006_face0.png,White,White,Female,50-59,"[9.8127693e-01 1.0200589e-05 4.8906389e-03 2.5208187e-04 5.7979702e-04
 2.8914757e-04 1.2701222e-02]",[9.9264711e-01 1.1954888e-04 3.5448852e-03 3.6884681e-03],[0.05833334 0.94166666],"[2.7572257e-06 1.7984510e-05 4.3954229e-04 4.3249177e-03 4.1961022e-02
 4.0530333e-01 5.0647831e-01 4.0197644e-02 1.2744073e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_disgusted/disgusted_person_0007_face0.png,White,White,Female,40-49,"[8.4123009e-01 6.1762170e-04 1.2778153e-01 1.0556738e-03 1.2306332e-03
 2.4479521e-03 2.5636496e-02]",[9.9661541e-01 3.6756994e-04 7.8634109e-04 2.2306768e-03],[0.01326399 0.986736  ],"[2.0757536e-06 2.6649977e-05 6.6103233e-04 2.9256098e-02 2.7951574e-01
 5.4754287e-01 1.3709676e-01 5.7395794e-03 1.5914853e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_disgusted/disgusted_person_0008_face0.png,Latino_Hispanic,Indian,Female,30-39,"[0.20946863 0.01255995 0.707598   0.00111535 0.00265746 0.02947791
 0.03712273]",[0.2347956  0.13370913 0.15784651 0.47364876],[0.03767551 0.9623245 ],"[2.5200625e-06 3.1840707e-05 4.1742804e-03 1.0406649e-01 4.9905995e-01
 3.2830882e-01 6.1584029e-02 2.7096239e-03 6.2440769e-05]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_disgusted/disgusted_person_0009_face0.png,White,White,Male,20-29,"[9.2652690e-01 1.4040561e-04 3.2469537e-02 1.1144435e-02 1.9610286e-02
 3.2555694e-03 6.8528084e-03]",[9.53469872e-01 1.02156875e-04 2.77596824e-02 1.86683089e-02],[0.99368095 0.00631905],"[4.4913941e-05 7.1860752e-03 2.4716224e-01 3.5519949e-01 2.6538789e-01
 1.1071125e-01 1.3477555e-02 7.9900597e-04 3.1645672e-05]",0,White,20-39
