face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0000_face0.png,White,White,Male,20-29,"[9.9909353e-01 3.5900533e-07 2.6444727e-04 6.5499648e-07 2.0731375e-06
 4.0413061e-06 6.3483178e-04]",[9.9993038e-01 8.7722947e-06 2.2830765e-05 3.8074493e-05],[9.9934298e-01 6.5700244e-04],"[2.6993089e-08 2.6499968e-06 6.0952944e-03 7.2011638e-01 2.4956962e-01
 2.3177695e-02 1.0168242e-03 2.0506648e-05 9.6524525e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0001_face0.png,White,White,Male,20-29,"[9.99663949e-01 1.04681567e-06 1.15987554e-04 1.06620014e-07
 4.43067336e-07 2.93427479e-06 2.15533131e-04]",[9.9828148e-01 4.5847986e-04 3.0717030e-05 1.2293293e-03],[9.9999881e-01 1.2006868e-06],"[3.1446042e-08 3.5662242e-06 3.7276638e-03 7.4364686e-01 2.3702969e-01
 1.5136314e-02 4.4945703e-04 6.1528372e-06 1.4740974e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0002_face0.png,White,White,Male,20-29,"[9.9979502e-01 3.6181359e-07 3.3266577e-05 1.8145160e-07 3.2227632e-07
 1.0028621e-06 1.6982706e-04]",[9.9987167e-01 1.3228944e-05 2.4267238e-05 9.0814297e-05],[9.9999982e-01 2.4067938e-07],"[1.6726871e-08 1.3256358e-06 2.6175715e-03 5.9182882e-01 3.4230793e-01
 6.0314283e-02 2.8886721e-03 4.0382096e-05 9.3383687e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0003_face0.png,White,White,Female,20-29,"[9.9581039e-01 9.2721957e-06 2.6576875e-03 2.5117383e-06 1.2384507e-05
 4.2034975e-05 1.4657467e-03]",[9.9904245e-01 6.4131001e-04 7.0229733e-05 2.4604637e-04],[0.02424173 0.97575825],"[1.5163647e-07 4.2527299e-05 3.2101929e-02 6.5316987e-01 2.9399568e-01
 2.0019973e-02 6.5141282e-04 1.7467208e-05 9.6655765e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0004_face0.png,White,White,Male,20-29,"[9.9837518e-01 1.0368229e-06 2.6168776e-04 1.1795648e-06 4.1748435e-06
 8.4494495e-06 1.3482992e-03]",[9.9976623e-01 6.8218933e-06 3.5238507e-05 1.9161351e-04],[9.9999982e-01 1.2097222e-07],"[1.4791443e-07 1.0116713e-05 5.2567958e-03 4.8769131e-01 4.3382880e-01
 7.0709445e-02 2.4766587e-03 2.6313422e-05 3.7593961e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0005_face0.png,White,White,Male,20-29,"[9.9299479e-01 7.0998445e-05 3.4491380e-03 9.2179238e-07 5.7176881e-06
 8.1257960e-05 3.3971118e-03]",[9.970481e-01 7.579043e-04 2.260695e-05 2.171314e-03],[9.9999976e-01 2.7981093e-07],"[1.0314849e-08 1.9041336e-06 4.8301062e-03 7.3417020e-01 2.4882349e-01
 1.1960602e-02 2.1182009e-04 1.8760488e-06 2.8092330e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0006_face0.png,White,White,Male,20-29,"[9.5690477e-01 9.4945724e-05 3.3925973e-02 2.6091489e-05 1.5257923e-04
 4.8044042e-04 8.4152017e-03]",[9.9950945e-01 4.1677864e-05 3.5848661e-05 4.1300699e-04],[0.97853106 0.02146892],"[4.1475388e-07 2.0461974e-05 1.1640039e-02 5.5474800e-01 3.5734734e-01
 6.7405291e-02 8.5071512e-03 3.0422109e-04 2.7117267e-05]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0007_face0.png,White,White,Male,20-29,"[9.9937105e-01 1.2293668e-06 3.2941747e-04 8.1467783e-07 1.6744712e-06
 1.8317771e-05 2.7749848e-04]",[9.9881899e-01 7.0639260e-05 1.4594533e-04 9.6444250e-04],[9.9999928e-01 7.2216244e-07],"[2.3676095e-07 6.2522908e-05 4.4212632e-02 7.4942827e-01 1.7121531e-01
 3.2643043e-02 2.3931137e-03 4.3410135e-05 1.5283384e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0008_face0.png,White,White,Male,20-29,"[9.9796331e-01 7.9735537e-06 9.8102493e-04 6.6370256e-07 2.6815919e-06
 2.5489238e-05 1.0189412e-03]",[9.9934250e-01 1.8757471e-04 3.1893713e-05 4.3805694e-04],[9.9999905e-01 9.2234399e-07],"[3.0581788e-08 3.7669947e-06 3.5162261e-03 5.9630728e-01 3.6350632e-01
 3.5775367e-02 8.8251935e-04 8.3510458e-06 1.4895102e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0009_face0.png,White,White,Male,20-29,"[9.9944961e-01 2.9022926e-06 2.6428877e-04 3.3178594e-07 1.8541602e-06
 6.0977409e-06 2.7496467e-04]",[9.99437094e-01 6.14157034e-05 1.14254624e-04 3.87239590e-04],[9.9999774e-01 2.2824877e-06],"[2.1141121e-08 4.1726339e-06 7.9889493e-03 7.6625687e-01 2.1201393e-01
 1.3447498e-02 2.8574906e-04 2.7468893e-06 7.0605552e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0010_face0.png,White,White,Male,20-29,"[9.9085259e-01 8.4402845e-06 1.3507049e-03 1.7778073e-06 8.1125036e-06
 1.2263648e-04 7.6557179e-03]",[9.9856824e-01 1.3889238e-04 6.6151340e-05 1.2267265e-03],[9.9999648e-01 3.4868965e-06],"[2.2814750e-07 2.4088715e-05 8.0078067e-03 6.0109133e-01 3.5449150e-01
 3.5567213e-02 8.1026787e-04 7.3164410e-06 2.3271942e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0011_face0.png,White,White,Male,30-39,"[9.9930012e-01 9.7792827e-06 3.0316756e-04 2.5520839e-07 1.2317450e-06
 7.6790702e-06 3.7777884e-04]",[9.9802393e-01 3.1620459e-04 4.6338617e-05 1.6135118e-03],[9.9999821e-01 1.7801924e-06],"[7.1569254e-08 2.7834049e-06 1.3136992e-03 2.4459818e-01 5.6976223e-01
 1.6715503e-01 1.6985135e-02 1.7918277e-04 3.6332744e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0012_face0.png,White,White,Male,20-29,"[9.9595118e-01 4.1411797e-05 2.1803118e-03 1.0971552e-06 4.0233977e-06
 4.9280494e-05 1.7727881e-03]",[9.9760795e-01 8.2294177e-04 8.7885142e-05 1.4812124e-03],[9.9999899e-01 1.0349067e-06],"[4.2740659e-08 3.6659310e-06 4.6733338e-03 5.1926762e-01 4.1686201e-01
 5.7219040e-02 1.9527478e-03 2.1146150e-05 3.2488367e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0013_face0.png,White,White,Male,30-39,"[9.9880207e-01 1.0136231e-05 2.8894792e-04 8.3704970e-07 1.9150953e-06
 2.1063724e-06 8.9389202e-04]",[9.9896759e-01 6.8364083e-04 1.1474210e-04 2.3395523e-04],[9.9999946e-01 5.1210770e-07],"[3.6354663e-07 1.1271110e-05 3.2573186e-03 2.1056677e-01 4.6998096e-01
 2.6994386e-01 4.5085609e-02 1.1341388e-03 1.9747302e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0014_face0.png,White,White,Male,30-39,"[9.93072152e-01 8.42273039e-06 9.79783013e-04 2.22424205e-06
 1.12535035e-05 5.39769062e-05 5.87222865e-03]",[9.9761897e-01 2.7745857e-04 2.1613337e-04 1.8874395e-03],[9.9999946e-01 5.4865956e-07],"[1.3917933e-07 9.7190505e-06 3.5720477e-03 4.2184082e-01 4.8582110e-01
 8.5004278e-02 3.6977003e-03 5.2918494e-05 1.2051097e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0015_face0.png,Black,Black,Female,20-29,"[2.8518025e-05 9.9899858e-01 7.9129217e-04 1.8986806e-06 1.6770546e-05
 1.5456080e-04 8.5243892e-06]",[3.2657822e-06 9.9995464e-01 1.2290682e-05 2.9926674e-05],[0.14343372 0.8565663 ],"[7.8090966e-07 4.9812655e-04 1.1924090e-01 6.2535614e-01 2.2141063e-01
 2.9719936e-02 3.6521617e-03 1.1707565e-04 4.2361694e-06]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0016_face0.png,White,White,Male,30-39,"[9.9070495e-01 2.6198716e-06 1.3548445e-03 1.6633641e-06 4.6188015e-06
 8.3455321e-05 7.8478288e-03]",[9.9853277e-01 6.6806446e-05 1.8203036e-04 1.2183936e-03],[9.999468e-01 5.326301e-05],"[5.2766040e-07 1.5656480e-05 2.6817948e-03 3.1256828e-01 5.3569442e-01
 1.3928558e-01 9.4838534e-03 2.6035632e-04 9.6109688e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0017_face0.png,Black,Black,Male,20-29,"[3.6370094e-04 9.8276901e-01 9.8568918e-03 7.8121084e-05 2.0877861e-03
 4.8096026e-03 3.4869779e-05]",[2.7658089e-05 9.9939626e-01 2.0627936e-04 3.6985418e-04],[9.999967e-01 3.262630e-06],"[5.5105522e-07 2.9232893e-05 1.3287257e-02 4.7189304e-01 3.8443509e-01
 1.1462579e-01 1.5221508e-02 4.8715688e-04 2.0296447e-05]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0018_face0.png,White,White,Male,20-29,"[9.9772072e-01 4.9093087e-06 9.9456299e-04 2.6014081e-06 5.4959087e-06
 2.9038076e-05 1.2426401e-03]",[9.9875456e-01 2.8964557e-04 1.3708907e-04 8.1871386e-04],[9.9999791e-01 2.0854698e-06],"[4.3572950e-08 4.9496898e-06 2.8516515e-03 6.4544159e-01 3.3733633e-01
 1.4247345e-02 1.1728438e-04 7.4871633e-07 1.7196848e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0019_face0.png,White,White,Male,20-29,"[9.9992025e-01 4.8570109e-07 2.8348761e-05 5.8114573e-08 2.2331700e-07
 8.2850403e-07 4.9793682e-05]",[9.9986440e-01 3.0513127e-05 7.9720878e-05 2.5399724e-05],[9.999907e-01 9.339458e-06],"[1.08889999e-08 2.53131475e-06 2.93907244e-03 5.05747497e-01
 4.35461015e-01 5.50403371e-02 8.05124117e-04 4.24214250e-06
 1.05993564e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0020_face0.png,White,White,Male,30-39,"[9.70524311e-01 6.96189891e-05 2.57570576e-03 2.75789785e-06
 1.24995295e-05 1.68443119e-04 2.66466327e-02]",[9.9419904e-01 5.2326114e-04 3.2346020e-04 4.9541886e-03],[9.9999934e-01 6.2517091e-07],"[1.4519856e-07 1.2196501e-05 2.1517330e-03 3.2588789e-01 6.0807419e-01
 6.2795743e-02 1.0696810e-03 8.3251516e-06 1.2528170e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0021_face0.png,White,White,Female,20-29,"[9.9647081e-01 3.2301094e-05 2.1755295e-03 8.3599082e-07 3.4576487e-06
 2.0686934e-05 1.2963846e-03]",[9.9988467e-01 3.8945771e-05 3.5549907e-05 4.0960043e-05],[0.06537174 0.93462825],"[1.11354606e-08 1.38265295e-05 3.50506194e-02 8.18318784e-01
 1.43671960e-01 2.90504610e-03 3.90520363e-05 6.71252963e-07
 2.85416792e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0022_face0.png,White,White,Male,20-29,"[9.9497044e-01 7.2927978e-06 9.4810966e-04 5.0418168e-07 2.2422516e-06
 2.9767041e-05 4.0416447e-03]",[9.991639e-01 6.574572e-05 2.142516e-05 7.488713e-04],[9.999999e-01 7.283627e-08],"[6.0404631e-08 1.9036004e-05 2.4898026e-02 7.9619902e-01 1.6329350e-01
 1.5170181e-02 4.1399733e-04 6.0820885e-06 8.4591264e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0023_face0.png,White,White,Male,20-29,"[9.8431188e-01 9.7662640e-05 1.1325781e-02 1.4226438e-05 3.2724238e-05
 1.7121878e-04 4.0464113e-03]",[9.9863094e-01 6.1100669e-04 8.2360631e-05 6.7571347e-04],[9.9999404e-01 6.0252501e-06],"[2.0304763e-07 1.3349128e-05 6.1532897e-03 6.0279155e-01 3.5981372e-01
 3.0373232e-02 8.4083324e-04 1.3486350e-05 2.7439509e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0024_face0.png,White,White,Male,30-39,"[9.9853486e-01 1.7560806e-05 7.5460610e-04 8.0707414e-06 1.5280575e-05
 9.1614402e-06 6.6036917e-04]",[9.9606830e-01 2.3081307e-03 4.9690990e-04 1.1267090e-03],[9.9999976e-01 2.1989199e-07],"[1.4946329e-07 3.6971730e-06 1.1052848e-03 3.2345921e-01 5.5913907e-01
 1.0997884e-01 6.2274863e-03 8.4806481e-05 1.4591058e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0025_face0.png,White,White,Female,20-29,"[9.9968487e-01 1.1860568e-06 1.4572107e-04 4.9298689e-07 1.3748988e-06
 1.5910716e-06 1.6469444e-04]",[9.9999237e-01 3.8322141e-06 1.4874408e-06 2.3484943e-06],[0.0861672  0.91383284],"[6.1703078e-09 1.0639581e-05 3.0921044e-02 7.8508276e-01 1.7959575e-01
 4.3546306e-03 3.4878056e-05 2.3927106e-07 9.8087840e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0026_face0.png,White,White,Female,30-39,"[9.9901724e-01 1.3854178e-06 6.7426957e-04 3.0681633e-06 4.0313016e-06
 3.6305878e-06 2.9651227e-04]",[9.9993324e-01 1.3750618e-05 3.2918771e-05 2.0087291e-05],[4.8507343e-04 9.9951494e-01],"[1.8766984e-08 5.9482959e-06 7.3562670e-03 4.5510522e-01 5.0699872e-01
 3.0174829e-02 3.5381151e-04 5.0323788e-06 1.2186158e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0027_face0.png,White,White,Male,30-39,"[9.8127717e-01 4.2180916e-05 6.2779211e-03 2.6697833e-07 2.4104449e-06
 1.6183767e-04 1.2238147e-02]",[9.9975610e-01 4.8330796e-05 6.3606635e-06 1.8926317e-04],[9.999201e-01 7.987986e-05],"[3.5329805e-08 1.5035887e-06 1.7873860e-03 3.7037256e-01 5.5118400e-01
 7.4130878e-02 2.4986730e-03 2.4483807e-05 5.3260521e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0028_face0.png,White,White,Male,30-39,"[9.6522868e-01 1.7090795e-04 1.9165212e-02 1.3298784e-05 4.0124145e-05
 9.9321071e-04 1.4388546e-02]",[9.9349296e-01 2.2124847e-04 9.7971708e-05 6.1877463e-03],[9.9999696e-01 3.0809813e-06],"[2.4743898e-07 8.4674502e-06 2.0131415e-03 2.5204173e-01 6.0907263e-01
 1.3257743e-01 4.2449804e-03 4.0713010e-05 6.5529821e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_happy/happy_person_0029_face0.png,White,White,Male,30-39,"[9.9891627e-01 4.5563984e-06 5.3348154e-04 8.8948110e-07 2.0935254e-06
 1.4799399e-05 5.2782201e-04]",[9.9848038e-01 3.7727342e-04 1.3438324e-04 1.0080381e-03],[9.9999946e-01 5.2292586e-07],"[1.6414262e-07 4.4445978e-06 2.4020332e-03 3.1519100e-01 4.6015459e-01
 1.8854190e-01 3.2954294e-02 7.3321955e-04 1.8315128e-05]",0,White,20-39
