face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0000_face0.png,White,White,Male,20-29,"[9.5654798e-01 3.7884814e-04 2.0730644e-02 1.0666158e-05 3.9768169e-05
 7.2726997e-04 2.1564843e-02]",[9.9192798e-01 1.1146159e-03 3.9267025e-04 6.5646893e-03],[9.9999994e-01 5.5505623e-08],"[1.5342820e-09 6.0603405e-08 3.9432291e-04 5.7203656e-01 4.1874921e-01
 8.7804310e-03 3.9098511e-05 3.3639563e-07 4.1749129e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0001_face0.png,White,White,Male,30-39,"[7.3619729e-01 1.3597103e-04 9.4546936e-02 1.2324030e-03 1.2372845e-03
 1.1550755e-02 1.5509933e-01]",[8.9025533e-01 6.3839694e-04 1.0201298e-02 9.8904975e-02],[9.9995685e-01 4.3189732e-05],"[3.0287276e-07 4.0462414e-06 1.3956451e-03 3.8501069e-01 5.6667876e-01
 4.6237703e-02 6.6334702e-04 9.2127275e-06 1.8364487e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0002_face0.png,White,White,Male,20-29,"[9.7788334e-01 4.0735424e-05 1.5331706e-02 4.1931641e-04 4.2256687e-04
 2.6904786e-04 5.6332983e-03]",[9.9509192e-01 1.2366164e-04 2.3327540e-03 2.4516378e-03],[9.9952942e-01 4.7060905e-04],"[4.1378740e-09 4.6546540e-07 4.6492214e-03 7.3121434e-01 2.5938860e-01
 4.7047525e-03 4.2123105e-05 5.4801154e-07 1.1842265e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0003_face0.png,White,White,Male,20-29,"[9.94373024e-01 1.69301268e-06 2.68181739e-03 7.45504121e-06
 2.17192246e-05 1.21756006e-04 2.79260660e-03]",[9.9621671e-01 3.2000760e-05 6.7790656e-04 3.0734192e-03],[9.999951e-01 4.903325e-06],"[2.4533842e-08 1.1336034e-06 1.6710372e-03 5.0388622e-01 4.7457844e-01
 1.9725909e-02 1.3628174e-04 9.2208592e-07 1.4968474e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0004_face0.png,White,White,Male,20-29,"[9.8539776e-01 1.0264921e-04 3.8838624e-03 1.1076260e-06 4.2930083e-06
 8.2392816e-04 9.7864047e-03]",[9.3165910e-01 1.1550219e-03 5.7903357e-04 6.6606924e-02],[9.999810e-01 1.902502e-05],"[3.4953793e-08 1.9991769e-06 2.0433408e-03 5.1590770e-01 4.4714731e-01
 3.4379106e-02 5.1633263e-04 4.0677842e-06 1.3486485e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0005_face0.png,White,White,Male,30-39,"[9.7335202e-01 1.0096853e-05 7.0416643e-03 1.3060743e-03 6.0114195e-04
 1.4008454e-04 1.7548863e-02]",[9.8751241e-01 3.7002828e-04 7.1085733e-03 5.0089387e-03],[9.999987e-01 1.269736e-06],"[4.3614939e-08 7.2461984e-07 4.8514971e-04 2.5990084e-01 6.8170530e-01
 5.7136018e-02 7.6412677e-04 7.6016022e-06 1.3821436e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0006_face0.png,White,White,Male,20-29,"[8.8239366e-01 3.1007999e-05 3.7677895e-02 8.2953973e-03 6.9143297e-03
 6.9698729e-03 5.7717826e-02]",[9.84799564e-01 3.25698238e-05 2.69876258e-03 1.24691455e-02],[9.9999911e-01 8.9647875e-07],"[1.6092464e-07 9.2227601e-06 9.1023622e-03 6.5962631e-01 3.2546142e-01
 5.7779113e-03 2.2218235e-05 3.6711171e-07 5.6820229e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0007_face0.png,White,White,Male,40-49,"[4.7273794e-01 3.3657136e-03 1.3974126e-01 9.9551893e-05 3.5798785e-04
 1.6597167e-02 3.6710030e-01]",[9.6662182e-01 8.0036907e-04 1.7726385e-03 3.0805189e-02],[9.9999553e-01 4.4804074e-06],"[6.1006625e-07 4.1761794e-07 6.9554852e-05 2.0366631e-02 3.5657048e-01
 5.4410183e-01 7.4531890e-02 4.2790077e-03 7.9663892e-05]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0008_face0.png,White,White,Male,30-39,"[9.9467874e-01 1.8061744e-06 5.8614067e-04 3.5997225e-06 6.2637137e-06
 8.3696243e-05 4.6397564e-03]",[9.9955547e-01 4.7635160e-07 2.8174831e-05 4.1594665e-04],[9.9961460e-01 3.8538533e-04],"[5.4112729e-07 4.7235990e-06 9.2259172e-04 1.3352704e-01 5.6278425e-01
 2.8840682e-01 1.4177669e-02 1.7077131e-04 5.6465706e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0009_face0.png,White,White,Female,30-39,"[9.9917316e-01 1.5403471e-05 4.5197250e-04 6.9879308e-05 4.5522331e-05
 3.8407270e-05 2.0566248e-04]",[9.986141e-01 6.664903e-05 9.863218e-04 3.329599e-04],[0.15023239 0.8497676 ],"[5.4392487e-08 3.7484833e-06 2.0710698e-03 3.5170633e-01 4.5616433e-01
 1.6654599e-01 2.2630664e-02 7.8463869e-04 9.3210685e-05]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0010_face0.png,White,White,Male,20-29,"[9.9740493e-01 3.6897680e-05 2.0141674e-03 2.7406272e-06 9.1530073e-06
 3.6934660e-05 4.9520249e-04]",[9.9877042e-01 2.7602911e-04 1.4879237e-04 8.0480467e-04],[9.9980634e-01 1.9369267e-04],"[7.9186400e-09 1.1280222e-06 7.0145773e-03 5.7050526e-01 3.8424009e-01
 3.7310723e-02 9.2014176e-04 7.9451429e-06 1.8314311e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0011_face0.png,White,White,Male,30-39,"[7.0609450e-01 3.6592569e-04 8.1456520e-02 6.1155768e-04 1.2926187e-03
 1.5206313e-03 2.0865825e-01]",[0.98409635 0.00105197 0.00250501 0.01234675],[9.9999881e-01 1.2146601e-06],"[7.6968270e-08 3.5599630e-06 1.5563577e-03 2.9173672e-01 6.4331090e-01
 6.2529132e-02 8.5189665e-04 1.1149521e-05 1.6619488e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0012_face0.png,White,White,Male,20-29,"[8.4326357e-01 5.9835616e-05 9.9828348e-02 2.1767341e-04 6.1247981e-04
 6.5337410e-03 4.9484350e-02]",[9.4712305e-01 7.2359829e-04 8.8471947e-03 4.3306101e-02],[9.999913e-01 8.723151e-06],"[4.4074785e-08 5.9109889e-06 1.5065540e-02 7.3646539e-01 2.4353962e-01
 4.8851860e-03 3.7814061e-05 4.8588606e-07 1.0128704e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0013_face0.png,White,White,Male,20-29,"[9.9920356e-01 1.3638514e-06 4.3585856e-04 1.7733021e-06 4.9715536e-06
 1.2976000e-05 3.3950843e-04]",[9.921734e-01 2.986960e-04 7.877778e-04 6.740114e-03],[9.9938864e-01 6.1137631e-04],"[3.2336049e-09 4.3574457e-07 2.0778284e-03 8.1483203e-01 1.7835720e-01
 4.6899193e-03 4.2188145e-05 3.2142694e-07 1.9213124e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0014_face0.png,White,White,Female,20-29,"[8.8063270e-01 2.8342304e-03 4.6443269e-02 4.1301738e-04 3.5695438e-04
 7.5242743e-03 6.1795525e-02]",[0.96762896 0.0017516  0.00415594 0.02646356],[0.09735546 0.9026445 ],"[8.5234731e-08 1.6376873e-05 1.4093620e-02 7.0602781e-01 2.6966268e-01
 1.0072146e-02 1.2347757e-04 3.4010432e-06 3.1352175e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0015_face0.png,White,White,Male,30-39,"[8.86421621e-01 8.61062654e-05 1.45722795e-02 5.53049313e-06
 2.63437978e-05 1.51011813e-03 9.73779857e-02]",[9.4170219e-01 3.4059305e-03 4.0501766e-04 5.4486793e-02],[9.9950355e-01 4.9647223e-04],"[1.3635679e-07 9.1823460e-07 1.8142152e-04 5.3285178e-02 5.6610590e-01
 3.5581881e-01 2.4111046e-02 4.7730794e-04 1.9237537e-05]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0016_face0.png,White,White,Male,20-29,"[9.2374873e-01 1.5031078e-04 3.3592541e-02 4.8453967e-05 1.6246716e-04
 1.9610024e-03 4.0336471e-02]",[0.98995304 0.00200661 0.00152747 0.00651286],[9.9999821e-01 1.8349514e-06],"[5.5895528e-09 3.1429485e-07 1.6020570e-03 6.6991359e-01 3.2197273e-01
 6.4745597e-03 3.6299756e-05 5.0287105e-07 1.1990463e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0017_face0.png,White,White,Male,20-29,"[9.9533951e-01 4.9834995e-05 3.5820508e-03 1.4842065e-05 3.1061762e-05
 1.8776020e-04 7.9494593e-04]",[9.9777895e-01 4.2313441e-05 1.6686282e-03 5.1007629e-04],[0.9979508 0.0020492],"[1.1308420e-09 1.5098908e-07 1.9832489e-03 6.9378757e-01 3.0111131e-01
 3.1092879e-03 8.4004869e-06 6.2147841e-08 1.7338178e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0018_face0.png,White,White,Male,30-39,"[9.9662632e-01 1.1723555e-06 3.6272945e-04 1.7909938e-06 5.2314244e-06
 1.4405684e-05 2.9883359e-03]",[9.9964195e-01 2.0472831e-05 1.3613408e-04 2.0146227e-04],[1.000000e+00 2.528228e-08],"[2.0761883e-08 6.2337585e-07 1.5074901e-03 3.4113196e-01 5.8369124e-01
 7.2872549e-02 7.9022255e-04 5.8342343e-06 6.0796260e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0019_face0.png,White,White,Male,20-29,"[9.4778967e-01 9.5845317e-05 1.8758161e-02 2.9697067e-05 7.0099901e-05
 8.4972411e-04 3.2406941e-02]",[0.9768036  0.00779509 0.00393443 0.01146687],[9.9999893e-01 1.0078331e-06],"[7.3104949e-09 3.6502712e-07 6.2054297e-04 6.7353779e-01 3.2284522e-01
 2.9884381e-03 7.5209637e-06 5.8015960e-08 1.2247159e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_surprised/surprised_person_0020_face0.png,Black,Black,Male,20-29,"[4.4647683e-07 9.9996662e-01 4.4974172e-06 2.1811455e-09 7.5010711e-08
 2.8215081e-05 2.0829101e-07]",[7.9463877e-07 9.9999028e-01 4.6269213e-07 8.4166431e-06],[1.0000000e+00 3.7539834e-08],"[5.6665378e-10 3.0640464e-07 2.7442782e-03 8.2271636e-01 1.7161459e-01
 2.9147633e-03 9.7219636e-06 5.7641500e-08 1.6636639e-09]",1,Black,20-39
