face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0000_face0.png,East Asian,Asian,Female,10-19,"[1.9018525e-04 6.4255920e-07 2.8555657e-04 9.3136191e-01 6.8057053e-02
 9.0125905e-05 1.4505762e-05]",[3.5613783e-05 6.3874182e-07 9.9990159e-01 6.2175917e-05],[0.00325044 0.9967496 ],"[3.3913193e-06 4.3442729e-03 5.0285703e-01 4.8153165e-01 1.1101778e-02
 1.6090990e-04 7.6315263e-07 1.2887392e-07 5.2731135e-09]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0001_face0.png,East Asian,Asian,Female,10-19,"[1.3081337e-04 3.5873022e-06 5.6980900e-04 7.6836240e-01 2.3053047e-01
 3.9260800e-04 1.0405840e-05]",[2.9021823e-05 2.3116204e-06 9.9983639e-01 1.3226217e-04],[2.5069190e-04 9.9974936e-01],"[3.8167082e-06 2.2616345e-02 5.8073717e-01 3.9142194e-01 5.0915093e-03
 1.2845923e-04 6.4934636e-07 1.2557267e-07 7.7133695e-09]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0002_face0.png,East Asian,Asian,Female,20-29,"[3.5278784e-04 6.8741736e-07 6.7967019e-04 9.3690532e-01 6.2007744e-02
 2.9348112e-05 2.4491683e-05]",[3.7080090e-04 2.4265644e-06 9.9960232e-01 2.4507548e-05],[9.018941e-06 9.999910e-01],"[4.9672526e-08 8.5219057e-05 6.6968247e-02 7.9940516e-01 1.2951204e-01
 4.0057446e-03 2.1832251e-05 1.7113015e-06 2.5160210e-08]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0003_face0.png,East Asian,Asian,Female,20-29,"[5.9275681e-05 3.7750574e-06 5.4865004e-04 9.0090042e-01 9.8155349e-02
 3.1429034e-04 1.8219896e-05]",[5.2408766e-05 4.3577957e-06 9.9989080e-01 5.2415082e-05],[7.368828e-05 9.999263e-01],"[7.5734654e-08 1.9614630e-04 1.8410072e-01 7.6361829e-01 5.1034342e-02
 1.0476749e-03 2.5202128e-06 2.1043464e-07 4.3870685e-09]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0004_face0.png,East Asian,Asian,Female,20-29,"[1.2686425e-04 1.4213400e-06 1.0743375e-03 8.8799936e-01 1.1061794e-01
 1.7659529e-04 3.3995943e-06]",[4.9811744e-05 3.3246655e-05 9.9970496e-01 2.1195492e-04],[7.9503858e-05 9.9992055e-01],"[1.0452682e-07 3.8337253e-03 4.7271299e-01 5.1668876e-01 6.7037926e-03
 6.0487724e-05 1.5725593e-07 1.1416117e-08 3.3524597e-10]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0005_face0.png,East Asian,Asian,Female,20-29,"[3.04295245e-04 2.12830219e-06 1.30324508e-03 8.61918271e-01
 1.36315897e-01 1.42686593e-04 1.34348375e-05]",[1.6127084e-04 3.2033493e-06 9.9971563e-01 1.1991339e-04],[5.7380104e-05 9.9994260e-01],"[5.8113528e-08 3.0711759e-04 2.6300821e-01 7.0217037e-01 3.3921879e-02
 5.9104024e-04 1.2922229e-06 8.9121464e-08 1.4010856e-09]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0006_face0.png,East Asian,Asian,Female,10-19,"[9.9478362e-05 1.0908186e-05 5.4679869e-04 7.0004940e-01 2.9901850e-01
 2.7175384e-04 3.0988795e-06]",[5.4345808e-05 2.1715090e-05 9.9987888e-01 4.5101526e-05],[7.5663855e-05 9.9992430e-01],"[3.6894795e-07 4.7961455e-03 5.3367060e-01 4.5763296e-01 3.8658227e-03
 3.3982891e-05 8.1908674e-08 1.0342439e-08 4.3865014e-10]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0007_face0.png,East Asian,Asian,Female,20-29,"[7.3051560e-05 3.0598653e-07 2.5435784e-04 9.5910919e-01 4.0457673e-02
 9.5598218e-05 9.7217753e-06]",[3.3217060e-05 1.0906500e-06 9.9994051e-01 2.5174248e-05],[2.217307e-05 9.999779e-01],"[3.5172326e-07 2.0260008e-03 3.3900163e-01 6.3918597e-01 1.9384701e-02
 3.9971239e-04 1.4914824e-06 1.6688421e-07 4.3817558e-09]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0008_face0.png,East Asian,Asian,Female,10-19,"[1.3037109e-04 4.4919315e-07 8.5817015e-04 9.1147423e-01 8.7357983e-02
 1.6637100e-04 1.2449014e-05]",[6.1720741e-05 4.5689508e-06 9.9963081e-01 3.0285618e-04],[1.312667e-04 9.998687e-01],"[2.1151432e-07 5.0437879e-03 5.2898365e-01 4.5776752e-01 8.0911359e-03
 1.1334875e-04 3.1129306e-07 2.6440587e-08 7.1429629e-10]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0009_face0.png,East Asian,Asian,Female,20-29,"[6.7038018e-05 1.0466014e-06 3.4779744e-04 8.4552288e-01 1.5400876e-01
 5.0151466e-05 2.3158675e-06]",[1.9838835e-05 4.3752934e-06 9.9982667e-01 1.4904997e-04],[8.2154985e-04 9.9917841e-01],"[1.1458709e-06 2.8033021e-03 3.3823165e-01 6.0887843e-01 4.8053063e-02
 2.0177139e-03 1.3204248e-05 1.4266687e-06 7.8804781e-08]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0010_face0.png,Southeast Asian,Asian,Female,3-9,"[1.5131969e-04 4.3914195e-05 7.5796689e-03 1.7953955e-01 8.1018877e-01
 2.4880471e-03 8.7110084e-06]",[2.1832469e-05 7.0197393e-06 9.9953246e-01 4.3864871e-04],[3.3852173e-04 9.9966145e-01],"[1.2950900e-04 7.3228651e-01 2.5079128e-01 1.6326973e-02 4.5504671e-04
 1.0585878e-05 9.6971910e-08 1.8299696e-08 1.1683141e-09]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0011_face0.png,East Asian,Asian,Female,20-29,"[3.8891085e-04 1.3321842e-06 1.3783479e-03 8.8176084e-01 1.1621807e-01
 2.3072692e-04 2.1753440e-05]",[3.7663991e-05 5.7339071e-06 9.9982280e-01 1.3377439e-04],[1.11584195e-05 9.99988854e-01],"[1.4848476e-07 4.2718993e-03 4.5151514e-01 5.3668272e-01 7.4360101e-03
 9.3817587e-05 1.5054141e-07 1.6924638e-08 4.5884735e-10]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0012_face0.png,East Asian,Asian,Female,20-29,"[8.7495835e-05 1.2143354e-06 8.7876926e-04 7.9264450e-01 2.0591216e-01
 4.7001219e-04 5.8014280e-06]",[1.08100885e-05 6.73001580e-07 9.99948800e-01 3.97031581e-05],[3.8752682e-04 9.9961245e-01],"[4.2413976e-07 2.3341896e-03 4.2089695e-01 5.6304002e-01 1.3561648e-02
 1.6631611e-04 3.9141057e-07 4.1366331e-08 6.0296407e-10]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/fair_selected_faces/selected_faces/0-9/female/asian/0013_face0.png,East Asian,Asian,Female,10-19,"[1.4693127e-04 4.0320043e-07 6.8229856e-04 8.6351573e-01 1.3552368e-01
 1.1551799e-04 1.5401849e-05]",[1.370835e-04 4.105205e-07 9.997970e-01 6.553796e-05],[4.649889e-05 9.999535e-01],"[2.1961743e-07 3.4644613e-03 5.0812566e-01 4.8233089e-01 6.0071130e-03
 7.1482849e-05 1.2620725e-07 1.2667637e-08 4.0298997e-10]"
