face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0000_face0.png,White,White,Female,20-29,"[9.9496764e-01 3.1944881e-05 3.0918631e-03 1.9209340e-04 2.3115164e-04
 3.1468448e-05 1.4537351e-03]",[9.9712539e-01 9.4726507e-04 1.6319243e-03 2.9544070e-04],[0.12155624 0.8784438 ],"[2.20147626e-07 1.90254315e-04 1.75896183e-01 7.72735238e-01
 4.95152399e-02 1.62776152e-03 3.28161514e-05 2.13283033e-06
 1.00877955e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0001_face0.png,Latino_Hispanic,Indian,Female,20-29,"[0.06192912 0.00433995 0.69645363 0.01801713 0.16029118 0.05377333
 0.00519569]",[0.10662726 0.00553116 0.11434326 0.7734983 ],[6.2852737e-04 9.9937147e-01],"[1.1972477e-07 1.7594968e-04 2.7580321e-01 6.2279266e-01 9.9038683e-02
 2.1774583e-03 1.1695957e-05 3.4416001e-07 7.8401259e-09]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0002_face0.png,White,White,Male,20-29,"[9.6741295e-01 1.0538358e-05 2.2911886e-02 1.5727512e-03 1.6420861e-03
 4.4465400e-04 6.0051363e-03]",[9.0190721e-01 1.0468058e-04 8.4678166e-02 1.3309958e-02],[9.999344e-01 6.562333e-05],"[9.1330918e-08 6.9613880e-06 1.9878330e-02 8.8668287e-01 9.1330655e-02
 2.0457222e-03 5.2877545e-05 2.3479927e-06 5.9272981e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0003_face0.png,White,White,Male,20-29,"[9.4505370e-01 1.4898741e-04 2.7608050e-02 8.3209500e-03 9.8044537e-03
 1.6454743e-03 7.4183913e-03]",[0.7247221  0.00180158 0.23345535 0.04002097],[9.9999917e-01 8.3015567e-07],"[7.7353803e-08 1.5998110e-05 3.1022716e-02 8.9127988e-01 7.5961255e-02
 1.6896522e-03 2.9233652e-05 1.1323962e-06 2.1776110e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0004_face0.png,Latino_Hispanic,White,Female,20-29,"[0.3292365  0.00121349 0.645668   0.0012274  0.00526875 0.0078664
 0.0095194 ]",[0.87684745 0.02283512 0.07524649 0.02507094],[7.534290e-04 9.992466e-01],"[1.25348345e-08 1.83112468e-04 3.52294087e-01 6.12084508e-01
 3.52334715e-02 2.04327851e-04 4.91183300e-07 8.84292195e-09
 2.48178117e-10]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0005_face0.png,White,White,Female,20-29,"[0.66800123 0.00069582 0.27444834 0.00410025 0.02756244 0.01601227
 0.00917975]",[0.92690986 0.00313069 0.02604209 0.04391731],[0.40254933 0.5974507 ],"[1.5135725e-05 1.1950505e-03 8.7882720e-02 4.5495471e-01 3.1604862e-01
 1.0373818e-01 2.9503351e-02 6.0298541e-03 6.3243893e-04]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0006_face0.png,White,White,Female,10-19,"[0.5466625  0.00229417 0.32160798 0.04497538 0.0572205  0.0054209
 0.02181847]",[0.6432992  0.07315102 0.14539006 0.13815975],[3.2421358e-05 9.9996758e-01],"[9.2296526e-09 1.1400383e-03 6.3465369e-01 3.6109427e-01 3.0984466e-03
 1.3535194e-05 1.2081105e-08 4.4546228e-10 1.9616496e-11]",1,White,10-19
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0007_face0.png,White,White,Female,20-29,"[9.8223943e-01 3.3591827e-04 1.1883764e-02 1.5328429e-03 2.2404722e-03
 9.7708544e-05 1.6697597e-03]",[0.8629844  0.00373771 0.13215701 0.00112092],[5.6560308e-04 9.9943435e-01],"[6.6975225e-08 8.9597184e-04 4.7176796e-01 5.1477522e-01 1.2509675e-02
 5.1030878e-05 1.2458895e-07 3.9796322e-09 2.6273086e-10]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0008_face0.png,White,White,Male,10-19,"[9.3029886e-01 7.0179830e-04 5.9013896e-02 5.9573603e-04 1.6417644e-03
 1.6288216e-04 7.5851022e-03]",[0.96276164 0.01581012 0.01940859 0.00201962],[0.97772115 0.02227886],"[1.1617849e-07 1.6845370e-02 9.5165980e-01 3.1307921e-02 1.8506513e-04
 1.6779276e-06 7.2959945e-09 4.1778847e-10 2.8362998e-11]",2,White,10-19
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0009_face0.png,White,White,Female,10-19,"[0.75967413 0.00096337 0.21596923 0.00354506 0.009892   0.00112056
 0.00883556]",[0.8902216  0.01717102 0.08384318 0.00876424],[0.00515115 0.9948489 ],"[7.6340243e-08 1.1838130e-03 6.1193538e-01 3.6679894e-01 1.9923361e-02
 1.5775840e-04 6.9743879e-07 2.4291149e-08 1.1943393e-09]",1,White,10-19
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0010_face0.png,White,White,Male,20-29,"[9.9567139e-01 3.0877840e-05 3.0950943e-03 1.8630708e-05 4.3491353e-05
 5.2923609e-05 1.0874454e-03]",[9.9399823e-01 5.7833671e-04 3.6599074e-04 5.0573712e-03],[9.9995172e-01 4.8269194e-05],"[4.1118735e-08 1.9557345e-05 3.8542982e-02 8.8889956e-01 7.0894897e-02
 1.6176489e-03 2.4790916e-05 5.1171702e-07 1.6392052e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0011_face0.png,White,White,Female,20-29,"[4.1657105e-01 4.0091120e-04 3.3593753e-01 9.0511411e-02 1.3786243e-01
 3.5742440e-03 1.5142410e-02]",[9.0749031e-01 5.2446360e-04 8.1862584e-02 1.0122714e-02],[0.19490302 0.8050969 ],"[3.4047281e-07 3.2316803e-04 2.7063230e-01 6.2820238e-01 9.7189523e-02
 3.5912655e-03 5.8858684e-05 2.0839607e-06 6.6719117e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0012_face0.png,White,Asian,Female,20-29,"[5.2307427e-01 8.9492387e-04 8.8121720e-02 2.0238465e-01 1.8302736e-01
 3.2561607e-04 2.1714703e-03]",[0.458886   0.01205865 0.52460027 0.00445507],[0.12263036 0.87736964],"[1.2036624e-06 9.7849756e-04 3.9589354e-01 4.9296281e-01 1.0331948e-01
 6.6142166e-03 2.1425817e-04 1.4957622e-05 1.0295480e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0013_face0.png,White,White,Female,20-29,"[0.6243053  0.0011184  0.25196606 0.00107148 0.00348889 0.00387009
 0.11417974]",[0.9194877  0.00518056 0.04270593 0.03262577],[0.00184288 0.9981571 ],"[8.3125840e-08 4.8361946e-04 4.1900998e-01 5.4430592e-01 3.5817143e-02
 3.8131420e-04 1.8503819e-06 1.0596174e-07 4.9144555e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0014_face0.png,White,White,Male,20-29,"[0.6138682  0.00244534 0.29361454 0.01592582 0.04515625 0.00984905
 0.01914083]",[0.827691   0.01391181 0.14426386 0.01413335],[0.96138895 0.03861103],"[3.5945860e-08 1.2286573e-04 3.4401989e-01 6.2973863e-01 2.5798252e-02
 3.1672497e-04 3.4252494e-06 1.6197626e-07 6.3498997e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_happy/happy_person_0015_face0.png,White,White,Female,20-29,"[9.9101138e-01 4.6985934e-04 6.1705778e-03 4.2825346e-04 8.0879260e-04
 3.8260234e-05 1.0727905e-03]",[8.9283758e-01 6.7618497e-02 3.8662259e-02 8.8168465e-04],[1.8145995e-04 9.9981856e-01],"[2.7603386e-08 3.4331376e-04 3.5431561e-01 5.9216177e-01 5.2710149e-02
 4.6772795e-04 1.4840512e-06 2.4657512e-08 1.5708994e-09]",1,White,20-39
