face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_fearful/fearful_person_0000_face0.png,White,White,Male,20-29,"[8.9539093e-01 9.5034891e-05 6.9020391e-02 3.9028676e-04 8.5363642e-04
 3.0519993e-03 3.1197675e-02]",[9.9471289e-01 4.3616168e-05 1.7472628e-03 3.4962448e-03],[0.99778134 0.00221871],"[1.3775958e-05 7.6110073e-04 4.8617110e-02 3.6628348e-01 3.6293873e-01
 1.9439992e-01 2.5661143e-02 1.2667755e-03 5.7962014e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_fearful/fearful_person_0001_face0.png,White,White,Male,50-59,"[9.7735566e-01 4.3392869e-05 2.6608096e-03 9.1883128e-05 1.4249525e-04
 8.5252762e-04 1.8853245e-02]",[0.77623034 0.00315856 0.01871927 0.20189184],[0.72117174 0.27882826],"[1.9651578e-05 1.3743901e-04 2.9630850e-03 1.3328516e-01 2.0386119e-01
 2.7484974e-01 2.8806803e-01 5.9972480e-02 3.6843140e-02]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_fearful/fearful_person_0002_face0.png,White,White,Male,20-29,"[8.5123652e-01 3.6727230e-03 5.5030037e-02 2.9462559e-05 1.9622197e-04
 1.3157310e-02 7.6677643e-02]",[0.9261015  0.03573696 0.00554271 0.03261881],[0.5285035 0.4714965],"[1.4299342e-06 9.2433802e-05 9.5238118e-03 4.8916906e-01 4.1892713e-01
 7.1145862e-02 1.0741196e-02 3.6544434e-04 3.3661629e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_fearful/fearful_person_0003_face0.png,White,White,Male,30-39,"[7.70537019e-01 1.49343791e-03 1.02655794e-02 1.33742200e-04
 7.48109771e-04 1.30125275e-02 2.03809515e-01]",[9.8913294e-01 5.0710636e-04 1.0494094e-03 9.3105230e-03],[0.94959646 0.05040357],"[5.9398908e-06 1.1752598e-04 6.0217823e-03 1.2922983e-01 3.6784765e-01
 3.4315106e-01 1.4241454e-01 9.8703410e-03 1.3413747e-03]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_fearful/fearful_person_0004_face0.png,White,White,Male,30-39,"[5.2691317e-01 3.5712670e-04 8.5272649e-03 1.4376225e-06 4.9606257e-05
 4.7582360e-03 4.5939317e-01]",[0.77189744 0.0033866  0.01134095 0.21337503],[9.99999940e-01 1.01190956e-07],"[1.9786137e-07 6.8790605e-06 2.0043163e-03 1.6235808e-01 4.3992448e-01
 3.5258088e-01 4.1778661e-02 1.3123364e-03 3.4192941e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_fearful/fearful_person_0005_face0.png,White,Indian,Male,40-49,"[6.8670493e-01 4.7059949e-03 9.6163251e-02 3.6744779e-05 7.9167337e-04
 3.1517718e-02 1.8007964e-01]",[0.47942087 0.01378529 0.01384012 0.49295372],[9.9999946e-01 4.7875386e-07],"[2.0768755e-06 9.6009207e-06 5.9150241e-04 1.2375320e-02 1.1716500e-01
 5.2241158e-01 3.2894886e-01 1.8220305e-02 2.7567014e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_fearful/fearful_person_0006_face0.png,White,White,Male,30-39,"[9.9458379e-01 2.1650643e-05 4.6175611e-03 3.5966823e-06 2.8672215e-05
 3.4225974e-04 4.0235530e-04]",[9.9672967e-01 4.6051326e-04 2.8590456e-04 2.5238863e-03],[0.97948277 0.02051722],"[3.5295841e-07 6.2096638e-06 1.7599965e-03 1.7213516e-01 5.1332366e-01
 2.7043799e-01 4.1571438e-02 7.3521945e-04 2.9971070e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_fearful/fearful_person_0007_face0.png,White,White,Male,30-39,"[9.8965257e-01 8.4895489e-04 2.8728647e-03 1.8258530e-05 9.6130163e-05
 4.0790844e-03 2.4320411e-03]",[0.61518145 0.00507265 0.01528025 0.36446565],[0.95064217 0.04935781],"[2.1364224e-06 6.2700739e-05 4.1218218e-03 2.5127029e-01 3.6127201e-01
 1.9705142e-01 1.5144464e-01 2.5651665e-02 9.1233067e-03]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_fearful/fearful_person_0008_face0.png,White,Asian,Female,30-39,"[0.53093106 0.05493176 0.08107307 0.01973948 0.14664145 0.15221761
 0.01446562]",[0.07040266 0.0659091  0.6878653  0.17582293],[0.3552098 0.6447902],"[9.4577146e-05 3.1728602e-03 9.9371802e-03 1.5862770e-01 2.2140484e-01
 1.9422135e-01 1.0917167e-01 1.2107999e-01 1.8228990e-01]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_fearful/fearful_person_0009_face0.png,White,White,Male,30-39,"[9.4033366e-01 8.4168911e-03 2.0143887e-02 3.7582350e-04 2.9460122e-03
 1.7098820e-02 1.0684848e-02]",[0.45544806 0.05037789 0.10670959 0.38746446],[9.9998683e-01 1.3106992e-05],"[8.2638522e-05 1.5625570e-02 8.6987749e-02 2.6712361e-01 3.1339630e-01
 2.1378903e-01 9.1614142e-02 1.0658024e-02 7.2297844e-04]",0,White,20-39
