face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_person/person_0000_face0.png,White,White,Male,30-39,"[9.4179779e-01 1.9366399e-04 3.7765432e-02 2.6092630e-05 1.4775511e-04
 2.2867688e-03 1.7782534e-02]",[9.9099696e-01 4.4717910e-03 3.1170374e-04 4.2195152e-03],[9.9985689e-01 1.4311472e-04],"[7.1771626e-07 3.0609506e-05 9.5844259e-03 4.0728024e-01 5.0428098e-01
 7.6328032e-02 2.4508783e-03 4.2940810e-05 1.1931478e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_person/person_0001_face0.png,White,White,Male,20-29,"[9.9975449e-01 7.6365097e-07 1.8010775e-04 1.8015933e-07 3.4760117e-07
 1.3485685e-06 6.2735300e-05]",[9.9995661e-01 1.9263043e-05 7.8963822e-06 1.6316362e-05],[0.7097389  0.29026103],"[6.5466232e-09 3.8999906e-06 1.7686091e-02 8.1307685e-01 1.6455396e-01
 4.6567256e-03 2.2265674e-05 1.7693803e-07 5.4597300e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_person/person_0002_face0.png,White,White,Male,30-39,"[5.2067465e-01 2.8779884e-04 9.0930760e-02 5.0209641e-05 2.4198959e-04
 7.3004565e-03 3.8051409e-01]",[9.8452687e-01 5.5665831e-04 5.6695990e-04 1.4349461e-02],[9.9997467e-01 2.5339874e-05],"[3.0751595e-05 1.2221547e-04 3.6472941e-03 1.3308717e-01 5.3872657e-01
 2.8505117e-01 3.8018472e-02 1.2808944e-03 3.5395242e-05]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_person/person_0003_face0.png,Latino_Hispanic,Black,Male,30-39,"[3.7266034e-01 2.2908363e-02 5.4355896e-01 2.1412925e-04 1.1783580e-03
 5.0384183e-03 5.4441452e-02]",[0.25506115 0.6569927  0.01615764 0.07178853],[9.9997002e-01 2.9968527e-05],"[7.8765498e-07 4.9989039e-06 5.8318507e-03 3.3506033e-01 5.0293368e-01
 1.2231469e-01 3.1795017e-02 2.0314783e-03 2.7188211e-05]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_person/person_0004_face0.png,White,White,Male,30-39,"[9.4476634e-01 1.3415575e-04 4.4369604e-02 1.3633063e-05 7.9360274e-05
 6.6604681e-04 9.9708764e-03]",[9.95498002e-01 4.66991885e-04 1.12736576e-04 3.92225990e-03],[9.9999708e-01 2.8820793e-06],"[1.22219581e-06 2.46841628e-05 4.15693596e-03 1.08660996e-01
 6.62425280e-01 2.16526866e-01 8.12296849e-03 8.02058275e-05
 8.77140280e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_person/person_0005_face0.png,White,White,Male,20-29,"[6.6145557e-01 2.5616080e-04 1.1456091e-01 2.0548309e-06 5.6687084e-05
 1.3226433e-02 2.1044225e-01]",[8.2411969e-01 3.7419207e-03 4.1863261e-04 1.7171977e-01],[9.9999917e-01 8.2875039e-07],"[6.9441143e-07 1.4963861e-04 3.7514936e-02 6.1979747e-01 3.2284334e-01
 1.9528966e-02 1.6155800e-04 3.3974898e-06 6.0352143e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_person/person_0006_face0.png,White,White,Male,30-39,"[9.6424538e-01 4.2248881e-04 2.4866400e-02 3.6090159e-06 1.4430695e-05
 2.0646655e-04 1.0241269e-02]",[9.8167324e-01 8.2463585e-03 1.7967042e-04 9.9007441e-03],[9.9998802e-01 1.1995282e-05],"[8.06109313e-07 7.71834675e-06 1.52335770e-03 1.93150133e-01
 6.15112007e-01 1.80817172e-01 9.27371252e-03 1.13621376e-04
 1.43408795e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_person/person_0007_face0.png,White,White,Male,30-39,"[9.6254545e-01 4.0472246e-04 2.8663024e-02 6.7196757e-05 3.2203007e-04
 7.8564923e-04 7.2119180e-03]",[9.96610403e-01 1.88442602e-04 1.09956025e-04 3.09117162e-03],[9.9998963e-01 1.0359741e-05],"[1.07809808e-06 2.53979633e-05 4.32045851e-03 1.89891055e-01
 6.08157039e-01 1.88900992e-01 8.59229546e-03 1.09944405e-04
 1.69340024e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_person/person_0008_face0.png,White,White,Male,20-29,"[9.9157453e-01 8.7408880e-06 1.2247598e-03 1.4138317e-06 5.5681726e-06
 5.9794082e-05 7.1252566e-03]",[9.9945891e-01 1.7272878e-05 8.9465884e-06 5.1489793e-04],[9.9999934e-01 6.2222097e-07],"[1.8784080e-08 1.3720294e-06 6.6420590e-03 6.4686441e-01 3.1476873e-01
 3.1268064e-02 4.4784477e-04 7.3225515e-06 1.4649264e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_person/person_0009_face0.png,White,White,Male,20-29,"[9.7684097e-01 4.9336388e-05 1.3997087e-02 1.5535261e-05 6.1242252e-05
 2.1779633e-04 8.8178758e-03]",[9.7438043e-01 4.1675861e-03 6.6916138e-04 2.0782810e-02],[9.999634e-01 3.657972e-05],"[1.1025142e-07 1.8150467e-05 1.6620969e-02 8.0317169e-01 1.7617281e-01
 3.9785733e-03 3.7186121e-05 5.2469801e-07 1.2884085e-08]",1,White,20-39
