face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0001_face0.png,Middle Eastern,White,Male,30-39,"[2.7807605e-01 1.6128462e-04 7.4597582e-02 4.0701529e-05 4.0636826e-04
 2.7615612e-03 6.4395642e-01]",[9.7578228e-01 3.8657180e-04 1.1377372e-02 1.2453862e-02],[9.9999464e-01 5.3436083e-06],"[4.0120689e-08 3.7509137e-06 3.4722353e-03 3.1996834e-01 5.8201569e-01
 9.2295654e-02 2.2275476e-03 1.6484008e-05 2.8109062e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0002_face0.png,White,White,Male,20-29,"[9.9285871e-01 4.8495673e-07 4.5409421e-03 5.1337443e-06 2.6261918e-05
 6.1733910e-04 1.9510384e-03]",[9.7331041e-01 7.9210313e-06 1.8665795e-03 2.4815055e-02],[9.9994338e-01 5.6648292e-05],"[2.2161752e-08 6.4044725e-05 7.3782206e-02 8.5394639e-01 7.0001617e-02
 2.1933822e-03 1.2196656e-05 1.5484719e-07 3.3954721e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0003_face0.png,White,White,Male,20-29,"[9.9096775e-01 1.2912214e-04 3.6417653e-03 1.6263595e-05 6.7897425e-05
 5.2286888e-04 4.6542813e-03]",[0.9908244  0.00126072 0.00369778 0.004217  ],[0.9975439  0.00245612],"[4.3435583e-07 2.5223539e-05 9.0066604e-03 5.2081501e-01 3.3440647e-01
 1.2023493e-01 1.4889782e-02 5.7504786e-04 4.6398989e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0004_face0.png,Latino_Hispanic,White,Male,10-19,"[6.9200821e-02 7.4563287e-03 6.2525278e-01 4.7880926e-04 7.3579298e-03
 2.4902892e-01 4.1224461e-02]",[6.6017056e-01 4.2930845e-04 2.0583441e-02 3.1881675e-01],[9.9987739e-01 1.2259145e-04],"[3.6276953e-05 4.9098190e-02 4.7839749e-01 3.6995524e-01 9.0086527e-02
 1.1885779e-02 5.1595486e-04 2.3085506e-05 1.3777874e-06]",0,Others,10-19
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0005_face0.png,Indian,Indian,Male,30-39,"[4.3658629e-02 4.8587523e-02 5.6764133e-02 1.3376572e-04 4.2094365e-03
 8.2495522e-01 2.1691307e-02]",[0.03194789 0.00532377 0.00336011 0.9593682 ],[9.9916786e-01 8.3214580e-04],"[9.1370624e-05 3.2605426e-03 3.5217915e-02 2.4136083e-01 3.6289531e-01
 3.0012858e-01 4.7174770e-02 8.6157136e-03 1.2549625e-03]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0006_face0.png,White,White,Male,40-49,"[4.9328709e-01 8.6551323e-04 3.3908683e-01 1.8432063e-04 8.2487409e-04
 7.3449254e-02 9.2302166e-02]",[0.8651342  0.00106058 0.01469828 0.11910692],[9.999920e-01 7.940318e-06],"[3.3470737e-05 4.8992736e-04 5.2279946e-03 6.9496445e-02 4.0986463e-01
 4.4166291e-01 7.1999580e-02 1.1991620e-03 2.5959567e-05]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0007_face0.png,White,White,Male,20-29,"[9.8377281e-01 4.4077379e-04 4.0449514e-03 1.3574047e-03 1.5684648e-03
 2.5828424e-04 8.5573019e-03]",[9.9026674e-01 6.3321460e-04 6.0514947e-03 3.0485385e-03],[0.9938711  0.00612894],"[3.3280587e-06 4.5175933e-05 1.9084057e-03 5.5249685e-01 3.9088532e-01
 5.1049531e-02 3.2780049e-03 2.7412936e-04 5.9205566e-05]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0008_face0.png,White,White,Male,40-49,"[9.9632901e-01 6.9082324e-07 1.0377354e-04 5.0646696e-07 1.5168175e-05
 9.9238299e-05 3.4516000e-03]",[9.4235647e-01 2.8576053e-04 1.3004851e-03 5.6057356e-02],[9.9999887e-01 1.0897688e-06],"[4.8600305e-07 3.1111947e-06 2.9080827e-04 1.6852008e-02 1.7776947e-01
 6.8179399e-01 1.2159129e-01 1.6640902e-03 3.4751210e-05]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0009_face0.png,White,White,Male,40-49,"[9.7751063e-01 1.3227240e-03 1.6316837e-02 1.0682364e-05 1.0251225e-04
 2.7754977e-03 1.9612371e-03]",[0.92337495 0.00111296 0.00392464 0.07158742],[9.9999410e-01 5.9192057e-06],"[7.2831921e-07 6.4954943e-06 3.4361397e-04 1.1801153e-02 1.4820766e-01
 5.5253196e-01 2.7973437e-01 7.2465078e-03 1.2755799e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0010_face0.png,White,White,Male,50-59,"[0.86275136 0.01148582 0.03020178 0.0008848  0.00501487 0.02570041
 0.06396098]",[0.9291071  0.00205016 0.01089488 0.05794783],[0.9960978  0.00390221],"[3.64082589e-05 2.07737830e-04 1.90767401e-03 4.29306813e-02
 9.20710191e-02 2.38652855e-01 3.04464549e-01 2.00900972e-01
 1.18828066e-01]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0011_face0.png,White,White,Male,30-39,"[9.9950743e-01 1.2270425e-06 4.3222135e-05 1.9841598e-06 1.3501414e-06
 2.3982000e-06 4.4241978e-04]",[9.9949658e-01 2.2699636e-05 6.3623906e-05 4.1708624e-04],[0.9910681  0.00893192],"[3.2424757e-07 2.0592852e-06 4.5581124e-04 2.7266133e-01 5.3841990e-01
 1.7271502e-01 1.5220109e-02 4.7273526e-04 5.2713411e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0012_face0.png,Indian,Indian,Male,60-69,"[0.20041342 0.02566552 0.0218346  0.00185533 0.04544873 0.57740194
 0.12738043]",[0.39079168 0.00875066 0.18200254 0.41845515],[0.9958949 0.0041051],"[1.1766739e-05 6.0753711e-05 4.9277174e-04 1.2354322e-02 2.8067257e-02
 1.0808949e-01 2.0563367e-01 3.7674442e-01 2.6854548e-01]",0,Others,60+
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0013_face0.png,White,Indian,Female,20-29,"[7.5312322e-01 1.2578387e-04 2.7578466e-02 5.4859085e-04 1.7589310e-03
 2.1710200e-02 1.9515480e-01]",[0.3605782  0.00062521 0.1424593  0.4963373 ],[0.43088537 0.5691146 ],"[2.2956818e-05 1.3534296e-03 5.0416779e-02 3.7575743e-01 2.4148227e-01
 1.9748896e-01 6.5758981e-02 3.4700129e-02 3.3019044e-02]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0014_face0.png,White,Indian,Male,30-39,"[9.1306460e-01 1.5730489e-03 6.7065597e-02 5.8522110e-04 2.3354127e-03
 1.0768067e-02 4.6079592e-03]",[0.38004357 0.00188952 0.04433805 0.5737289 ],[0.91214615 0.08785381],"[1.5997198e-04 4.0118720e-02 1.7041916e-01 2.3292772e-01 3.1813368e-01
 1.9675271e-01 3.8949098e-02 2.1460296e-03 3.9300261e-04]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0015_face0.png,White,White,Male,40-49,"[7.8950936e-01 1.1224110e-01 5.4207113e-02 8.6789230e-05 4.0602870e-03
 3.7520628e-02 2.3748358e-03]",[0.67123705 0.18300794 0.01066414 0.13509089],[9.9999928e-01 7.4129264e-07],"[5.2477441e-07 1.1481245e-05 4.9539463e-04 2.5328238e-02 2.3211083e-01
 5.3941232e-01 1.9358678e-01 8.7819640e-03 2.7248202e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_disgusted/disgusted_person_0016_face0.png,White,White,Male,20-29,"[9.0766233e-01 4.4821031e-04 1.8040096e-02 4.6337325e-05 9.7487174e-04
 4.5641039e-02 2.7187055e-02]",[0.5957364  0.00227519 0.04412628 0.3578622 ],[9.9925184e-01 7.4815715e-04],"[9.3116262e-07 8.3010040e-05 2.0110512e-02 3.6466876e-01 3.6143991e-01
 2.2351083e-01 2.7408289e-02 2.4304974e-03 3.4723154e-04]",0,White,20-39
