face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_sad/sad_person_0000_face0.png,East Asian,Asian,Female,20-29,"[1.2640670e-03 5.9606506e-08 7.1324396e-04 9.5662105e-01 4.1226298e-02
 7.3101008e-05 1.0224217e-04]",[5.1887352e-03 1.7557658e-06 9.9390221e-01 9.0736838e-04],[0.06248531 0.93751466],"[1.10610126e-08 4.14972528e-05 2.80098021e-01 7.08216608e-01
 1.16033116e-02 4.05574901e-05 8.47430144e-08 6.58137322e-09
 1.00362184e-10]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_sad/sad_person_0001_face0.png,East Asian,Asian,Female,20-29,"[5.4762288e-05 7.5399242e-07 5.6509580e-04 8.2451689e-01 1.7455481e-01
 3.0288726e-04 4.8196671e-06]",[6.2325948e-05 9.7395241e-07 9.9929917e-01 6.3751836e-04],[0.00306069 0.9969393 ],"[1.5045890e-07 1.2292705e-03 3.6779782e-01 6.2424487e-01 6.6991798e-03
 2.8652912e-05 4.5736599e-08 5.1329776e-09 1.0836263e-10]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_sad/sad_person_0002_face0.png,Indian,Asian,Male,50-59,"[0.00567962 0.08086181 0.12081947 0.01157537 0.34153348 0.42894515
 0.01058505]",[0.00264924 0.0063171  0.68375564 0.30727807],[9.999714e-01 2.859273e-05],"[4.7890673e-05 1.3854628e-04 3.7778157e-04 5.9857097e-04 8.9424020e-03
 1.6844663e-01 6.1196738e-01 1.9990259e-01 9.5783062e-03]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_sad/sad_person_0003_face0.png,White,White,Male,30-39,"[5.2758873e-01 2.6894249e-03 1.3349153e-01 1.0268656e-05 9.7157259e-05
 3.1400617e-02 3.0472234e-01]",[8.1729692e-01 6.0258643e-04 3.2043736e-04 1.8178007e-01],[9.9999982e-01 1.7922981e-07],"[2.3481392e-07 1.3133318e-05 1.4785372e-03 2.8910315e-01 6.6615391e-01
 4.3015316e-02 2.3344603e-04 2.2137560e-06 4.7014677e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_sad/sad_person_0004_face0.png,Southeast Asian,Asian,Male,20-29,"[0.00275098 0.00092895 0.08523613 0.28140637 0.5509043  0.07662731
 0.00214592]",[1.5144480e-02 1.9088600e-04 7.4526954e-01 2.3939510e-01],[9.9930483e-01 6.9516664e-04],"[4.5195529e-06 1.7129326e-04 1.7556518e-02 5.2929401e-01 3.9032307e-01
 6.0608394e-02 1.7557214e-03 2.7216200e-04 1.4288208e-05]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_sad/sad_person_0005_face0.png,Southeast Asian,Asian,Female,70+,"[3.8681189e-03 6.0823478e-04 5.6573290e-02 2.2279470e-01 6.3939178e-01
 7.1027234e-02 5.7366733e-03]",[1.156121e-04 3.421258e-05 9.953412e-01 4.508988e-03],[0.01607341 0.98392653],"[1.5407182e-05 1.2715277e-04 1.1361562e-04 5.3114920e-05 4.6718415e-04
 3.8153902e-03 6.0257841e-02 4.5409644e-01 4.8105389e-01]",0,Asian,60+
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_sad/sad_person_0006_face0.png,East Asian,Asian,Male,20-29,"[2.8619453e-02 1.2235945e-05 1.4364602e-01 5.3422111e-01 2.7888286e-01
 3.9962181e-03 1.0622099e-02]",[4.4239279e-02 4.3196491e-05 7.9042447e-01 1.6529307e-01],[0.52664477 0.4733553 ],"[9.5600550e-09 2.0772457e-05 2.4456179e-01 7.2584546e-01 2.9276682e-02
 2.9411539e-04 1.0350440e-06 7.0084319e-08 1.4084740e-09]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_sad/sad_person_0007_face0.png,East Asian,Asian,Female,20-29,"[8.3316740e-04 3.8081859e-07 1.5834459e-03 9.2715162e-01 7.0166081e-02
 1.7908725e-04 8.6221073e-05]",[8.6888801e-03 1.9174311e-05 9.8726380e-01 4.0282095e-03],[0.20787394 0.79212606],"[6.8185595e-09 2.8838967e-05 2.6699641e-01 7.2247916e-01 1.0453343e-02
 4.2128861e-05 1.0250890e-07 7.7811002e-09 1.3273221e-10]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_sad/sad_person_0008_face0.png,East Asian,Asian,Female,20-29,"[6.9336954e-04 1.0738118e-05 7.2654281e-03 7.4946147e-01 2.3632309e-01
 5.8375583e-03 4.0837104e-04]",[3.0684534e-03 1.7917710e-05 9.8095185e-01 1.5961817e-02],[0.01608984 0.98391014],"[2.1904339e-06 4.0791699e-04 5.7935879e-02 7.1418089e-01 2.1269685e-01
 1.4537213e-02 2.1429588e-04 2.4242814e-05 5.4297959e-07]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_sad/sad_person_0009_face0.png,East Asian,Asian,Male,20-29,"[1.7886877e-03 6.4010178e-06 9.2526600e-03 7.9412484e-01 1.9379608e-01
 9.0285268e-04 1.2848087e-04]",[9.7749233e-03 5.4512166e-06 9.7632980e-01 1.3889862e-02],[0.807286   0.19271396],"[5.2738141e-08 8.3188179e-06 1.2784382e-02 5.4040855e-01 4.1941804e-01
 2.7024651e-02 3.3538975e-04 2.0422314e-05 2.2744379e-07]",1,Asian,20-39
