face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,gt_age,gt_gender,gt_race
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/fair_selected_faces/selected_faces/0-9/female/asian/0000_face0.png,East Asian,Asian,Female,10-19,"[7.2277035e-04 1.2139648e-06 3.8852819e-04 9.0728050e-01 9.1490626e-02
 1.0411919e-04 1.2192782e-05]",[2.1569373e-04 2.9212075e-07 9.9942130e-01 3.6279755e-04],[1.0447194e-05 9.9998957e-01],"[6.8952943e-08 7.1500847e-03 6.6312265e-01 3.2931036e-01 4.1641769e-04
 4.5003799e-07 3.0126582e-10 1.5136805e-11 5.7861008e-13]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/fair_selected_faces/selected_faces/0-9/female/asian/0001_face0.png,East Asian,Asian,Female,10-19,"[2.7979069e-04 1.9106487e-07 3.2055561e-04 9.2177939e-01 7.7580824e-02
 3.0689203e-05 8.6030350e-06]",[2.9084549e-04 4.9434323e-07 9.9953848e-01 1.7025128e-04],[3.7140442e-05 9.9996287e-01],"[7.5925441e-06 1.4562088e-01 6.4361215e-01 2.1023403e-01 5.2221760e-04
 3.1283992e-06 5.3103082e-09 7.2173817e-10 3.5956262e-11]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/fair_selected_faces/selected_faces/0-9/female/asian/0002_face0.png,East Asian,Asian,Female,10-19,"[4.5531131e-03 3.7043187e-06 1.1629233e-03 9.1448146e-01 7.9594500e-02
 1.5965219e-04 4.4808243e-05]",[7.7830575e-04 1.3843967e-06 9.9873358e-01 4.8675577e-04],[0.00153565 0.99846435],"[5.9594186e-05 1.5164746e-01 5.8489579e-01 2.6066914e-01 2.7051829e-03
 2.2562872e-05 2.1986583e-07 2.7106406e-08 1.7595657e-09]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/fair_selected_faces/selected_faces/0-9/female/asian/0003_face0.png,East Asian,Asian,Female,20-29,"[4.3407991e-04 2.0523294e-07 1.0323021e-04 9.4158912e-01 5.7857435e-02
 9.4451107e-06 6.4945352e-06]",[1.6902576e-04 2.0535887e-07 9.9979913e-01 3.1659343e-05],[1.1782137e-05 9.9998820e-01],"[1.1285006e-06 1.6083814e-02 4.8318073e-01 4.9849588e-01 2.2242235e-03
 1.4112247e-05 2.5432840e-08 2.2984532e-09 1.2553421e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/fair_selected_faces/selected_faces/0-9/female/asian/0004_face0.png,East Asian,Asian,Female,3-9,"[1.4101590e-02 4.9201622e-06 1.2050172e-03 9.2160189e-01 6.2511995e-02
 4.2878254e-04 1.4578324e-04]",[4.7014756e-03 6.2622041e-07 9.9415922e-01 1.1386879e-03],[9.2262693e-04 9.9907732e-01],"[6.5671117e-04 6.1781532e-01 2.7949512e-01 1.0097770e-01 1.0370372e-03
 1.7739769e-05 2.9073408e-07 4.5898183e-08 5.8117355e-09]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/fair_selected_faces/selected_faces/0-9/female/asian/0005_face0.png,East Asian,Asian,Female,10-19,"[1.3335634e-03 1.0372213e-06 1.5508894e-04 9.5353782e-01 4.4926491e-02
 1.3628571e-05 3.2384723e-05]",[8.472884e-04 5.101328e-07 9.988579e-01 2.943373e-04],[0.00260479 0.9973952 ],"[4.0405714e-05 7.2354205e-02 6.3119674e-01 2.9341993e-01 2.9471659e-03
 4.1211049e-05 3.3617744e-07 3.7767517e-08 5.6782095e-09]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/fair_selected_faces/selected_faces/0-9/female/asian/0006_face0.png,East Asian,Asian,Female,10-19,"[1.9937755e-04 2.3396462e-06 1.1881819e-04 9.3804210e-01 6.1620705e-02
 1.4701336e-05 1.8939329e-06]",[8.2922052e-05 7.2491002e-07 9.9985236e-01 6.3941785e-05],[0.00362672 0.9963733 ],"[1.7188706e-05 1.4967552e-01 6.0009712e-01 2.4874838e-01 1.4474316e-03
 1.4297828e-05 5.5250634e-08 5.8152878e-09 5.9436484e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/fair_selected_faces/selected_faces/0-9/female/asian/0007_face0.png,East Asian,Asian,Female,10-19,"[4.27073304e-04 1.55074616e-07 1.46317383e-04 9.40871298e-01
 5.85415214e-02 1.07053265e-05 2.94724350e-06]",[8.5300551e-04 8.3927534e-07 9.9882513e-01 3.2102512e-04],[4.752199e-06 9.999953e-01],"[5.7614727e-07 3.8219795e-02 6.6413456e-01 2.9693198e-01 7.1114919e-04
 1.9532285e-06 2.3512980e-09 1.5310032e-10 7.1779371e-12]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/fair_selected_faces/selected_faces/0-9/female/asian/0008_face0.png,East Asian,Asian,Female,20-29,"[2.7493006e-04 5.6946749e-07 8.7029723e-05 9.6621197e-01 3.3417400e-02
 6.2268964e-06 1.8903449e-06]",[2.9799071e-04 1.0576291e-06 9.9967897e-01 2.1928034e-05],[1.4110236e-06 9.9999857e-01],"[7.5148002e-08 1.9574191e-03 2.6935714e-01 7.2402740e-01 4.6443813e-03
 1.3505722e-05 1.9720611e-08 7.8520374e-10 2.4585108e-11]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/fair_selected_faces/selected_faces/0-9/female/asian/0009_face0.png,East Asian,Asian,Female,10-19,"[1.9859505e-04 3.3782945e-07 4.4068685e-05 9.7178096e-01 2.7970893e-02
 3.2834125e-06 1.7917040e-06]",[7.9531172e-05 1.0597879e-06 9.9989825e-01 2.1154985e-05],[5.915915e-04 9.994084e-01],"[4.0656651e-05 9.6197575e-02 6.3554084e-01 2.6621565e-01 1.9893355e-03
 1.5953381e-05 8.3279538e-08 9.0893595e-09 9.9764597e-10]",0-9,female,asian
