face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_surprised/surprised_person_0000_face0.png,White,White,Male,20-29,"[9.9818784e-01 2.3450971e-06 8.5612468e-04 2.2901233e-06 4.4749177e-06
 2.8020577e-05 9.1894023e-04]",[9.9973315e-01 5.7958496e-05 5.6418659e-05 1.5237251e-04],[9.9998963e-01 1.0323142e-05],"[1.0089191e-08 9.8756095e-07 2.9003075e-03 7.4189317e-01 2.4811934e-01
 7.0105903e-03 7.4835283e-05 8.0375014e-07 1.9227969e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_surprised/surprised_person_0001_face0.png,White,White,Male,20-29,"[9.9603695e-01 1.1402418e-05 1.2752949e-03 1.0396684e-06 2.9447510e-06
 6.1516563e-05 2.6109100e-03]",[9.9977154e-01 1.6194203e-05 9.8404662e-06 2.0246257e-04],[9.9996114e-01 3.8850609e-05],"[1.75762835e-08 7.88746775e-07 8.36842577e-04 5.33338308e-01
 4.51996833e-01 1.36877475e-02 1.38066884e-04 1.35591461e-06
 3.31555832e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_surprised/surprised_person_0002_face0.png,White,White,Male,20-29,"[9.9996233e-01 5.9325114e-08 7.2777334e-06 3.8000422e-08 7.3052050e-08
 1.7913075e-07 3.0087425e-05]",[9.9994189e-01 5.8190899e-06 6.6362836e-06 4.5623368e-05],[9.9999267e-01 7.3539036e-06],"[3.6541841e-09 2.7707378e-07 1.0702197e-03 5.8879209e-01 3.8256145e-01
 2.7167359e-02 4.0532509e-04 3.1831578e-06 7.1606713e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_surprised/surprised_person_0003_face0.png,White,White,Male,20-29,"[9.9957538e-01 5.2492811e-07 5.4240030e-05 6.4647622e-08 1.8514967e-07
 1.0744404e-06 3.6848395e-04]",[9.9986315e-01 2.8454808e-05 2.2714363e-05 8.5730535e-05],[9.9999851e-01 1.4829412e-06],"[4.7542792e-09 4.3351622e-07 1.7010469e-03 6.4150780e-01 3.2301113e-01
 3.2834824e-02 9.3156035e-04 1.3103954e-05 1.5247470e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_surprised/surprised_person_0004_face0.png,White,White,Male,20-29,"[9.9986100e-01 2.1228134e-06 3.7384245e-05 8.2525105e-08 3.4868626e-07
 2.7326412e-06 9.6324067e-05]",[9.9920297e-01 1.9293161e-04 7.8577405e-06 5.9624278e-04],[9.9999994e-01 5.1480463e-08],"[4.8601820e-09 2.7560291e-06 5.6559211e-03 8.5839802e-01 1.3244081e-01
 3.4822039e-03 2.0100269e-05 2.5293411e-07 5.0717173e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_surprised/surprised_person_0005_face0.png,White,White,Female,30-39,"[9.9931365e-01 2.8102672e-06 2.9314187e-04 2.7536635e-07 4.3023985e-07
 1.0909902e-05 3.7879404e-04]",[9.9988103e-01 1.6489923e-05 6.6414204e-06 9.5813884e-05],[0.00247333 0.9975267 ],"[1.30768445e-08 2.08686947e-06 2.21046177e-03 4.13018912e-01
 5.40955544e-01 4.27858606e-02 1.00899814e-03 1.74793804e-05
 6.54518203e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_surprised/surprised_person_0006_face0.png,White,White,Male,30-39,"[9.9798167e-01 8.5835773e-06 4.2880172e-04 5.4419111e-06 1.9685791e-05
 3.7208763e-05 1.5186740e-03]",[9.9664760e-01 2.0712310e-05 2.9818088e-04 3.0334524e-03],[9.9999946e-01 5.2455209e-07],"[5.8224671e-08 2.2420252e-06 1.6056787e-03 1.6600443e-01 4.9250659e-01
 3.0734646e-01 3.2059621e-02 4.6810869e-04 6.8555860e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_surprised/surprised_person_0007_face0.png,White,White,Female,20-29,"[9.9978739e-01 4.5071383e-07 1.2586036e-04 2.6697759e-07 3.7110712e-07
 2.9066794e-06 8.2846309e-05]",[9.9998969e-01 3.8296702e-07 2.2687516e-06 7.5835264e-06],[0.00520629 0.99479365],"[6.3796852e-09 1.5070940e-06 3.4561676e-03 5.1134878e-01 4.6053773e-01
 2.4451101e-02 2.0233881e-04 2.2472270e-06 8.8900372e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_surprised/surprised_person_0008_face0.png,White,White,Female,20-29,"[9.9465597e-01 5.3142762e-06 4.0603550e-03 8.1877579e-06 1.1070243e-05
 8.9707908e-05 1.1694430e-03]",[9.9996847e-01 3.3140022e-06 7.1434852e-06 2.1076508e-05],[0.06104906 0.93895096],"[3.5102474e-07 2.1847807e-05 8.0167344e-03 5.2359700e-01 4.0861270e-01
 5.7252541e-02 2.4233400e-03 7.1318005e-05 4.1915214e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_surprised/surprised_person_0009_face0.png,White,White,Female,30-39,"[9.9842781e-01 2.7681868e-05 6.9347199e-04 1.6242813e-06 2.1353901e-06
 1.8460822e-05 8.2878914e-04]",[9.9995995e-01 1.0481317e-05 8.3908280e-06 2.1227776e-05],[0.08741688 0.9125831 ],"[5.6035248e-08 2.5855061e-06 1.9349575e-03 3.7352955e-01 5.4334760e-01
 7.7245168e-02 3.8518892e-03 8.4815387e-05 3.3913955e-06]",0,White,20-39
