face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0000_face0.png,White,White,Male,50-59,"[6.4790541e-01 1.2844626e-03 1.3018881e-01 4.3341986e-04 1.5647146e-03
 3.2056101e-02 1.8656707e-01]",[9.7841436e-01 3.0969386e-04 1.1100683e-03 2.0165915e-02],[9.9998367e-01 1.6331991e-05],"[2.6240788e-05 2.9363340e-05 3.3773467e-04 1.2812921e-03 2.3887910e-02
 2.6820627e-01 6.4669108e-01 5.8124397e-02 1.4157653e-03]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0001_face0.png,White,White,Male,40-49,"[8.5905755e-01 8.1413653e-04 1.1389665e-01 1.5148611e-04 1.7711994e-03
 5.2457144e-03 1.9063350e-02]",[9.7175127e-01 9.4343309e-04 3.4668227e-03 2.3838481e-02],[9.9999690e-01 3.0817932e-06],"[1.5896957e-06 2.1901469e-05 1.1148764e-03 2.5321573e-02 3.9232406e-01
 5.3808171e-01 4.2375065e-02 7.4469380e-04 1.4473407e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0002_face0.png,White,White,Male,50-59,"[7.2573149e-01 1.4431493e-02 1.8439569e-01 1.2821989e-04 8.6065423e-04
 4.8024084e-02 2.6428416e-02]",[0.6229751  0.02562398 0.00953464 0.34186625],[9.9999595e-01 4.0112886e-06],"[5.2525647e-05 9.8769749e-05 7.0936029e-04 1.0908456e-03 1.6302008e-02
 1.8199091e-01 7.0452946e-01 9.3991436e-02 1.2346385e-03]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0003_face0.png,White,White,Male,40-49,"[9.6697593e-01 2.1948986e-04 1.6247207e-02 1.9206782e-05 1.3221777e-04
 3.9337878e-03 1.2472185e-02]",[9.897821e-01 8.017994e-04 1.182640e-03 8.233443e-03],[9.9997234e-01 2.7595339e-05],"[4.9941584e-05 3.8058427e-04 5.4873722e-03 1.9480094e-02 1.5298229e-01
 5.4459071e-01 2.6611632e-01 1.0557163e-02 3.5550422e-04]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0004_face0.png,White,White,Male,30-39,"[0.58431077 0.00181814 0.3888715  0.00077353 0.00301968 0.0098006
 0.0114058 ]",[9.8424852e-01 7.4933766e-04 9.1406191e-04 1.4088059e-02],[9.999940e-01 6.066947e-06],"[2.8144104e-05 2.3784711e-04 8.4220720e-03 1.0013142e-01 4.6894747e-01
 3.6794642e-01 5.2897014e-02 1.3674960e-03 2.2100536e-05]",White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0005_face0.png,White,White,Male,40-49,"[9.4450808e-01 2.0085028e-04 4.4441219e-02 4.2045081e-05 1.3781345e-04
 4.1460893e-03 6.5238685e-03]",[9.8689371e-01 3.9554585e-04 6.7301188e-04 1.2037686e-02],[0.9807808  0.01921926],"[2.8321076e-06 2.3279068e-05 8.1229309e-04 2.1231428e-02 2.9782876e-01
 5.8291417e-01 9.5895708e-02 1.2547943e-03 3.6674966e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0006_face0.png,White,White,Male,40-49,"[5.1344305e-01 1.8951644e-03 1.5261704e-01 1.5790427e-04 1.2636903e-03
 3.1484962e-02 2.9913819e-01]",[0.85231084 0.00195181 0.00474458 0.14099279],[9.9999988e-01 1.4001623e-07],"[1.16729188e-05 3.19070132e-05 7.62211217e-04 7.43536977e-03
 1.20858654e-01 5.09852946e-01 3.48798603e-01 1.21712377e-02
 7.73273423e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0007_face0.png,White,White,Male,40-49,"[5.9758991e-01 5.4725190e-03 2.7808094e-01 5.0671078e-04 2.0744065e-03
 2.9889364e-02 8.6386137e-02]",[0.92711365 0.011159   0.00322846 0.05849893],[9.999993e-01 7.067533e-07],"[2.1443264e-05 5.3585256e-05 5.0316093e-04 7.0907911e-03 1.3789199e-01
 5.6318957e-01 2.8315648e-01 8.0018062e-03 9.1089329e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0008_face0.png,White,White,Male,40-49,"[6.7921168e-01 3.0256982e-03 2.5845134e-01 3.0987867e-04 2.2194046e-03
 2.6222384e-02 3.0559616e-02]",[9.9130148e-01 1.1310138e-04 1.0464268e-03 7.5390101e-03],[9.9999946e-01 5.2097403e-07],"[2.8509727e-05 9.1790542e-05 6.7342183e-04 1.8500605e-03 5.2721363e-02
 4.6805274e-01 4.6211436e-01 1.4334009e-02 1.3376803e-04]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0009_face0.png,White,White,Male,50-59,"[7.1762741e-01 1.3113753e-02 1.7977346e-01 2.5332547e-04 2.1933028e-03
 3.3773929e-02 5.3264849e-02]",[0.9559406  0.00526207 0.00879475 0.03000266],[9.9999124e-01 8.7401040e-06],"[1.4122672e-05 3.0411018e-05 3.4502195e-04 2.4887803e-03 4.0807392e-02
 3.1368366e-01 5.8100265e-01 6.0175110e-02 1.4528412e-03]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0010_face0.png,White,White,Male,40-49,"[7.5663018e-01 6.1519595e-04 1.6009980e-01 5.1692819e-05 3.0503049e-04
 1.9734466e-02 6.2563539e-02]",[9.4489574e-01 5.5055093e-04 1.5211998e-03 5.3032499e-02],[9.999960e-01 4.006422e-06],"[7.0118208e-06 1.4105597e-05 4.4465601e-04 6.6398773e-03 1.2933131e-01
 5.1669472e-01 3.4022078e-01 6.5597771e-03 8.7800494e-05]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0011_face0.png,White,White,Male,30-39,"[8.6929959e-01 4.9374258e-04 9.3987890e-02 1.5006190e-04 8.9375098e-04
 6.4008962e-03 2.8774075e-02]",[0.9264399  0.00181061 0.00276299 0.06898653],[9.999156e-01 8.440023e-05],"[9.6626309e-06 1.2759613e-04 2.6009863e-03 4.6099532e-02 4.9606171e-01
 4.2587623e-01 2.8851328e-02 3.6443863e-04 8.5469937e-06]",White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0012_face0.png,White,White,Male,50-59,"[5.36848605e-01 1.10456124e-01 2.47816324e-01 3.29904811e-04
 4.17046854e-03 8.21429566e-02 1.82356946e-02]",[0.8889081  0.02317893 0.00132238 0.08659068],[9.9998486e-01 1.5141554e-05],"[9.7034144e-06 4.0100313e-05 7.2129059e-04 1.9855984e-03 1.7660758e-02
 2.5671455e-01 6.1746025e-01 1.0131323e-01 4.0944517e-03]",White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_unhappy/unhappy_person_0013_face0.png,White,White,Male,40-49,"[8.37920785e-01 5.28199540e-04 4.50454280e-02 3.16987316e-05
 1.87973768e-04 4.19652043e-03 1.12089396e-01]",[0.91816145 0.00489921 0.00114095 0.07579837],[9.9999696e-01 3.0203191e-06],"[1.22821839e-05 9.51911934e-05 1.36799086e-03 1.03258025e-02
 1.71261415e-01 6.04520798e-01 2.08172813e-01 4.17937851e-03
 6.43742096e-05]",White,40-59
