face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_angry/angry_person_0000_face0.png,White,White,Male,40-49,"[8.1452501e-01 1.2201574e-03 9.8083265e-02 2.9909113e-04 2.3437554e-03
 2.9805165e-02 5.3723492e-02]",[9.7886312e-01 8.9996232e-04 9.0152156e-03 1.1221718e-02],[0.9453967  0.05460327],"[7.7295063e-06 1.0709477e-04 2.2121775e-03 3.7651405e-02 2.2066523e-01
 4.6356672e-01 2.5157934e-01 2.1546492e-02 2.6638194e-03]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_angry/angry_person_0001_face0.png,Middle Eastern,White,Male,60-69,"[0.21100427 0.00929978 0.05949009 0.00079525 0.00479802 0.06345068
 0.6511619 ]",[0.9127217  0.00516536 0.03398167 0.04813127],[0.9983892  0.00161083],"[5.00845890e-05 1.12201385e-04 4.38076910e-04 6.81848091e-04
 2.18578056e-03 1.69083290e-02 1.70629829e-01 4.05025899e-01
 4.03967857e-01]",0,White,60+
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_angry/angry_person_0002_face0.png,Indian,Indian,Male,70+,"[0.0082013  0.0449761  0.0425022  0.00107237 0.0900462  0.79861355
 0.01458833]",[0.06968263 0.26147687 0.04463027 0.6242103 ],[0.9982805 0.0017195],"[9.4785219e-06 5.3331230e-05 2.4026555e-04 2.7966453e-04 8.0751325e-04
 7.6002409e-03 7.0081547e-02 4.1647434e-01 5.0445366e-01]",1,Others,60+
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_angry/angry_person_0003_face0.png,Black,Asian,Male,50-59,"[0.02146706 0.45943916 0.06153971 0.00279316 0.10325711 0.34473678
 0.00676695]",[0.20773587 0.0636213  0.489731   0.23891181],[9.9975491e-01 2.4511907e-04],"[6.2353411e-06 8.3867562e-05 6.3139846e-04 5.2576703e-03 5.4446686e-02
 3.3473256e-01 4.3815023e-01 1.2692106e-01 3.9770335e-02]",0,Black,40-59
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_angry/angry_person_0004_face0.png,White,Asian,Male,40-49,"[0.31283465 0.17975174 0.11618035 0.03863011 0.26059017 0.08349004
 0.00852293]",[0.00926031 0.00372803 0.97579265 0.01121908],[9.9954444e-01 4.5552760e-04],"[9.0478278e-07 1.3726111e-05 3.5492258e-04 1.4248910e-02 1.1897984e-01
 5.1573420e-01 2.8517979e-01 5.5379242e-02 1.0108402e-02]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_angry/angry_person_0005_face0.png,White,White,Male,30-39,"[9.5727575e-01 3.9960339e-04 2.0449884e-02 1.7191458e-04 6.5346330e-04
 1.7169773e-03 1.9332260e-02]",[0.96938354 0.00202585 0.01820223 0.01038838],[0.9936085  0.00639154],"[2.6232911e-08 9.5057982e-07 4.9963524e-04 2.3441100e-01 7.0004600e-01
 6.4451322e-02 5.8369082e-04 7.0549463e-06 2.7291247e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_angry/angry_person_0006_face0.png,Southeast Asian,Asian,Male,50-59,"[0.00521336 0.24509719 0.11430408 0.01271106 0.36890867 0.24968775
 0.00407792]",[8.1282447e-04 2.1332025e-03 9.8735440e-01 9.6995421e-03],[0.98362833 0.01637167],"[6.1759827e-05 1.0682703e-03 5.0128545e-03 8.4259734e-03 4.8435342e-02
 2.3898183e-01 3.4199122e-01 2.5820810e-01 9.7814724e-02]",0,Asian,40-59
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_angry/angry_person_0007_face0.png,White,White,Male,20-29,"[0.6057989  0.00164942 0.13717419 0.00208152 0.00686938 0.05054618
 0.19588038]",[9.3403548e-01 9.2181528e-04 2.0145906e-02 4.4896755e-02],[0.94379467 0.05620534],"[1.5420468e-06 2.7029064e-05 5.3276489e-03 4.1025564e-01 3.8854393e-01
 1.5586990e-01 3.3832919e-02 4.7645406e-03 1.3768878e-03]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_angry/angry_person_0008_face0.png,White,White,Male,30-39,"[9.2588300e-01 2.3678966e-05 4.0945392e-02 1.4707033e-04 2.9514285e-04
 3.7986462e-04 3.2325830e-02]",[9.9730539e-01 2.2421502e-05 2.3689570e-03 3.0317940e-04],[0.9573265  0.04267352],"[1.42821349e-07 2.73623459e-06 7.00910750e-04 1.16654776e-01
 6.94679737e-01 1.83847547e-01 4.06627450e-03 4.67812861e-05
 1.18412026e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_angry/angry_person_0009_face0.png,White,White,Male,40-49,"[0.77254325 0.02384514 0.12724014 0.00729839 0.01567868 0.00852176
 0.04487263]",[0.9204409  0.00326229 0.05248994 0.02380687],[0.9718482  0.02815184],"[3.4884151e-06 2.7732971e-05 9.0784446e-04 5.1102951e-02 3.6573184e-01
 4.9742523e-01 8.1485651e-02 3.0960410e-03 2.1920851e-04]",0,White,40-59
