face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0000_face0.png,White,White,Male,30-39,"[4.9266940e-01 1.7839622e-04 3.8191041e-01 4.3567830e-05 2.7842759e-04
 8.8178460e-03 1.1610192e-01]",[9.6696037e-01 5.8135326e-04 2.1921359e-03 3.0266160e-02],[9.9955744e-01 4.4260730e-04],"[1.9678509e-07 4.1148523e-06 4.6113124e-03 3.3776674e-01 5.8389789e-01
 7.2217539e-02 1.4871852e-03 1.4805094e-05 2.3084573e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0001_face0.png,White,White,Male,20-29,"[9.0625703e-01 5.0604600e-04 2.2768950e-02 3.5168155e-06 1.9087638e-05
 8.8375009e-04 6.9561757e-02]",[9.9801791e-01 2.8511294e-04 1.1341035e-04 1.5835691e-03],[9.999624e-01 3.756942e-05],"[1.2605541e-08 8.4241793e-07 1.1381753e-03 5.5783713e-01 4.2934856e-01
 1.1630297e-02 4.4473563e-05 5.4277274e-07 9.3856611e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0002_face0.png,Middle Eastern,White,Male,20-29,"[2.6187047e-01 1.3538332e-04 2.4176748e-01 7.0336086e-05 2.4863370e-04
 9.0995179e-03 4.8680818e-01]",[9.1314846e-01 2.3834215e-04 7.6055242e-04 8.5852653e-02],[9.9998492e-01 1.5107521e-05],"[6.3909965e-08 5.5482647e-06 5.4253801e-03 7.0432246e-01 2.8669891e-01
 3.5399629e-03 7.5976041e-06 1.0251336e-07 1.5898354e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0003_face0.png,White,White,Female,20-29,"[0.7055206  0.00183835 0.09135931 0.00388153 0.00191457 0.0203014
 0.1751842 ]",[0.90217155 0.00796444 0.0134646  0.07639946],[0.00689082 0.99310917],"[2.2540951e-07 1.7614258e-04 5.5727355e-02 7.9451460e-01 1.4652391e-01
 3.0415971e-03 1.5715641e-05 5.1783826e-07 3.3356489e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0004_face0.png,White,White,Female,50-59,"[6.1943173e-01 2.1823451e-04 2.3003314e-01 5.4126423e-02 5.3294003e-02
 6.3209189e-03 3.6575612e-02]",[8.0457115e-01 2.4328893e-04 1.5592103e-01 3.9264571e-02],[0.00434783 0.9956522 ],"[1.5407024e-05 1.3110960e-04 5.2777113e-04 3.1775832e-03 3.1092655e-02
 1.5011527e-01 4.4184050e-01 3.1876448e-01 5.4335251e-02]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0005_face0.png,White,White,Female,20-29,"[7.62455165e-01 6.74644252e-05 8.81168842e-02 1.20494336e-01
 7.05367932e-03 1.00034219e-03 2.08120663e-02]",[9.1545755e-01 2.5311511e-04 8.3816819e-02 4.7244653e-04],[4.9274757e-05 9.9995071e-01],"[1.0345496e-08 1.2724708e-04 1.5182981e-01 8.3089179e-01 1.7079834e-02
 7.1291783e-05 8.7667757e-08 1.8739945e-09 6.1735436e-11]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0006_face0.png,White,White,Male,20-29,"[7.6429075e-01 6.2292605e-04 1.2484949e-01 1.5571088e-04 4.6109868e-04
 1.5694549e-02 9.3925513e-02]",[9.4629979e-01 9.2613621e-04 1.2593429e-03 5.1514719e-02],[9.9997145e-01 2.8620971e-05],"[5.7408620e-09 2.7858043e-06 3.6985815e-02 9.1542935e-01 4.7278348e-02
 3.0271537e-04 9.3346301e-07 2.6220228e-08 9.1960028e-10]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0007_face0.png,Latino_Hispanic,Asian,Female,50-59,"[0.0624528  0.002207   0.59656733 0.02544651 0.07614311 0.16418816
 0.07299509]",[0.0629489  0.00499342 0.75456107 0.17749667],[0.00212242 0.99787754],"[2.8752174e-05 2.2675373e-04 9.6787902e-04 9.9805836e-04 2.3693621e-02
 1.9043167e-01 4.8433501e-01 2.6381591e-01 3.5502303e-02]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0008_face0.png,Middle Eastern,White,Female,20-29,"[4.2675498e-01 1.4244664e-05 2.7615240e-02 4.0414765e-05 6.5868138e-05
 2.8994756e-03 5.4260981e-01]",[9.9642408e-01 6.9622198e-05 2.2782239e-03 1.2281013e-03],[0.00112245 0.9988776 ],"[1.7217228e-06 2.3006909e-02 3.4410515e-01 6.1049491e-01 2.1996014e-02
 3.9435917e-04 8.6401161e-07 2.5398874e-08 1.7268221e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0009_face0.png,White,White,Female,20-29,"[6.7680460e-01 5.3079036e-04 2.0880669e-01 1.7413775e-04 4.1689843e-04
 6.3570598e-03 1.0690986e-01]",[0.949535   0.0040536  0.00239368 0.04401781],[0.06790384 0.9320961 ],"[1.8780383e-05 3.7245832e-03 9.8703377e-02 5.4792100e-01 2.9803297e-01
 5.0059829e-02 1.4686721e-03 6.7704837e-05 3.0516976e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0010_face0.png,White,White,Male,30-39,"[9.9892825e-01 3.3392721e-06 2.0171324e-04 2.1151855e-06 8.5886868e-06
 7.4327586e-06 8.4857253e-04]",[9.9657768e-01 1.1084548e-05 2.4030849e-03 1.0082280e-03],[1.000000e+00 2.541441e-08],"[3.1660026e-08 3.5422413e-06 1.8923266e-03 3.4789604e-01 6.1000091e-01
 4.0055342e-02 1.5088276e-04 9.3148680e-07 1.2799970e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0011_face0.png,White,White,Male,30-39,"[9.9431044e-01 1.1877008e-05 1.3871444e-03 3.8191288e-06 7.3901192e-06
 7.8765283e-05 4.2005726e-03]",[9.9884105e-01 1.2415032e-04 2.0633197e-04 8.2843908e-04],[0.99751276 0.00248717],"[1.9356837e-07 1.0940342e-06 1.8557563e-04 5.8744550e-02 6.3775653e-01
 2.9797202e-01 5.3082863e-03 3.0779003e-05 9.3793659e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0012_face0.png,White,White,Male,20-29,"[9.63146031e-01 1.41962388e-04 2.43551005e-02 4.88788210e-05
 1.05932144e-04 1.20851723e-03 1.09935850e-02]",[9.9707675e-01 3.1405964e-04 2.5744163e-04 2.3517427e-03],[0.8613076  0.13869241],"[2.54484405e-07 2.41921196e-04 1.12855576e-01 7.93804646e-01
 9.02158916e-02 2.85421219e-03 2.66172083e-05 8.32482897e-07
 4.66961616e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_person/person_0013_face0.png,White,Indian,Male,30-39,"[5.8304256e-01 2.0142176e-04 2.5123790e-02 1.3478030e-06 1.2792607e-05
 5.5089071e-03 3.8610923e-01]",[0.26484156 0.01068942 0.0009021  0.7235669 ],[9.9987143e-01 1.2859830e-04],"[6.5803334e-08 2.7498527e-07 6.5750239e-05 1.5774097e-02 5.1516718e-01
 4.4997743e-01 1.8875588e-02 1.3709209e-04 2.4602807e-06]",1,White,20-39
