face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0000_face0.png,White,White,Male,20-29,"[9.9294657e-01 5.3941026e-06 4.1163987e-03 6.7161450e-06 5.9583610e-05
 1.5756556e-04 2.7077056e-03]",[9.9805957e-01 1.1934341e-05 8.2796047e-05 1.8457178e-03],[9.9999982e-01 2.2601142e-07],"[4.0907864e-08 6.4073838e-06 1.2707734e-02 7.0187539e-01 2.6278049e-01
 2.2321897e-02 3.0373290e-04 4.2010493e-06 6.1122513e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0001_face0.png,White,White,Male,20-29,"[8.3349073e-01 3.5525658e-04 1.2810306e-01 4.4422480e-04 1.2303181e-03
 1.9556864e-03 3.4420665e-02]",[0.93898845 0.02290757 0.01719647 0.02090753],[9.9965680e-01 3.4320517e-04],"[3.1956315e-08 5.8541178e-07 3.0116469e-03 7.1173245e-01 2.7219689e-01
 1.2831417e-02 2.2118552e-04 5.4491702e-06 2.9741781e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0002_face0.png,White,White,Male,30-39,"[9.5324337e-01 9.6509699e-04 3.9288569e-02 2.8934352e-05 2.8088005e-04
 1.1431754e-03 5.0499476e-03]",[9.9853748e-01 1.5620077e-04 1.7397355e-04 1.1323665e-03],[9.9999887e-01 1.1477705e-06],"[4.2412648e-08 2.1952085e-06 1.0789887e-03 3.8565511e-01 5.6638968e-01
 4.6194255e-02 6.7279302e-04 6.9015841e-06 1.5491209e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0003_face0.png,White,White,Male,20-29,"[9.7049028e-01 5.8214860e-05 2.3393579e-02 1.7914858e-04 9.8708282e-05
 3.2596238e-04 5.4541081e-03]",[9.9415708e-01 1.2262253e-03 1.7526538e-04 4.4413796e-03],[0.5462539 0.4537461],"[2.3087617e-07 2.2623353e-05 1.7580234e-02 6.4649779e-01 3.0560935e-01
 2.9130749e-02 1.0774881e-03 7.6701508e-05 4.8586885e-06]",2,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0004_face0.png,White,White,Male,30-39,"[9.5597607e-01 2.0805495e-04 1.8606586e-02 5.5938115e-05 3.8269151e-04
 1.1854046e-03 2.3585210e-02]",[9.9591064e-01 8.4588028e-05 7.9865736e-04 3.2061501e-03],[9.9999553e-01 4.5010715e-06],"[1.0716053e-07 1.9606523e-05 4.6302052e-03 4.6778479e-01 4.8940736e-01
 3.7891448e-02 2.6383804e-04 2.4697110e-06 9.9089327e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0005_face0.png,White,White,Male,20-29,"[9.9196869e-01 2.7924645e-05 1.4191922e-03 5.1458130e-07 2.4669878e-06
 1.9487141e-05 6.5617668e-03]",[9.9948549e-01 1.2201423e-04 3.3478296e-05 3.5902846e-04],[9.9999374e-01 6.2605541e-06],"[5.3766092e-10 1.1027937e-06 2.0877767e-02 9.5540577e-01 2.3549130e-02
 1.6590528e-04 3.7478355e-07 4.1896420e-09 8.3340210e-11]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0006_face0.png,White,White,Male,40-49,"[0.7457709  0.0029205  0.05844096 0.00156824 0.0068703  0.02338797
 0.16104116]",[0.86346745 0.00624614 0.04560973 0.08467663],[0.9925591  0.00744089],"[2.4496819e-06 6.7325122e-06 2.3085467e-04 1.8097606e-02 2.4132898e-01
 5.8688265e-01 1.4257203e-01 9.8277181e-03 1.0510496e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0007_face0.png,White,White,Male,20-29,"[9.9984801e-01 2.0414623e-06 1.0177460e-04 2.0560212e-07 1.1145681e-06
 7.0724600e-06 3.9748462e-05]",[9.9892461e-01 1.0926810e-05 1.6501635e-04 8.9940184e-04],[9.9999928e-01 7.1971795e-07],"[1.5360849e-09 2.7910727e-07 8.2104845e-04 6.2535113e-01 3.6630732e-01
 7.4997069e-03 2.0454276e-05 7.3622431e-08 1.5594357e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0008_face0.png,White,White,Male,30-39,"[9.2796129e-01 2.7473923e-05 3.7792062e-03 1.3940080e-05 8.2165279e-05
 3.7414129e-04 6.7761771e-02]",[9.9995989e-01 6.7538349e-07 9.8629434e-06 2.9593803e-05],[9.999909e-01 9.112902e-06],"[3.6478049e-08 3.5758417e-06 1.4670709e-03 4.6002555e-01 5.1928258e-01
 1.9157477e-02 6.3290383e-05 4.3402432e-07 8.9427070e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0009_face0.png,White,White,Male,30-39,"[0.87638956 0.00721584 0.07578397 0.00196757 0.00363294 0.00443135
 0.0305788 ]",[0.98223585 0.00550891 0.00412302 0.00813215],[9.9950206e-01 4.9791718e-04],"[7.1079648e-07 1.6254321e-06 1.7289323e-04 6.9247201e-02 5.1742762e-01
 3.8131672e-01 3.0710034e-02 1.0423622e-03 8.0875048e-05]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0010_face0.png,White,White,Male,60-69,"[7.6326209e-01 1.5790397e-02 1.0320411e-01 3.3213806e-04 2.6501296e-03
 6.1669011e-02 5.3092103e-02]",[0.90305203 0.00305629 0.01859513 0.07529654],[0.9985236  0.00147638],"[1.4700027e-05 1.7225748e-05 1.1837205e-04 3.7973950e-04 1.6406542e-03
 2.0625025e-02 3.7348333e-01 4.8481303e-01 1.1890791e-01]",1,White,60+
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0011_face0.png,White,White,Male,30-39,"[9.5910233e-01 5.5821754e-05 1.8884806e-02 8.6977518e-05 5.5826857e-04
 1.3744025e-03 1.9937355e-02]",[9.9800402e-01 2.1972394e-04 3.8048570e-04 1.3957670e-03],[0.9900334  0.00996662],"[2.7558309e-07 8.1470725e-06 5.0345617e-03 3.4189475e-01 5.1054776e-01
 1.3469404e-01 7.5488435e-03 2.5854219e-04 1.3146659e-05]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0012_face0.png,Southeast Asian,Asian,Male,40-49,"[0.01087343 0.01758363 0.09135389 0.3738632  0.49260637 0.00977607
 0.00394346]",[2.7006996e-04 1.1729746e-03 9.9593067e-01 2.6262691e-03],[9.9930376e-01 6.9624640e-04],"[4.0296236e-06 7.9595875e-06 3.9839826e-04 2.6008647e-02 2.1779530e-01
 4.8515531e-01 2.1771450e-01 4.9394652e-02 3.5212592e-03]",0,Asian,40-59
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0013_face0.png,White,White,Male,20-29,"[9.9782282e-01 1.6675933e-06 9.6323772e-04 7.1429872e-07 6.1419701e-06
 6.9400368e-05 1.1360868e-03]",[9.9909681e-01 2.5637462e-05 5.1835217e-05 8.2572544e-04],[9.999978e-01 2.231110e-06],"[6.8635417e-09 2.6193604e-06 8.7163588e-03 7.4213552e-01 2.3926404e-01
 9.8333545e-03 4.7770525e-05 2.9866015e-07 7.0422788e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0014_face0.png,White,White,Male,30-39,"[9.55058575e-01 1.07750262e-03 1.15527045e-02 1.42361259e-05
 8.16583342e-05 7.13896996e-04 3.15014124e-02]",[0.97578406 0.00517027 0.00253893 0.01650675],[9.9998701e-01 1.2974062e-05],"[1.6902324e-07 7.4247845e-07 2.0218935e-04 1.4665894e-01 6.5717459e-01
 1.8536831e-01 1.0428893e-02 1.6196580e-04 4.1437961e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/kolors/prompt2/selected_faces/detected_disgusted/disgusted_person_0015_face0.png,White,White,Male,30-39,"[0.95647615 0.00480884 0.02781361 0.00114013 0.00266644 0.00147532
 0.00561953]",[0.9832424  0.00365453 0.01078836 0.00231468],[9.9957848e-01 4.2149593e-04],"[3.0682585e-07 9.4437922e-07 5.8347021e-05 4.0554751e-02 5.9888345e-01
 3.4551460e-01 1.4686210e-02 2.7921805e-04 2.2097276e-05]",1,White,20-39
