face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_surprised/surprised_person_0000_face0.png,White,White,Male,20-29,"[9.2653763e-01 2.6149617e-04 1.2325342e-02 3.6279395e-02 2.0093163e-02
 2.5390259e-03 1.9639421e-03]",[9.6931022e-01 3.8751095e-05 2.9687444e-02 9.6354570e-04],[0.99794227 0.00205771],"[2.7552218e-07 5.9890869e-04 2.4306892e-01 7.3772860e-01 1.8467177e-02
 1.3492996e-04 1.1665265e-06 5.5742721e-08 4.3017221e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_surprised/surprised_person_0001_face0.png,White,White,Female,20-29,"[9.8949403e-01 3.9793478e-05 5.3248145e-03 1.1421667e-03 4.7143159e-04
 6.2561425e-04 2.9021963e-03]",[9.7801781e-01 1.1290913e-04 5.9201475e-03 1.5949149e-02],[0.08770315 0.9122969 ],"[8.5203806e-07 2.6557033e-03 2.4613152e-01 6.9145900e-01 5.9104435e-02
 6.4109673e-04 7.0686096e-06 2.6631164e-07 3.1926373e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_surprised/surprised_person_0002_face0.png,White,White,Female,20-29,"[9.8546571e-01 5.2817439e-05 9.2873573e-03 2.7452502e-03 1.0661170e-03
 1.9327991e-04 1.1895433e-03]",[9.6443963e-01 3.4151042e-05 3.3333529e-02 2.1927154e-03],[0.06359068 0.9364093 ],"[2.9922894e-06 3.5205216e-03 2.2427048e-01 6.8622077e-01 8.4693007e-02
 1.2797564e-03 1.2065166e-05 4.4770198e-07 4.5617103e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_surprised/surprised_person_0003_face0.png,White,White,Male,10-19,"[9.8887676e-01 3.9478450e-06 1.6561082e-03 6.9521428e-03 1.5598356e-03
 1.1327746e-04 8.3788094e-04]",[9.901518e-01 7.837731e-05 9.320698e-03 4.490754e-04],[0.99832594 0.00167401],"[5.32405284e-06 7.22819045e-02 9.14341688e-01 1.32214995e-02
 1.46585939e-04 2.90640605e-06 4.26456843e-08 4.47116255e-09
 4.20963375e-10]",1,White,10-19
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_surprised/surprised_person_0004_face0.png,White,White,Male,20-29,"[9.9560916e-01 1.0573887e-05 6.3270947e-04 3.0084911e-03 6.1005366e-04
 7.8324687e-05 5.0711576e-05]",[9.9511862e-01 2.4304818e-06 4.6707583e-03 2.0823996e-04],[0.5976779  0.40232214],"[3.1955105e-07 1.8407900e-03 3.1233659e-01 6.6425574e-01 2.1447703e-02
 1.1830601e-04 5.5012060e-07 1.3572676e-08 1.5154884e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_surprised/surprised_person_0005_face0.png,White,White,Female,20-29,"[9.9761838e-01 1.9171375e-05 1.2112712e-03 4.2265869e-04 1.3200246e-04
 3.7768579e-05 5.5876491e-04]",[9.9940902e-01 1.7917146e-05 3.1827876e-04 2.5477563e-04],[0.01498081 0.98501915],"[8.2329302e-07 7.5195404e-04 7.3144786e-02 8.0134749e-01 1.2228262e-01
 2.4349026e-03 3.6034406e-05 1.2954674e-06 1.3187129e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_surprised/surprised_person_0006_face0.png,White,White,Female,20-29,"[9.8947722e-01 6.1071119e-06 1.1491929e-03 8.4292162e-03 8.4691041e-04
 1.0512893e-05 8.0838989e-05]",[9.7270650e-01 1.8044053e-05 2.6831875e-02 4.4357352e-04],[0.03321825 0.96678174],"[3.1459319e-06 6.6410583e-03 2.9283592e-01 6.6935784e-01 3.0709594e-02
 4.4758926e-04 4.6971713e-06 2.1108808e-07 2.2285130e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_surprised/surprised_person_0007_face0.png,White,White,Male,20-29,"[9.8850536e-01 3.3106044e-05 4.5986590e-03 3.1449897e-03 3.0130215e-03
 5.5182143e-04 1.5304869e-04]",[9.9037391e-01 7.2398511e-06 7.6504871e-03 1.9683857e-03],[0.97411954 0.02588044],"[8.1260254e-08 2.7902707e-04 2.3729584e-01 7.3945498e-01 2.2813888e-02
 1.5523641e-04 9.3804573e-07 3.2425785e-08 2.9337910e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_surprised/surprised_person_0008_face0.png,Indian,White,Female,10-19,"[0.13149248 0.01202729 0.38210288 0.00649233 0.02021842 0.4401114
 0.00755522]",[0.87205374 0.00137433 0.06552922 0.06104271],[0.38814017 0.6118598 ],"[7.8269877e-06 3.1026382e-02 4.6348089e-01 4.5975477e-01 4.4939935e-02
 7.8273349e-04 7.0220271e-06 4.0845921e-07 3.3267646e-08]",0,Others,10-19
/scratch/project_462000771/mengting/projects/bias/sana/prompt2/selected_faces/detected_surprised/surprised_person_0009_face0.png,White,White,Male,20-29,"[9.2997551e-01 4.7250019e-04 3.3181395e-02 1.8036619e-02 1.3651711e-02
 1.8969952e-03 2.7853167e-03]",[7.9914325e-01 7.6524855e-04 1.7483175e-01 2.5259757e-02],[0.9122254  0.08777456],"[4.9041660e-07 1.3072707e-03 1.1870876e-01 8.4216082e-01 3.7341982e-02
 4.7446290e-04 5.8118976e-06 3.4331211e-07 3.9779259e-08]",0,White,20-39
