face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0000_face0.png,White,White,Male,30-39,"[0.49436924 0.00302657 0.21022263 0.00381088 0.00784007 0.07923026
 0.20150027]",[0.77416    0.00686032 0.00356473 0.21541487],[0.9808598  0.01914018],"[2.3734406e-06 2.8238037e-05 1.0860750e-03 7.0008300e-02 5.0737393e-01
 3.8544095e-01 3.4489598e-02 1.4170813e-03 1.5350054e-04]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0001_face0.png,White,White,Male,40-49,"[0.72880167 0.01193609 0.13133824 0.01280393 0.01146823 0.00243128
 0.10122058]",[0.9496919  0.00853038 0.03664726 0.00513044],[9.9962920e-01 3.7080684e-04],"[3.3845072e-06 1.4812273e-05 1.3223178e-04 4.7791288e-03 2.0039327e-01
 7.0678216e-01 8.6437955e-02 1.4147945e-03 4.2192634e-05]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0002_face0.png,White,White,Male,30-39,"[9.8119307e-01 2.7504486e-05 3.6514441e-03 6.9840590e-04 3.4874718e-04
 8.9197289e-05 1.3991625e-02]",[9.9978715e-01 9.5410833e-06 5.3768912e-05 1.4955395e-04],[0.8507336 0.1492664],"[8.3043078e-06 8.6326072e-05 1.0669713e-03 1.0191953e-01 4.6058813e-01
 3.9247027e-01 4.2191144e-02 1.4516094e-03 2.1778652e-04]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0003_face0.png,Indian,Indian,Female,20-29,"[5.8455247e-04 6.0271084e-02 2.6067477e-02 3.0255204e-04 7.5528156e-03
 9.0251994e-01 2.7016415e-03]",[4.8395385e-05 5.3546395e-02 1.2686955e-03 9.4513655e-01],[0.0097851  0.99021494],"[6.2574732e-06 1.1177622e-03 8.0186918e-02 4.5322871e-01 3.2273912e-01
 1.2468232e-01 1.5827117e-02 1.9578335e-03 2.5394626e-04]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0004_face0.png,Middle Eastern,White,Male,40-49,"[8.2223356e-02 1.1490934e-03 4.6209153e-02 2.0321961e-04 9.3872740e-04
 3.6051744e-03 8.6567128e-01]",[9.2736071e-01 1.4053044e-03 7.5184967e-04 7.0482098e-02],[9.9981624e-01 1.8375584e-04],"[3.6584831e-06 7.8085677e-06 4.8654937e-04 8.9069856e-03 1.3432492e-01
 6.1463434e-01 2.2264051e-01 1.8348712e-02 6.4655481e-04]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0005_face0.png,White,White,Female,30-39,"[0.4612743  0.00137615 0.44617012 0.00078004 0.00208655 0.02617131
 0.06214152]",[9.16150033e-01 7.54233159e-04 1.45031875e-02 6.85925335e-02],[0.02247091 0.97752905],"[4.2662458e-07 6.1421283e-06 6.3136593e-04 5.5493515e-02 5.5760837e-01
 3.5854739e-01 2.7148286e-02 5.5154867e-04 1.3071143e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0006_face0.png,East Asian,Asian,Female,20-29,"[1.2605652e-03 8.9893401e-06 1.7478728e-03 8.8266528e-01 1.1359268e-01
 6.9326471e-04 3.1429805e-05]",[1.19633437e-03 1.15255854e-04 9.98325884e-01 3.62553663e-04],[0.02408262 0.9759174 ],"[3.3720514e-07 5.1634893e-04 1.7899458e-01 7.8420883e-01 3.5720788e-02
 5.5591622e-04 2.9945145e-06 2.4901559e-07 1.0240462e-08]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0007_face0.png,White,White,Male,30-39,"[6.3096529e-01 9.7306439e-04 5.8539566e-02 1.2316900e-04 3.8620352e-04
 6.1229081e-03 3.0288979e-01]",[0.90048957 0.00252533 0.00110572 0.09587936],[0.98943526 0.01056472],"[1.9353216e-05 2.9844351e-04 3.4668068e-03 1.4868313e-01 6.7285752e-01
 1.7056151e-01 4.0617143e-03 4.9772327e-05 1.6887864e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0008_face0.png,White,White,Male,30-39,"[7.5641429e-01 9.1013534e-04 2.6809983e-02 8.5317013e-05 2.0565695e-04
 1.6459567e-02 1.9911507e-01]",[0.7992059  0.00594487 0.0032925  0.19155668],[9.9928313e-01 7.1688375e-04],"[8.7169665e-06 2.9397494e-04 4.7711846e-03 2.3090716e-01 6.5923315e-01
 1.0310446e-01 1.6521898e-03 2.6845895e-05 2.3095567e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0009_face0.png,Southeast Asian,Asian,Male,20-29,"[9.6138194e-03 2.2538760e-04 8.3632395e-02 2.3883927e-01 6.5046602e-01
 9.4364528e-03 7.7866106e-03]",[0.01750042 0.00143102 0.89015925 0.0909093 ],[9.99888659e-01 1.11349895e-04],"[6.5814527e-07 3.7406677e-05 9.7027393e-03 6.4247143e-01 3.3345801e-01
 1.4200405e-02 1.2351140e-04 5.5811106e-06 1.8206954e-07]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0011_face0.png,White,White,Female,30-39,"[9.0358210e-01 1.3731695e-05 5.1448077e-02 2.0336160e-04 1.8530001e-04
 1.2449952e-03 4.3322351e-02]",[9.7203761e-01 7.5273114e-05 2.6985088e-03 2.5188535e-02],[3.6847763e-04 9.9963152e-01],"[1.3879331e-07 2.3983886e-05 8.5300626e-03 3.4695762e-01 5.1926446e-01
 1.2068579e-01 4.4308295e-03 1.0404924e-04 3.0433159e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0012_face0.png,White,White,Male,30-39,"[6.9094998e-01 2.2065274e-03 1.9017248e-01 6.1126176e-04 2.0580420e-03
 2.6874896e-03 1.1131425e-01]",[0.64873075 0.29667968 0.03097763 0.02361194],[0.6695686  0.33043143],"[5.1195877e-07 1.5919260e-05 1.2075449e-03 5.3584762e-02 5.8056837e-01
 3.4414348e-01 2.0203181e-02 2.7061941e-04 5.6537738e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0013_face0.png,Southeast Asian,Asian,Male,20-29,"[0.00998813 0.20280756 0.24335322 0.12327397 0.3635411  0.0321327
 0.02490333]",[0.21647896 0.06283367 0.5959758  0.12471157],[0.99876946 0.00123054],"[1.4469144e-05 3.1729130e-04 4.7910098e-02 5.1536953e-01 2.7241161e-01
 1.3868034e-01 1.9719636e-02 4.8783058e-03 6.9866597e-04]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0014_face0.png,White,White,Male,30-39,"[9.0095794e-01 2.6613614e-04 4.3771245e-02 9.6837711e-04 1.1652139e-03
 8.0736313e-04 5.2063797e-02]",[9.9718440e-01 2.4325267e-04 2.0685529e-03 5.0380477e-04],[9.9988943e-01 1.1056577e-04],"[1.1024140e-07 3.0204042e-06 1.1615917e-03 4.4344118e-01 5.4467911e-01
 1.0678394e-02 3.6330628e-05 3.3354436e-07 8.5354532e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0015_face0.png,White,White,Male,30-39,"[3.6938760e-01 3.2545603e-04 2.5530955e-01 8.3383551e-04 6.3451519e-03
 5.5208877e-02 3.1258962e-01]",[9.2958456e-01 5.4079451e-04 1.2624331e-03 6.8612225e-02],[9.9986839e-01 1.3155742e-04],"[1.16857345e-05 1.32707981e-04 4.25312296e-03 1.69270977e-01
 5.75679898e-01 2.39920035e-01 1.03531880e-02 3.60077072e-04
 1.82614840e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0016_face0.png,White,White,Male,30-39,"[9.69174266e-01 6.40650001e-07 3.43034673e-03 1.10452005e-04
 1.20723329e-04 6.06144313e-04 2.65575480e-02]",[9.9301064e-01 1.1146486e-06 2.6940750e-03 4.2942064e-03],[9.9999005e-01 9.9909093e-06],"[6.7483484e-07 1.6983517e-05 1.5766935e-03 1.9036223e-01 6.9428062e-01
 1.1324493e-01 5.1495183e-04 2.8041211e-06 6.5025446e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_sad/sad_person_0018_face0.png,White,White,Male,20-29,"[9.98929381e-01 1.07630454e-04 6.34611119e-04 5.79198713e-05
 5.55110419e-05 1.85656045e-05 1.96353329e-04]",[9.9638045e-01 5.4920284e-04 2.9133309e-03 1.5699136e-04],[9.99884963e-01 1.15083625e-04],"[2.56255504e-07 2.86431496e-05 5.49725723e-03 6.77817583e-01
 3.07262331e-01 9.28824116e-03 1.04141065e-04 1.36165033e-06
 1.31992337e-07]",0,White,20-39
