face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0000_face0.png,Southeast Asian,Asian,Female,20-29,"[0.00440193 0.00077853 0.09479151 0.17102195 0.47811273 0.24301668
 0.00787664]",[0.01011665 0.00150372 0.69833523 0.2900444 ],[0.12383863 0.87616134],"[1.0475163e-06 1.3320432e-04 4.3192599e-02 5.2051330e-01 3.8376752e-01
 4.9638383e-02 2.4817006e-03 2.5929604e-04 1.2903237e-05]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0001_face0.png,Indian,Indian,Male,20-29,"[0.00702221 0.00804871 0.16356881 0.00094878 0.00840046 0.7616198
 0.05039115]",[0.01286205 0.00341668 0.13743755 0.84628373],[9.999996e-01 4.151372e-07],"[3.9375789e-07 1.1267000e-04 1.3410507e-02 7.9997885e-01 1.7992134e-01
 6.5094177e-03 6.3741318e-05 2.9423975e-06 6.4108711e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0002_face0.png,White,White,Male,30-39,"[6.2260979e-01 3.3840601e-04 8.1208192e-02 5.4088654e-04 7.9305173e-04
 2.2349583e-03 2.9227468e-01]",[0.95686907 0.00180747 0.02094033 0.02038315],[9.9999726e-01 2.7751178e-06],"[2.52775038e-07 1.01085279e-05 1.66421384e-03 4.12607998e-01
 5.44912398e-01 4.03700173e-02 4.21764591e-04 1.29871905e-05
 2.83666452e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0003_face0.png,White,White,Male,30-39,"[7.5873351e-01 3.7637047e-04 5.0262265e-02 2.8803169e-03 4.0220204e-03
 4.3702975e-02 1.4002255e-01]",[0.5802404  0.00406004 0.07445136 0.34124818],[9.999124e-01 8.762302e-05],"[2.3132452e-06 7.6641132e-05 2.8740733e-03 2.1631828e-01 3.8369754e-01
 3.4148520e-01 4.8769973e-02 6.2506655e-03 5.2537798e-04]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0004_face0.png,Middle Eastern,Indian,Male,60-69,"[0.11202998 0.0477641  0.21753833 0.00306938 0.01393191 0.09539462
 0.5102716 ]",[0.09435107 0.01941499 0.02836858 0.8578654 ],[9.9999934e-01 6.6684004e-07],"[8.2615998e-06 2.1098072e-05 1.9969454e-04 1.4554835e-03 7.3190392e-03
 7.9737835e-02 4.2665955e-01 4.5345399e-01 3.1145090e-02]",1,Others,60+
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0005_face0.png,Indian,Indian,Female,40-49,"[0.00705164 0.00139888 0.1983642  0.00554364 0.06326379 0.71671087
 0.00766697]",[2.4593500e-02 3.6967327e-04 2.3959252e-01 7.3544431e-01],[4.7290942e-04 9.9952716e-01],"[1.2078907e-06 1.8866816e-05 5.4275349e-04 5.6786155e-03 1.1597269e-01
 4.6868032e-01 3.5922867e-01 4.8121512e-02 1.7553548e-03]",1,Others,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0006_face0.png,White,Indian,Male,30-39,"[5.1531845e-01 2.1159211e-02 2.4204215e-01 2.0294987e-05 2.2118624e-04
 9.4723418e-02 1.2651527e-01]",[0.16324194 0.02265528 0.00129147 0.8128113 ],[9.999979e-01 2.115431e-06],"[3.3341891e-07 9.2723294e-06 1.7643084e-03 2.5093672e-01 5.9334141e-01
 1.4552197e-01 8.1143435e-03 3.0250670e-04 9.1983775e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0007_face0.png,Latino_Hispanic,Indian,Male,20-29,"[2.7599856e-01 4.9794214e-03 3.6321741e-01 7.9381549e-05 3.2263785e-04
 1.3748626e-01 2.1791637e-01]",[0.32588938 0.02356728 0.00424061 0.6463027 ],[9.9988055e-01 1.1937925e-04],"[3.3154907e-07 9.1943648e-06 2.4925680e-03 4.8183993e-01 4.7763267e-01
 3.7213512e-02 7.8799168e-04 2.3068762e-05 7.8035350e-07]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0008_face0.png,Indian,Indian,Male,30-39,"[0.00915806 0.01802484 0.33080804 0.00276842 0.02020292 0.47151697
 0.14752074]",[0.01545746 0.00707235 0.00773364 0.9697366 ],[9.9999994e-01 9.2730282e-08],"[1.6960001e-06 5.9026686e-05 2.3022084e-03 4.3486232e-01 5.0736564e-01
 5.4697629e-02 6.8293890e-04 2.7932012e-05 5.7408795e-07]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0009_face0.png,Latino_Hispanic,Indian,Male,30-39,"[0.26292422 0.0154995  0.37621525 0.00047012 0.00234044 0.22725193
 0.11529862]",[0.34130877 0.00322308 0.03611017 0.61935794],[9.9998605e-01 1.3925868e-05],"[1.6151763e-06 1.0508265e-04 4.8334263e-03 2.7928951e-01 5.6489635e-01
 1.4357799e-01 7.0102084e-03 2.7529040e-04 1.0562943e-05]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0010_face0.png,Latino_Hispanic,Indian,Male,30-39,"[2.1321394e-01 2.4718095e-03 3.7110358e-01 1.1136330e-04 5.7103188e-04
 2.7212566e-01 1.4040263e-01]",[0.47684667 0.00167085 0.00266004 0.5188225 ],[9.9999803e-01 1.9935974e-06],"[8.9592697e-07 1.0619038e-05 8.3510973e-04 1.5257257e-01 6.1497188e-01
 2.2258313e-01 8.8743959e-03 1.4821845e-04 3.1987017e-06]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0011_face0.png,Latino_Hispanic,Indian,Male,30-39,"[2.8452712e-01 3.8024168e-03 5.3666639e-01 5.8653706e-05 6.3958816e-04
 8.6318724e-02 8.7987043e-02]",[0.42974406 0.02067224 0.00236347 0.54722023],[9.9999928e-01 7.1693177e-07],"[7.4621290e-08 5.1196503e-06 1.4577936e-03 2.3292379e-01 7.0161569e-01
 6.3511133e-02 4.8323732e-04 3.1689185e-06 3.8083478e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0012_face0.png,White,Asian,Male,40-49,"[0.3586867  0.0246454  0.22696653 0.00697279 0.04566791 0.26601365
 0.07104704]",[0.1379551  0.06215066 0.42296597 0.37692824],[9.993091e-01 6.909140e-04],"[1.8261824e-05 7.2511335e-05 5.9803569e-04 1.0248548e-02 9.5388427e-02
 4.4429353e-01 3.9422628e-01 4.9397912e-02 5.7564764e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0013_face0.png,Middle Eastern,Indian,Male,30-39,"[0.10735713 0.03714868 0.33962992 0.00099428 0.0035626  0.12810722
 0.38320023]",[0.04221074 0.05151913 0.03032189 0.87594825],[9.9999976e-01 2.3247568e-07],"[1.6164693e-06 2.6249085e-05 6.2042265e-04 6.9063060e-02 6.2366849e-01
 2.9697621e-01 9.5459335e-03 9.6560289e-05 1.3465194e-06]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0014_face0.png,White,White,Male,20-29,"[6.0709769e-01 3.3117784e-04 1.8471353e-01 1.5317490e-05 1.5353123e-04
 4.4877231e-02 1.6281153e-01]",[9.3165368e-01 2.7784458e-04 3.9221669e-04 6.7676291e-02],[9.9999672e-01 3.2786904e-06],"[5.5702159e-08 3.2723428e-06 1.1185961e-03 4.9841082e-01 4.7540697e-01
 2.4864051e-02 1.9278722e-04 3.4189625e-06 1.0328070e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0015_face0.png,Middle Eastern,Indian,Male,30-39,"[1.07773006e-01 1.49195222e-03 3.56518149e-01 9.16440986e-05
 6.54502190e-04 1.74087718e-01 3.59383017e-01]",[0.16205496 0.00111287 0.02190471 0.81492746],[9.9999863e-01 1.3913447e-06],"[8.1482231e-06 1.2326229e-04 3.8377536e-03 1.7736875e-01 5.8904570e-01
 2.1339506e-01 1.5728755e-02 4.8380884e-04 8.6692817e-06]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0016_face0.png,Southeast Asian,Asian,Male,30-39,"[7.0176128e-04 6.5432797e-04 1.0061048e-01 1.4866515e-01 7.3307908e-01
 1.5631402e-02 6.5779191e-04]",[7.5947748e-05 2.1043701e-04 9.8036140e-01 1.9352222e-02],[9.9999523e-01 4.7683529e-06],"[6.1883920e-06 9.8518074e-05 2.7913239e-03 1.1643028e-01 4.0743399e-01
 3.9176297e-01 7.4920416e-02 6.3939230e-03 1.6242646e-04]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0017_face0.png,Latino_Hispanic,Indian,Male,30-39,"[4.1679315e-02 1.9456975e-03 5.4537201e-01 1.2476421e-04 1.0053273e-03
 2.4708903e-01 1.6278380e-01]",[6.6746501e-03 8.1126334e-04 1.1221430e-02 9.8129267e-01],[9.9999982e-01 2.3733959e-07],"[1.7712324e-06 1.1679382e-05 8.5099350e-04 5.0549805e-02 5.3131664e-01
 4.0051541e-01 1.6613791e-02 1.3876383e-04 1.1265728e-06]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0018_face0.png,Latino_Hispanic,Indian,Male,30-39,"[1.0266074e-01 4.0055942e-04 6.3485366e-01 8.7625062e-04 3.4654669e-03
 2.0681183e-01 5.0931539e-02]",[0.07600726 0.00206324 0.01323298 0.90869653],[9.9999738e-01 2.6009432e-06],"[3.0116747e-05 1.1847988e-03 3.4659795e-02 3.5962066e-01 4.5700303e-01
 1.4017095e-01 7.1595181e-03 1.6820808e-04 2.8434383e-06]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_disgusted/disgusted_person_0019_face0.png,White,White,Male,30-39,"[9.1284579e-01 6.2368112e-05 5.7257582e-02 6.2280174e-05 1.9022924e-04
 1.8345411e-03 2.7747223e-02]",[9.9465656e-01 3.6926669e-04 8.3213160e-04 4.1420893e-03],[9.995319e-01 4.680639e-04],"[1.8827743e-06 4.3031399e-05 3.4934273e-03 1.1044332e-01 4.6209115e-01
 3.8011143e-01 4.2961314e-02 8.3446113e-04 1.9931978e-05]",1,White,20-39
