face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0000_face0.png,Black,Black,Male,40-49,"[4.6935184e-03 8.9483786e-01 7.0596188e-02 1.9736751e-04 4.9082558e-03
 1.9899286e-02 4.8674732e-03]",[0.00112066 0.85007316 0.08275548 0.06605073],[9.9999124e-01 8.7569560e-06],"[3.6272616e-04 5.4993131e-03 9.3842382e-03 1.7654400e-02 1.8531953e-01
 6.1057401e-01 1.6657384e-01 4.4888300e-03 1.4312947e-04]",1,Black,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0001_face0.png,White,Asian,Male,40-49,"[0.6207913  0.1000386  0.12372298 0.02129082 0.06510422 0.01078414
 0.05826799]",[0.28137282 0.00392269 0.70446396 0.01024045],[9.9995214e-01 4.7945377e-05],"[7.3787846e-06 6.9185255e-05 9.4036100e-04 4.3945685e-02 3.9520973e-01
 5.0959486e-01 4.9223203e-02 9.7256585e-04 3.7127425e-05]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0002_face0.png,Latino_Hispanic,White,Male,40-49,"[0.08157061 0.21411608 0.4626234  0.00442104 0.08714841 0.13063759
 0.01948289]",[0.54874885 0.01395037 0.21359377 0.22370698],[9.998012e-01 1.988120e-04],"[2.6010784e-05 2.6257636e-04 1.0796795e-03 7.5463578e-03 1.1114400e-01
 5.5289358e-01 3.1619072e-01 1.0181596e-02 6.7550113e-04]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0003_face0.png,Indian,Indian,Male,30-39,"[3.8497142e-02 2.3200003e-02 3.0799961e-01 4.4110592e-04 4.8452620e-03
 5.7893652e-01 4.6080325e-02]",[0.03366183 0.00860434 0.03059899 0.9271348 ],[9.9994463e-01 5.5359305e-05],"[1.5624483e-06 3.3195789e-05 1.5717442e-03 1.4038444e-01 7.0561206e-01
 1.4986344e-01 2.5061888e-03 2.6737403e-05 7.2645281e-07]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0004_face0.png,Black,Black,Male,40-49,"[1.8792231e-04 9.6167666e-01 3.4921647e-03 2.7782016e-04 7.9795048e-03
 2.6230309e-02 1.5567515e-04]",[6.6838600e-04 7.2839856e-01 2.5806332e-01 1.2869723e-02],[0.9940975  0.00590251],"[4.6524583e-06 3.3107630e-05 1.7102830e-04 3.9099758e-03 5.8531731e-02
 4.3366933e-01 4.0839648e-01 8.5247114e-02 1.0036505e-02]",0,Black,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0005_face0.png,Black,Black,Male,30-39,"[1.3744608e-02 5.9093076e-01 3.0577284e-01 1.5775184e-04 1.4963408e-03
 4.2310327e-02 4.5587271e-02]",[0.02796543 0.5100024  0.04435838 0.4176739 ],[9.9999511e-01 4.8915153e-06],"[3.0326562e-06 8.4367930e-05 4.3424736e-03 3.9371812e-01 5.5263728e-01
 4.8603687e-02 6.0178916e-04 9.0520180e-06 1.9574857e-07]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0006_face0.png,Middle Eastern,Indian,Male,40-49,"[0.0458001  0.05304682 0.3151986  0.00263012 0.01354622 0.1235659
 0.44621217]",[0.04432073 0.24054635 0.28229418 0.43283874],[9.9976856e-01 2.3148065e-04],"[1.16942916e-04 1.03485258e-03 3.22725810e-03 4.88210581e-02
 3.85106564e-01 5.13813078e-01 4.67197224e-02 1.11425749e-03
 4.62937423e-05]",1,Others,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0007_face0.png,Latino_Hispanic,White,Male,40-49,"[2.8470504e-01 1.4706168e-01 4.1761252e-01 1.8830282e-04 1.9075412e-03
 2.3218768e-02 1.2530623e-01]",[0.81191504 0.0842857  0.0020455  0.10175374],[9.999726e-01 2.744937e-05],"[2.7080791e-06 1.9147847e-05 4.3081367e-04 1.9693036e-02 4.0507856e-01
 5.4395270e-01 3.0589005e-02 2.3086109e-04 3.2744706e-06]",1,Others,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0008_face0.png,Black,Black,Male,30-39,"[1.7769646e-02 8.1976587e-01 1.3257459e-01 1.5942943e-04 2.8818245e-03
 8.3039030e-03 1.8544724e-02]",[0.06099362 0.6152015  0.14237444 0.1814304 ],[9.999945e-01 5.480395e-06],"[3.2144129e-05 4.1810609e-04 9.5311617e-03 1.0622548e-01 4.4694170e-01
 3.8843921e-01 4.6693031e-02 1.6764982e-03 4.2736086e-05]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0009_face0.png,Latino_Hispanic,Indian,Male,40-49,"[0.17376511 0.2318444  0.37361497 0.00131222 0.02368617 0.04031923
 0.15545785]",[0.17786375 0.25726768 0.18033434 0.3845342 ],[9.9999714e-01 2.8410564e-06],"[1.6335640e-05 1.3268243e-04 1.6806477e-03 4.9789988e-02 3.9847341e-01
 4.8790503e-01 5.9826974e-02 2.1278809e-03 4.7046466e-05]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0010_face0.png,Latino_Hispanic,Indian,Male,30-39,"[6.9804773e-02 1.0479980e-01 5.4091889e-01 1.0835061e-04 3.0784414e-03
 1.8525456e-01 9.6035227e-02]",[0.0117741  0.02588284 0.01505362 0.94728947],[9.9999994e-01 1.1281443e-07],"[1.00546540e-05 1.66906655e-04 3.48286610e-03 1.21829234e-01
 4.87673074e-01 3.59261960e-01 2.66765822e-02 8.85173387e-04
 1.41004493e-05]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0011_face0.png,Black,Black,Male,40-49,"[1.5219284e-03 9.3918884e-01 3.1481452e-02 3.8025340e-05 5.4080004e-04
 2.3745928e-02 3.4830968e-03]",[0.00836727 0.759463   0.05518101 0.17698874],[9.999282e-01 7.182896e-05],"[2.6088434e-05 1.4507347e-04 7.7267329e-04 8.2951607e-03 1.3838552e-01
 5.9262884e-01 2.5126463e-01 8.1936987e-03 2.8836975e-04]",1,Black,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0012_face0.png,Black,Black,Male,40-49,"[7.7425740e-03 5.7479584e-01 5.1726941e-02 3.4265092e-04 1.0055758e-02
 3.3944887e-01 1.5887350e-02]",[0.01693673 0.8195871  0.02329627 0.14017987],[9.9967778e-01 3.2224672e-04],"[1.1509756e-05 9.5131567e-05 7.6858560e-04 4.4324994e-03 5.8841348e-02
 4.8762456e-01 3.9906901e-01 4.5721278e-02 3.4360609e-03]",0,Black,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0013_face0.png,Black,Black,Male,40-49,"[1.3580786e-05 9.9790496e-01 7.1497331e-04 2.1954438e-05 6.5793103e-04
 6.4716418e-04 3.9377461e-05]",[1.4591513e-05 9.9550092e-01 3.6848101e-03 7.9959421e-04],[9.9999982e-01 1.7250586e-07],"[1.5032817e-06 1.8840956e-05 1.3696334e-03 5.4154776e-02 2.3362552e-01
 5.0862622e-01 1.8483159e-01 1.6599458e-02 7.7254913e-04]",0,Black,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0014_face0.png,Latino_Hispanic,Asian,Male,40-49,"[0.08864185 0.05634744 0.47563297 0.00356231 0.02526102 0.13754612
 0.21300827]",[0.09891657 0.0644227  0.5647936  0.27186716],[0.99819356 0.00180642],"[8.1922626e-06 4.3713557e-05 3.3082336e-04 7.3621012e-03 2.3752476e-01
 6.4145726e-01 1.1214748e-01 1.1001001e-03 2.5648440e-05]",1,Others,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0015_face0.png,Black,Black,Male,40-49,"[0.05002401 0.5436914  0.29839963 0.00197457 0.03208101 0.05095524
 0.02287417]",[0.01057207 0.7987079  0.07801278 0.11270725],[9.9973112e-01 2.6888977e-04],"[9.5517698e-06 9.1774760e-05 8.5787597e-04 3.1607922e-02 4.2189810e-01
 4.9714339e-01 4.7793895e-02 5.8123580e-04 1.6276495e-05]",1,Black,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_angry/angry_person_0016_face0.png,Indian,Indian,Male,30-39,"[0.01592999 0.30805847 0.29394242 0.00100838 0.01042181 0.33706033
 0.03357867]",[0.00321866 0.41558495 0.05498164 0.5262148 ],[9.9986500e-01 1.3503704e-04],"[8.6782584e-06 8.7157481e-05 1.5410527e-03 3.9348617e-02 5.1963180e-01
 4.1619703e-01 2.2960383e-02 2.2055386e-04 4.8084758e-06]",1,Others,20-39
