face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/scratch/project_462000771/mengting/projects/bias/hunyuan/chinese_prompt/selected_faces/detected_person/person_0059_face0.png,East Asian,Asian,Female,20-29,"[2.42022114e-04 1.13779905e-07 1.93275308e-04 9.55339789e-01
 4.41684425e-02 4.12491318e-05 1.51155664e-05]",[1.2227036e-02 1.0697907e-05 9.8643267e-01 1.3296320e-03],[1.1560253e-04 9.9988443e-01],"[1.4800020e-08 3.5509081e-05 6.3347422e-02 8.8724977e-01 4.9030904e-02
 3.3532784e-04 9.9366378e-07 4.1029423e-08 4.4701609e-10]"
/scratch/project_462000771/mengting/projects/bias/hunyuan/chinese_prompt/selected_faces/detected_person/person_0147_face0.png,East Asian,Asian,Female,20-29,"[5.1528402e-04 1.2377155e-06 2.0178822e-03 9.3757981e-01 5.9704144e-02
 1.4796974e-04 3.3696859e-05]",[2.2423822e-03 1.3851771e-06 9.9639606e-01 1.3601548e-03],[4.1597954e-07 9.9999958e-01],"[2.8849239e-08 9.7928569e-04 2.8930691e-01 7.0482528e-01 4.8696185e-03
 1.8923094e-05 2.1965585e-08 1.2063675e-09 1.6953617e-11]"
/scratch/project_462000771/mengting/projects/bias/hunyuan/chinese_prompt/selected_faces/detected_person/person_0637_face0.png,East Asian,Asian,Female,20-29,"[2.2687504e-04 1.2347601e-07 2.9354414e-04 9.5579106e-01 4.3649949e-02
 2.8112650e-05 1.0325322e-05]",[1.8592682e-03 8.5039471e-07 9.9800080e-01 1.3908319e-04],[2.6202812e-07 9.9999976e-01],"[5.4896411e-08 1.3612679e-03 3.0098864e-01 6.9383842e-01 3.8034846e-03
 8.1004300e-06 5.7054743e-09 2.4423849e-10 3.5393687e-12]"
/scratch/project_462000771/mengting/projects/bias/hunyuan/chinese_prompt/selected_faces/detected_person/person_0683_face0.png,East Asian,Asian,Female,10-19,"[1.5214987e-02 3.1861700e-06 1.2101740e-02 8.5160983e-01 1.1834145e-01
 1.6016992e-03 1.1271355e-03]",[1.7986577e-02 1.7403709e-05 9.7990268e-01 2.0933105e-03],[3.9292140e-06 9.9999607e-01],"[1.1990372e-07 4.2970995e-03 5.0445580e-01 4.8929915e-01 1.9426499e-03
 5.1496772e-06 6.7642727e-09 4.6569659e-10 1.1952158e-11]"
/scratch/project_462000771/mengting/projects/bias/hunyuan/chinese_prompt/selected_faces/detected_person/person_0876_face0.png,East Asian,Asian,Female,20-29,"[1.3028362e-03 2.1053747e-06 7.3882253e-03 7.6005441e-01 2.3035975e-01
 8.3898008e-04 5.3708125e-05]",[3.8911742e-03 9.7053507e-06 9.9245232e-01 3.6468096e-03],[3.2747548e-06 9.9999672e-01],"[3.69454227e-08 1.63656508e-03 3.82924616e-01 6.13274157e-01
 2.16096407e-03 3.68500309e-06 2.20351026e-09 1.14571824e-10
 1.68669874e-12]"
/scratch/project_462000771/mengting/projects/bias/hunyuan/chinese_prompt/selected_faces/detected_person/person_0073_face0.png,Middle Eastern,White,Male,20-29,"[1.5757099e-01 2.7892941e-03 8.5179001e-02 1.1863723e-05 1.2431588e-04
 8.3761267e-02 6.7056322e-01]",[6.1041248e-01 4.4740662e-03 1.3900945e-04 3.8497442e-01],[9.9999988e-01 8.4785825e-08],"[5.3308599e-07 7.6130716e-05 6.0834815e-03 6.0609597e-01 3.7769285e-01
 1.0021724e-02 2.9104034e-05 2.3781061e-07 3.6805932e-09]"
/scratch/project_462000771/mengting/projects/bias/hunyuan/chinese_prompt/selected_faces/detected_person/person_0396_face0.png,East Asian,Asian,Female,20-29,"[1.07812965e-02 1.78349510e-05 1.16503360e-02 9.07406628e-01
 6.70653433e-02 1.14493049e-03 1.93367573e-03]",[2.4616960e-02 2.9013690e-05 9.7329384e-01 2.0601833e-03],[2.3790876e-06 9.9999762e-01],"[7.0603412e-09 6.2734797e-04 4.4964889e-01 5.4872596e-01 9.9688140e-04
 8.6857938e-07 3.6587700e-10 1.3087048e-11 3.3392855e-13]"
/scratch/project_462000771/mengting/projects/bias/hunyuan/chinese_prompt/selected_faces/detected_person/person_0202_face0.png,White,White,Female,20-29,"[8.1001842e-01 4.5795890e-04 8.2285717e-02 1.4408104e-03 5.2425353e-04
 8.3041610e-03 9.6968710e-02]",[0.9305965  0.00507813 0.00147181 0.06285364],[1.6297339e-04 9.9983704e-01],"[3.0829209e-08 1.0524467e-04 9.3574479e-02 8.6299652e-01 4.3070044e-02
 2.5256403e-04 1.1345516e-06 2.5951341e-08 9.4210151e-10]"
/scratch/project_462000771/mengting/projects/bias/hunyuan/chinese_prompt/selected_faces/detected_person/person_0411_face0.png,East Asian,Asian,Female,20-29,"[3.2578507e-03 8.8457900e-06 2.4685586e-02 7.5708038e-01 2.1188226e-01
 2.9225671e-03 1.6252259e-04]",[1.7078459e-02 2.4450725e-04 9.4995117e-01 3.2725863e-02],[4.491147e-06 9.999955e-01],"[1.4587815e-08 2.3181409e-04 1.3665861e-01 8.4636420e-01 1.6701432e-02
 4.3930424e-05 6.6365132e-08 2.5239655e-09 2.5150390e-11]"
/scratch/project_462000771/mengting/projects/bias/hunyuan/chinese_prompt/selected_faces/detected_person/person_0814_face0.png,Middle Eastern,White,Male,20-29,"[9.0956822e-02 3.5550836e-03 1.1250965e-01 1.3322668e-04 6.3296646e-04
 1.7651614e-02 7.7456063e-01]",[9.574107e-01 1.847629e-03 4.797964e-04 4.026181e-02],[9.9921006e-01 7.8990665e-04],"[7.0798546e-07 7.4260298e-04 1.9859497e-01 7.7099156e-01 2.9491987e-02
 1.7764165e-04 4.9933902e-07 2.6705742e-08 9.3843511e-10]"
/scratch/project_462000771/mengting/projects/bias/hunyuan/chinese_prompt/selected_faces/detected_person/person_0151_face0.png,East Asian,Asian,Female,20-29,"[1.8533294e-03 2.5233890e-06 7.9797031e-03 9.0850425e-01 7.8086413e-02
 2.9413586e-03 6.3230662e-04]",[5.891821e-03 8.557131e-06 9.872408e-01 6.858826e-03],[7.271416e-05 9.999273e-01],"[2.3745348e-07 2.7254606e-03 3.6158237e-01 6.3309675e-01 2.5896314e-03
 5.4983784e-06 6.1981908e-09 4.2248141e-10 9.9353373e-12]"
/scratch/project_462000771/mengting/projects/bias/hunyuan/chinese_prompt/selected_faces/detected_person/person_0775_face0.png,White,White,Female,20-29,"[6.7130369e-01 2.6131314e-04 7.9870939e-02 2.8469581e-03 1.7752084e-03
 7.7379597e-03 2.3620389e-01]",[0.9684647  0.00272421 0.02395546 0.00485572],[2.8506642e-05 9.9997151e-01],"[7.5389636e-08 1.1815036e-03 2.7782840e-01 7.0347798e-01 1.7443106e-02
 6.8744943e-05 1.7441954e-07 4.6937285e-09 1.7370018e-10]"
