face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0059_face0.png,Southeast Asian,Asian,Male,30-39,"[0.00087808 0.01116293 0.31447768 0.02497807 0.4793336  0.16821721
 0.00095244]",[9.8719506e-04 4.1236178e-04 8.7271655e-01 1.2588395e-01],[9.9999970e-01 2.8564594e-07],"[1.0343861e-06 7.4595823e-06 1.4342282e-03 2.2408241e-01 6.9304293e-01
 8.0100216e-02 1.3144898e-03 1.7016988e-05 1.9548449e-07]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0147_face0.png,Latino_Hispanic,White,Male,50-59,"[7.9003058e-02 3.6211617e-04 8.2918519e-01 7.2379177e-03 5.8697253e-03
 6.8496302e-02 9.8456806e-03]",[0.7324238  0.00463886 0.01585803 0.24707931],[9.999671e-01 3.291926e-05],"[8.3942523e-06 1.0238872e-05 1.2172171e-04 5.1780142e-05 3.6877377e-03
 1.3510855e-01 8.1758213e-01 4.3309148e-02 1.2030400e-04]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0637_face0.png,White,White,Male,50-59,"[9.99502361e-01 2.80209201e-06 1.04604216e-04 8.32413025e-06
 1.52213597e-05 1.40470584e-05 3.52663308e-04]",[9.9900651e-01 4.7715937e-04 9.5442199e-05 4.2089343e-04],[9.999983e-01 1.774434e-06],"[1.37844345e-05 4.08115084e-05 6.78064534e-04 2.65723141e-03
 5.59682325e-02 3.39521825e-01 5.47821403e-01 5.22094928e-02
 1.08926208e-03]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0683_face0.png,Latino_Hispanic,Indian,Male,40-49,"[0.01135539 0.00151543 0.79610395 0.00151935 0.01284445 0.16867833
 0.00798312]",[0.00962174 0.00598341 0.19007735 0.7943175 ],[9.9998349e-01 1.6524298e-05],"[2.1343683e-05 4.2322928e-05 1.7501790e-03 1.2974157e-02 2.8697118e-01
 5.6183338e-01 1.3500272e-01 1.3952098e-03 9.4840452e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0876_face0.png,White,Indian,Male,20-29,"[4.8101801e-01 4.8153295e-05 4.5989889e-01 3.3576871e-04 4.7949623e-04
 1.8151693e-02 4.0067963e-02]",[0.29455215 0.0009809  0.00388809 0.70057887],[9.9998474e-01 1.5238074e-05],"[6.2246144e-08 1.2836524e-05 2.0977022e-02 8.3830523e-01 1.3875729e-01
 1.9425402e-03 5.0356834e-06 5.7326119e-08 7.0668643e-10]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0073_face0.png,White,White,Male,40-49,"[9.6788424e-01 4.8892125e-06 2.5109788e-02 1.5235227e-04 1.0725050e-04
 1.0973732e-03 5.6442097e-03]",[9.9292850e-01 3.1149746e-05 7.3508557e-04 6.3052634e-03],[9.9999762e-01 2.3566993e-06],"[1.5250440e-07 6.8101332e-07 1.0000396e-04 2.7775273e-03 1.5295443e-01
 7.1257758e-01 1.3077788e-01 8.0801820e-04 3.7269579e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0396_face0.png,Black,Black,Male,20-29,"[2.4849491e-03 4.2181605e-01 1.7912579e-01 1.3223151e-04 5.8883675e-03
 3.8371271e-01 6.8399929e-03]",[8.3705352e-04 9.2895865e-01 2.0332723e-03 6.8171069e-02],[9.9999744e-01 2.5949544e-06],"[2.1223789e-08 1.4415998e-05 4.9591184e-02 8.6880726e-01 8.0303282e-02
 1.2780580e-03 5.7180118e-06 7.0757423e-08 1.4636888e-09]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0664_face1.png,East Asian,White,Female,20-29,"[0.09210134 0.00197687 0.11146173 0.4480314  0.337301   0.00281702
 0.00631074]",[0.6393992  0.00156871 0.3417711  0.01726098],[0.36803725 0.6319628 ],"[0.00245575 0.01969987 0.01617191 0.36183578 0.25934845 0.16906217
 0.11344319 0.04662079 0.01136205]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0202_face0.png,White,White,Male,40-49,"[9.8837835e-01 1.1672249e-05 5.2518374e-03 9.8056780e-06 7.8154138e-05
 8.2097831e-05 6.1882259e-03]",[9.9808496e-01 8.5201296e-05 2.3167442e-04 1.5981646e-03],[9.9997133e-01 2.8600503e-05],"[3.9945729e-07 6.5529612e-06 8.9816662e-04 2.2037772e-02 2.8315592e-01
 6.1105448e-01 8.2045317e-02 7.8600051e-04 1.5388589e-05]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0411_face0.png,Latino_Hispanic,Asian,Male,40-49,"[0.00413142 0.00063486 0.35960814 0.33368018 0.2789849  0.01958393
 0.00337659]",[4.0189426e-02 8.4317458e-04 8.8758242e-01 7.1385033e-02],[9.999993e-01 7.069175e-07],"[7.6116762e-06 2.3177987e-05 2.0315948e-04 3.0617714e-03 2.0311111e-01
 6.6057020e-01 1.3135985e-01 1.6588167e-03 4.3445984e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0814_face0.png,White,White,Male,50-59,"[9.8317385e-01 4.2746555e-07 6.5197032e-03 8.1177343e-05 1.4187139e-04
 1.1233938e-04 9.9705569e-03]",[9.9923140e-01 1.7244013e-06 4.2298084e-04 3.4389028e-04],[9.9988556e-01 1.1446347e-04],"[5.5596729e-06 1.0942718e-05 3.2985868e-04 4.1601466e-04 1.4436513e-02
 2.5032157e-01 6.8306047e-01 5.0758339e-02 6.6077308e-04]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0151_face0.png,White,White,Male,40-49,"[9.8955542e-01 1.2251226e-05 6.9434815e-03 1.2895262e-03 4.0607323e-04
 1.9303397e-05 1.7739563e-03]",[9.9809968e-01 6.4058463e-06 1.8664651e-03 2.7402899e-05],[0.9971148  0.00288519],"[1.20095865e-05 3.04455098e-05 5.45440125e-04 3.79191083e-03
 1.07763715e-01 5.96918762e-01 2.77389556e-01 1.33132720e-02
 2.34975087e-04]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0775_face0.png,Latino_Hispanic,Indian,Male,50-59,"[2.5625829e-02 1.5785842e-03 5.1212031e-01 3.9832681e-05 3.0037345e-04
 4.5679685e-01 3.5382325e-03]",[6.3396841e-02 5.7606823e-03 6.8062620e-04 9.3016189e-01],[9.9999756e-01 2.3819066e-06],"[8.5371457e-06 1.1628629e-05 1.9335498e-04 1.7907072e-04 1.0523515e-02
 2.0874478e-01 7.6964867e-01 1.0668530e-02 2.1978254e-05]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0826_face0.png,White,White,Male,40-49,"[9.9697739e-01 1.4005974e-06 1.1624064e-03 8.4534931e-06 1.5704185e-05
 6.9676418e-05 1.7650430e-03]",[9.9855840e-01 1.0150997e-04 3.7092832e-04 9.6920074e-04],[9.999758e-01 2.422913e-05],"[7.5956493e-08 4.7224995e-07 4.6540732e-05 1.7342696e-03 1.3243695e-01
 7.7249128e-01 9.2931353e-02 3.5600094e-04 3.0882209e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0043_face0.png,East Asian,Asian,Male,20-29,"[5.0069379e-05 2.5822644e-06 1.2204552e-03 8.1419557e-01 1.8419895e-01
 3.1909894e-04 1.3314579e-05]",[4.2641965e-05 2.8168820e-06 9.9971306e-01 2.4152160e-04],[0.99863493 0.001365  ],"[4.14278588e-07 1.65147721e-04 1.08200915e-01 7.95133293e-01
 9.51302573e-02 1.36248569e-03 7.00532428e-06 4.65660662e-07
 6.97911062e-09]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0380_face0.png,East Asian,Asian,Male,20-29,"[5.15924592e-04 8.34954335e-06 2.22571716e-02 6.96703076e-01
 2.79636055e-01 7.66313577e-04 1.13047965e-04]",[1.3938469e-03 9.5064526e-05 9.9451780e-01 3.9932788e-03],[9.9999970e-01 2.4306027e-07],"[1.3425068e-07 1.7991037e-05 1.2969567e-02 6.1478698e-01 3.6087966e-01
 1.1248147e-02 9.5187279e-05 2.3264661e-06 1.1636663e-08]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0133_face0.png,Indian,Indian,Male,40-49,"[6.95083812e-02 6.70377314e-02 3.08895588e-01 1.31177285e-05
 9.96185627e-05 4.48736906e-01 1.05708547e-01]",[2.6594907e-01 1.8862306e-01 2.5575320e-04 5.4517210e-01],[9.9999344e-01 6.5911149e-06],"[3.7181857e-07 7.2912826e-07 4.5948720e-05 6.5931878e-03 3.5013974e-01
 5.6395578e-01 7.8920878e-02 3.4099683e-04 2.3878122e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0596_face0.png,Black,Black,Male,20-29,"[5.6230169e-07 9.9997753e-01 7.5446765e-06 1.4951430e-06 3.0533213e-06
 9.7594011e-06 1.9388929e-07]",[1.0260800e-06 9.9979401e-01 9.7495875e-05 1.0750952e-04],[0.99682546 0.00317457],"[2.5483136e-04 1.9788636e-02 8.6589359e-02 5.6411523e-01 2.9151469e-01
 3.4988143e-02 2.4233763e-03 2.5394247e-04 7.1750932e-05]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0605_face0.png,White,White,Male,40-49,"[9.9858594e-01 4.3493671e-07 4.8911048e-04 8.4672820e-06 5.6340618e-06
 6.5472263e-06 9.0381032e-04]",[9.9959904e-01 1.7826356e-05 2.4467090e-04 1.3846434e-04],[9.9999821e-01 1.7615322e-06],"[3.9478264e-06 3.2120772e-06 5.2142084e-05 6.4189860e-04 7.2547212e-02
 6.5849614e-01 2.6455215e-01 3.6780946e-03 2.5268026e-05]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0537_face0.png,East Asian,Asian,Male,30-39,"[1.2725471e-03 2.2930925e-04 6.9985367e-02 4.7996235e-01 4.3582079e-01
 1.1637323e-02 1.0923715e-03]",[4.3355930e-03 5.8314041e-04 8.1038153e-01 1.8469967e-01],[1.000000e+00 8.420151e-09],"[5.1629456e-07 7.8140592e-06 4.0310176e-04 7.7086188e-02 7.0963359e-01
 2.0623627e-01 6.5426035e-03 8.9526278e-05 3.6010769e-07]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0373_face0.png,Indian,Indian,Male,20-29,"[8.4387208e-04 2.1498550e-02 9.0136752e-02 2.8186851e-05 5.0571404e-04
 8.3822095e-01 4.8765957e-02]",[5.1757460e-04 3.6355708e-02 5.1151175e-04 9.6261525e-01],[9.9999958e-01 4.1702376e-07],"[1.0125399e-06 1.0660837e-04 1.4219502e-02 6.5743637e-01 3.1452519e-01
 1.3586685e-02 1.2351183e-04 1.1214862e-06 1.4663223e-08]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0303_face0.png,White,White,Male,50-59,"[9.4437999e-01 6.9229595e-06 4.4164341e-02 1.7493163e-04 2.2791245e-04
 9.4670057e-04 1.0099179e-02]",[9.9935037e-01 2.1624551e-06 4.5204788e-04 1.9549511e-04],[9.9999803e-01 1.9926156e-06],"[1.7205912e-05 5.8546226e-05 7.7138940e-04 2.7858085e-04 9.4754864e-03
 1.9454291e-01 7.2478491e-01 6.9443598e-02 6.2736985e-04]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0973_face0.png,White,White,Male,50-59,"[9.6827292e-01 4.0486671e-06 1.3105756e-02 2.1158037e-04 3.0834100e-04
 5.9727504e-04 1.7500088e-02]",[9.9627364e-01 2.1687310e-05 1.0220511e-03 2.6825136e-03],[9.9999362e-01 6.3157004e-06],"[7.6484546e-05 6.7215537e-05 3.8817528e-04 9.1114554e-05 3.7740925e-03
 9.0766057e-02 7.5091708e-01 1.5239960e-01 1.5201438e-03]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0046_face0.png,White,White,Male,40-49,"[9.9457717e-01 1.1131566e-07 4.9444981e-05 6.1256941e-07 1.8986439e-06
 2.3284906e-06 5.3683813e-03]",[9.9948537e-01 2.5538095e-05 6.0649138e-05 4.2844919e-04],[9.9999571e-01 4.2771885e-06],"[6.5932437e-07 2.9537684e-06 2.7647594e-04 1.0283343e-02 2.0209189e-01
 7.1382028e-01 7.2761811e-02 7.5428182e-04 8.2725055e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0060_face0.png,Indian,Indian,Male,40-49,"[1.7222029e-04 6.5876782e-04 2.3891153e-02 5.9208078e-06 2.2417399e-04
 9.7262043e-01 2.4272962e-03]",[2.1346563e-05 6.0568946e-05 1.7933836e-04 9.9973875e-01],[9.9999774e-01 2.3059990e-06],"[1.2270210e-06 8.2633942e-06 3.3123163e-04 1.8307367e-02 4.1689450e-01
 5.3775346e-01 2.6564306e-02 1.3831080e-04 1.3221046e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0761_face0.png,White,White,Male,40-49,"[4.8274842e-01 7.6774115e-05 4.6909189e-01 8.6870445e-03 8.5777314e-03
 2.3684755e-02 7.1334192e-03]",[0.9091706  0.00128735 0.07346381 0.01607823],[9.999358e-01 6.417504e-05],"[3.2426626e-06 1.4950136e-05 1.1410947e-03 5.3292755e-03 2.0461424e-01
 6.4352840e-01 1.4415880e-01 1.2067701e-03 3.1683107e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0230_face0.png,Latino_Hispanic,Black,Male,20-29,"[0.01426501 0.02398782 0.73189235 0.00078292 0.00957006 0.16451435
 0.05498738]",[0.02445097 0.5056623  0.01795692 0.45192978],[9.9999386e-01 6.1836072e-06],"[3.8299083e-07 1.5871668e-04 1.0519470e-01 7.9078156e-01 1.0202843e-01
 1.8226098e-03 1.3321130e-05 2.4240754e-07 4.0477128e-09]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0659_face0.png,Southeast Asian,Asian,Female,30-39,"[1.09358836e-04 3.36125074e-03 3.25931013e-02 4.72840033e-02
 8.41671228e-01 7.49088153e-02 7.22479817e-05]",[5.52303856e-04 9.29910969e-03 8.66083503e-01 1.24065034e-01],[0.1531642  0.84683585],"[1.4396372e-06 5.9246981e-05 6.6655860e-03 1.4199543e-01 6.1003780e-01
 2.3090200e-01 1.0178127e-02 1.5816970e-04 2.1557623e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0363_face0.png,Latino_Hispanic,White,Male,30-39,"[1.9948985e-01 2.2458889e-04 5.2064192e-01 3.2853251e-04 4.7586230e-04
 4.9499452e-02 2.2933982e-01]",[0.8293085  0.01103727 0.0067468  0.15290742],[9.9999893e-01 1.0336686e-06],"[4.2055585e-06 5.1330680e-05 3.7089079e-03 8.1957094e-02 6.4146233e-01
 2.6538539e-01 7.3821694e-03 4.8371348e-05 1.9104017e-07]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0134_face0.png,White,White,Male,40-49,"[9.9520886e-01 2.1251810e-06 2.5625583e-03 8.7763002e-04 4.5061679e-04
 2.2896742e-04 6.6917995e-04]",[9.8876864e-01 5.9402144e-05 6.5595438e-03 4.6124016e-03],[9.9999988e-01 1.0845305e-07],"[1.9932890e-05 1.1336458e-04 1.2194355e-03 4.9267956e-03 1.2047007e-01
 5.0415969e-01 3.6126447e-01 7.7751381e-03 5.1125444e-05]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0305_face0.png,White,White,Male,40-49,"[9.9823195e-01 6.1627347e-08 9.6180936e-04 3.0711035e-06 6.6561824e-06
 4.7533911e-05 7.4887829e-04]",[9.9981636e-01 2.9634596e-06 5.6253011e-05 1.2429799e-04],[9.999930e-01 6.960039e-06],"[1.4287411e-06 2.2716178e-05 2.4097669e-03 7.6002157e-03 1.5423457e-01
 7.2180372e-01 1.1300373e-01 9.1709226e-04 6.7360579e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0350_face0.png,Black,Black,Male,40-49,"[2.4128911e-05 9.6559983e-01 3.2150396e-03 5.2433339e-04 2.1988856e-02
 8.6354874e-03 1.2379281e-05]",[7.651381e-05 9.023299e-01 9.407282e-02 3.520686e-03],[0.65736395 0.34263602],"[9.8591931e-07 1.3897800e-05 2.4477455e-03 7.0418142e-02 4.0538642e-01
 4.3385404e-01 8.6182922e-02 1.6123360e-03 8.3589788e-05]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0846_face0.png,White,White,Male,30-39,"[6.5558809e-01 4.9635717e-05 1.2926000e-01 2.5232795e-05 1.5398271e-04
 3.3232940e-03 2.1159983e-01]",[9.9205005e-01 9.7221848e-05 4.3534563e-04 7.4173873e-03],[9.9999964e-01 3.4831135e-07],"[2.6671566e-07 2.4769979e-06 1.7353328e-04 1.5275548e-02 5.3721488e-01
 4.3566224e-01 1.1635600e-02 3.5209054e-05 1.9047535e-07]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0237_face0.png,Latino_Hispanic,White,Male,30-39,"[3.9692643e-01 1.8399385e-04 5.7005191e-01 1.8435346e-03 3.6196487e-03
 4.1170996e-03 2.3257380e-02]",[0.9877934  0.00113703 0.00474124 0.0063283 ],[9.9999839e-01 1.6329441e-06],"[9.1429413e-08 6.1081632e-06 1.0462677e-02 4.5548302e-01 5.0439167e-01
 2.9430529e-02 2.2446710e-04 1.4321525e-06 1.2513538e-08]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0729_face0.png,White,White,Male,40-49,"[9.9961489e-01 2.7510225e-08 1.3654407e-04 5.4016200e-06 3.6937729e-06
 3.0400711e-06 2.3644020e-04]",[9.9995035e-01 4.5990907e-07 1.7941775e-05 3.1207259e-05],[9.9999917e-01 8.2792883e-07],"[3.7949292e-08 7.9817789e-07 3.6324369e-04 1.4463821e-02 3.5899806e-01
 5.9590054e-01 3.0126307e-02 1.4636088e-04 7.9144991e-07]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0056_face0.png,White,White,Male,30-39,"[9.7620130e-01 2.3551263e-06 3.7019746e-03 9.1208885e-06 2.2391860e-05
 7.3132780e-04 1.9331569e-02]",[9.2550367e-01 3.1078398e-05 1.2184639e-04 7.4343465e-02],[9.9991757e-01 8.2486382e-05],"[1.8889691e-06 5.4311931e-05 4.4523021e-03 2.0148961e-01 6.3922459e-01
 1.5236224e-01 2.3986902e-03 1.5971393e-05 3.1183018e-07]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0963_face0.png,White,White,Male,50-59,"[9.9976987e-01 1.8333331e-08 6.5496744e-05 2.4723261e-06 2.2308905e-06
 1.1354404e-06 1.5879290e-04]",[9.9970984e-01 8.4829816e-07 2.7218121e-04 1.7078879e-05],[9.9998677e-01 1.3275682e-05],"[4.3010078e-07 8.4099776e-07 1.0970740e-04 4.4884291e-04 1.9681821e-02
 3.2767823e-01 6.2707871e-01 2.4790129e-02 2.1129409e-04]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0634_face0.png,White,White,Male,30-39,"[8.1212980e-01 4.7085639e-05 4.6408940e-02 3.6185174e-05 1.2176358e-04
 2.5669441e-03 1.3868931e-01]",[9.6729761e-01 4.1587144e-04 8.0996566e-04 3.1476561e-02],[9.999642e-01 3.583204e-05],"[3.9156259e-07 2.8494248e-06 7.1102747e-04 1.6269682e-01 7.4919224e-01
 8.6925074e-02 4.7040608e-04 1.2288448e-06 1.5191338e-08]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0864_face0.png,Southeast Asian,Asian,Female,30-39,"[8.5621426e-04 5.8943633e-04 4.9469721e-02 7.5322941e-02 8.6401069e-01
 9.4052516e-03 3.4575109e-04]",[0.00247772 0.01802484 0.97548497 0.00401239],[0.01282098 0.987179  ],"[2.6703808e-07 1.0756797e-05 2.0838059e-03 8.7076053e-02 6.6377610e-01
 2.2849870e-01 1.8298144e-02 2.5268798e-04 3.4485774e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0917_face0.png,White,White,Male,40-49,"[4.9754813e-01 3.9582563e-04 4.6047124e-01 1.9642166e-03 1.3368801e-03
 1.3636966e-02 2.4646644e-02]",[0.93606454 0.00431541 0.00229845 0.05732167],[9.9998206e-01 1.7908969e-05],"[4.0997347e-05 4.4318454e-05 5.1751424e-04 3.1736535e-03 1.8771063e-01
 6.1674279e-01 1.8984371e-01 1.9207516e-03 5.6051804e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0519_face0.png,Middle Eastern,White,Male,30-39,"[3.4983295e-01 3.3109529e-05 2.8818710e-02 3.5550856e-05 6.5012478e-05
 1.6136898e-03 6.1960101e-01]",[9.8396212e-01 1.4579872e-05 1.7386363e-04 1.5849419e-02],[9.9999607e-01 3.9282354e-06],"[1.4647483e-06 5.1748220e-06 3.4580211e-04 5.2771412e-02 7.3913789e-01
 2.0549914e-01 2.2296382e-03 9.3632325e-06 8.2749551e-08]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0120_face0.png,Latino_Hispanic,Indian,Male,20-29,"[0.08362154 0.00089283 0.87627566 0.00148213 0.00423824 0.02118556
 0.01230403]",[0.19724008 0.15282765 0.01766095 0.6322713 ],[9.9990517e-01 9.4820447e-05],"[2.4303265e-06 2.9696009e-04 9.6872941e-02 6.5424967e-01 2.3426017e-01
 1.4107565e-02 2.0842080e-04 1.9031462e-06 3.1047286e-08]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0768_face0.png,White,White,Male,50-59,"[9.8298216e-01 1.1913256e-06 3.3660792e-04 4.2247168e-05 3.4301804e-05
 3.1481351e-05 1.6571898e-02]",[9.9974501e-01 3.2880885e-06 3.3845161e-05 2.1788110e-04],[9.9993354e-01 6.6469358e-05],"[8.1346152e-06 8.8489651e-06 1.2494736e-04 5.9201833e-05 1.1403399e-03
 4.4376597e-02 6.8270063e-01 2.6046795e-01 1.1113312e-02]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0214_face0.png,White,White,Male,30-39,"[6.1846948e-01 1.1698230e-03 7.7652983e-02 4.0740037e-05 2.6290372e-04
 2.6219045e-03 2.9978213e-01]",[0.9668367  0.00140063 0.00178879 0.02997385],[9.9999988e-01 1.3562233e-07],"[3.03803313e-06 2.34767413e-05 6.99070224e-04 4.07292992e-02
 5.88571131e-01 3.59527707e-01 1.03307283e-02 1.14399045e-04
 1.16252488e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0024_face0.png,White,White,Male,30-39,"[9.9974775e-01 7.0486199e-09 1.5595735e-05 1.4768400e-06 2.1971725e-06
 2.7627337e-07 2.3282239e-04]",[9.9995297e-01 4.4840638e-07 4.2019037e-05 4.5046618e-06],[9.9997222e-01 2.7719778e-05],"[4.7388710e-07 1.5396941e-05 8.5430976e-04 8.5582979e-02 7.9288775e-01
 1.2004742e-01 6.1005453e-04 1.5369824e-06 2.9127797e-08]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0547_face0.png,White,White,Male,30-39,"[5.6763780e-01 1.6556247e-05 2.3446777e-01 1.0944639e-03 6.2433054e-04
 5.1562846e-02 1.4459632e-01]",[9.5881963e-01 2.5043275e-05 2.0345382e-03 3.9120808e-02],[9.9998266e-01 1.7357339e-05],"[8.1995850e-06 4.0058596e-05 1.7510745e-03 2.7326059e-01 6.9390196e-01
 3.0876100e-02 1.6088458e-04 1.0983489e-06 9.2199706e-09]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0255_face0.png,White,White,Male,40-49,"[9.9358898e-01 3.0334570e-06 1.5850305e-03 2.6727252e-05 7.9250312e-05
 5.5122608e-05 4.6618716e-03]",[9.9781132e-01 3.2836626e-05 1.9333836e-04 1.9624978e-03],[9.9996608e-01 3.3947523e-05],"[8.7465278e-06 8.5236257e-05 2.2360326e-03 3.5465948e-02 4.0374720e-01
 5.2370626e-01 3.4378480e-02 3.6572063e-04 6.3771827e-06]"
/scratch/project_462000771/mengting/projects/bias/Qwen/chinese_prompt/selected_faces/detected_person/person_0492_face0.png,Indian,Indian,Male,30-39,"[1.0962574e-03 9.8140389e-03 1.6548820e-01 2.7321096e-04 4.7513861e-03
 8.1634885e-01 2.2280805e-03]",[0.00320844 0.07018552 0.00340627 0.9231998 ],[9.9996072e-01 3.9274695e-05],"[2.09802365e-05 2.61833658e-04 1.05243148e-02 2.15395972e-01
 6.48100793e-01 1.21709995e-01 3.91972484e-03 6.53087918e-05
 1.06364155e-06]"
