face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,gt_age,gt_gender,gt_race
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0000_face0.png,East Asian,Asian,Female,20-29,"[7.3393376e-04 9.1270565e-05 6.4023221e-03 5.8680230e-01 3.9341536e-01
 1.2405180e-02 1.4958141e-04]",[0.00853591 0.00109787 0.8457265  0.14463973],[9.082846e-04 9.990917e-01],"[3.07067552e-07 2.47606239e-03 4.93697941e-01 4.99194354e-01
 4.59896354e-03 3.23709210e-05 9.48861683e-08 1.12679945e-08
 6.73233858e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0001_face0.png,Indian,Indian,Female,20-29,"[3.0576629e-03 1.6835444e-05 2.0952992e-02 5.7083359e-03 3.8964540e-02
 8.8404459e-01 4.7255069e-02]",[3.2180960e-03 1.9346607e-04 1.2856202e-02 9.8373222e-01],[1.6052497e-04 9.9983948e-01],"[3.5666601e-06 1.2155967e-02 4.7550055e-01 4.9266270e-01 1.9288981e-02
 3.8628140e-04 1.6515144e-06 2.2948113e-07 2.1834005e-08]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0002_face0.png,Indian,Indian,Female,10-19,"[2.0505828e-03 8.5442094e-05 5.4751728e-02 3.2969043e-02 1.1106377e-01
 7.9577112e-01 3.3083297e-03]",[3.0364620e-03 2.5841661e-04 1.0833307e-01 8.8837206e-01],[1.4449716e-04 9.9985552e-01],"[1.5253705e-07 7.6439478e-03 5.8177108e-01 4.0711015e-01 3.4528566e-03
 2.1751508e-05 3.4078358e-08 3.5166541e-09 1.5778943e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0003_face0.png,Indian,Indian,Female,10-19,"[1.71403550e-02 1.71358315e-05 1.16878204e-01 2.44169193e-03
 1.04330862e-02 8.42502654e-01 1.05868690e-02]",[3.8224004e-02 3.7987102e-04 1.3080247e-01 8.3059359e-01],[1.6662043e-04 9.9983341e-01],"[4.2220528e-08 7.0895101e-03 7.8979146e-01 2.0182690e-01 1.2873785e-03
 4.8121146e-06 5.4927560e-09 2.6479932e-10 1.0805463e-11]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0004_face0.png,East Asian,Asian,Female,20-29,"[8.7478553e-04 3.2975408e-05 8.0586951e-03 8.0309618e-01 1.8098444e-01
 6.4178826e-03 5.3500501e-04]",[5.2430370e-04 2.3026139e-05 9.9754328e-01 1.9094461e-03],[1.0209382e-04 9.9989796e-01],"[1.29294850e-08 3.47383961e-04 3.30239385e-01 6.63499355e-01
 5.90073504e-03 1.31372335e-05 1.03090008e-08 4.94059182e-10
 1.02927675e-11]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0005_face0.png,East Asian,Asian,Female,20-29,"[2.3464294e-04 5.5175969e-05 2.7416151e-03 7.2084749e-01 2.7338180e-01
 2.7049489e-03 3.4390589e-05]",[4.4611088e-04 6.2796328e-04 9.9015695e-01 8.7690484e-03],[0.00388552 0.9961145 ],"[2.38282541e-06 5.45470323e-03 3.23719293e-01 6.54446840e-01
 1.60636064e-02 3.11318290e-04 1.54298039e-06 2.53701160e-07
 1.45661705e-08]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0006_face0.png,Indian,Indian,Female,10-19,"[6.6232895e-03 5.6444751e-05 5.9807915e-02 6.3035166e-04 1.4889842e-03
 8.3761734e-01 9.3775719e-02]",[0.06804283 0.00281488 0.00563222 0.9235101 ],[8.1801081e-06 9.9999183e-01],"[1.2233640e-08 3.1233416e-03 5.0416756e-01 4.9163166e-01 1.0763735e-03
 1.0757187e-06 4.3982523e-10 1.5693830e-11 4.6607515e-13]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0007_face0.png,East Asian,Asian,Female,20-29,"[5.9610076e-04 4.9868249e-06 5.7713254e-03 6.7605013e-01 3.1473696e-01
 2.7506433e-03 8.9893882e-05]",[3.0523480e-03 8.1765694e-07 9.9047494e-01 6.4718630e-03],[6.5238473e-06 9.9999350e-01],"[1.55388861e-07 1.40740920e-03 2.08704367e-01 7.78555214e-01
 1.12638902e-02 6.89206208e-05 1.06786935e-07 7.08738046e-09
 1.65488914e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0008_face0.png,East Asian,Asian,Female,20-29,"[3.0457347e-03 6.5659874e-06 1.9302035e-02 5.9244806e-01 3.4554926e-01
 3.7983883e-02 1.6644063e-03]",[4.1861935e-03 1.4977540e-04 7.7550226e-01 2.2016181e-01],[0.00692763 0.99307233],"[3.2459076e-07 1.3972878e-03 3.2527411e-01 6.6517764e-01 8.0998233e-03
 5.0636580e-05 1.1575372e-07 1.4964689e-08 5.8844801e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0009_face0.png,Indian,Indian,Female,10-19,"[2.7711055e-04 1.2121314e-05 4.2979717e-03 5.5301949e-05 9.6529495e-04
 9.8857790e-01 5.8143092e-03]",[3.6355687e-04 8.5252192e-05 8.8398129e-04 9.9866724e-01],[6.0786179e-04 9.9939215e-01],"[2.4563158e-07 1.0370929e-02 7.1157360e-01 2.7576235e-01 2.2737915e-03
 1.9041323e-05 3.9254154e-08 4.8275677e-09 3.4567516e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0010_face0.png,Southeast Asian,Asian,Female,20-29,"[1.3805402e-03 4.3768661e-05 1.4811078e-02 2.7250549e-01 6.6728657e-01
 4.1303962e-02 2.6685866e-03]",[4.1392185e-03 9.8904333e-05 9.0420622e-01 9.1555744e-02],[1.4279208e-04 9.9985725e-01],"[4.9231295e-07 2.2024279e-03 2.9826513e-01 6.8278098e-01 1.6588306e-02
 1.6228264e-04 3.2590833e-07 3.2120109e-08 1.3365229e-09]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0011_face0.png,East Asian,Asian,Female,20-29,"[5.6200341e-04 3.4593581e-06 9.2134852e-04 9.2197978e-01 7.6083176e-02
 3.9301862e-04 5.7290032e-05]",[6.1413553e-04 5.5192359e-05 9.9575496e-01 3.5756880e-03],[0.0082434 0.9917566],"[4.99791440e-07 5.35238709e-04 2.80277461e-01 7.02254653e-01
 1.66961458e-02 2.34398132e-04 1.35420964e-06 1.94066587e-07
 1.00314725e-08]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0012_face0.png,Indian,Indian,Female,10-19,"[1.4295716e-02 1.2998089e-04 1.3635767e-01 7.1358145e-04 2.7832836e-03
 5.8366084e-01 2.6205885e-01]",[9.4158173e-02 4.5071437e-04 8.6333873e-03 8.9675772e-01],[1.7753341e-04 9.9982244e-01],"[2.8937114e-08 5.1496699e-03 7.8419596e-01 2.0990615e-01 7.4625656e-04
 1.8942976e-06 1.2502495e-09 7.7622464e-11 2.6054339e-12]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0013_face0.png,Indian,Indian,Female,20-29,"[0.01493477 0.00111257 0.21440627 0.0186953  0.1162537  0.600182
 0.03441543]",[2.2761129e-02 4.4668795e-04 4.0054968e-01 5.7624251e-01],[1.5597302e-04 9.9984401e-01],"[5.5225296e-08 1.6028435e-03 4.2975324e-01 5.6328821e-01 5.3392034e-03
 1.6418655e-05 1.4789158e-08 9.2310065e-10 3.4571453e-11]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0014_face0.png,White,Asian,Female,10-19,"[4.6029159e-01 3.1832496e-05 1.8165266e-02 4.1843823e-01 9.0983778e-02
 4.9134423e-03 7.1758525e-03]",[1.3362695e-01 1.2112352e-05 8.4829283e-01 1.8068090e-02],[8.104079e-06 9.999919e-01],"[8.4918975e-07 9.0056676e-03 5.6988209e-01 4.1653645e-01 4.5534712e-03
 2.1452644e-05 5.6424295e-08 2.5165372e-09 1.5768278e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0015_face0.png,East Asian,Asian,Female,20-29,"[1.0107203e-03 5.1116160e-05 5.1456108e-03 7.3085326e-01 2.4952807e-01
 1.3133622e-02 2.7766667e-04]",[2.6278347e-03 2.7927884e-04 9.2170191e-01 7.5390942e-02],[0.00297701 0.997023  ],"[3.7096536e-06 1.1363661e-02 3.8420540e-01 5.8907682e-01 1.5084435e-02
 2.6338251e-04 2.1426538e-06 4.1127572e-07 2.7244774e-08]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0016_face0.png,Southeast Asian,Asian,Female,10-19,"[0.00908606 0.00059327 0.04005164 0.26445013 0.4779201  0.19412695
 0.01377181]",[2.7782245e-02 6.1847433e-04 7.5340027e-01 2.1819901e-01],[3.4249394e-04 9.9965745e-01],"[2.9339421e-06 2.9014245e-02 5.5078179e-01 4.1164559e-01 8.4624952e-03
 9.2351591e-05 4.3328242e-07 6.4437444e-08 5.4145786e-09]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0017_face0.png,Indian,White,Female,10-19,"[2.3778796e-02 3.4694929e-04 2.1244907e-01 2.1077397e-03 3.7085847e-03
 7.0786417e-01 4.9744714e-02]",[6.3318825e-01 6.0749234e-04 7.5961366e-02 2.9024294e-01],[2.2935237e-05 9.9997705e-01],"[8.5174960e-09 1.0872351e-03 5.8943981e-01 4.0849850e-01 9.7363931e-04
 8.5788048e-07 3.3133080e-10 9.7977971e-12 3.1336413e-13]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0018_face0.png,East Asian,Asian,Female,10-19,"[4.2500072e-03 1.4400690e-05 2.4853047e-02 6.1215931e-01 3.2969788e-01
 2.8728645e-02 2.9668049e-04]",[3.6424235e-03 4.0296178e-05 9.2456394e-01 7.1753323e-02],[1.5927893e-04 9.9984074e-01],"[6.1019301e-07 2.1760996e-02 5.6029004e-01 4.1562635e-01 2.3108369e-03
 1.1092060e-05 2.0737977e-08 2.0525486e-09 1.0477460e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0019_face0.png,East Asian,Asian,Female,20-29,"[1.02695644e-01 1.28167798e-04 2.45251969e-01 3.15959990e-01
 1.68819413e-01 1.38810337e-01 2.83345077e-02]",[7.2849013e-02 6.4472784e-05 7.0536983e-01 2.2171661e-01],[5.2797797e-05 9.9994719e-01],"[2.9878322e-08 7.3968363e-04 3.9110777e-01 6.0097879e-01 7.1328501e-03
 4.0807339e-05 4.6078675e-08 2.2953759e-09 7.2942236e-11]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0020_face0.png,East Asian,Asian,Female,20-29,"[1.1093647e-03 1.3491839e-07 4.8086021e-04 9.4929993e-01 4.8814088e-02
 1.5875892e-04 1.3689983e-04]",[4.7611548e-03 3.9822169e-08 9.9484652e-01 3.9234743e-04],[4.083745e-05 9.999592e-01],"[1.75645795e-07 7.86675606e-04 3.14193100e-01 6.77289307e-01
 7.66166905e-03 6.89278677e-05 1.06292106e-07 1.09659961e-08
 3.62004704e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0021_face0.png,East Asian,Asian,Female,20-29,"[6.6575862e-04 7.0945680e-05 2.1245773e-03 7.9461575e-01 2.0128554e-01
 1.1757988e-03 6.1663777e-05]",[1.1151750e-03 2.1355620e-04 9.8941505e-01 9.2561767e-03],[0.00640121 0.9935988 ],"[7.3964941e-08 5.0053943e-05 6.7671686e-02 8.2517022e-01 1.0486281e-01
 2.2344044e-03 1.0165856e-05 6.2874818e-07 1.8967420e-08]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0022_face0.png,Indian,Asian,Female,20-29,"[1.7386375e-02 3.1548351e-04 1.5855978e-01 1.2981279e-01 1.2307032e-01
 5.1377869e-01 5.7076655e-02]",[6.75191032e-03 1.09368586e-04 9.73824501e-01 1.93141755e-02],[4.004548e-04 9.995995e-01],"[9.1594217e-08 2.0150788e-04 1.9288129e-01 7.8764904e-01 1.9155674e-02
 1.1209574e-04 2.8410670e-07 1.5983009e-08 6.0624028e-10]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0023_face0.png,East Asian,Asian,Female,20-29,"[3.5890070e-04 1.4741298e-06 1.0122685e-03 9.4508713e-01 5.3133316e-02
 3.3381567e-04 7.3061179e-05]",[7.6798303e-03 1.0655596e-05 9.9203950e-01 2.6997158e-04],[2.4550340e-05 9.9997544e-01],"[2.3297383e-07 2.5405427e-03 4.9140441e-01 5.0234896e-01 3.6928449e-03
 1.3047060e-05 1.8843480e-08 1.6181744e-09 6.3112272e-11]",0-9,female,asian
/scratch/project_462000771/mengting/projects/bias/kolors/fair_selected_faces/selected_faces/0-9/female/asian/0024_face0.png,East Asian,Asian,Female,20-29,"[2.2658610e-03 1.1165914e-04 1.1024638e-02 8.1878829e-01 1.6050588e-01
 6.5950300e-03 7.0870115e-04]",[2.6018291e-03 1.1810060e-04 9.9509996e-01 2.1800874e-03],[3.1238160e-05 9.9996877e-01],"[4.5011699e-08 1.6283494e-03 4.9205831e-01 5.0397986e-01 2.3284254e-03
 4.9964397e-06 5.0448632e-09 2.3495372e-10 7.7001851e-12]",0-9,female,asian
