face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_disgusted/disgusted_person_0000_face0.png,East Asian,Asian,Male,50-59,"[0.06572194 0.00076027 0.07942515 0.5558298  0.2777759  0.00293455
 0.01755249]",[4.7928020e-03 2.4078221e-05 9.9501187e-01 1.7125049e-04],[9.999923e-01 7.667528e-06],"[1.5466894e-05 5.5412002e-05 9.0209208e-04 2.5895559e-03 2.6572770e-02
 1.6150321e-01 5.3469670e-01 2.6379448e-01 9.8702684e-03]",1,Asian,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_disgusted/disgusted_person_0001_face0.png,White,White,Male,30-39,"[9.9065644e-01 7.7328659e-06 3.6700370e-03 2.0491697e-04 3.5291686e-04
 2.6713705e-04 4.8408750e-03]",[9.98489380e-01 1.07227584e-06 1.40085747e-03 1.08704466e-04],[1.0000000e+00 5.2706813e-08],"[4.8828468e-07 2.1204478e-05 7.7151344e-03 3.9067438e-01 5.5101931e-01
 4.9936995e-02 6.2784704e-04 4.5326556e-06 6.1996317e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_disgusted/disgusted_person_0002_face0.png,White,White,Female,20-29,"[9.4496441e-01 1.0616790e-03 4.0692698e-02 2.8725811e-03 3.1305582e-03
 6.3201919e-04 6.6459845e-03]",[0.86614484 0.00410046 0.1278128  0.00194188],[0.37092704 0.629073  ],"[3.4369918e-06 6.8589096e-04 5.5969063e-02 4.2490068e-01 3.8384902e-01
 1.0789947e-01 2.5333019e-02 1.2513151e-03 1.0813811e-04]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_disgusted/disgusted_person_0003_face0.png,White,White,Male,30-39,"[9.9958098e-01 1.3234012e-07 1.7076508e-04 7.6031606e-06 1.7193926e-05
 3.4385539e-07 2.2297078e-04]",[9.99775827e-01 1.24852786e-05 1.98387337e-04 1.33382255e-05],[9.9997318e-01 2.6810923e-05],"[2.26729053e-08 1.07257040e-06 2.87092244e-03 2.54036069e-01
 5.24917722e-01 2.07041636e-01 1.10257557e-02 1.04712264e-04
 2.07397215e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_disgusted/disgusted_person_0004_face0.png,Black,Black,Male,20-29,"[7.3106803e-06 9.9856806e-01 3.3604616e-04 4.9459817e-07 2.4690871e-05
 1.0454905e-03 1.8023828e-05]",[6.0653059e-07 9.9996990e-01 4.0839996e-06 2.5459805e-05],[9.9999434e-01 5.7028592e-06],"[2.1997981e-07 3.3413962e-05 2.2907818e-02 7.1820235e-01 2.3855926e-01
 1.9897578e-02 3.9051750e-04 8.5255506e-06 3.5497067e-07]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_disgusted/disgusted_person_0005_face0.png,Latino_Hispanic,White,Male,40-49,"[0.19864447 0.00757885 0.75480217 0.00205713 0.01338137 0.00843758
 0.0150985 ]",[0.9437703  0.01260552 0.01982373 0.02380041],[9.9999970e-01 2.9895187e-07],"[1.7990174e-06 1.5927753e-05 1.2333294e-03 1.3746966e-02 1.8175918e-01
 6.2409341e-01 1.7671290e-01 2.4193348e-03 1.7256903e-05]",1,Others,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_disgusted/disgusted_person_0006_face0.png,White,White,Male,50-59,"[9.8463655e-01 1.5759416e-04 6.8777199e-03 8.1718608e-04 1.4790037e-03
 2.1795716e-04 5.8139660e-03]",[9.9871939e-01 3.6938203e-05 9.6540881e-04 2.7827857e-04],[9.9991816e-01 8.1880193e-05],"[3.9756997e-06 2.7093320e-05 1.3296547e-03 3.0921502e-03 8.5015483e-03
 6.6223495e-02 5.4026222e-01 3.3877215e-01 4.1787609e-02]",0,White,40-59
/scratch/project_462001220/mengting/projects_771/bias/SD3/prompt2/complete_selected_faces/detected_disgusted/0007_face0.png,White,White,Male,50-59,"[5.5689830e-01 1.2578000e-03 3.8730371e-01 5.5519299e-04 2.4756149e-03
 1.5471567e-02 3.6037896e-02]",[9.9652010e-01 5.4790613e-05 1.6060191e-03 1.8190991e-03],[9.9989778e-01 1.0224457e-04],"[1.3541408e-05 4.1900610e-05 5.1353569e-04 3.1378407e-03 5.2656814e-02
 3.9378625e-01 5.2100641e-01 2.8174080e-02 6.6960248e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_disgusted/disgusted_person_0008_face0.png,Middle Eastern,White,Male,40-49,"[0.25285557 0.02135061 0.30166233 0.003946   0.01083373 0.09910348
 0.31024835]",[0.70889646 0.02521414 0.13877697 0.12711237],[9.9999911e-01 8.4182903e-07],"[7.5623063e-07 6.0578986e-07 5.5735676e-05 1.4468845e-02 3.6589640e-01
 5.5416691e-01 6.4002395e-02 1.3870480e-03 2.1224068e-05]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_disgusted/disgusted_person_0009_face0.png,Middle Eastern,White,Male,50-59,"[0.1761285  0.00228073 0.25107932 0.00519458 0.00645567 0.0089509
 0.5499103 ]",[0.9180609  0.0021505  0.05244105 0.02734757],[9.9999076e-01 9.2245300e-06],"[1.9716234e-05 3.2156597e-05 2.4465038e-04 1.1901913e-03 3.9674040e-02
 4.1266826e-01 5.2308494e-01 2.2749463e-02 3.3656211e-04]",0,Others,40-59
