face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0000_face0.png,White,White,Male,30-39,"[9.8294240e-01 1.4054940e-04 1.3303273e-02 5.7598309e-06 4.5682405e-05
 6.2516035e-04 2.9371786e-03]",[0.99033785 0.00375401 0.0016774  0.00423071],[9.9991530e-01 8.4645166e-05],"[2.0048699e-07 1.6420810e-05 3.9503206e-03 1.7552036e-01 6.2589234e-01
 1.9064960e-01 3.9416542e-03 2.8503960e-05 6.3053051e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0001_face0.png,White,White,Male,40-49,"[7.3836106e-01 6.7275025e-05 2.8831683e-02 8.5445899e-06 7.1656679e-05
 3.3926296e-03 2.2926722e-01]",[9.91990864e-01 1.07953136e-04 8.67429597e-04 7.03381374e-03],[0.9983596  0.00164039],"[3.1770011e-07 1.2406416e-06 1.9195645e-04 3.2741018e-02 4.1091800e-01
 4.8512375e-01 6.9488518e-02 1.4580925e-03 7.7048666e-05]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0002_face0.png,Latino_Hispanic,White,Male,40-49,"[2.8325275e-01 1.5621200e-02 5.0588000e-01 1.9515428e-04 1.7354706e-03
 3.4418218e-02 1.5889715e-01]",[9.1912472e-01 1.1752816e-02 6.2010397e-04 6.8502396e-02],[9.9998963e-01 1.0414486e-05],"[3.0226936e-05 1.3591464e-04 2.8703928e-03 3.0554587e-02 3.6290458e-01
 5.2204752e-01 7.9716459e-02 1.7220640e-03 1.8260285e-05]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0003_face0.png,White,White,Male,40-49,"[9.2139447e-01 3.2557957e-04 2.7612008e-02 1.5892158e-05 1.8474202e-04
 2.8688037e-03 4.7598545e-02]",[9.6021217e-01 1.4538217e-03 3.3916137e-04 3.7994858e-02],[9.9999976e-01 1.9082587e-07],"[7.5443569e-07 1.2343963e-05 1.9382973e-03 5.2012827e-02 4.2554560e-01
 4.8182890e-01 3.8185794e-02 4.7175106e-04 3.7415562e-06]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0004_face0.png,White,White,Male,30-39,"[8.6353588e-01 2.3614138e-04 7.4684665e-02 2.9497129e-05 9.9911427e-05
 4.6391860e-03 5.6774724e-02]",[9.9012923e-01 5.8859481e-05 2.6204684e-04 9.5499521e-03],[9.9999166e-01 8.3811183e-06],"[9.8396481e-07 9.3142289e-06 6.5651530e-04 1.0225298e-01 7.2644567e-01
 1.6774866e-01 2.8720663e-03 1.3613757e-05 1.7225246e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0005_face0.png,Middle Eastern,White,Male,30-39,"[3.1567150e-01 3.4550782e-03 3.0908296e-01 1.1418896e-04 1.3757076e-03
 1.9746881e-02 3.5055366e-01]",[0.92542744 0.00195114 0.00101374 0.07160769],[9.9999875e-01 1.2502027e-06],"[8.7852059e-06 1.3962845e-04 8.2697952e-03 7.9071686e-02 4.7576299e-01
 3.9579400e-01 4.0386099e-02 5.5992225e-04 7.0835299e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0006_face0.png,White,White,Male,40-49,"[7.8468871e-01 6.1947334e-04 1.3786413e-01 8.0706559e-05 2.4503240e-04
 2.9439235e-03 7.3557973e-02]",[9.8390150e-01 7.9389447e-03 3.1500912e-04 7.8445375e-03],[9.999557e-01 4.424916e-05],"[6.8803902e-06 2.1299529e-05 3.9147949e-04 1.1520806e-02 3.0216908e-01
 6.1951566e-01 6.5901279e-02 4.7025728e-04 3.3289737e-06]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0007_face0.png,White,White,Male,30-39,"[7.6254117e-01 4.8890841e-05 1.9852336e-01 6.3694862e-04 1.6802942e-03
 3.9520031e-03 3.2617234e-02]",[0.9075364  0.00120183 0.04128931 0.04997254],[9.9984896e-01 1.5104495e-04],"[1.2621618e-07 7.0056495e-07 2.7390316e-04 6.1575402e-02 6.9666451e-01
 2.3661864e-01 4.8377295e-03 2.8649996e-05 2.9136655e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0008_face0.png,White,White,Male,40-49,"[4.7836033e-01 1.3520503e-04 1.7425689e-01 3.0469941e-05 1.9923197e-04
 1.5045509e-02 3.3197242e-01]",[9.8449689e-01 2.6779535e-04 1.9333298e-04 1.5041984e-02],[9.9999845e-01 1.5199392e-06],"[1.0108745e-05 5.3126609e-05 1.1572266e-03 9.5702475e-03 2.8182551e-01
 6.5642279e-01 5.0590847e-02 3.6770225e-04 2.4329897e-06]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0009_face0.png,Latino_Hispanic,White,Male,30-39,"[2.0010279e-01 1.3062467e-02 4.4063354e-01 1.0719725e-04 8.7361719e-04
 5.0900720e-02 2.9431966e-01]",[9.8525327e-01 1.2548803e-03 1.2756803e-04 1.3364332e-02],[9.999876e-01 1.244502e-05],"[9.0548319e-06 2.6321601e-05 7.0826453e-04 4.7846839e-02 5.4973793e-01
 3.6996052e-01 3.1045252e-02 6.5006781e-04 1.5701704e-05]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0011_face0.png,Middle Eastern,White,Male,40-49,"[3.8309619e-01 6.3535833e-04 1.8478501e-01 3.5524895e-04 1.2366838e-03
 1.7817315e-02 4.1207415e-01]",[9.8433489e-01 8.0500176e-04 8.6201553e-04 1.3998076e-02],[9.9999726e-01 2.7073449e-06],"[9.4728830e-06 2.5039677e-05 7.1490783e-04 1.4480567e-02 3.0931908e-01
 5.9956503e-01 7.4430227e-02 1.4397156e-03 1.5864851e-05]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0012_face0.png,White,White,Male,30-39,"[9.8311001e-01 2.7103295e-05 6.3525094e-03 2.2027398e-06 8.7964054e-06
 5.2271393e-04 9.9766506e-03]",[9.9876904e-01 1.4388350e-04 2.6365818e-05 1.0607715e-03],[9.9954957e-01 4.5045395e-04],"[2.5239277e-07 6.1671276e-06 1.9476595e-03 2.7392399e-01 6.4074910e-01
 8.2157068e-02 1.2033981e-03 1.2023016e-05 4.1125142e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0013_face0.png,White,White,Male,30-39,"[8.9348137e-01 9.2501410e-05 5.2023672e-02 1.1376251e-05 6.3869513e-05
 1.0800216e-03 5.3247131e-02]",[9.9922544e-01 3.2061991e-05 3.1330292e-05 7.1116304e-04],[0.9989648 0.0010352],"[1.32657192e-07 1.63688969e-06 1.01079827e-03 1.43418446e-01
 6.56489372e-01 1.91925511e-01 7.04861572e-03 1.03026614e-04
 2.40972099e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0014_face0.png,White,White,Male,40-49,"[7.0493460e-01 2.8280155e-03 8.0925062e-02 1.4011104e-05 1.2993824e-04
 1.2040238e-02 1.9912808e-01]",[9.6115339e-01 3.6985779e-03 1.3554445e-04 3.5012532e-02],[9.9999952e-01 4.1766117e-07],"[7.5120661e-06 3.2684868e-05 1.1867755e-03 2.1176701e-02 2.6201439e-01
 5.6961536e-01 1.4256762e-01 3.3624400e-03 3.6476973e-05]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0015_face0.png,White,White,Male,40-49,"[7.6617390e-01 9.8751264e-04 1.2030043e-01 8.5986219e-05 7.5895578e-04
 2.8054057e-02 8.3639205e-02]",[0.525225   0.01017386 0.01076115 0.45384   ],[9.9999839e-01 1.5885181e-06],"[1.0222822e-06 3.7600971e-06 1.4812153e-04 1.2191999e-02 3.3461732e-01
 5.9358639e-01 5.8731910e-02 7.0173724e-04 1.7795903e-05]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0016_face0.png,White,White,Male,30-39,"[5.3431821e-01 1.4271311e-03 2.9417756e-01 8.2566396e-05 7.5855665e-04
 5.4237161e-02 1.1499890e-01]",[0.7454734  0.00462476 0.00130637 0.24859549],[9.9999660e-01 3.3731862e-06],"[1.8564493e-05 1.7413129e-04 1.3544400e-02 1.2340803e-01 4.8082963e-01
 3.4347060e-01 3.7496984e-02 1.0418824e-03 1.5738646e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0017_face0.png,Middle Eastern,White,Male,20-29,"[3.4507537e-01 7.6471653e-04 2.1320863e-01 5.2980500e-05 4.9460470e-04
 3.6360055e-02 4.0404359e-01]",[0.55033034 0.00480025 0.00223949 0.44263   ],[9.9999982e-01 2.0580345e-07],"[5.2384426e-06 1.6551439e-04 1.3240653e-02 5.4559678e-01 4.1801074e-01
 2.2712182e-02 2.6335759e-04 5.4768198e-06 6.8412334e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_sad/sad_person_0018_face0.png,White,White,Male,40-49,"[4.3294722e-01 6.2628677e-03 2.8639576e-01 1.0190458e-04 1.1164257e-03
 3.3298995e-02 2.3987684e-01]",[0.907762   0.00306312 0.00312467 0.08605024],[9.9999970e-01 2.8703533e-07],"[2.9587745e-06 7.1639738e-06 1.4605290e-04 2.3531818e-03 9.9966772e-02
 6.0213953e-01 2.8894326e-01 6.3858386e-03 5.5163360e-05]",0,White,40-59
