face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_fearful/fearful_person_0000_face0.png,Latino_Hispanic,Indian,Male,20-29,"[0.09770254 0.04107527 0.56279385 0.0193807  0.08932714 0.17868888
 0.01103154]",[0.16560361 0.07186164 0.3548362  0.40769863],[9.9999487e-01 5.1166367e-06],"[2.9856665e-07 7.8975264e-04 2.0534402e-01 7.7626431e-01 1.7406257e-02
 1.9371533e-04 1.4579855e-06 1.4909459e-07 7.1297275e-09]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_fearful/fearful_person_0001_face0.png,Latino_Hispanic,White,Male,20-29,"[0.17982301 0.01819174 0.41045782 0.00197807 0.00537996 0.3596298
 0.02453952]",[0.654984   0.00206395 0.05367403 0.28927803],[0.98018587 0.01981414],"[2.3660950e-06 8.6013915e-04 4.7593292e-02 7.7935380e-01 1.6619448e-01
 5.9004277e-03 8.9941452e-05 5.2043993e-06 4.1084232e-07]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_fearful/fearful_person_0002_face0.png,East Asian,Asian,Female,20-29,"[0.05672315 0.0341177  0.1994413  0.3714472  0.2663196  0.067817
 0.00413406]",[0.03740557 0.00698822 0.9015437  0.05406252],[0.0166651 0.9833349],"[2.7197818e-06 1.3858702e-03 5.3091850e-02 7.4006021e-01 1.9598195e-01
 9.2051849e-03 2.5371969e-04 1.7034989e-05 1.4817660e-06]",1,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_fearful/fearful_person_0003_face0.png,Southeast Asian,Asian,Male,20-29,"[0.02365519 0.00581652 0.03757828 0.4228595  0.49785367 0.01109421
 0.00114258]",[8.4325587e-03 2.4741382e-04 9.8740906e-01 3.9109960e-03],[9.9970585e-01 2.9415483e-04],"[1.7979958e-07 1.1152613e-05 5.8710808e-03 4.8312718e-01 4.5469517e-01
 5.3452067e-02 2.7024618e-03 1.3334471e-04 7.4037416e-06]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_fearful/fearful_person_0004_face0.png,Indian,Indian,Male,20-29,"[0.02121134 0.03681335 0.35737935 0.00207275 0.01177226 0.48885736
 0.08189361]",[0.01032491 0.00432914 0.02374295 0.96160305],[9.9996334e-01 3.6638667e-05],"[2.0872440e-06 3.2180356e-04 4.4258319e-02 5.8562315e-01 3.1706101e-01
 5.0079409e-02 2.4718302e-03 1.7397988e-04 8.3593641e-06]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_fearful/fearful_person_0005_face0.png,Middle Eastern,White,Male,30-39,"[0.28885862 0.0050842  0.311122   0.00101618 0.00299431 0.05213103
 0.33879364]",[0.8969335  0.00332931 0.04963882 0.0500985 ],[9.999995e-01 4.883450e-07],"[1.5266949e-07 8.2912557e-06 9.3342573e-04 3.4783196e-01 6.1525047e-01
 3.5771459e-02 2.0104164e-04 3.1423961e-06 4.5408679e-08]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_fearful/fearful_person_0006_face0.png,East Asian,Asian,Male,30-39,"[4.4224625e-03 3.1114131e-04 9.6439868e-03 5.7681143e-01 4.0738264e-01
 1.1796921e-03 2.4860891e-04]",[7.6723527e-03 2.6256981e-04 9.9105072e-01 1.0143365e-03],[9.9987811e-01 1.2188515e-04],"[2.0934438e-07 2.6281998e-05 5.6958604e-03 2.5471056e-01 4.4978967e-01
 2.6191336e-01 2.6176827e-02 1.6476368e-03 3.9586448e-05]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_fearful/fearful_person_0007_face0.png,White,White,Male,20-29,"[7.7345067e-01 3.9238869e-03 9.0561368e-02 3.1081709e-04 6.8889227e-04
 5.8677118e-02 7.2387300e-02]",[0.9188916  0.00614655 0.00168019 0.07328165],[9.999414e-01 5.856135e-05],"[9.2631609e-08 7.2342550e-06 2.2071663e-03 5.7314974e-01 4.0948534e-01
 1.4988840e-02 1.5746981e-04 3.9499810e-06 1.2950038e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_fearful/fearful_person_0008_face0.png,Indian,Indian,Female,20-29,"[0.0538     0.06780577 0.23529887 0.07681736 0.233671   0.3195135
 0.01309352]",[0.13215518 0.02123426 0.09557834 0.75103223],[0.10463307 0.8953669 ],"[1.08058282e-06 9.58263583e-04 9.44602787e-02 7.76399314e-01
 1.23492114e-01 4.53454209e-03 1.29500084e-04 2.06058266e-05
 4.27704572e-06]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_fearful/fearful_person_0009_face0.png,Latino_Hispanic,Asian,Female,20-29,"[0.02673464 0.00901962 0.27141646 0.253299   0.2649514  0.17112552
 0.0034534 ]",[0.25339317 0.00299402 0.56249344 0.18111938],[0.07039329 0.9296067 ],"[2.9338151e-05 9.7670540e-02 3.3632183e-01 5.3820872e-01 2.7270393e-02
 4.9495086e-04 3.8766916e-06 3.4344728e-07 2.2130017e-08]",0,Others,20-39
