face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0059_face0.png,White,White,Male,50-59,"[6.9237512e-01 3.4751065e-04 2.6273016e-02 5.2651233e-04 5.5905792e-04
 1.7434878e-03 2.7817529e-01]",[9.9838889e-01 1.2452227e-05 9.5773931e-04 6.4093882e-04],[9.999780e-01 2.199133e-05],"[1.1021869e-05 7.7213945e-06 1.0241426e-04 1.5285694e-04 2.7003598e-03
 4.8243333e-02 4.7995645e-01 4.4597924e-01 2.2846678e-02]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0147_face0.png,Black,Black,Male,20-29,"[5.3787841e-07 9.9995476e-01 2.0788952e-05 1.2016409e-07 2.9212947e-06
 1.8053815e-05 2.7872702e-06]",[7.8529001e-07 9.9997538e-01 4.7205726e-06 1.9219453e-05],[9.9999428e-01 5.7582524e-06],"[6.2539769e-08 3.8316443e-06 4.2479225e-03 4.7653052e-01 4.5943692e-01
 5.8650702e-02 1.1159485e-03 1.3194179e-05 8.2342910e-07]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0637_face0.png,White,White,Male,50-59,"[7.9764396e-01 6.3115702e-05 1.5666710e-01 5.2794634e-04 4.2556183e-04
 1.2084410e-02 3.2588080e-02]",[9.4700587e-01 2.6397995e-04 2.6171561e-04 5.2468386e-02],[9.999482e-01 5.176997e-05],"[9.3725816e-05 1.6989892e-04 1.5797020e-03 1.3473537e-03 3.0937156e-02
 3.4707135e-01 5.9033757e-01 2.8308321e-02 1.5495223e-04]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0683_face0.png,White,White,Male,50-59,"[9.8653996e-01 1.4269746e-05 1.9459733e-03 5.7042609e-05 3.4731933e-05
 9.7009368e-05 1.1310968e-02]",[9.9981844e-01 1.2698400e-05 3.4785735e-05 1.3409619e-04],[9.999529e-01 4.710678e-05],"[3.9982780e-05 1.7246357e-05 1.2382823e-04 2.2485416e-04 5.2458327e-03
 7.1810476e-02 5.8246720e-01 3.2808176e-01 1.1988720e-02]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0876_face0.png,East Asian,Asian,Male,40-49,"[1.1999204e-04 5.0999790e-07 7.7897671e-04 9.4215184e-01 5.6872010e-02
 5.8746333e-05 1.7971635e-05]",[1.6672057e-04 1.7565512e-06 9.9944103e-01 3.9051528e-04],[9.9999845e-01 1.5313249e-06],"[1.30521266e-06 2.56568001e-06 7.50580730e-05 4.94411355e-03
 2.91516393e-01 5.63833594e-01 1.34529278e-01 5.08351065e-03
 1.41335195e-05]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0073_face0.png,White,White,Male,40-49,"[9.95354474e-01 1.88964477e-05 1.54310081e-03 1.38655814e-04
 1.02753773e-04 1.05294486e-04 2.73687346e-03]",[9.9853963e-01 1.4705407e-04 9.3594153e-04 3.7738853e-04],[9.9988467e-01 1.1535399e-04],"[1.6291031e-05 8.7235050e-05 8.9229125e-04 2.1254731e-02 3.5783917e-01
 5.2151257e-01 9.6196733e-02 2.1174401e-03 8.3508254e-05]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0396_face0.png,White,White,Male,50-59,"[5.6437463e-01 1.2362217e-04 3.5401797e-01 3.1888146e-02 1.4192341e-02
 8.4795197e-03 2.6923874e-02]",[0.8468353  0.00311228 0.13182178 0.0182307 ],[9.9989325e-01 1.0679340e-04],"[1.5454676e-05 5.9890550e-05 5.9142488e-04 3.8827813e-04 2.0374814e-02
 3.5430238e-01 5.9810019e-01 2.6086424e-02 8.1120168e-05]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0202_face0.png,Middle Eastern,White,Female,50-59,"[4.4469261e-01 1.9513556e-05 2.3209130e-02 8.2103084e-05 1.7272010e-04
 1.1980793e-03 5.3062582e-01]",[9.9971908e-01 1.6312233e-05 9.4100840e-05 1.7051997e-04],[0.49143416 0.50856584],"[7.7308914e-06 1.0655602e-05 9.5127070e-05 2.9132015e-04 1.0588627e-02
 1.6973701e-01 5.9275138e-01 2.0177302e-01 2.4745096e-02]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0411_face0.png,Middle Eastern,White,Female,30-39,"[4.1854370e-01 2.1252667e-05 1.3163206e-01 7.0221755e-03 6.3373013e-03
 5.9680063e-03 4.3047556e-01]",[9.5179343e-01 9.8886339e-05 3.4142990e-02 1.3964786e-02],[1.0006457e-06 9.9999899e-01],"[1.2434555e-07 6.9415687e-06 1.6443940e-03 1.0858761e-01 4.3067035e-01
 4.2893487e-01 2.9418088e-02 7.2488893e-04 1.2780962e-05]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0814_face0.png,Middle Eastern,White,Male,30-39,"[2.0520140e-01 2.8208049e-04 7.1090668e-02 4.6328514e-05 1.0538691e-04
 1.5155183e-02 7.0811892e-01]",[9.0232486e-01 1.0983068e-02 7.2591437e-04 8.5966125e-02],[9.9983823e-01 1.6170407e-04],"[1.2717717e-06 6.4139626e-06 7.2675699e-05 8.9286193e-03 5.2087033e-01
 4.6324760e-01 6.8493183e-03 2.3516821e-05 3.4858843e-07]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0151_face0.png,Latino_Hispanic,White,Male,30-39,"[3.7480941e-01 2.9170027e-04 4.7336727e-01 6.9523640e-03 5.6343758e-03
 7.9835549e-02 5.9109371e-02]",[0.8533881  0.00464694 0.01714601 0.12481903],[9.999945e-01 5.448273e-06],"[5.38098334e-07 2.91102083e-06 8.69373034e-05 1.15291685e-01
 8.37039471e-01 4.74688746e-02 1.09113549e-04 3.77405541e-07
 3.55609409e-09]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0775_face0.png,East Asian,Asian,Male,30-39,"[3.1303626e-01 9.8356832e-05 3.1247854e-03 5.6123310e-01 1.2038484e-01
 1.5847283e-04 1.9640857e-03]",[3.9515190e-02 3.4651523e-05 9.6039677e-01 5.3399708e-05],[0.9936534  0.00634659],"[1.5420188e-05 3.8476594e-04 1.4294974e-02 2.2214262e-01 4.8755771e-01
 2.5390211e-01 2.0719631e-02 9.4341411e-04 3.9349179e-05]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0826_face0.png,White,White,Male,40-49,"[9.9365419e-01 2.5892552e-07 1.8519335e-03 1.2550659e-04 3.9575451e-05
 1.0664726e-05 4.3178271e-03]",[9.9683040e-01 7.3656192e-06 3.0359919e-03 1.2628068e-04],[9.9997079e-01 2.9220515e-05],"[3.0720475e-05 6.8582485e-05 4.2065006e-04 4.0836702e-04 5.4364923e-02
 6.2861025e-01 3.0925769e-01 6.8083094e-03 3.0553150e-05]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0043_face0.png,White,White,Male,50-59,"[9.7843766e-01 2.8871711e-06 1.7359292e-02 3.0326514e-04 1.3907132e-04
 1.0178906e-03 2.7399443e-03]",[9.8856753e-01 1.0403151e-04 2.0471944e-03 9.2812805e-03],[9.9998301e-01 1.7019554e-05],"[1.81556934e-05 2.28950248e-05 2.31727841e-04 1.19311866e-04
 3.07633472e-03 9.36652273e-02 8.25959802e-01 7.66258165e-02
 2.80754728e-04]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0380_face0.png,White,White,Female,40-49,"[4.3856370e-01 4.6837340e-05 2.0563325e-01 1.3342926e-04 5.2832469e-04
 4.1270005e-03 3.5096750e-01]",[9.9073958e-01 1.0632938e-04 9.2664629e-04 8.2274163e-03],[5.2476703e-04 9.9947524e-01],"[1.90598470e-07 2.49718187e-06 4.85135912e-04 1.92041285e-02
 3.63907158e-01 5.12360096e-01 1.00939505e-01 3.07551073e-03
 2.57373376e-05]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0133_face0.png,White,White,Male,40-49,"[0.6275452  0.00064755 0.1883655  0.00213135 0.00380532 0.02258724
 0.1549179 ]",[0.9284264  0.00397917 0.01230578 0.05528869],[9.9995148e-01 4.8499085e-05],"[4.5788379e-06 1.9405741e-05 8.1666053e-04 2.8729308e-02 4.7005978e-01
 4.7123691e-01 2.8862754e-02 2.6744124e-04 3.1833708e-06]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0596_face0.png,White,White,Male,40-49,"[9.82843339e-01 3.35063814e-05 3.56462714e-03 1.16247036e-04
 2.32661769e-04 3.70254595e-04 1.28392875e-02]",[9.9831682e-01 1.4602576e-05 1.7834269e-04 1.4902597e-03],[0.994829   0.00517101],"[1.3473051e-05 8.1930128e-05 6.8342825e-04 1.4452627e-02 3.2503831e-01
 6.1160618e-01 4.7428034e-02 6.6088646e-04 3.5215890e-05]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0605_face0.png,White,White,Male,50-59,"[9.7407955e-01 4.4640921e-05 9.9315513e-03 5.7740221e-03 1.3440932e-03
 2.1098062e-04 8.6150486e-03]",[9.7505116e-01 9.9277808e-05 2.4272222e-02 5.7733484e-04],[9.9999851e-01 1.5411689e-06],"[6.5620770e-05 1.4321409e-05 3.7622922e-05 2.6183330e-05 9.1899303e-04
 3.0553170e-02 5.9996021e-01 3.6583623e-01 2.5876439e-03]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0537_face0.png,East Asian,Asian,Male,40-49,"[4.7062931e-04 1.1500953e-05 1.5378541e-02 7.8807169e-01 1.9585662e-01
 1.6848432e-04 4.2544252e-05]",[1.2326537e-03 1.2538371e-04 9.9431890e-01 4.3230667e-03],[9.9999946e-01 5.7311360e-07],"[5.5308686e-07 1.6793585e-06 9.5013696e-05 5.7556755e-03 2.2685434e-01
 6.1731184e-01 1.4630465e-01 3.6687080e-03 7.5749895e-06]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0373_face0.png,White,White,Male,40-49,"[9.9976045e-01 3.2345035e-08 4.7241316e-05 3.9280727e-07 6.9686291e-07
 1.3135054e-06 1.8978695e-04]",[9.9997801e-01 1.2943331e-06 5.5944911e-06 1.5069385e-05],[0.958405 0.041595],"[1.0280374e-06 1.1909703e-04 3.9041962e-02 2.0734987e-01 3.6017385e-01
 3.7738177e-01 1.5749101e-02 1.7883808e-04 4.4513686e-06]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0303_face0.png,White,White,Male,50-59,"[9.9776131e-01 1.5458874e-06 1.1461402e-03 8.2198370e-05 5.2102423e-05
 5.0958432e-05 9.0583670e-04]",[9.9948454e-01 1.6556873e-05 2.4046560e-04 2.5834620e-04],[0.9976751  0.00232483],"[9.3893204e-06 2.8250537e-05 8.2081259e-04 1.2686038e-03 2.3814518e-02
 3.2362834e-01 6.0709643e-01 4.2586047e-02 7.4762129e-04]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0973_face0.png,Latino_Hispanic,White,Male,40-49,"[1.6980936e-01 4.9064029e-04 7.9721653e-01 1.2922305e-02 5.8718491e-03
 4.5829434e-03 9.1064014e-03]",[0.93961424 0.00171504 0.02644427 0.03222644],[9.999922e-01 7.795697e-06],"[1.4008291e-05 2.1372962e-05 7.6895807e-04 2.3736907e-03 8.5682556e-02
 4.8441815e-01 4.1360077e-01 1.3071547e-02 4.8948372e-05]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0046_face0.png,East Asian,Asian,Female,30-39,"[4.2911727e-04 2.3214416e-05 5.8949748e-03 6.7666757e-01 3.1590387e-01
 1.0026299e-03 7.8620251e-05]",[4.2770180e-04 1.9846138e-04 9.9896413e-01 4.0968318e-04],[0.00853146 0.99146855],"[9.3273839e-06 2.5056009e-04 7.2455932e-03 1.4624119e-01 5.4602075e-01
 2.7600029e-01 2.2738824e-02 1.4680936e-03 2.5410047e-05]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0060_face0.png,White,White,Male,30-39,"[8.5845923e-01 3.5376001e-05 5.8652110e-02 1.7366078e-03 1.4935903e-03
 4.5784580e-04 7.9165243e-02]",[9.9868238e-01 1.9414003e-04 6.9864822e-04 4.2475198e-04],[9.9968791e-01 3.1212682e-04],"[1.28653855e-05 2.94447091e-04 6.97680656e-03 3.77416573e-02
 4.67310756e-01 4.62199450e-01 2.50956602e-02 3.64035339e-04
 4.31245189e-06]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0761_face0.png,Latino_Hispanic,Indian,Female,20-29,"[9.4083115e-02 1.9280931e-04 6.2855041e-01 1.0017998e-01 4.8686415e-02
 1.1125062e-01 1.7056542e-02]",[0.36292315 0.01426597 0.25436312 0.36844778],[1.4242783e-05 9.9998575e-01],"[3.7212182e-08 8.9421783e-06 8.2396064e-03 4.8667893e-01 4.7214529e-01
 3.2341480e-02 5.7466538e-04 1.1101303e-05 3.9896470e-08]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0230_face0.png,White,White,Male,30-39,"[8.4370786e-01 1.0390432e-04 2.6423059e-02 6.5514898e-05 1.3683514e-04
 3.3201962e-03 1.2624264e-01]",[0.73956525 0.00103571 0.00116332 0.25823572],[9.999701e-01 2.987821e-05],"[4.2696138e-07 7.6213323e-06 5.1739067e-04 9.9909998e-02 7.4678278e-01
 1.5122460e-01 1.5485345e-03 8.4473832e-06 2.1566356e-07]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0659_face0.png,White,White,Male,30-39,"[9.3627346e-01 4.2532640e-05 1.5328123e-02 6.5063359e-05 1.8514418e-04
 5.0659361e-04 4.7599170e-02]",[9.9689382e-01 7.9153579e-05 1.4595535e-04 2.8810883e-03],[9.9981141e-01 1.8858146e-04],"[1.7708184e-07 6.8428258e-06 1.6609067e-03 2.7321526e-01 6.5538836e-01
 6.9287412e-02 4.3802639e-04 2.9973726e-06 1.0722421e-07]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0363_face0.png,East Asian,Asian,Male,30-39,"[6.0056336e-04 3.8144532e-05 1.8861646e-02 5.2021551e-01 4.5984447e-01
 4.0317094e-04 3.6475514e-05]",[2.7836147e-03 2.3272903e-04 9.9525017e-01 1.7334386e-03],[9.9996573e-01 3.4294775e-05],"[5.6087760e-08 2.0641805e-06 2.8956081e-03 3.1773016e-01 6.3324845e-01
 4.5221817e-02 8.9246203e-04 9.2676773e-06 5.9766869e-08]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0134_face0.png,East Asian,Asian,Male,50-59,"[9.1109995e-04 3.2675001e-05 3.8461746e-03 9.2918670e-01 6.5905303e-02
 7.3681673e-05 4.4474189e-05]",[7.9299938e-03 3.6885485e-05 9.9180478e-01 2.2830525e-04],[9.9993616e-01 6.3852938e-05],"[1.2448014e-06 4.0947989e-06 5.7746471e-05 4.4708507e-04 2.6787568e-02
 3.2039735e-01 5.8039016e-01 7.1226485e-02 6.8829110e-04]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0305_face0.png,White,White,Male,40-49,"[9.4403028e-01 1.4737323e-04 7.9490496e-03 1.8945402e-04 2.4599506e-04
 8.6656591e-04 4.6571344e-02]",[9.9171185e-01 5.0419191e-04 9.7708486e-04 6.8068998e-03],[0.99856454 0.00143548],"[1.26915884e-05 7.34886344e-05 2.48252973e-03 2.27388572e-02
 1.88966587e-01 4.90734190e-01 2.82392323e-01 1.20749585e-02
 5.24480303e-04]"
/scratch/project_462000771/mengting/projects/bias/Wan2.1/chinese_prompt/selected_faces/detected_person/person_0350_face0.png,East Asian,Asian,Male,30-39,"[4.2412419e-05 5.6712935e-07 6.8877829e-04 9.3481159e-01 6.4323664e-02
 1.1699915e-04 1.5977135e-05]",[3.5746856e-05 2.6516730e-06 9.9914366e-01 8.1786799e-04],[9.9999714e-01 2.8370112e-06],"[3.3462500e-06 6.9248024e-05 1.5721762e-03 5.1017702e-02 6.7034388e-01
 2.6434225e-01 1.2182036e-02 4.6727891e-04 2.1430117e-06]"
