face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0000_face0.png,White,White,Male,20-29,"[8.04154217e-01 1.07739506e-04 1.40484959e-01 1.66418176e-04
 6.42746454e-04 1.11505054e-02 4.32933383e-02]",[9.9958014e-01 1.6767790e-06 5.1123243e-05 3.6700716e-04],[9.9999934e-01 6.5843346e-07],"[4.8155258e-08 4.1704566e-06 1.7372261e-03 5.8569837e-01 4.0539086e-01
 7.1517495e-03 1.7396558e-05 1.9519105e-07 3.4948318e-09]",White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0001_face0.png,East Asian,Asian,Female,20-29,"[7.30664877e-04 4.92067443e-07 2.54852721e-03 8.95463347e-01
 1.00120634e-01 9.50956484e-04 1.85441473e-04]",[2.0200402e-02 3.3163535e-06 9.6479750e-01 1.4998824e-02],[0.00440629 0.9955937 ],"[2.7666186e-08 2.8436516e-05 4.3529600e-02 8.0616790e-01 1.4714538e-01
 3.1053964e-03 2.1889538e-05 1.4193487e-06 1.9984645e-08]",Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0002_face0.png,White,Asian,Male,30-39,"[5.6196320e-01 1.6835920e-04 2.6723740e-01 8.2167722e-03 1.8958507e-02
 1.7881013e-02 1.2557478e-01]",[4.096934e-01 7.315829e-05 4.997465e-01 9.048701e-02],[0.9959537  0.00404632],"[7.5444717e-07 1.5829704e-05 8.1537096e-03 4.1336912e-01 5.3408468e-01
 4.3549482e-02 8.0667762e-04 1.9205470e-05 5.5790053e-07]",White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0003_face0.png,East Asian,Asian,Female,20-29,"[1.4453632e-04 1.5707610e-07 4.8481883e-04 8.9426678e-01 1.0501339e-01
 8.0094702e-05 1.0183547e-05]",[2.1444632e-04 5.0232495e-07 9.9931335e-01 4.7175385e-04],[0.10972357 0.89027643],"[4.5903885e-08 3.6635622e-05 1.1297053e-01 8.4106797e-01 4.5428485e-02
 4.9398968e-04 2.1376516e-06 2.0674712e-07 2.7576494e-09]",Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0004_face0.png,White,White,Male,20-29,"[8.4392846e-01 3.4085385e-04 1.1067507e-01 2.3157887e-04 4.4249490e-04
 4.4106282e-03 3.9970800e-02]",[9.9029630e-01 1.2076869e-05 4.7868764e-04 9.2129614e-03],[9.999982e-01 1.841374e-06],"[1.0295772e-08 4.8309511e-07 1.6237458e-03 6.0883856e-01 3.8399789e-01
 5.5218134e-03 1.7293001e-05 1.8365341e-07 2.6702767e-09]",White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0005_face0.png,Southeast Asian,Asian,Female,40-49,"[1.2057635e-03 3.7567424e-05 2.1995137e-02 3.2863894e-01 6.4297634e-01
 4.7014640e-03 4.4475149e-04]",[1.2600505e-03 1.1680167e-05 9.9070990e-01 8.0184042e-03],[0.0200746 0.9799254],"[3.2491541e-06 4.1132273e-05 1.1228254e-03 1.3893831e-02 1.3076469e-01
 4.0034342e-01 3.4795681e-01 1.0000976e-01 5.8643050e-03]",Asian,40-59
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0006_face0.png,East Asian,Asian,Female,30-39,"[1.3244550e-03 6.8580425e-06 3.3724099e-02 5.5432957e-01 4.0420371e-01
 5.9844353e-03 4.2682668e-04]",[1.9969200e-04 2.6285638e-06 9.9830478e-01 1.4928330e-03],[0.00825359 0.9917464 ],"[6.9791349e-07 3.2550270e-05 3.5720086e-03 1.1450525e-01 5.6821901e-01
 2.8054485e-01 3.0430065e-02 2.6695123e-03 2.6051668e-05]",Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0007_face0.png,East Asian,Asian,Female,30-39,"[1.8040597e-03 2.6729422e-06 1.1395559e-02 7.8324193e-01 2.0275636e-01
 5.0011533e-04 2.9924902e-04]",[4.9819574e-02 3.3655724e-06 9.4833446e-01 1.8426481e-03],[0.0986573 0.9013427],"[6.4578010e-08 6.3158991e-06 4.9674949e-03 3.3166867e-01 5.9757453e-01
 6.3763723e-02 1.9363596e-03 8.2120372e-05 7.3201983e-07]",Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0008_face0.png,Southeast Asian,Asian,Female,10-19,"[7.5710827e-04 1.2027866e-05 3.1097781e-02 3.3397421e-01 6.0304582e-01
 3.0979078e-02 1.3383696e-04]",[1.093396e-03 4.203372e-05 9.016350e-01 9.722965e-02],[3.0865558e-04 9.9969131e-01],"[2.5217912e-07 1.5173004e-02 7.2499430e-01 2.5773248e-01 2.0902841e-03
 9.6558697e-06 2.1564130e-08 2.0021109e-09 5.6152031e-11]",Asian,10-19
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0009_face0.png,White,White,Male,20-29,"[3.4109712e-01 2.2547189e-03 3.0231202e-01 1.3803031e-04 6.9227134e-04
 2.7635043e-02 3.2587087e-01]",[9.6427017e-01 6.8297843e-04 1.9111253e-03 3.3135720e-02],[9.9999863e-01 1.3077268e-06],"[2.7128362e-07 1.2811863e-05 1.7378876e-03 5.6249601e-01 4.2742333e-01
 8.3098933e-03 1.9556464e-05 1.9340456e-07 3.1698004e-09]",White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0010_face0.png,Indian,Indian,Male,30-39,"[4.5989648e-02 2.0519357e-02 3.2264173e-01 4.4458553e-05 1.0156693e-03
 3.5538965e-01 2.5439957e-01]",[0.26623222 0.00871326 0.00862695 0.71642756],[9.999908e-01 9.158700e-06],"[8.2096375e-07 2.9006103e-05 2.7656821e-03 2.2882625e-01 6.6786027e-01
 9.8840676e-02 1.6555726e-03 2.1316977e-05 5.0105024e-07]",Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0011_face0.png,Southeast Asian,Asian,Female,20-29,"[6.3977594e-04 2.7425096e-05 1.0072472e-02 4.2534220e-01 5.4487813e-01
 1.8896554e-02 1.4340293e-04]",[4.5815506e-03 4.3735683e-05 8.7192619e-01 1.2344845e-01],[0.02084722 0.97915274],"[3.9866680e-07 5.0630595e-04 1.3111779e-01 8.1553382e-01 5.1997356e-02
 8.3893485e-04 5.0075387e-06 4.2129491e-07 1.2103344e-08]",Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0012_face0.png,Southeast Asian,Asian,Female,20-29,"[2.3410790e-02 4.6021532e-06 2.1587905e-01 3.6482802e-01 3.7949073e-01
 1.2228850e-02 4.1578589e-03]",[2.6550514e-03 3.8823623e-06 9.8827803e-01 9.0630911e-03],[0.0092797 0.9907203],"[1.5205897e-07 2.7195775e-04 1.8898091e-01 6.4549154e-01 1.5960851e-01
 5.5724066e-03 7.0274415e-05 4.1476083e-06 8.7770623e-08]",Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0013_face0.png,East Asian,Asian,Female,20-29,"[3.5179688e-03 1.1051419e-06 1.2335724e-02 7.7366495e-01 2.0936519e-01
 9.6476369e-04 1.5024966e-04]",[1.7167658e-03 1.6898942e-06 9.9657148e-01 1.7101169e-03],[0.1501805 0.8498195],"[2.92236876e-07 1.37831341e-03 2.92105287e-01 6.89141393e-01
 1.72593128e-02 1.15067494e-04 2.94308791e-07 1.76695778e-08
 3.99741656e-10]",Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0014_face0.png,White,White,Male,20-29,"[4.2264742e-01 2.4068879e-03 3.4188086e-01 2.9404011e-05 2.2984092e-04
 3.6949892e-02 1.9585574e-01]",[0.9550132  0.00454785 0.00137317 0.03906581],[0.994056   0.00594397],"[2.92631086e-07 7.00196615e-05 1.51194325e-02 7.99557507e-01
 1.83586642e-01 1.66095165e-03 5.08993526e-06 1.08855794e-07
 4.42550929e-09]",White,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0015_face0.png,Latino_Hispanic,Indian,Male,20-29,"[0.07038885 0.00427585 0.44595686 0.00118805 0.00658336 0.14926939
 0.32233763]",[0.41729915 0.00091118 0.01220442 0.56958526],[9.9999762e-01 2.3689586e-06],"[4.8027545e-07 4.1187373e-05 1.1873163e-02 7.1466768e-01 2.6872140e-01
 4.6794722e-03 1.6316952e-05 2.5906130e-07 5.4275247e-09]",Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0016_face0.png,Latino_Hispanic,Indian,Male,20-29,"[1.8877865e-01 3.4425955e-03 5.0998741e-01 8.6489024e-05 5.9801177e-04
 6.6889390e-02 2.3021738e-01]",[0.49337474 0.00087168 0.00215972 0.50359386],[9.9999988e-01 1.4300721e-07],"[7.6085671e-09 1.0814337e-06 4.4506979e-03 8.5231519e-01 1.4247338e-01
 7.5845659e-04 1.0994180e-06 1.4273657e-08 1.8198244e-10]",Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0017_face0.png,Middle Eastern,Indian,Male,20-29,"[1.3872802e-01 9.5757190e-03 2.0865853e-01 6.8835216e-05 4.5112520e-04
 5.8722410e-02 5.8379531e-01]",[0.40484154 0.03285854 0.00252492 0.559775  ],[9.9998212e-01 1.7865717e-05],"[8.7657622e-07 8.0334663e-05 3.2118075e-03 5.6896186e-01 4.1879982e-01
 8.9228451e-03 2.2150978e-05 3.1558395e-07 8.1199492e-09]",Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0018_face0.png,East Asian,Asian,Female,20-29,"[2.1163873e-02 4.8357115e-06 8.4072404e-02 5.9286708e-01 2.6597607e-01
 3.0897057e-02 5.0187237e-03]",[1.1485143e-02 2.9096534e-06 8.6213326e-01 1.2637864e-01],[0.03038836 0.96961164],"[9.5459614e-09 9.6397935e-06 5.3567898e-02 8.2258993e-01 1.2167949e-01
 2.1416773e-03 1.0936157e-05 3.5867959e-07 4.0080472e-09]",Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0019_face0.png,Southeast Asian,Asian,Female,30-39,"[0.00485917 0.00439685 0.32251123 0.08816638 0.3844928  0.19214216
 0.00343145]",[3.9802043e-04 1.1564165e-03 8.4091449e-01 1.5753110e-01],[0.01426899 0.985731  ],"[1.5153819e-06 6.3164829e-05 8.1127249e-03 1.2484331e-01 4.2953122e-01
 3.2982463e-01 9.0122826e-02 1.6909091e-02 5.9144758e-04]",Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0020_face0.png,Southeast Asian,Asian,Male,30-39,"[0.0056915  0.00069184 0.20843604 0.20943134 0.56073606 0.01356073
 0.00145247]",[1.6364310e-02 3.3702888e-04 9.2391360e-01 5.9385106e-02],[9.9999708e-01 2.9289424e-06],"[7.81141182e-07 8.58424028e-06 1.30957027e-03 2.04689175e-01
 6.67071700e-01 1.23975016e-01 2.89330515e-03 5.11991384e-05
 6.54515304e-07]",Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0021_face0.png,East Asian,Asian,Female,30-39,"[5.7159034e-03 8.9094965e-06 1.9736396e-02 6.2636870e-01 3.4618080e-01
 1.2268411e-03 7.6247886e-04]",[1.4445521e-02 1.5696971e-06 9.8450357e-01 1.0492592e-03],[0.11757374 0.8824263 ],"[6.8677383e-07 1.8692475e-05 4.7886786e-03 2.3827286e-01 5.6196892e-01
 1.7651232e-01 1.6963946e-02 1.4491717e-03 2.4663397e-05]",Asian,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0022_face0.png,Latino_Hispanic,Indian,Male,20-29,"[5.6876015e-02 7.3096212e-03 6.9465703e-01 1.7496648e-04 1.2929995e-03
 3.0049369e-02 2.0964000e-01]",[0.14851354 0.00868461 0.00761715 0.83518463],[9.9999952e-01 4.7678918e-07],"[1.6154043e-07 1.5076263e-05 3.8736423e-03 6.5586275e-01 3.3493209e-01
 5.3048697e-03 1.1287077e-05 1.1025075e-07 1.4270309e-09]",Others,20-39
/scratch/project_462000771/mengting/projects/bias/hunyuan/prompt2/selected_faces/detected_unhappy/unhappy_person_0023_face0.png,East Asian,Asian,Female,20-29,"[1.4432435e-03 2.5426527e-06 2.7999242e-03 8.4332693e-01 1.5204196e-01
 2.0671981e-04 1.7868185e-04]",[3.0859176e-03 2.0714949e-06 9.9676728e-01 1.4469524e-04],[0.04848053 0.9515195 ],"[1.2606781e-06 2.6730252e-03 4.6076551e-01 5.2373999e-01 1.2552240e-02
 2.6248419e-04 4.3930600e-06 9.7355053e-07 6.6802919e-08]",Asian,20-39
