face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_surprised/surprised_person_0000_face0.png,White,White,Male,30-39,"[4.9905720e-01 1.6826364e-04 1.4980628e-01 1.7414562e-04 3.9401717e-04
 1.3623894e-02 3.3677617e-01]",[9.4191831e-01 3.7063414e-04 5.4277088e-03 5.2283384e-02],[9.9999934e-01 6.4324735e-07],"[1.9098213e-08 4.0642323e-07 4.6477510e-04 4.0051651e-01 5.7916623e-01
 1.9784559e-02 6.7064429e-05 4.8059468e-07 6.7057524e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_surprised/surprised_person_0001_face0.png,Middle Eastern,White,Male,30-39,"[4.3010816e-01 1.2454853e-04 4.5567922e-02 1.0871741e-04 1.9551288e-04
 3.2356305e-03 5.2065951e-01]",[0.9366191  0.0011055  0.00253164 0.05974381],[9.9999917e-01 8.0832888e-07],"[5.4208716e-08 1.8829745e-06 7.5015688e-04 4.3104970e-01 5.5503041e-01
 1.3132036e-02 3.5455821e-05 3.4427021e-07 5.3987721e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_surprised/surprised_person_0002_face0.png,Middle Eastern,Indian,Male,30-39,"[2.2392398e-01 1.3958325e-03 3.0644757e-01 1.8973845e-04 5.0265307e-04
 1.5253986e-01 3.1500033e-01]",[0.3045128  0.00317452 0.00772127 0.6845914 ],[9.9999863e-01 1.3739696e-06],"[6.9935972e-08 6.6831416e-07 2.0583918e-04 2.1021512e-01 7.3760688e-01
 5.1628146e-02 3.4107963e-04 2.1556850e-06 3.0049154e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_surprised/surprised_person_0003_face0.png,White,White,Male,30-39,"[9.72399592e-01 3.36487603e-04 1.49877425e-02 5.14026091e-04
 8.16703017e-04 1.94822822e-03 8.99724290e-03]",[0.95106214 0.00152259 0.00891056 0.03850469],[9.999921e-01 7.908852e-06],"[4.9460716e-08 8.7529611e-07 8.0190680e-04 3.4013373e-01 5.8500326e-01
 7.2644100e-02 1.3984939e-03 1.7031653e-05 5.8898195e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_surprised/surprised_person_0004_face0.png,Black,Black,Male,20-29,"[1.2843189e-04 9.8820341e-01 2.2660922e-03 1.6345637e-05 5.3405546e-04
 8.8164667e-03 3.5194807e-05]",[0.01556716 0.84422606 0.01590444 0.12430231],[9.9980915e-01 1.9085036e-04],"[8.7747267e-08 6.4720871e-06 4.8850733e-03 5.2988076e-01 4.4592804e-01
 1.8954288e-02 3.3834417e-04 6.3641469e-06 5.1936331e-07]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_surprised/surprised_person_0005_face0.png,Middle Eastern,White,Male,20-29,"[0.19221602 0.00057495 0.2629816  0.00072267 0.00199326 0.02470595
 0.5168055 ]",[0.6891666  0.00201291 0.06358398 0.24523649],[9.9999994e-01 4.5972872e-08],"[2.2000348e-08 3.3538515e-07 4.5114348e-04 5.1238263e-01 4.7624704e-01
 1.0880775e-02 3.7697977e-05 4.0118988e-07 4.7926565e-09]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_surprised/surprised_person_0006_face0.png,White,White,Male,30-39,"[8.3067971e-01 6.4870220e-04 9.4245531e-02 2.2483553e-04 5.6188722e-04
 1.6421853e-02 5.7217441e-02]",[0.9107922  0.00114763 0.01543353 0.07262672],[9.999999e-01 5.038368e-08],"[1.9992423e-07 3.8805788e-06 2.4596995e-03 4.3927714e-01 5.2949071e-01
 2.8494304e-02 2.7150279e-04 2.4849278e-06 2.6408335e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_surprised/surprised_person_0007_face0.png,Middle Eastern,Indian,Male,30-39,"[7.1549378e-02 3.6954050e-04 1.3924640e-01 1.6180983e-04 5.4879824e-04
 4.9305171e-02 7.3881894e-01]",[0.34815443 0.00609746 0.0187513  0.6269968 ],[1.0000000e+00 2.7612852e-08],"[7.3409900e-08 2.5133363e-06 3.5320851e-04 4.2751834e-01 5.6171089e-01
 1.0397805e-02 1.7054110e-05 1.4718520e-07 1.5857914e-09]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_surprised/surprised_person_0008_face0.png,White,White,Male,30-39,"[7.8071356e-01 4.1069926e-04 4.7882613e-02 2.7443736e-04 3.8824196e-04
 9.1836983e-03 1.6114667e-01]",[0.6937513  0.02516607 0.00953109 0.27155146],[9.9999809e-01 1.8889497e-06],"[1.2873423e-07 1.2840287e-06 5.1364634e-04 4.8050600e-01 5.0332016e-01
 1.5561447e-02 9.5636402e-05 1.5895085e-06 4.1681751e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Qwen/prompt2/selected_faces/detected_surprised/surprised_person_0009_face0.png,Latino_Hispanic,Indian,Male,20-29,"[0.11116895 0.00126633 0.40187195 0.00051068 0.00162407 0.1376803
 0.3458777 ]",[0.39401639 0.00282364 0.01345362 0.5897064 ],[9.999964e-01 3.566766e-06],"[1.6306481e-08 8.3421094e-07 9.5061236e-04 6.8288720e-01 3.1330675e-01
 2.8498946e-03 4.5576789e-06 5.9052837e-08 1.1332042e-09]",1,Others,20-39
