face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_fearful/fearful_person_0000_face0.png,White,White,Male,30-39,"[9.6284771e-01 2.0703681e-04 2.6755616e-02 1.3741960e-05 4.4513403e-05
 7.1764231e-04 9.4137583e-03]",[9.9841726e-01 1.5053434e-04 2.0852766e-04 1.2236001e-03],[0.9132813  0.08671866],"[3.1123218e-07 4.8550073e-06 1.3708420e-03 1.7999977e-01 6.2901253e-01
 1.7779101e-01 1.1625765e-02 1.9007617e-04 4.7566464e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_fearful/fearful_person_0001_face0.png,White,White,Male,30-39,"[7.9244900e-01 1.3769759e-04 1.6066967e-01 5.4228607e-05 2.8109571e-04
 4.7901212e-03 4.1618168e-02]",[9.9830872e-01 8.5982902e-06 3.1792189e-04 1.3647389e-03],[0.9920919  0.00790815],"[1.6139685e-07 2.5775446e-06 2.6242810e-03 3.3208641e-01 5.7301009e-01
 8.9520290e-02 2.7138176e-03 4.1565749e-05 8.5322847e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_fearful/fearful_person_0002_face0.png,White,White,Male,30-39,"[9.7876477e-01 1.3319793e-04 1.2645814e-02 8.3024297e-06 2.0935971e-05
 4.6179572e-04 7.9651847e-03]",[9.7235411e-01 5.7344337e-04 5.3706282e-04 2.6535328e-02],[0.9925765  0.00742355],"[2.5505644e-06 1.2591564e-05 1.2853497e-03 7.6896563e-02 4.5382085e-01
 4.1292292e-01 5.4016028e-02 1.0169800e-03 2.6126498e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_fearful/fearful_person_0003_face0.png,White,White,Male,30-39,"[9.9409562e-01 7.1176732e-06 2.3965132e-03 1.8768924e-06 7.4622676e-06
 1.9673286e-04 3.2946165e-03]",[9.9891645e-01 2.1700069e-05 2.1772841e-05 1.0401346e-03],[9.9977648e-01 2.2351257e-04],"[8.4500061e-07 2.2863502e-05 7.3214271e-03 3.2157379e-01 4.7464934e-01
 1.8912739e-01 7.2244103e-03 7.8147510e-05 1.7100992e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_fearful/fearful_person_0004_face0.png,White,White,Male,30-39,"[7.8857142e-01 2.5147474e-03 1.5536141e-01 6.8013462e-05 3.8805034e-04
 8.6540394e-03 4.4442378e-02]",[9.2379814e-01 4.9436800e-03 4.2764048e-04 7.0830502e-02],[9.999949e-01 5.098818e-06],"[4.7791159e-06 5.3974436e-05 3.1451427e-03 1.6056268e-01 6.1491925e-01
 2.0780316e-01 1.3309665e-02 1.9827022e-04 3.1431857e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_fearful/fearful_person_0005_face0.png,White,White,Male,30-39,"[9.0331131e-01 2.2655691e-04 3.0551931e-02 5.3841140e-06 7.5848409e-05
 6.9686212e-04 6.5132186e-02]",[9.8717952e-01 6.7140943e-05 5.8703179e-05 1.2694646e-02],[9.999948e-01 5.213342e-06],"[1.60883829e-07 1.14035265e-05 8.62374436e-03 3.27749431e-01
 5.79680741e-01 8.23437721e-02 1.57348695e-03 1.71307238e-05
 1.88462650e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_fearful/fearful_person_0006_face0.png,White,White,Male,30-39,"[9.9735081e-01 7.1586678e-06 6.2735478e-04 1.6401855e-06 1.3932362e-05
 8.3074694e-05 1.9160359e-03]",[9.9829143e-01 3.6625997e-06 1.4373139e-04 1.5611128e-03],[9.9999994e-01 6.3560542e-08],"[7.1150289e-08 2.4878282e-06 5.3855561e-04 8.1191950e-02 6.1700463e-01
 2.9110923e-01 1.0079066e-02 7.3312447e-05 7.0268175e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_fearful/fearful_person_0007_face0.png,White,White,Male,30-39,"[9.9827164e-01 2.7526042e-07 2.6306405e-04 3.4443519e-07 1.9091678e-06
 3.6372618e-05 1.4263039e-03]",[9.9923682e-01 1.7492858e-06 1.8056962e-05 7.4339082e-04],[9.9999827e-01 1.7477113e-06],"[2.0168207e-07 8.8287925e-06 3.3301355e-03 3.1595722e-01 5.3371352e-01
 1.4388013e-01 3.0850107e-03 2.4290539e-05 5.4749677e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_fearful/fearful_person_0008_face0.png,White,White,Male,40-49,"[9.8745406e-01 6.5616987e-05 7.1746786e-03 2.2650809e-06 1.4184266e-05
 5.0814310e-04 4.7810464e-03]",[9.5296800e-01 3.6681228e-04 9.8089229e-05 4.6567097e-02],[9.999979e-01 2.041555e-06],"[1.9856598e-07 1.1429279e-06 1.1787995e-04 5.8316770e-03 1.6133212e-01
 6.2575668e-01 2.0529835e-01 1.6499874e-03 1.1893758e-05]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_fearful/fearful_person_0009_face0.png,White,White,Male,30-39,"[7.76113391e-01 1.43327241e-04 4.99546379e-02 1.31657334e-05
 1.20811215e-04 8.68167914e-03 1.64973065e-01]",[9.7738522e-01 3.3565695e-05 1.1161162e-04 2.2469547e-02],[9.9999934e-01 5.9860008e-07],"[4.4760504e-06 8.9218217e-04 3.7774555e-02 4.2903683e-01 4.8056713e-01
 5.1244508e-02 4.7621195e-04 4.0713880e-06 6.0032392e-08]",0,White,20-39
