face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_fearful/fearful_person_0000_face0.png,White,White,Male,40-49,"[9.7649771e-01 9.2264700e-06 3.3129256e-03 5.7308156e-05 2.8400694e-04
 5.7810394e-04 1.9260759e-02]",[9.9203020e-01 8.1113627e-05 5.1633776e-03 2.7252689e-03],[9.9998277e-01 1.7177183e-05],"[2.3525847e-07 2.6655625e-06 6.3731399e-04 2.2874903e-02 2.6355967e-01
 6.5390974e-01 5.8460366e-02 5.4296339e-04 1.2144356e-05]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_fearful/fearful_person_0001_face0.png,White,White,Male,40-49,"[9.9195713e-01 4.3451433e-05 4.5765270e-03 2.9928304e-04 1.0796286e-03
 5.4709305e-04 1.4969485e-03]",[9.9871171e-01 9.3710532e-06 1.1109172e-03 1.6805017e-04],[0.94339514 0.05660487],"[4.8040397e-06 1.5958160e-04 3.6890528e-03 5.3060561e-02 2.5014338e-01
 4.2692387e-01 2.4917606e-01 1.4580406e-02 2.2622938e-03]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_fearful/fearful_person_0002_face0.png,White,White,Male,40-49,"[9.9833626e-01 9.7228030e-07 5.3727464e-04 1.6559847e-05 3.5796791e-05
 4.6875979e-05 1.0262089e-03]",[9.9985051e-01 1.8312977e-06 4.4585879e-05 1.0311127e-04],[0.9984704  0.00152958],"[7.3972378e-06 5.8367328e-05 9.7998348e-04 2.4752629e-03 4.3752730e-02
 5.9704840e-01 3.5004988e-01 5.4411748e-03 1.8675966e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_fearful/fearful_person_0003_face0.png,Middle Eastern,White,Male,50-59,"[2.2430362e-01 6.1603971e-03 8.2346112e-02 1.0911819e-04 4.9486436e-04
 2.9549226e-02 6.5703666e-01]",[9.7690815e-01 1.7836961e-03 4.6131643e-04 2.0846931e-02],[0.97625846 0.02374157],"[2.0416112e-04 5.4827234e-04 1.8304491e-03 5.9626303e-03 6.7488097e-02
 3.9840361e-01 4.5134887e-01 6.6576287e-02 7.6376246e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_fearful/fearful_person_0005_face0.png,White,White,Male,50-59,"[9.6533293e-01 2.8425467e-05 1.0777471e-02 2.7511313e-04 3.4499852e-04
 7.5819570e-04 2.2482855e-02]",[9.9981153e-01 3.4604150e-06 1.1207344e-04 7.2923372e-05],[9.994454e-01 5.546047e-04],"[8.38597771e-06 1.74431334e-05 2.28909019e-04 5.75589307e-04
 8.08730535e-03 1.35715038e-01 7.45457292e-01 1.05803005e-01
 4.10697563e-03]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_fearful/fearful_person_0007_face0.png,White,White,Male,70+,"[0.5240357  0.11342246 0.20978832 0.00734461 0.03680725 0.04219542
 0.06640626]",[0.91523933 0.00559072 0.01930881 0.05986113],[0.97623724 0.02376277],"[2.0624557e-05 1.6063479e-04 1.8106917e-03 2.4654519e-02 3.4147643e-02
 5.5659249e-02 1.4729652e-01 3.1744874e-01 4.1880134e-01]",1,White,60+
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_fearful/fearful_person_0009_face0.png,Middle Eastern,Indian,Male,50-59,"[1.8523519e-01 1.3416956e-02 2.6778210e-02 4.2053632e-04 1.3236126e-03
 1.5996370e-02 7.5682914e-01]",[0.38672945 0.19766407 0.01742524 0.39818123],[9.9976665e-01 2.3339738e-04],"[3.2062760e-06 4.6839964e-06 9.7942742e-05 4.9331980e-03 4.9995162e-02
 1.9423629e-01 4.5471928e-01 2.1223135e-01 8.3778836e-02]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_fearful/fearful_person_0010_face0.png,Black,Black,Male,30-39,"[7.50786853e-07 9.99975324e-01 1.28424135e-05 4.47554349e-09
 1.32862169e-07 9.44574276e-06 1.64757046e-06]",[6.1348373e-06 9.9991542e-01 2.0638302e-06 7.6399214e-05],[1.00000e+00 8.26383e-09],"[5.1887298e-08 4.5738514e-07 6.3406333e-05 6.7459017e-02 5.3955865e-01
 3.7516665e-01 1.7479213e-02 2.6474401e-04 7.7808691e-06]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_fearful/fearful_person_0011_face0.png,Black,Black,Male,50-59,"[1.3375325e-05 9.9929929e-01 2.7317443e-04 6.7752685e-06 3.3957869e-05
 3.4840294e-04 2.5056965e-05]",[2.6834497e-05 9.9360472e-01 1.9951566e-04 6.1689201e-03],[0.9904009  0.00959914],"[1.2327183e-05 5.1446554e-05 1.2663880e-04 2.4074097e-03 4.0719036e-02
 2.0099565e-01 5.4310721e-01 1.7063747e-01 4.1942805e-02]",0,Black,40-59
/scratch/project_462000771/mengting/projects/bias/SD3/prompt2/selected_faces/detected_fearful/fearful_person_0012_face0.png,White,White,Male,30-39,"[9.8343700e-01 2.3495134e-03 5.6161829e-03 1.2355176e-04 7.9119008e-04
 9.0675754e-04 6.7757405e-03]",[0.9440136  0.00570195 0.03502418 0.01526027],[0.9491639  0.05083608],"[5.9292338e-06 1.6900030e-04 1.2462473e-02 2.9976425e-01 3.1631768e-01
 2.6282972e-01 8.6314566e-02 1.6771454e-02 5.3649796e-03]",0,White,20-39
