face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0000_face0.png,Latino_Hispanic,White,Male,50-59,"[0.17041856 0.02699935 0.51486796 0.00272028 0.0154449  0.13748202
 0.13206702]",[0.5688658  0.02230259 0.03757974 0.3712519 ],[9.9999809e-01 1.8810621e-06],"[6.3357293e-05 1.9434821e-04 1.6492674e-03 3.3482388e-03 3.0930035e-02
 2.6421726e-01 5.8189476e-01 1.1564650e-01 2.0563419e-03]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0001_face0.png,White,White,Male,50-59,"[6.9165432e-01 3.6859777e-04 2.7061045e-02 1.2425942e-04 5.9981248e-04
 5.1269615e-03 2.7506503e-01]",[9.9567014e-01 3.5512840e-04 7.4416422e-04 3.2306011e-03],[9.9999183e-01 8.1305716e-06],"[7.1634546e-05 3.6413717e-04 2.8643257e-03 2.1568944e-03 1.7781718e-02
 1.7389354e-01 6.1338246e-01 1.7426771e-01 1.5217588e-02]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0002_face0.png,White,White,Male,50-59,"[5.1567167e-01 3.0727694e-03 2.2460271e-01 8.4024548e-05 3.3529830e-04
 2.4821851e-02 2.3141177e-01]",[9.7149819e-01 2.2562149e-03 4.4450385e-04 2.5801046e-02],[9.9998528e-01 1.4719318e-05],"[5.69802569e-06 7.00143346e-06 1.19953926e-04 6.42531319e-04
 2.66174730e-02 3.16670924e-01 6.22116804e-01 3.32710519e-02
 5.48599230e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0003_face0.png,White,White,Male,50-59,"[8.3614099e-01 1.1015501e-03 1.1106964e-01 3.1827803e-04 1.3208434e-03
 4.5219879e-03 4.5526620e-02]",[9.6224988e-01 7.3190435e-04 2.6235679e-02 1.0782454e-02],[9.9994695e-01 5.3050710e-05],"[8.5614367e-05 1.9525603e-04 2.3913439e-03 5.8330582e-03 6.2021740e-02
 3.1128109e-01 5.6828439e-01 4.8903160e-02 1.0043102e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0004_face0.png,White,White,Male,40-49,"[4.5562574e-01 3.1971196e-03 3.0275476e-01 1.7815747e-04 9.9448487e-04
 1.2274451e-02 2.2497524e-01]",[9.7972947e-01 3.9329787e-04 2.0401082e-03 1.7837072e-02],[9.9999857e-01 1.3934168e-06],"[1.0158496e-05 2.2158642e-05 4.5436065e-04 7.3416107e-03 1.8878144e-01
 5.6998634e-01 2.2384466e-01 9.4249332e-03 1.3445553e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0005_face0.png,White,White,Male,40-49,"[7.3404044e-01 3.1358141e-03 1.4822784e-01 1.2555238e-05 1.7169025e-04
 1.1379791e-02 1.0303188e-01]",[0.9813684  0.00193316 0.00098269 0.01571577],[9.9999875e-01 1.2718564e-06],"[1.3045359e-05 5.0940336e-05 6.4540328e-04 7.3557757e-03 1.6725512e-01
 5.9667015e-01 2.2122316e-01 6.7056916e-03 8.0669030e-05]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0006_face0.png,White,White,Male,50-59,"[7.5947595e-01 6.0205505e-04 1.4532678e-01 2.8516594e-04 1.5178331e-03
 1.0925517e-02 8.1866644e-02]",[9.9163330e-01 1.2100935e-04 3.1183541e-03 5.1274006e-03],[9.999465e-01 5.353305e-05],"[5.2756215e-05 1.5349756e-04 1.6963526e-03 1.5906617e-03 2.7570507e-02
 2.5139937e-01 6.5979987e-01 5.6743935e-02 9.9297066e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0007_face0.png,Middle Eastern,White,Male,50-59,"[3.36738765e-01 3.08485818e-03 1.61086634e-01 1.56785645e-05
 1.09415305e-04 7.34313345e-03 4.91621494e-01]",[9.5596349e-01 7.4708224e-03 7.8150805e-04 3.5784245e-02],[9.9996299e-01 3.6986356e-05],"[6.0672983e-06 9.5248479e-06 1.4340063e-04 7.5248140e-04 2.9024864e-02
 3.4475756e-01 5.9352702e-01 3.1212214e-02 5.6689570e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0008_face0.png,White,White,Male,50-59,"[5.8781350e-01 7.5801131e-03 1.0373298e-01 2.3326144e-04 1.1064304e-03
 1.0145654e-02 2.8938812e-01]",[9.7717470e-01 3.1243931e-04 6.3401884e-03 1.6172566e-02],[9.9986672e-01 1.3325148e-04],"[2.6115569e-05 5.5419539e-05 5.0610933e-04 2.9965055e-03 5.0108824e-02
 3.6927262e-01 4.9358141e-01 7.8068547e-02 5.3844433e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0009_face0.png,White,White,Male,40-49,"[8.1675577e-01 1.9773489e-04 7.0050329e-02 7.4609401e-05 7.5369223e-04
 1.2159554e-02 1.0000835e-01]",[9.7392887e-01 5.5741071e-04 3.1158216e-03 2.2397924e-02],[9.9999988e-01 1.1842041e-07],"[4.9234823e-06 1.9554818e-05 6.6140643e-04 2.8751346e-03 6.4276867e-02
 5.5678523e-01 3.6246881e-01 1.2804366e-02 1.0370867e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0010_face0.png,Indian,White,Male,60-69,"[0.1716227  0.10856868 0.15486133 0.00226002 0.03070231 0.2942706
 0.23771435]",[0.59906447 0.17606632 0.00948026 0.21538894],[9.9997610e-01 2.3889426e-05],"[4.0425297e-05 1.5055292e-04 6.1213865e-04 8.6576206e-04 5.8432966e-03
 7.2874010e-02 3.1594649e-01 4.9217469e-01 1.1149271e-01]",0,Others,60+
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0011_face0.png,White,White,Male,50-59,"[6.8990350e-01 1.9477390e-03 1.0825681e-01 5.1166577e-04 1.3913419e-03
 5.1646694e-03 1.9282427e-01]",[0.9699292  0.00295933 0.00890857 0.018203  ],[9.9995923e-01 4.0769311e-05],"[8.2522383e-06 8.8218376e-06 4.3949336e-04 6.5308828e-03 6.0290363e-02
 2.8673717e-01 5.3126591e-01 1.0924061e-01 5.4784617e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0012_face0.png,White,White,Male,50-59,"[7.3751259e-01 3.0845680e-04 1.9472489e-01 8.5257454e-04 1.5174752e-03
 8.5767312e-03 5.6507304e-02]",[9.9834591e-01 2.6620604e-05 4.5736216e-04 1.1701777e-03],[9.9996722e-01 3.2808657e-05],"[6.9356893e-06 4.6865352e-06 1.2651335e-04 1.4330375e-03 4.3494128e-02
 4.2953691e-01 5.0730598e-01 1.7876722e-02 2.1502748e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0013_face0.png,White,White,Male,40-49,"[6.6548699e-01 2.1124999e-03 8.1749111e-02 9.7518212e-05 3.6397524e-04
 6.0763820e-03 2.4411353e-01]",[9.9945962e-01 1.1017767e-05 2.1384629e-04 3.1549126e-04],[9.9998426e-01 1.5774880e-05],"[8.5932861e-06 1.8415276e-05 3.0739995e-04 5.0477260e-03 9.9036194e-02
 4.6772635e-01 4.0192422e-01 2.5214506e-02 7.1662542e-04]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/Proteus/prompt2/selected_faces/detected_disgusted/disgusted_person_0014_face0.png,White,White,Male,50-59,"[5.0679237e-01 4.2070478e-04 1.5723519e-01 3.8028377e-04 1.9749815e-03
 1.9060161e-02 3.1413630e-01]",[9.635511e-01 7.002212e-05 2.821062e-02 8.168268e-03],[9.99987900e-01 1.21202365e-05],"[5.7881502e-05 2.2710636e-04 1.3294264e-03 2.1943524e-03 3.8052574e-02
 3.8671333e-01 5.2869791e-01 4.1638032e-02 1.0893664e-03]",0,White,40-59
