face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_disgusted/disgusted_person_0000_face0.png,White,White,Male,20-29,"[9.6821380e-01 5.2517666e-05 2.4685893e-02 2.1629456e-04 2.9971992e-04
 1.4873232e-03 5.0444603e-03]",[9.9458212e-01 1.1924554e-04 3.1060348e-03 2.1925136e-03],[0.9988997  0.00110025],"[1.1981068e-07 7.9604171e-05 9.0630827e-03 5.7628053e-01 4.0336764e-01
 1.1162588e-02 4.6160818e-05 2.2395261e-07 9.9925144e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_disgusted/disgusted_person_0001_face0.png,White,White,Male,20-29,"[9.9717754e-01 2.2291555e-07 2.7074531e-04 2.6002861e-04 1.8509306e-04
 1.8972472e-05 2.0873703e-03]",[9.8500526e-01 1.5237846e-06 1.4770572e-02 2.2262386e-04],[0.9986031  0.00139692],"[3.19597120e-07 2.64854374e-04 1.16564065e-01 7.03128278e-01
 1.66052148e-01 1.38286315e-02 1.59058967e-04 2.55085479e-06
 1.47157522e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_disgusted/disgusted_person_0002_face0.png,White,White,Male,30-39,"[4.8445955e-01 1.9048994e-04 7.8658633e-02 8.7493414e-04 9.4740733e-04
 1.2438999e-02 4.2243004e-01]",[9.9464494e-01 7.2423113e-06 4.2410078e-04 4.9236109e-03],[0.99878055 0.00121947],"[6.5883483e-05 2.9828181e-04 1.8901172e-03 1.3437562e-01 6.7700338e-01
 1.8039802e-01 5.8826823e-03 8.3230087e-05 2.7387343e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_disgusted/disgusted_person_0003_face0.png,White,White,Male,60-69,"[9.85161662e-01 2.61323730e-04 1.71429641e-03 7.78338799e-05
 1.88727659e-04 2.01040952e-04 1.23951435e-02]",[9.9666190e-01 4.7794115e-04 1.3876768e-03 1.4725073e-03],[9.9979192e-01 2.0806555e-04],"[7.1847599e-06 4.1374999e-05 1.6846382e-03 5.5012867e-02 3.3204611e-02
 5.4325126e-02 2.6623145e-01 4.5080528e-01 1.3868745e-01]",0,White,60+
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_disgusted/disgusted_person_0004_face0.png,White,White,Female,30-39,"[9.9516493e-01 1.9913688e-05 1.2238980e-03 8.8427223e-05 1.9118391e-04
 4.8907244e-05 3.2628314e-03]",[9.9599463e-01 1.1917445e-03 2.0537761e-03 7.5984758e-04],[0.16550598 0.83449405],"[2.8344835e-05 3.0808374e-03 4.4521488e-02 2.3897704e-01 3.1675488e-01
 3.1324127e-01 6.6145241e-02 1.0316529e-02 6.9344076e-03]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_disgusted/disgusted_person_0005_face0.png,White,White,Male,30-39,"[9.9993175e-01 4.4456193e-08 1.6620081e-06 3.0466208e-07 2.3314884e-07
 6.0200797e-08 6.5960834e-05]",[9.9997914e-01 1.6823042e-06 1.8505938e-05 7.3046351e-07],[9.9995255e-01 4.7373273e-05],"[1.7861486e-06 2.6789674e-04 9.6459361e-03 2.1438044e-01 6.0768765e-01
 1.6554064e-01 2.4587740e-03 1.6227506e-05 6.5694326e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_disgusted/disgusted_person_0006_face0.png,White,White,Male,20-29,"[9.78724360e-01 4.54633437e-06 1.90911652e-03 1.30579647e-05
 1.36920025e-05 1.08964246e-04 1.92262474e-02]",[9.9961400e-01 3.1387290e-06 3.4589140e-04 3.6964295e-05],[9.9945194e-01 5.4805382e-04],"[7.9388258e-08 1.5135191e-05 4.5336713e-03 4.6733442e-01 4.6511075e-01
 6.1583336e-02 1.4062239e-03 1.5870970e-05 4.4098473e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_disgusted/disgusted_person_0007_face0.png,White,White,Male,30-39,"[8.1996852e-01 2.8815781e-04 7.1874611e-02 5.0552649e-04 1.5432761e-03
 3.8646949e-03 1.0195522e-01]",[0.8982987  0.00213154 0.08660504 0.01296476],[9.9998868e-01 1.1284874e-05],"[3.7718061e-07 3.3198274e-05 3.1210340e-03 4.0197566e-01 5.5674767e-01
 3.7639394e-02 4.7658625e-04 5.8996734e-06 1.6340530e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_disgusted/disgusted_person_0008_face0.png,White,White,Male,30-39,"[5.6744206e-01 3.3560192e-04 1.9253618e-01 3.0080418e-04 3.6270177e-04
 3.3054855e-02 2.0596778e-01]",[0.78326905 0.02428961 0.00141666 0.19102472],[9.994360e-01 5.640434e-04],"[1.4255018e-06 3.5963141e-05 9.0577721e-04 2.3508796e-01 7.0175403e-01
 6.1728258e-02 4.8371570e-04 2.7513179e-06 6.4453296e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_disgusted/disgusted_person_0009_face0.png,White,White,Male,30-39,"[8.3766210e-01 1.1750537e-03 9.9264637e-02 1.7800904e-04 4.5194686e-04
 1.9231332e-03 5.9345182e-02]",[9.7761577e-01 3.4299961e-04 1.5963782e-02 6.0775313e-03],[9.9991167e-01 8.8299843e-05],"[4.4870394e-08 5.2592959e-06 2.3784738e-03 2.4838746e-01 6.8625510e-01
 6.1701510e-02 1.2616712e-03 1.0261322e-05 1.9175428e-07]",0,White,20-39
