model,expression,KL(expr || neutral),"JS(expr, neutral)",alpha_star,significant,significant_mark
flux,happy,0.2734389950364672,0.09007781473732351,0.0010416666666666667,True,*
flux,sad,0.6418858242213029,0.23743536120587977,0.0010416666666666667,True,*
flux,disgusted,1.083624255648413,0.3982469180923822,0.0010416666666666667,True,*
flux,fear,1.1526356350464437,0.3702111299238783,0.0010416666666666667,True,*
flux,angry,1.2707510307305416,0.4253680413576683,0.0010416666666666667,True,*
flux,surprised,1.5416192849192891,0.5283285625641769,0.0010416666666666667,True,*
hunyuan,happy,0.19862541500806788,0.05597569578945365,0.0010416666666666667,True,*
hunyuan,sad,0.8147885442625645,0.17149819269585737,0.0010416666666666667,True,*
hunyuan,fear,1.4707411763411224,0.30109184798668986,0.0010416666666666667,True,*
hunyuan,surprised,1.616920458402157,0.30810444750792026,0.0010416666666666667,True,*
hunyuan,disgusted,3.192192317765755,0.688356138802661,0.0010416666666666667,True,*
hunyuan,angry,12.766471758437925,0.8951111640652781,0.0010416666666666667,True,*
kolors,fear,0.14206097100161444,0.0380516147085472,0.0010416666666666667,True,*
kolors,sad,0.3898772417297148,0.143481290705314,0.0010416666666666667,True,*
kolors,surprised,0.5732553742664059,0.24470356393907064,0.0010416666666666667,True,*
kolors,disgusted,0.5799644820800901,0.18204514372666333,0.0010416666666666667,True,*
kolors,happy,0.9226205481527641,0.12272755427160773,0.0010416666666666667,True,*
kolors,angry,4.31414545976468,0.48763979816871383,0.0010416666666666667,True,*
proteus,happy,0.12804540023745045,0.03261297857515289,0.0010416666666666667,True,*
proteus,surprised,0.2576325939564095,0.09301674450637788,0.0010416666666666667,True,*
proteus,fear,0.45458055889214577,0.10912028517285612,0.0010416666666666667,True,*
proteus,sad,0.4720972594962141,0.1234642574718486,0.0010416666666666667,True,*
proteus,angry,3.124624541395294,0.6930490799185735,0.0010416666666666667,True,*
proteus,disgusted,3.5503430938046523,0.7394749445231263,0.0010416666666666667,True,*
qwen,happy,0.5683755755981967,0.18760175971575005,0.0010416666666666667,True,*
qwen,sad,0.742150628556642,0.24806788658112583,0.0010416666666666667,True,*
qwen,angry,0.9498711445681562,0.302590754032103,0.0010416666666666667,True,*
qwen,disgusted,1.1448141271619616,0.3975156851730209,0.0010416666666666667,True,*
qwen,fear,1.226067617916802,0.35003650068711667,0.0010416666666666667,True,*
qwen,surprised,1.3157359175566403,0.4196538328499457,0.0010416666666666667,True,*
sana,happy,0.5597433241023742,0.14421750858323332,0.0010416666666666667,True,*
sana,fear,0.8450063198393662,0.08486703068125741,0.0010416666666666667,True,*
sana,sad,0.8941746902781786,0.0731920101817467,0.0010416666666666667,True,*
sana,surprised,1.5040677135055525,0.37195817317290075,0.0010416666666666667,True,*
sana,angry,10.197027557609163,0.6387303691625791,0.0010416666666666667,True,*
sana,disgusted,15.57080599562595,0.5377936831093196,0.0010416666666666667,True,*
sd3,happy,0.6257696004010661,0.23421486855927207,0.0010416666666666667,True,*
sd3,sad,1.5008664178589197,0.4125371380135102,0.0010416666666666667,True,*
sd3,surprised,2.18620562535848,0.6407536193700583,0.0010416666666666667,True,*
sd3,disgusted,3.71581593952121,0.6165112846214739,0.0010416666666666667,True,*
sd3,angry,5.054485263620722,0.6938584122165831,0.0010416666666666667,True,*
sd3,fear,5.635220016669666,0.6954995590358118,0.0010416666666666667,True,*
wan2.1,happy,0.28426678212641926,0.038429579764074226,0.0010416666666666667,True,*
wan2.1,surprised,0.5167679677156494,0.19993062768028075,0.0010416666666666667,True,*
wan2.1,sad,0.6955457031261668,0.14383902662363038,0.0010416666666666667,True,*
wan2.1,angry,0.7251305643826007,0.24365273332208967,0.0010416666666666667,True,*
wan2.1,fear,0.9815630724132564,0.2757378286223684,0.0010416666666666667,True,*
wan2.1,disgusted,1.016864308073206,0.28021771128079714,0.0010416666666666667,True,*
