filename,mean_perceived_age,source_sheet
010_y_f_h_a.jpg,29.69,Happy Faces_Perceived Age
010_y_f_h_b.jpg,30.78,Happy Faces_Perceived Age
020_y_f_h_a.jpg,24.09,Happy Faces_Perceived Age
020_y_f_h_b.jpg,23.17,Happy Faces_Perceived Age
022_y_f_h_a.jpg,24.37,Happy Faces_Perceived Age
022_y_f_h_b.jpg,22.72,Happy Faces_Perceived Age
028_y_f_h_a.jpg,26.28,Happy Faces_Perceived Age
028_y_f_h_b.jpg,27.7,Happy Faces_Perceived Age
034_y_f_h_a.jpg,25.37,Happy Faces_Perceived Age
034_y_f_h_b.jpg,26.57,Happy Faces_Perceived Age
040_y_f_h_a.jpg,24.35,Happy Faces_Perceived Age
040_y_f_h_b.jpg,23.43,Happy Faces_Perceived Age
048_y_f_h_a.jpg,27.29,Happy Faces_Perceived Age
048_y_f_h_b.jpg,26.06,Happy Faces_Perceived Age
054_y_f_h_a.jpg,24.57,Happy Faces_Perceived Age
054_y_f_h_b.jpg,24.71,Happy Faces_Perceived Age
063_y_f_h_a.jpg,29.88,Happy Faces_Perceived Age
063_y_f_h_b.jpg,32.43,Happy Faces_Perceived Age
069_y_f_h_a.jpg,26.88,Happy Faces_Perceived Age
069_y_f_h_b.jpg,27.93,Happy Faces_Perceived Age
071_y_f_h_a.jpg,25.0,Happy Faces_Perceived Age
071_y_f_h_b.jpg,27.2,Happy Faces_Perceived Age
085_y_f_h_a.jpg,29.09,Happy Faces_Perceived Age
085_y_f_h_b.jpg,29.97,Happy Faces_Perceived Age
090_y_f_h_a.jpg,23.71,Happy Faces_Perceived Age
090_y_f_h_b.jpg,23.58,Happy Faces_Perceived Age
098_y_f_h_a.jpg,25.02,Happy Faces_Perceived Age
098_y_f_h_b.jpg,26.79,Happy Faces_Perceived Age
101_y_f_h_a.jpg,26.47,Happy Faces_Perceived Age
101_y_f_h_b.jpg,27.69,Happy Faces_Perceived Age
106_y_f_h_a.jpg,26.34,Happy Faces_Perceived Age
106_y_f_h_b.jpg,26.09,Happy Faces_Perceived Age
115_y_f_h_a.jpg,25.34,Happy Faces_Perceived Age
115_y_f_h_b.jpg,24.52,Happy Faces_Perceived Age
125_y_f_h_a.jpg,23.82,Happy Faces_Perceived Age
125_y_f_h_b.jpg,23.3,Happy Faces_Perceived Age
132_y_f_h_a.jpg,24.98,Happy Faces_Perceived Age
132_y_f_h_b.jpg,25.05,Happy Faces_Perceived Age
134_y_f_h_a.jpg,30.0,Happy Faces_Perceived Age
134_y_f_h_b.jpg,29.44,Happy Faces_Perceived Age
140_y_f_h_a.jpg,26.43,Happy Faces_Perceived Age
140_y_f_h_b.jpg,26.6,Happy Faces_Perceived Age
150_y_f_h_a.jpg,22.99,Happy Faces_Perceived Age
150_y_f_h_b.jpg,22.29,Happy Faces_Perceived Age
152_y_f_h_a.jpg,23.77,Happy Faces_Perceived Age
152_y_f_h_b.jpg,24.16,Happy Faces_Perceived Age
162_y_f_h_a.jpg,31.55,Happy Faces_Perceived Age
162_y_f_h_b.jpg,31.0,Happy Faces_Perceived Age
163_y_f_h_a.jpg,32.03,Happy Faces_Perceived Age
163_y_f_h_b.jpg,32.31,Happy Faces_Perceived Age
171_y_f_h_a.jpg,28.8,Happy Faces_Perceived Age
171_y_f_h_b.jpg,28.03,Happy Faces_Perceived Age
173_y_f_h_a.jpg,27.69,Happy Faces_Perceived Age
173_y_f_h_b.jpg,27.94,Happy Faces_Perceived Age
177_y_f_h_a.jpg,27.06,Happy Faces_Perceived Age
177_y_f_h_b.jpg,25.64,Happy Faces_Perceived Age
182_y_f_h_a.jpg,26.14,Happy Faces_Perceived Age
182_y_f_h_b.jpg,27.05,Happy Faces_Perceived Age
008_y_m_h_a.jpg,28.77,Happy Faces_Perceived Age
008_y_m_h_b.jpg,28.21,Happy Faces_Perceived Age
013_y_m_h_a.jpg,24.78,Happy Faces_Perceived Age
013_y_m_h_b.jpg,24.97,Happy Faces_Perceived Age
016_y_m_h_a.jpg,24.7,Happy Faces_Perceived Age
016_y_m_h_b.jpg,23.42,Happy Faces_Perceived Age
025_y_m_h_a.jpg,28.23,Happy Faces_Perceived Age
025_y_m_h_b.jpg,27.32,Happy Faces_Perceived Age
031_y_m_h_a.jpg,26.31,Happy Faces_Perceived Age
031_y_m_h_b.jpg,26.25,Happy Faces_Perceived Age
037_y_m_h_a.jpg,22.71,Happy Faces_Perceived Age
037_y_m_h_b.jpg,23.22,Happy Faces_Perceived Age
041_y_m_h_a.jpg,30.97,Happy Faces_Perceived Age
041_y_m_h_b.jpg,30.51,Happy Faces_Perceived Age
049_y_m_h_a.jpg,27.52,Happy Faces_Perceived Age
049_y_m_h_b.jpg,28.18,Happy Faces_Perceived Age
057_y_m_h_a.jpg,24.72,Happy Faces_Perceived Age
057_y_m_h_b.jpg,26.27,Happy Faces_Perceived Age
062_y_m_h_a.jpg,31.58,Happy Faces_Perceived Age
062_y_m_h_b.jpg,32.65,Happy Faces_Perceived Age
066_y_m_h_a.jpg,23.48,Happy Faces_Perceived Age
066_y_m_h_b.jpg,23.24,Happy Faces_Perceived Age
072_y_m_h_a.jpg,27.4,Happy Faces_Perceived Age
072_y_m_h_b.jpg,28.27,Happy Faces_Perceived Age
081_y_m_h_a.jpg,29.49,Happy Faces_Perceived Age
081_y_m_h_b.jpg,32.59,Happy Faces_Perceived Age
089_y_m_h_a.jpg,25.69,Happy Faces_Perceived Age
089_y_m_h_b.jpg,25.53,Happy Faces_Perceived Age
099_y_m_h_a.jpg,26.41,Happy Faces_Perceived Age
099_y_m_h_b.jpg,25.65,Happy Faces_Perceived Age
105_y_m_h_a.jpg,27.82,Happy Faces_Perceived Age
105_y_m_h_b.jpg,29.48,Happy Faces_Perceived Age
109_y_m_h_a.jpg,23.78,Happy Faces_Perceived Age
109_y_m_h_b.jpg,24.19,Happy Faces_Perceived Age
114_y_m_h_a.jpg,31.03,Happy Faces_Perceived Age
114_y_m_h_b.jpg,33.94,Happy Faces_Perceived Age
119_y_m_h_a.jpg,22.1,Happy Faces_Perceived Age
119_y_m_h_b.jpg,22.08,Happy Faces_Perceived Age
123_y_m_h_a.jpg,23.23,Happy Faces_Perceived Age
123_y_m_h_b.jpg,24.06,Happy Faces_Perceived Age
127_y_m_h_a.jpg,33.97,Happy Faces_Perceived Age
127_y_m_h_b.jpg,33.55,Happy Faces_Perceived Age
135_y_m_h_a.jpg,31.27,Happy Faces_Perceived Age
135_y_m_h_b.jpg,32.26,Happy Faces_Perceived Age
144_y_m_h_a.jpg,26.78,Happy Faces_Perceived Age
144_y_m_h_b.jpg,25.41,Happy Faces_Perceived Age
147_y_m_h_a.jpg,21.8,Happy Faces_Perceived Age
147_y_m_h_b.jpg,21.57,Happy Faces_Perceived Age
153_y_m_h_a.jpg,26.67,Happy Faces_Perceived Age
153_y_m_h_b.jpg,25.29,Happy Faces_Perceived Age
160_y_m_h_a.jpg,33.91,Happy Faces_Perceived Age
160_y_m_h_b.jpg,34.33,Happy Faces_Perceived Age
167_y_m_h_a.jpg,27.97,Happy Faces_Perceived Age
167_y_m_h_b.jpg,28.5,Happy Faces_Perceived Age
170_y_m_h_a.jpg,33.28,Happy Faces_Perceived Age
170_y_m_h_b.jpg,33.12,Happy Faces_Perceived Age
175_y_m_h_a.jpg,29.64,Happy Faces_Perceived Age
175_y_m_h_b.jpg,30.09,Happy Faces_Perceived Age
006_m_f_h_a.jpg,33.86,Happy Faces_Perceived Age
006_m_f_h_b.jpg,35.04,Happy Faces_Perceived Age
011_m_f_h_a.jpg,47.74,Happy Faces_Perceived Age
011_m_f_h_b.jpg,46.82,Happy Faces_Perceived Age
019_m_f_h_a.jpg,48.68,Happy Faces_Perceived Age
019_m_f_h_b.jpg,52.8,Happy Faces_Perceived Age
029_m_f_h_a.jpg,39.86,Happy Faces_Perceived Age
029_m_f_h_b.jpg,41.68,Happy Faces_Perceived Age
035_m_f_h_a.jpg,50.61,Happy Faces_Perceived Age
035_m_f_h_b.jpg,50.91,Happy Faces_Perceived Age
043_m_f_h_a.jpg,46.72,Happy Faces_Perceived Age
043_m_f_h_b.jpg,47.38,Happy Faces_Perceived Age
050_m_f_h_a.jpg,47.53,Happy Faces_Perceived Age
050_m_f_h_b.jpg,50.87,Happy Faces_Perceived Age
052_m_f_h_a.jpg,46.82,Happy Faces_Perceived Age
052_m_f_h_b.jpg,48.03,Happy Faces_Perceived Age
061_m_f_h_a.jpg,38.23,Happy Faces_Perceived Age
061_m_f_h_b.jpg,37.43,Happy Faces_Perceived Age
064_m_f_h_a.jpg,54.4,Happy Faces_Perceived Age
064_m_f_h_b.jpg,55.15,Happy Faces_Perceived Age
073_m_f_h_a.jpg,53.23,Happy Faces_Perceived Age
073_m_f_h_b.jpg,51.72,Happy Faces_Perceived Age
080_m_f_h_a.jpg,46.18,Happy Faces_Perceived Age
080_m_f_h_b.jpg,48.3,Happy Faces_Perceived Age
084_m_f_h_a.jpg,48.08,Happy Faces_Perceived Age
084_m_f_h_b.jpg,50.71,Happy Faces_Perceived Age
093_m_f_h_a.jpg,42.11,Happy Faces_Perceived Age
093_m_f_h_b.jpg,43.51,Happy Faces_Perceived Age
097_m_f_h_a.jpg,50.51,Happy Faces_Perceived Age
097_m_f_h_b.jpg,51.57,Happy Faces_Perceived Age
103_m_f_h_a.jpg,41.03,Happy Faces_Perceived Age
103_m_f_h_b.jpg,43.3,Happy Faces_Perceived Age
111_m_f_h_a.jpg,51.06,Happy Faces_Perceived Age
111_m_f_h_b.jpg,50.55,Happy Faces_Perceived Age
113_m_f_h_a.jpg,52.34,Happy Faces_Perceived Age
113_m_f_h_b.jpg,52.97,Happy Faces_Perceived Age
117_m_f_h_a.jpg,40.66,Happy Faces_Perceived Age
117_m_f_h_b.jpg,41.93,Happy Faces_Perceived Age
122_m_f_h_a.jpg,44.41,Happy Faces_Perceived Age
122_m_f_h_b.jpg,45.57,Happy Faces_Perceived Age
128_m_f_h_a.jpg,45.56,Happy Faces_Perceived Age
128_m_f_h_b.jpg,46.17,Happy Faces_Perceived Age
138_m_f_h_a.jpg,45.31,Happy Faces_Perceived Age
138_m_f_h_b.jpg,44.88,Happy Faces_Perceived Age
139_m_f_h_a.jpg,37.91,Happy Faces_Perceived Age
139_m_f_h_b.jpg,36.45,Happy Faces_Perceived Age
156_m_f_h_a.jpg,38.06,Happy Faces_Perceived Age
156_m_f_h_b.jpg,37.85,Happy Faces_Perceived Age
157_m_f_h_a.jpg,48.98,Happy Faces_Perceived Age
157_m_f_h_b.jpg,49.91,Happy Faces_Perceived Age
168_m_f_h_a.jpg,45.94,Happy Faces_Perceived Age
168_m_f_h_b.jpg,47.67,Happy Faces_Perceived Age
180_m_f_h_a.jpg,51.53,Happy Faces_Perceived Age
180_m_f_h_b.jpg,52.75,Happy Faces_Perceived Age
007_m_m_h_a.jpg,54.71,Happy Faces_Perceived Age
007_m_m_h_b.jpg,56.41,Happy Faces_Perceived Age
014_m_m_h_a.jpg,46.2,Happy Faces_Perceived Age
014_m_m_h_b.jpg,45.92,Happy Faces_Perceived Age
026_m_m_h_a.jpg,54.53,Happy Faces_Perceived Age
026_m_m_h_b.jpg,57.58,Happy Faces_Perceived Age
032_m_m_h_a.jpg,43.38,Happy Faces_Perceived Age
032_m_m_h_b.jpg,45.52,Happy Faces_Perceived Age
038_m_m_h_a.jpg,45.49,Happy Faces_Perceived Age
038_m_m_h_b.jpg,45.35,Happy Faces_Perceived Age
045_m_m_h_a.jpg,42.0,Happy Faces_Perceived Age
045_m_m_h_b.jpg,43.82,Happy Faces_Perceived Age
051_m_m_h_a.jpg,46.58,Happy Faces_Perceived Age
051_m_m_h_b.jpg,47.46,Happy Faces_Perceived Age
056_m_m_h_a.jpg,50.58,Happy Faces_Perceived Age
056_m_m_h_b.jpg,52.93,Happy Faces_Perceived Age
058_m_m_h_a.jpg,49.27,Happy Faces_Perceived Age
058_m_m_h_b.jpg,50.95,Happy Faces_Perceived Age
068_m_m_h_a.jpg,50.74,Happy Faces_Perceived Age
068_m_m_h_b.jpg,53.24,Happy Faces_Perceived Age
070_m_m_h_a.jpg,44.53,Happy Faces_Perceived Age
070_m_m_h_b.jpg,45.21,Happy Faces_Perceived Age
077_m_m_h_a.jpg,50.5,Happy Faces_Perceived Age
077_m_m_h_b.jpg,53.96,Happy Faces_Perceived Age
082_m_m_h_a.jpg,52.69,Happy Faces_Perceived Age
