face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0000_face0.png,White,White,Male,30-39,"[8.66728306e-01 6.36608747e-04 1.09025456e-01 2.13389230e-05
 1.75122768e-04 6.54037623e-03 1.68729648e-02]",[9.95609164e-01 1.41041400e-03 1.08619766e-04 2.87178298e-03],[9.9997979e-01 2.0142297e-05],"[1.3262907e-06 4.6377219e-04 6.0712863e-03 4.4518054e-01 5.1356924e-01
 3.4499008e-02 2.1368862e-04 1.0889854e-06 3.1859660e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0001_face0.png,White,White,Male,30-39,"[9.1662747e-01 4.3121974e-05 1.7016135e-02 6.5901445e-04 4.6613652e-04
 6.7930608e-03 5.8395132e-02]",[9.5029986e-01 7.7390228e-04 6.5221093e-03 4.2404089e-02],[9.9999714e-01 2.8372183e-06],"[4.9791023e-08 2.6270538e-06 1.0395373e-03 4.8868492e-01 4.9877816e-01
 1.1441315e-02 5.3049276e-05 2.9210136e-07 4.8766382e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0002_face0.png,White,White,Male,30-39,"[9.9813938e-01 5.9764775e-06 4.6964153e-04 1.1124790e-05 1.8430388e-05
 2.7403001e-05 1.3280666e-03]",[9.9569982e-01 8.0124533e-04 2.1084608e-03 1.3904774e-03],[9.9994946e-01 5.0567887e-05],"[7.5930345e-08 2.2827060e-06 1.6336919e-04 9.8509289e-02 7.7036589e-01
 1.2852666e-01 2.4250590e-03 7.1616696e-06 2.1304355e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0003_face0.png,Latino_Hispanic,White,Male,30-39,"[0.37896425 0.00881912 0.4929265  0.00058939 0.0008715  0.04317161
 0.07465764]",[0.64905334 0.03084793 0.03208025 0.28801847],[9.9997908e-01 2.0936533e-05],"[1.3743930e-07 2.7872206e-06 1.2579559e-04 1.1486049e-01 8.1222212e-01
 7.2367579e-02 4.1865956e-04 2.4232472e-06 3.0630552e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0004_face0.png,Latino_Hispanic,White,Female,40-49,"[0.3476874  0.00089816 0.59934604 0.00128108 0.00257172 0.0107757
 0.03743992]",[0.45281258 0.09988249 0.0444444  0.40286046],[4.1364697e-06 9.9999589e-01],"[2.2566650e-07 1.1362416e-05 1.3073324e-03 2.4783731e-02 2.2669983e-01
 4.4823286e-01 2.6966906e-01 2.8571079e-02 7.2462187e-04]",1,Others,40-59
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0005_face0.png,Latino_Hispanic,Asian,Female,30-39,"[0.05062436 0.00773529 0.8799965  0.00167393 0.0076977  0.04713153
 0.00514075]",[0.19703333 0.09522071 0.4104301  0.29731584],[4.7424346e-05 9.9995261e-01],"[1.5064705e-08 2.6120615e-06 2.5559503e-03 1.6179763e-01 6.8247336e-01
 1.4793608e-01 5.1843203e-03 4.9835875e-05 2.0518078e-07]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0006_face0.png,Black,Black,Female,20-29,"[3.8248469e-05 9.9718177e-01 2.3112770e-03 1.3197872e-05 1.3130468e-04
 3.1689799e-04 7.3561682e-06]",[3.88582339e-06 9.99759138e-01 1.45437925e-05 2.22414877e-04],[1.2218121e-04 9.9987781e-01],"[2.1537460e-06 3.6108706e-03 2.6759192e-01 5.9458673e-01 1.3037094e-01
 3.7736932e-03 6.3045911e-05 6.7782508e-07 1.0496528e-08]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0007_face0.png,White,White,Female,20-29,"[8.6626160e-01 1.8660045e-04 6.8474300e-02 2.0873973e-05 5.8759753e-05
 1.9427224e-03 6.3055173e-02]",[9.93269086e-01 1.11763846e-04 2.95030841e-05 6.58964273e-03],[6.0356964e-05 9.9993968e-01],"[4.6035402e-09 2.6053935e-06 7.3316991e-03 6.1383832e-01 3.6996281e-01
 8.8129751e-03 5.0800958e-05 8.0231382e-07 9.1082928e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0008_face0.png,Black,Black,Male,20-29,"[6.6550951e-05 9.9035358e-01 3.3558973e-03 4.8028255e-06 1.8724354e-04
 5.9052403e-03 1.2679666e-04]",[1.4340544e-04 9.8629421e-01 2.5514601e-04 1.3307187e-02],[9.9995607e-01 4.3895758e-05],"[2.7598785e-08 5.0165796e-05 1.7884041e-01 7.9477620e-01 2.6116615e-02
 2.1564429e-04 8.5526250e-07 1.8921719e-08 5.7324756e-10]",2,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0009_face0.png,White,White,Female,20-29,"[9.9967313e-01 8.0561499e-08 4.3926972e-05 2.9680230e-06 1.8648517e-06
 5.2693701e-07 2.7755363e-04]",[9.9998748e-01 2.2490919e-06 6.5731647e-06 3.7142329e-06],[8.507421e-05 9.999149e-01],"[2.0133973e-08 3.7308528e-05 3.4049805e-02 8.1600410e-01 1.4526172e-01
 4.6250303e-03 2.1896687e-05 1.7315840e-07 9.3597485e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0010_face0.png,Black,Black,Male,20-29,"[4.3346995e-04 6.7220974e-01 2.3359392e-02 7.0025408e-06 1.8626025e-04
 3.0145520e-01 2.3489643e-03]",[5.0993805e-04 8.2640284e-01 1.4869819e-03 1.7160027e-01],[9.995716e-01 4.283926e-04],"[1.4721294e-08 2.4204233e-05 5.8944236e-02 8.1328690e-01 1.2630805e-01
 1.4326819e-03 3.8560579e-06 4.8865498e-08 7.6332896e-10]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0011_face0.png,White,White,Male,30-39,"[6.4132446e-01 1.4817702e-04 3.2080480e-01 3.6836443e-03 4.4215824e-03
 8.6850198e-03 2.0932227e-02]",[0.9615588  0.00233127 0.02787419 0.00823571],[9.99899924e-01 1.00028905e-04],"[1.7404030e-06 1.8175257e-05 7.6152809e-04 8.4397674e-02 7.2041327e-01
 1.9061399e-01 3.7707218e-03 2.2709941e-05 2.0181569e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0012_face0.png,White,White,Female,20-29,"[4.82910842e-01 2.66428920e-04 4.59897071e-01 2.60511339e-02
 1.48021635e-02 2.25933199e-03 1.38131231e-02]",[0.9061628  0.00809742 0.07578164 0.00995821],[3.2075273e-05 9.9996793e-01],"[2.7375540e-09 3.0991760e-05 1.3189301e-01 8.1197864e-01 5.5879217e-02
 2.1790191e-04 1.9215339e-07 2.1669861e-09 3.3435976e-11]",2,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0013_face0.png,Latino_Hispanic,Black,Female,20-29,"[0.05263343 0.06155546 0.68520516 0.00093993 0.00371849 0.17321683
 0.02273078]",[0.04775443 0.8476688  0.00095242 0.10362434],[6.0193466e-05 9.9993974e-01],"[8.4068461e-08 1.9659597e-05 1.0336433e-02 5.1256579e-01 4.4706383e-01
 2.9544717e-02 4.6331214e-04 6.2026156e-06 3.8333148e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0014_face0.png,Black,Black,Male,20-29,"[6.3827594e-07 9.9989599e-01 1.7650678e-05 8.0925933e-09 2.4866486e-07
 8.2260784e-05 3.2196765e-06]",[1.0060144e-06 9.9993837e-01 1.7980328e-06 5.8810470e-05],[9.9999964e-01 3.6416799e-07],"[3.4047540e-09 1.3559604e-06 6.0851448e-03 7.9229009e-01 1.9763449e-01
 3.9700991e-03 1.8650628e-05 1.6174286e-07 3.8545171e-09]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0015_face0.png,Black,Black,Male,30-39,"[5.5323220e-05 9.9879283e-01 7.2757463e-04 1.4365796e-06 2.6534288e-05
 1.9340320e-04 2.0286666e-04]",[2.9425568e-05 9.9943471e-01 6.7753783e-05 4.6809643e-04],[1.0000000e+00 1.2936777e-08],"[5.1805034e-07 4.5080582e-05 7.6549379e-03 4.1850680e-01 4.7638389e-01
 9.5010720e-02 2.3534803e-03 4.3748576e-05 8.4819823e-07]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0016_face0.png,White,White,Female,20-29,"[9.9995625e-01 6.1222174e-08 3.2373551e-05 1.4777177e-06 6.1952346e-07
 3.9859955e-07 8.8223233e-06]",[9.9849594e-01 1.4455050e-04 8.2790712e-04 5.3157355e-04],[1.2391875e-05 9.9998760e-01],"[5.00291151e-08 4.36962117e-04 1.19810455e-01 7.87365496e-01
 8.94183218e-02 2.94772163e-03 2.08452875e-05 1.58254267e-07
 8.85837004e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0017_face0.png,White,White,Male,30-39,"[8.31948280e-01 1.84032382e-04 5.29700629e-02 1.15485100e-05
 3.00020165e-05 2.87888874e-03 1.11977145e-01]",[9.8283058e-01 2.5860181e-03 3.0562255e-04 1.4277799e-02],[9.999969e-01 3.112606e-06],"[5.5382156e-08 1.1413080e-06 1.5674179e-04 2.5356540e-01 7.1777993e-01
 2.8400758e-02 9.5591553e-05 3.7195846e-07 5.8740035e-09]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0018_face0.png,Middle Eastern,White,Male,20-29,"[9.4511732e-02 6.3112588e-04 3.1373137e-01 5.5569177e-04 2.6016985e-03
 3.0019509e-02 5.5794889e-01]",[0.77488536 0.00149192 0.00207599 0.22154677],[9.9999839e-01 1.5731933e-06],"[2.1191191e-07 1.9291218e-04 1.2275900e-01 8.3218956e-01 4.4353165e-02
 5.0209678e-04 3.0173017e-06 8.1434685e-08 1.4320473e-09]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0019_face0.png,White,White,Female,20-29,"[9.8858976e-01 1.0352750e-05 7.9405634e-03 4.7070058e-05 4.6379446e-05
 1.3384121e-04 3.2319904e-03]",[9.9968630e-01 3.6700494e-05 1.3040214e-04 1.4650520e-04],[7.1664454e-06 9.9999285e-01],"[3.3494907e-09 4.3370628e-06 1.6064886e-02 7.3844320e-01 2.4066885e-01
 4.8033395e-03 1.5252069e-05 1.3338024e-07 2.3942410e-09]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0020_face0.png,Black,Black,Male,20-29,"[8.5465530e-08 9.9996418e-01 3.2039122e-06 1.0440909e-07 3.1207246e-06
 2.9211944e-05 1.1149589e-07]",[1.4134174e-06 9.9985099e-01 2.6624426e-05 1.2102410e-04],[9.9999988e-01 1.4772837e-07],"[2.4256979e-09 1.4499223e-07 5.0322287e-04 5.0217849e-01 4.6188304e-01
 3.4827564e-02 5.9996243e-04 7.0898923e-06 4.6856056e-07]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0021_face0.png,Southeast Asian,Asian,Male,20-29,"[8.4046645e-05 7.1868661e-04 4.8463405e-03 1.6061242e-01 8.3135176e-01
 2.3839122e-03 2.8715690e-06]",[1.3794708e-04 1.0462916e-02 9.8183382e-01 7.5652846e-03],[0.99889463 0.00110531],"[3.2512986e-07 6.4203830e-04 4.5906013e-01 5.1785493e-01 2.2003684e-02
 4.3490145e-04 3.7911104e-06 1.9230085e-07 1.1516898e-08]",0,Asian,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0022_face0.png,White,White,Female,20-29,"[4.5168576e-01 1.0466814e-02 3.3132312e-01 2.2774363e-04 2.1152351e-04
 5.9261903e-02 1.4682317e-01]",[0.49006382 0.06743329 0.00188132 0.44062155],[2.3103532e-05 9.9997693e-01],"[5.3751164e-09 1.0186453e-05 2.7251188e-02 7.4869204e-01 2.1865562e-01
 5.3562401e-03 3.4265173e-05 4.8875228e-07 1.3066310e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0023_face0.png,White,White,Female,20-29,"[9.9999851e-01 4.9788311e-09 6.8648990e-07 1.3748205e-07 9.4005266e-08
 1.4681462e-08 6.4899700e-07]",[9.9990189e-01 1.6752052e-05 5.5338089e-05 2.5975090e-05],[2.1050521e-06 9.9999785e-01],"[8.7373397e-09 3.5267301e-05 1.8917250e-02 7.6138192e-01 2.1518381e-01
 4.4682301e-03 1.3419619e-05 6.6079153e-08 4.7433559e-09]",2,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0024_face0.png,White,White,Male,30-39,"[0.40988672 0.0029178  0.36409375 0.00061026 0.00200696 0.12467339
 0.09581115]",[0.96273196 0.00589017 0.00258511 0.02879272],[9.9999893e-01 1.0433512e-06],"[6.9701400e-07 5.4381567e-06 1.8948615e-04 7.9258963e-02 7.3151928e-01
 1.8268631e-01 6.2973229e-03 4.1794625e-05 6.5678978e-07]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0025_face0.png,Latino_Hispanic,Indian,Female,20-29,"[0.01167625 0.02847795 0.5327992  0.00077493 0.00803536 0.41572565
 0.00251069]",[0.00975851 0.45411023 0.00358078 0.5325506 ],[4.5758332e-04 9.9954242e-01],"[1.3293648e-07 8.3915351e-05 5.4578707e-02 7.7050537e-01 1.6839349e-01
 6.3586636e-03 7.8389319e-05 1.3709991e-06 1.8936301e-08]",0,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0026_face0.png,Black,Black,Male,30-39,"[1.7884787e-03 8.4752697e-01 8.4665567e-02 3.7909340e-04 6.8496861e-03
 5.6256089e-02 2.5340822e-03]",[0.00181619 0.91968656 0.02079829 0.05769892],[9.9999523e-01 4.7453764e-06],"[2.5946085e-07 7.8206758e-06 3.7654832e-03 4.4739425e-01 5.2753162e-01
 2.1169050e-02 1.3035860e-04 1.1281531e-06 2.1869816e-08]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0027_face0.png,Black,Black,Male,20-29,"[9.5221309e-05 9.9601340e-01 1.5224217e-03 1.3679025e-05 3.7925126e-04
 1.8948808e-03 8.1291466e-05]",[7.4927702e-05 9.9679369e-01 2.4673308e-04 2.8845326e-03],[9.9998522e-01 1.4740241e-05],"[2.1110473e-07 1.7280599e-05 1.9932419e-02 6.3688993e-01 3.1133145e-01
 3.0712526e-02 1.0968657e-03 1.8348637e-05 9.2540284e-07]",1,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0028_face0.png,White,White,Female,30-39,"[9.9475157e-01 6.8831609e-06 1.2255032e-03 1.9684969e-05 1.8471997e-05
 2.9094455e-05 3.9487057e-03]",[9.9991280e-01 2.6291200e-06 4.2235706e-06 8.0323050e-05],[0.07399186 0.9260081 ],"[9.4585050e-07 4.6810048e-05 3.1926206e-03 2.3878126e-01 6.0750747e-01
 1.4613084e-01 4.2545875e-03 7.9888196e-05 5.5668229e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0029_face0.png,White,White,Male,30-39,"[9.8071402e-01 6.1634478e-06 4.9520778e-03 5.0618050e-06 8.3061614e-06
 5.0458333e-05 1.4263828e-02]",[9.9635184e-01 8.1502309e-04 7.2610012e-05 2.7606066e-03],[9.9998575e-01 1.4227260e-05],"[8.3387164e-08 2.2630491e-06 2.4210309e-04 8.2424752e-02 7.6759058e-01
 1.4859225e-01 1.1445518e-03 3.3948168e-06 4.9897331e-08]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0030_face0.png,Black,Black,Male,20-29,"[1.27201547e-05 9.97929275e-01 5.15124761e-04 1.03168015e-04
 1.14457658e-03 2.88197451e-04 6.84500219e-06]",[5.6081262e-06 9.9927437e-01 5.0344731e-04 2.1655057e-04],[9.9976724e-01 2.3273494e-04],"[3.9478214e-06 1.7609810e-03 8.3968483e-02 6.3043618e-01 2.6535639e-01
 1.8295880e-02 1.7555473e-04 2.3717546e-06 1.6666630e-07]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0031_face0.png,White,White,Male,20-29,"[9.4809598e-01 1.5056942e-04 2.2075254e-02 2.1662687e-05 5.4242337e-05
 5.0898315e-03 2.4512386e-02]",[9.9387658e-01 8.3177170e-04 2.0010705e-04 5.0916160e-03],[9.9970996e-01 2.9007459e-04],"[5.7062061e-07 3.3505014e-05 2.3384683e-03 5.5559236e-01 4.2866567e-01
 1.3291358e-02 7.7420373e-05 6.6246014e-07 2.1237733e-08]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0032_face0.png,White,White,Female,30-39,"[7.26658702e-01 1.00968275e-04 2.59750694e-01 4.53643821e-04
 6.63403422e-04 1.40083476e-03 1.09718516e-02]",[0.9791799  0.00222233 0.01273704 0.0058607 ],[4.6886842e-07 9.9999952e-01],"[3.1157700e-08 3.6476929e-06 1.4253242e-03 1.0391483e-01 6.8820047e-01
 1.9795015e-01 8.3892336e-03 1.1558784e-04 6.7191576e-07]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0033_face0.png,Indian,Indian,Male,30-39,"[1.5297338e-02 8.3315954e-02 3.6341965e-01 7.1963535e-05 1.3183180e-03
 5.2864456e-01 7.9322048e-03]",[0.02295304 0.42317343 0.00090928 0.55296427],[9.9999744e-01 2.5859781e-06],"[6.2442768e-07 1.3276393e-05 8.7879272e-04 3.2504284e-01 6.4742315e-01
 2.6457608e-02 1.8292073e-04 8.0067610e-07 1.0829800e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0034_face0.png,Black,Black,Female,20-29,"[3.3914822e-04 8.0525106e-01 2.1183245e-02 4.4873494e-05 1.2409139e-03
 1.7184573e-01 9.5059586e-05]",[9.3254808e-04 7.6931792e-01 3.3876108e-04 2.2941078e-01],[5.833941e-05 9.999417e-01],"[4.2118476e-08 7.0065198e-06 6.7731291e-03 5.8543956e-01 3.8167125e-01
 2.5815992e-02 2.9060891e-04 2.4179594e-06 4.0272027e-08]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0035_face0.png,Black,Black,Male,30-39,"[4.1312929e-02 6.0982984e-01 1.4737873e-01 3.3579621e-04 3.1311745e-03
 1.4277752e-01 5.5234000e-02]",[0.03783698 0.7019254  0.03943992 0.2207977 ],[9.9999362e-01 6.3661982e-06],"[1.3562139e-07 7.5381695e-06 2.2697556e-03 4.2243949e-01 5.5984670e-01
 1.5337073e-02 9.6617703e-05 2.5667835e-06 5.7921820e-08]",0,Black,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0036_face0.png,White,White,Male,30-39,"[6.4421326e-01 1.9800486e-03 3.0775130e-01 3.6028746e-04 4.9300882e-04
 2.6821804e-03 4.2519931e-02]",[0.99260676 0.00232209 0.00171702 0.00335417],[9.9997282e-01 2.7146869e-05],"[7.1115369e-07 4.3499135e-06 1.9553139e-04 2.3725564e-02 5.6194693e-01
 3.8955742e-01 2.4400979e-02 1.6648929e-04 1.9278286e-06]",1,White,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0037_face0.png,Latino_Hispanic,White,Male,20-29,"[3.3029070e-01 5.6624953e-03 4.3201813e-01 9.1905495e-05 4.0980469e-04
 7.0018023e-02 1.6150886e-01]",[0.82912946 0.03266792 0.00102119 0.13718134],[9.9981505e-01 1.8492326e-04],"[4.7853229e-07 3.6446920e-05 6.4873653e-03 6.0983294e-01 3.7372923e-01
 9.8416433e-03 7.1189570e-05 7.4085574e-07 1.3342782e-08]",1,Others,20-39
/scratch/project_462000771/mengting/projects/bias/Wan2.1/prompt2/selected_faces/detected_happy/happy_person_0038_face0.png,Black,Black,Male,20-29,"[5.8843201e-04 9.4996840e-01 2.2570882e-02 1.8451764e-04 3.7437107e-03
 2.1904023e-02 1.0400647e-03]",[5.3322234e-04 9.1574919e-01 8.5750839e-04 8.2860015e-02],[9.9946803e-01 5.3199485e-04],"[1.7961439e-07 2.3117140e-05 1.5212549e-02 6.7591339e-01 3.0078936e-01
 8.0025159e-03 5.7433270e-05 1.3580258e-06 6.4672832e-08]",1,Black,20-39
