face_name_align,race,race4,gender,age,race_scores_fair,race_scores_fair_4,gender_scores_fair,age_scores_fair,attractiveness,race_final,age_final
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0000_face0.png,White,Asian,Male,40-49,"[0.8456608  0.00638473 0.12712234 0.00114675 0.00650706 0.00147784
 0.01170046]",[0.2490959  0.0232803  0.7115683  0.01605549],[0.9908482  0.00915181],"[1.4676092e-05 4.4468767e-04 1.7262232e-02 1.2292269e-01 3.0605301e-01
 3.8619927e-01 1.5599264e-01 1.0374783e-02 7.3604722e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0001_face0.png,White,White,Male,40-49,"[7.5327915e-01 7.4767596e-03 6.1283458e-02 2.4425066e-05 6.4025901e-04
 3.8315780e-02 1.3898014e-01]",[0.5083465  0.10004234 0.14159639 0.25001475],[9.9999970e-01 3.0239977e-07],"[3.9894556e-05 2.0650437e-03 2.2349861e-02 7.8952312e-02 2.9473555e-01
 4.5143047e-01 1.4271596e-01 7.5295684e-03 1.8131996e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0002_face0.png,White,Indian,Male,40-49,"[0.575523   0.00117362 0.14199166 0.00086891 0.01600222 0.12636766
 0.13807297]",[0.32432002 0.01324958 0.13261682 0.5298136 ],[9.999566e-01 4.338026e-05],"[2.7988863e-05 4.7586620e-04 1.1094953e-02 3.4388632e-02 1.3809915e-01
 4.0415406e-01 3.6348200e-01 4.5253057e-02 3.0242098e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0003_face0.png,Latino_Hispanic,White,Male,50-59,"[0.13933532 0.00758376 0.5336229  0.01266866 0.13535653 0.15514441
 0.01628844]",[0.48929918 0.00186937 0.25332385 0.25550756],[9.999134e-01 8.663605e-05],"[1.6587241e-04 1.0186647e-03 3.5253197e-03 3.1167252e-03 1.8749611e-02
 1.5298542e-01 5.6721348e-01 2.2803444e-01 2.5190428e-02]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0004_face0.png,White,Indian,Male,40-49,"[0.582283   0.00805465 0.10093904 0.00176599 0.02166528 0.13296318
 0.15232879]",[0.04707653 0.02490882 0.34757024 0.5804444 ],[9.997689e-01 2.310936e-04],"[1.1990259e-05 3.5938411e-04 1.8028004e-02 1.4992863e-01 2.4958611e-01
 3.6765251e-01 1.9386849e-01 1.7966330e-02 2.5985674e-03]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0005_face0.png,Indian,Indian,Male,50-59,"[1.2018090e-02 2.0302504e-03 3.1879663e-02 3.9795207e-04 1.5967594e-02
 9.3654096e-01 1.1654834e-03]",[0.01294769 0.0039696  0.03100649 0.95207614],[9.9986267e-01 1.3734188e-04],"[2.2616771e-04 7.1524959e-03 4.2410344e-02 3.4472454e-02 7.3433377e-02
 3.3752912e-01 3.7325209e-01 1.2271101e-01 8.8129435e-03]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0006_face0.png,Indian,Indian,Male,40-49,"[8.3880059e-02 4.6097960e-02 2.6516375e-01 1.5627602e-04 8.9880731e-03
 3.9303714e-01 2.0267671e-01]",[0.21463424 0.09598868 0.05590334 0.6334738 ],[9.9999714e-01 2.9067521e-06],"[2.3363080e-05 1.6776576e-04 1.8063312e-03 6.1707352e-03 8.6420313e-02
 4.5068389e-01 4.1883454e-01 3.4903020e-02 9.9004037e-04]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0007_face0.png,White,White,Male,30-39,"[9.7651011e-01 6.6003289e-05 1.1558970e-02 1.0704601e-05 1.3554814e-04
 3.8206512e-03 7.8980131e-03]",[0.9603808  0.00482663 0.00467591 0.03011665],[9.9980193e-01 1.9805990e-04],"[7.6620410e-08 4.5309639e-06 1.6546138e-03 1.5993527e-01 6.0951221e-01
 2.2028360e-01 8.5592670e-03 4.8697744e-05 1.7203306e-06]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0008_face0.png,White,Asian,Male,50-59,"[0.45034692 0.01560238 0.10693648 0.028797   0.16507912 0.04236505
 0.190873  ]",[0.11804079 0.00246627 0.87250894 0.00698398],[0.99869144 0.00130861],"[0.00059894 0.00069752 0.00079542 0.00116846 0.01021857 0.07962897
 0.46132615 0.37748206 0.06808405]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0009_face0.png,White,White,Male,30-39,"[7.5111157e-01 3.7091467e-04 6.3133746e-02 5.5342563e-05 2.4804284e-03
 1.1932418e-01 6.3523822e-02]",[6.5797263e-01 2.0332624e-04 1.7469172e-01 1.6713230e-01],[9.9996907e-01 3.0902364e-05],"[3.8097537e-06 1.8365870e-04 9.1357231e-03 1.6951931e-01 4.4571435e-01
 3.5407338e-01 2.0999081e-02 3.5505040e-04 1.5588785e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0010_face0.png,White,White,Male,40-49,"[9.7827226e-01 2.3619668e-04 1.3058468e-02 2.1024432e-06 2.0385782e-05
 2.3609237e-03 6.0496633e-03]",[0.8583346  0.00101178 0.01159463 0.12905896],[9.99989808e-01 1.02416125e-05],"[8.3213499e-06 4.0383666e-04 1.1776767e-02 4.7770131e-02 2.0115903e-01
 5.1483458e-01 2.1847419e-01 5.3720251e-03 2.0110590e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0011_face0.png,Latino_Hispanic,Indian,Male,40-49,"[0.31704512 0.00441588 0.36618474 0.00089829 0.01329642 0.0441068
 0.25405276]",[0.2264395  0.20138043 0.14043063 0.43174937],[9.9994344e-01 5.6559522e-05],"[1.5216675e-06 1.0996376e-05 6.0440216e-04 2.1718912e-02 4.5248544e-01
 4.7402349e-01 5.0648544e-02 4.9866101e-04 7.9699767e-06]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0012_face0.png,White,White,Male,40-49,"[7.1531111e-01 9.7672171e-05 1.9962662e-01 7.3581410e-04 1.4785831e-02
 4.9375739e-02 2.0067189e-02]",[7.9063433e-01 7.0358964e-04 9.9613637e-02 1.0904839e-01],[0.9945106  0.00548942],"[2.2803390e-06 3.8674076e-05 1.5315228e-03 4.7842893e-03 8.7414816e-02
 5.6881386e-01 3.3022872e-01 6.9682617e-03 2.1765396e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0013_face0.png,White,White,Male,30-39,"[4.3599814e-01 2.9127763e-03 2.4356093e-01 2.4499404e-05 8.8085834e-04
 2.2687899e-01 8.9743838e-02]",[0.51922375 0.00643837 0.0191131  0.45522475],[0.99482137 0.00517863],"[2.7341782e-06 1.4661626e-04 8.8162404e-03 2.6416534e-01 6.0209054e-01
 1.2021256e-01 4.4026263e-03 1.5307788e-04 1.0278530e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0014_face0.png,Middle Eastern,Asian,Male,60-69,"[0.29533595 0.05850132 0.08840375 0.00261826 0.01977141 0.17555118
 0.3598181 ]",[0.10793141 0.01575645 0.6507088  0.22560331],[9.9923402e-01 7.6599803e-04],"[9.4117619e-05 4.8548079e-04 1.4404060e-03 2.6146856e-03 1.1646251e-02
 6.0900878e-02 2.6358640e-01 4.0044129e-01 2.5879043e-01]",0,White,60+
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0015_face0.png,White,White,Male,50-59,"[9.8893303e-01 1.3227870e-03 3.0902482e-03 1.2193444e-04 3.1481098e-04
 1.4029548e-03 4.8142076e-03]",[0.8175663  0.01402856 0.11572204 0.05268309],[0.99603003 0.00397001],"[4.7127078e-06 4.2554089e-05 8.3030597e-04 2.5122752e-02 1.0782716e-01
 3.8062724e-01 4.3475550e-01 4.0019087e-02 1.0770688e-02]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0016_face0.png,White,Indian,Male,30-39,"[8.05819511e-01 4.44189500e-04 1.18898645e-01 6.62916063e-05
 5.21077425e-04 5.18310303e-03 6.90671951e-02]",[0.46829468 0.00254414 0.01584407 0.5133171 ],[9.9984944e-01 1.5057658e-04],"[4.1208732e-06 1.9989768e-04 1.1212001e-02 1.7475316e-01 4.5620853e-01
 3.2496649e-01 3.2134350e-02 5.1018677e-04 1.1313801e-05]",0,White,20-39
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0017_face0.png,White,White,Male,40-49,"[6.0033190e-01 1.2678356e-04 1.7680335e-01 9.1370428e-05 5.5038842e-04
 2.6271719e-02 1.9582456e-01]",[9.4638741e-01 2.2228705e-04 5.3657889e-03 4.8024517e-02],[0.9260492  0.07395079],"[6.2912300e-06 2.9783421e-05 9.9109800e-04 2.4310904e-02 3.1520587e-01
 5.3965241e-01 1.1816416e-01 1.6132169e-03 2.6269530e-05]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0018_face0.png,White,Indian,Female,50-59,"[0.44586223 0.01045272 0.21648283 0.00095521 0.0039261  0.18697707
 0.13534382]",[0.07543707 0.04319898 0.18969622 0.69166774],[0.4787308 0.5212692],"[2.3951316e-05 2.3713827e-04 3.2746522e-03 7.6590382e-02 1.3450637e-01
 2.4763320e-01 2.8014717e-01 1.6479619e-01 9.2790939e-02]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0019_face0.png,White,White,Male,40-49,"[9.1336846e-01 1.1296714e-02 1.5918275e-02 6.8455545e-04 2.5280663e-03
 3.0201967e-03 5.3183652e-02]",[0.6819152  0.09804137 0.1770397  0.04300361],[9.9986094e-01 1.3905609e-04],"[7.12673864e-05 5.36025851e-04 2.30386015e-03 3.85932960e-02
 3.07732999e-01 5.22114098e-01 1.21901184e-01 6.43126573e-03
 3.15874728e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0020_face0.png,Latino_Hispanic,Indian,Male,40-49,"[2.5882038e-01 2.4009193e-03 4.2878264e-01 1.9974633e-04 3.0432807e-03
 1.6861388e-01 1.3813919e-01]",[0.40000522 0.00618009 0.02516581 0.5686489 ],[9.9997383e-01 2.6156546e-05],"[1.4543268e-05 2.2359028e-04 4.5251828e-03 2.1033395e-02 2.4813375e-01
 5.2149820e-01 1.9988619e-01 4.6090027e-03 7.6199431e-05]",0,Others,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0021_face0.png,Latino_Hispanic,Indian,Male,40-49,"[3.0438671e-01 8.5279049e-04 3.6715251e-01 1.7664973e-04 3.3465181e-03
 1.1562541e-01 2.0845938e-01]",[0.27739438 0.00847237 0.15077597 0.5633573 ],[9.9923998e-01 7.6004403e-04],"[8.1720909e-06 3.4330271e-05 1.1320601e-03 3.9322730e-02 3.6651573e-01
 5.0934786e-01 8.1206635e-02 2.3153529e-03 1.1709139e-04]",1,Others,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0022_face0.png,White,White,Male,40-49,"[9.8277402e-01 2.0766384e-03 6.9369269e-03 2.2389286e-05 4.4586905e-04
 7.2028786e-03 5.4121495e-04]",[0.75179166 0.01503585 0.05819665 0.17497589],[9.9999595e-01 4.0878967e-06],"[9.7278212e-07 5.7855857e-05 1.7757039e-03 1.5743444e-02 1.1501423e-01
 5.0924063e-01 3.4343147e-01 1.4188337e-02 5.4741785e-04]",1,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0023_face0.png,White,White,Male,40-49,"[6.4714855e-01 1.3272882e-04 9.2394300e-02 5.2456977e-05 9.3143032e-04
 2.0592261e-02 2.3874831e-01]",[8.6496466e-01 3.2102558e-04 4.3056244e-03 1.3040867e-01],[0.99887055 0.00112943],"[2.1969481e-06 1.7765151e-05 3.9324092e-04 2.9399409e-03 1.0239834e-01
 6.7427212e-01 2.1607879e-01 3.7108986e-03 1.8676581e-04]",0,White,40-59
/scratch/project_462000771/mengting/projects/bias/FLUX.1-schnell/prompt2/selected_faces/detected_angry/angry_person_0024_face0.png,White,White,Male,20-29,"[9.4671720e-01 2.8007815e-03 2.5732797e-02 1.7879142e-05 6.6961344e-05
 1.8655442e-03 2.2798706e-02]",[0.7715965  0.02075048 0.06405444 0.14359862],[0.839668   0.16033207],"[1.2496134e-06 5.3949154e-04 4.2067338e-02 4.6330142e-01 4.2451546e-01
 6.4919159e-02 4.5555690e-03 9.1906848e-05 8.4583035e-06]",0,White,20-39
