imageName,predicted_label,actual_label,imageTag,dataset,beautification,imageGender,condition,perceived_attractiveness,feminine,happy,intelligence,trustworthy,unusual,sociability,perceived_age
cfd-beautified-male-black-11,2,2,cfd-male-black-11,cfd,beautified,male,black,6.0,1.0,5.0,5.0,5.0,2.0,6.0,31.0
cfd-original-female-white-1,1,1,cfd-female-white-1,cfd,original,female,white,4.0,5.0,4.0,5.0,4.0,2.0,5.0,32.0
cfd-original-female-indian-15,0,0,cfd-female-indian-15,cfd,original,female,indian,3.0,4.0,3.0,5.0,4.0,4.0,3.0,29.0
cfd-beautified-female-white-21,2,1,cfd-female-white-21,cfd,beautified,female,white,5.0,6.0,5.0,4.0,5.0,3.0,5.0,26.5
cfd-beautified-female-indian-1,2,1,cfd-female-indian-1,cfd,beautified,female,indian,5.0,6.0,4.5,5.0,5.0,3.5,5.0,22.0
cfd-beautified-male-asian-1,1,1,cfd-male-asian-1,cfd,beautified,male,asian,4.0,2.0,3.0,4.0,4.0,4.0,4.0,25.0
cfd-beautified-male-latino-23,1,1,cfd-male-latino-23,cfd,beautified,male,latino,4.0,2.0,4.0,4.0,4.0,4.0,4.0,27.0
cfd-original-female-mixed-12,0,0,cfd-female-mixed-12,cfd,original,female,mixed,3.0,5.0,3.0,4.0,4.0,2.0,4.0,32.0
cfd-original-male-asian-13,0,0,cfd-male-asian-13,cfd,original,male,asian,3.0,1.0,4.0,4.0,4.0,3.0,4.0,46.5
cfd-original-male-black-10,0,0,cfd-male-black-10,cfd,original,male,black,3.0,1.0,4.0,4.0,4.0,3.0,4.0,27.0
faces-original-male-young-9,0,0,faces-male-young-9,faces,original,male,young,3.0,2.0,4.0,4.0,4.0,3.0,4.0,26.0
faces-original-female-old-13,1,1,faces-female-old-13,faces,original,female,old,4.0,5.0,4.0,4.0,5.0,3.0,5.0,66.0
faces-beautified-female-old-5,1,1,faces-female-old-5,faces,beautified,female,old,4.0,3.0,4.0,4.0,4.0,5.0,4.0,56.0
faces-beautified-female-middle-8,2,1,faces-female-middle-8,faces,beautified,female,middle,5.0,6.0,5.0,4.0,4.0,4.0,5.0,36.0
faces-beautified-male-middle-25,2,2,faces-male-middle-25,faces,beautified,male,middle,6.0,2.0,4.0,5.0,5.0,3.5,5.0,31.5
faces-beautified-male-old-22,1,1,faces-male-old-22,faces,beautified,male,old,4.0,2.0,5.0,5.0,5.0,2.0,5.0,64.0
faces-beautified-male-young-14,1,1,faces-male-young-14,faces,beautified,male,young,5.0,3.0,4.0,5.0,4.0,3.0,5.0,25.0
faces-original-female-middle-21,0,0,faces-female-middle-21,faces,original,female,middle,3.0,5.0,2.0,4.0,3.0,2.0,3.0,57.0
faces-original-female-young-9,1,1,faces-female-young-9,faces,original,female,young,5.0,5.0,4.0,4.0,4.0,2.0,4.0,24.0
faces-original-male-middle-1,0,0,faces-male-middle-1,faces,original,male,middle,2.0,1.0,2.0,4.0,3.0,3.0,3.0,54.0
cfd-original-female-latino-13,0,0,cfd-female-latino-13,cfd,original,female,latino,3.0,5.0,4.0,4.5,4.0,4.0,4.0,27.0
cfd-original-male-asian-12,0,0,cfd-male-asian-12,cfd,original,male,asian,3.0,2.0,4.0,5.0,4.0,3.0,4.0,28.0
cfd-original-female-black-7,2,1,cfd-female-black-7,cfd,original,female,black,5.0,6.0,3.0,4.0,4.0,4.0,5.0,29.0
